id,created_at,text,retweets,favorites
601052432047710208,2015-05-20 15:50:41,Many thanks to the @FAMMFoundation for their tireless efforts to reform America's criminal justice system. #cjreform https://t.co/E1KfU9274F,6,5
600710775594954752,2015-05-19 17:13:04,RT @CarolCNN: @repjohnconyers Thanks Congressman! Appreciate you taking the time… Would love to have you on again @CNN.,1,0
600709745926864896,2015-05-19 17:08:58,RT @EPA: Healthy bees are good for the planet! Check out what we’re doing to protect #PollinatorHealth. http://t.co/0pvXH1fVPp,37,0
600698685987672064,2015-05-19 16:25:01,Many thanks to @CNN's @CarolCNN for having me on earlier to discuss the current @HouseJudiciary hearing on #policing  http://t.co/dmrZRF4FJW,2,4
600686936689385472,2015-05-19 15:38:20,Excellent op-ed by my dear friend @RepGwenMoore: Government must treat people in poverty with dignity &amp; respect.  http://t.co/5KEficM4JT,5,2
600683929876697088,2015-05-19 15:26:23,Tune into the @HouseJudiciary committee full hearing on #PoliceReform &amp; policing in America http://t.co/otG2JXEe8L  https://t.co/8yySVMFB4P,4,2
600649064288526336,2015-05-19 13:07:51,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600641847397089281,2015-05-19 12:39:10,"RT @HouseJudDems: Tomorrow's full committee hearing on ""Policing Strategies in the 21st Century,"" will start at 10am.  For more info: http:…",2,0
600306301982355456,2015-05-18 14:25:50,Early education is essential for nourishing minds &amp; empowering our economy. Proud to celebrate 50th anniversary of Head Start. #HeadStart50,20,11
598886282287312896,2015-05-14 16:23:11,Here is what I've accomplished this Congress to make sure your voice is heard in Washington. http://t.co/JiLjBb7wDk,9,5
598879189987676160,2015-05-14 15:55:00,"RT @HouseJudDems: ""We will not agree to any ext. of the @NSAGov’s #bulkcollection program...""@HouseJudiciary @SenatorLeahy @SenMikeLee http…",6,0
598583912907075584,2015-05-13 20:21:40,"RT @HouseJudDems: ""The #USAFreedomAct is an explicit rejection of the government’s unlawful interpretation of #Section215&amp;similar statutes""…",4,0
598583809165139968,2015-05-13 20:21:15,RT @HouseJudDems: .@HouseJudiciary Cmte. Ranking Member @RepJohnConyers urges colleagues to support the #USAFREEDOMAct on @HouseFloor http:…,1,0
598508031475851264,2015-05-13 15:20:09,"RT @HouseJudDems: The #USAFREEDOM Act ends bulk collection, creates transparency,while safeguarding national security &amp; civil liberties htt…",3,0
598172864722935808,2015-05-12 17:08:19,Nurses deserve the same level of protections they provide to patients. #SPHMBriefing15  #ThankANurse @RNAction,9,9
598162132342022144,2015-05-12 16:25:40,RT @ReginaGrossman: .@repjohnconyers &amp; HPEA member Jean Lucas advocating for legislation on Safe Patient Handling @AFTHealthcare http://t.c…,4,0
597526128086151168,2015-05-10 22:18:25,Happy #MothersDay to all those celebrating,4,3
597064379725717505,2015-05-09 15:43:35,RT @ClimateHotNews: .@repjohnconyers oped: Solving the #climate crisis will strengthen our economy http://t.co/xGYJLsrW6f via @HuffPostGreen,8,0
597064184740880385,2015-05-09 15:42:49,RT @ChrisVanHollen: Glad to have you on my #CapandDividend bill! https://t.co/UFSQliyPl4,8,0
596745775423561728,2015-05-08 18:37:34,How solving the climate crisis will strengthen our economy. @RevYearwood #actonclimate http://t.co/IDFE8LDbvD,6,4
596687828068802560,2015-05-08 14:47:18,RT @RepJudyChu: Happy National Small Business Week! More than 1/2 of Americans own or work for a small business. Let's help them succeed! #…,75,0
596660810056921088,2015-05-08 12:59:57,President deserves credit: Unemployment now at 7-yr low.  But more action needed: Still 12+ million out of labor force or working part-time.,6,1
596415581143879680,2015-05-07 20:45:30,Building a powerfully inclusive movement to #ActOnClimate. Important article by the great @RevYearwood :  http://t.co/JYhGlVlJ6A,10,5
595671593004707840,2015-05-05 19:29:09,How a Financial Transactions Tax could fund #FullEmployment while making stock markets stronger: http://t.co/FrgdayYdel,8,2
595582522236469248,2015-05-05 13:35:13,"RT @BillPascrell: Nothing returns more to the Treasury than investments in education. This #NationalTeacherDay, thank a teacher for helping…",136,0
595247080832159744,2015-05-04 15:22:17,"RT @RepPeterDeFazio: @SpeakerBoehner, let's take up a long-term surface transportation funding bill! Infrastructure investments grow the ec…",102,0
594921102998118400,2015-05-03 17:46:58,RT @ianconyers: @VP V.P. Biden to give keynote at #Detroit NAACP dinner http://t.co/zqFHP87bb3 @repjohnconyers Honored,8,0
594299420486848512,2015-05-02 00:36:38,RT @politico: The House Judiciary Committee will hold a hearing this month on police accountability and attacks on law enforcement: http://…,29,0
594238562771595266,2015-05-01 20:34:48,RT @HouseJudDems: BREAKING: @HouseJudiciary Chair @RepGoodlatte &amp; RM @repjohnconyers to hold hearing on #LawEnforcement #accountability htt…,6,0
594231680770187265,2015-05-01 20:07:27,"""...a #riot is the language of the unheard."" -Dr.Martin Luther King,Jr.,""The Other #America"" speech,Mar.14,1968 @ Grosse Pointe HS, Michigan",5,8
594171465739739136,2015-05-01 16:08:11,I'm proud to support the #RaiseTheWage Act.  No working American should ever have to live in poverty.,6,3
594170990537637888,2015-05-01 16:06:17,RT @keithellison: Did you know that the federal minimum wage is 24 percent lower than it was in 1968 even though U.S. productivity has more…,142,0
593809098858172418,2015-04-30 16:08:16,RT @RepAdams: Thank you all for joining the bipartisan #HBCU Caucus @RepRichHudson @repjohnconyers @RepWesterman @RepWalterJones,5,0
593438823960453121,2015-04-29 15:36:55,"As the brave people of #Nepal work to rebuild and recover, here's what the US is doing and how you can help: http://t.co/JOO2NqUmoF",5,1
593080489407197184,2015-04-28 15:53:02,RT @cbrangel: A10: Get help with loan consolidation at http://t.co/y6eOuFiks9 for free. And check out http://t.co/TExJBjPJQi for answers #D…,8,0
593078791704043521,2015-04-28 15:46:17,"12 workers die on the job daily. This Workers Memorial Day, let's renew commitment to ensure safe &amp; healthy workplaces. #speakoutforsafejobs",3,3
593052156653101057,2015-04-28 14:00:27,RT @HouseJudDems: .@HouseJudDems @repjohnconyers &amp; @JacksonLeeTX18 call for swift Congressional action on data collection legislation http:…,5,0
592743895273963520,2015-04-27 17:35:31,RT @HouseJudDems: Congratulations to #LorettaLynch on being sworn-in as this nation's 1st female African American #AttorneyGeneral to lead …,9,0
592726842001469440,2015-04-27 16:27:46,"RT @keithellison: A recent study confirms going to college matters, which is why we must invest #DebtFreeCollege: http://t.co/n4v22VzQ12",12,0
592716947130814466,2015-04-27 15:48:27,"Heartfelt congratulations to Loretta Lynch, the nation's 83rd Attorney General and first female African-American Attorney General. #Progress",9,5
591305646949171200,2015-04-23 18:20:26,"RT @HouseJudDems: BREAKING: After long partisan delay, #LorettaLynch has been confirmed as our nation's next US #AttorneyGeneral by a vote …",7,0
591305545338003456,2015-04-23 18:20:02,Congrats to Loretta Lynch on being the 1st African American woman to serve as U.S. Attorney General. #ConfirmLynch http://t.co/YT9AAlRQRz,56,26
591298808132296704,2015-04-23 17:53:16,RT @greathousetweet: @repjohnconyers Congrats on writing a great house tweet! http://t.co/aoI6oyvlxL (Ranked 11th for Apr 22.),1,0
591040498346897409,2015-04-23 00:46:50,RT @RepAdams: Thank you @repjohnconyers for reintroducing the End #RacialProfiling Act. Proud to cosponsor!,18,0
590997771446026241,2015-04-22 21:57:03,RT @RepGutierrez: Thank you @repjohnconyers for reintroducing the End #RacialProfiling Act to eliminate discriminatory policies &amp; practices…,14,0
590973456931495936,2015-04-22 20:20:26,"14 of 15 hottest years on record occurred in 21st Century.  On #EarthDay, Congress must accept #ClimateChangeIsReal &amp; finally #ActOnClimate.",5,5
590913853451587585,2015-04-22 16:23:35,RT @RepJudyChu: Standing w/ @repjohnconyers &amp; @JacksonLeeTX18 to say it's time police see minorities as people not threats #ERPA2015 http:/…,25,0
590913634995408896,2015-04-22 16:22:43,"RT @NancyPelosi: Thank you, @RepJohnConyers for End Racial Profiling Act that seeks to end discriminatory policing tactics by law enforceme…",243,0
590913515927506945,2015-04-22 16:22:15,Everyone is guaranteed to the #EqualProtection of our laws! Join the fight to End #RacialProfiling #BlackLivesMatter http://t.co/YamJaFzjXS,98,70
590911738813423617,2015-04-22 16:15:11,"Today, I'm introducing legislation to stop racial profiling and restore confidence in criminal justice. Watch live: http://t.co/X7iqLXzVLL",14,6
590911172074987520,2015-04-22 16:12:56,RT @NYjusticeleague: Tune in at noon as we join @repjohnconyers in his reintroduction of the End Racial Profiling Act #March2Justice http:/…,12,0
590893996748091393,2015-04-22 15:04:41,"""No working person should ever have to live in poverty."" Standing with striking workers in the #FightFor15 http://t.co/LUiFbjnAFC",38,14
590876668966924288,2015-04-22 13:55:50,"Tune into @CNN at 10am where I will be discussing my bill to address #racialprofiling in law enforcement, End #RacialProfiling Act of 2015",8,6
590192224509366272,2015-04-20 16:36:06,RT @repjoecrowley: FACT: @HouseGOP has spent this entire Congress blowing up the deficit w/ unpaid-for tax giveaways overwhelmingly tilted …,132,0
589232449839824896,2015-04-18 01:02:18,RT @SenGaryPeters: With @repjohnconyers &amp; @RepDebDingell in Detroit for @uspto Patent &amp; Innovation Forum with entrepreneurs &amp; small biz htt…,8,0
589218205702430720,2015-04-18 00:05:42,Joined a panel discussion today about the future of #innovation &amp; #patents w/@SenGaryPeters @RepDebDingell @uspto http://t.co/b03JjV0ViG,15,11
589187545788997635,2015-04-17 22:03:52,"RT @SEIU: .@RepJohnConyers, dean of the U.S. Congress, tweeted some serious truth about the #FightFor15 this week. http://t.co/HIv3xBAi4E",10,0
588816098390364160,2015-04-16 21:27:52,RT @WaysMeansCmte: #TPA bill is a major step backwards on #TPP negotiations - @repsandylevin http://t.co/5wfTTf0EsD,38,0
588810899219161088,2015-04-16 21:07:12,Congress needs a meaningful say in US trade policy. #StopFastTrack,10,12
588540387389673472,2015-04-16 03:12:17,RT @HouseJudDems: Night of bipartisan support for #songwriters @ #GRAMMYsOnTheHill in celebration of the universal language of #music http:…,6,0
588437479654580224,2015-04-15 20:23:22,It's been one year since the abduction of more than 200 Nigerian schoolgirls by Boko Haram. #NeverAgain #BringBackOurGirls,7,1
588335829619240960,2015-04-15 13:39:27,"RT @AspenInstitute: Of all the forms of inequality, injustice on healthcare is the most shocking and inhumane. @repjohnconyers quoting MLK …",24,0
588327499634966528,2015-04-15 13:06:21,#FightFor15 is the great economic movement of our time: No working person should ever live in poverty.  http://t.co/UbRNldgpXp,57,41
