id,created_at,text,retweets,favorites
598539119942365184,2015-05-13 17:23:41,RT @cspanwj: ICYMI: @RepJohnDuncanJr (R-TN) on foreign policy and #transportation infrastructure http://t.co/W5sqtbDUb3 #Amtrak http://t.co…,4,0
598480506452353025,2015-05-13 13:30:46,@georgewillf Flasback: #Neoconservatives are “magnificently misnamed” and “the most radical people in this town.”,1,1
598442810010927107,2015-05-13 11:00:59,Watch @cspan 745-830a today appearing on Washington Journal with @gretabrawner and taking questions from viewers. http://t.co/BfvN77gg1o,3,0
598200136775376897,2015-05-12 18:56:41,Report: Cost of Federal Regulation Reached $1.88 Trillion in 2014 https://t.co/XWmsqaGxlR via @sharethis,3,0
597863453152440321,2015-05-11 20:38:49,Duncan: Presidential libraries should disclose donors https://t.co/wPOCygteZs via @knoxnews,0,2
597861198361669633,2015-05-11 20:29:52,Thanks BES Technologies in Oak Ridge for recycling one millions gallons of water! #cleanwater http://t.co/VfwB3lUBBI,0,2
596301235168370689,2015-05-07 13:11:07,Federal #StudentLoans are creating indentured students. http://t.co/8Zo0p8DGw9,2,1
594210800212025347,2015-05-01 18:44:29,Secret presidential library donations can pose major questions http://t.co/0u9tunpCa2 via @msnbc,1,1
593028654323638272,2015-04-28 12:27:03,@MarkLFuzek You're welcome!,0,0
592681604876771328,2015-04-27 13:28:00,Eisenhower in Ike's Bluff by @evanthomasbooks: God help the Nation when it has a Pres. who doesn’t know as much about the military as I do.,1,1
592678701873176576,2015-04-27 13:16:28,"Republicans once stood for peace through strength, not endless war.  http://t.co/VoJy5rqAoN via @amconmag",5,4
590975429642706944,2015-04-22 20:28:16,Thanks Al Cecere from the American Eagle Foundation for bringing #ChallengerTheEagle by for a surprise visit! http://t.co/546pjF9bN4,1,1
589085369011933185,2015-04-17 15:17:51,‘Free-range’ kids and our parenting police state http://t.co/26cGK7hkTY,3,0
588436697626517504,2015-04-15 20:20:15,Tennesseans shouldn't pay a larger share of taxes than other taxpayers  Make sales tax deduction permanent. http://t.co/JmanHUVBsp,2,3
588434812215656448,2015-04-15 20:12:46,"Washington does not have a revenue problem, it has a spending problem, and higher taxes won’t solve it.  #TaxDay #taxreformnow",7,5
587991785512837121,2015-04-14 14:52:20,"We have the most confusing, complicated, convoluted tax system. No human being can really understand or know it all. #TaxreformNOW #TaxDay",15,7
581446960474955776,2015-03-27 13:25:32,Minimum-Wage Laws: Ruinous Compassion http://t.co/SQPpUuOHkw,2,0
578571964119441408,2015-03-19 15:01:20,"RT @newsgirl88: @RepJohnDuncanJr visited my son's school, Todd got to interview him. #ProudMama #FuturePresidentTodd http://t.co/T7jMA4nAWt",1,0
578571614880661505,2015-03-19 14:59:56,RT @RAmasonWilliams: A big thank you to @RepJohnDuncanJr for his continued support of the Alzheimer's Association @alzassociation! #ENDALZ …,2,0
578571081101012992,2015-03-19 14:57:49,"RT @RepWalberg: Thanks to the 8 new bipartisan cosponsors of the #FAIRAct: @RepMikeBishop, @ConawayTX11, @RepDeSantis, @RepJohnDuncanJr 1/2",3,0
578570562026504192,2015-03-19 14:55:45,Great trip to @ClaiborneCtyTN! Thanks to CHS and HY Livesay Middle School for inviting me to speak! http://t.co/arAI08Pd6j,0,1
576075961524994048,2015-03-12 17:43:06,Congrats Alex &amp; Heather of Hardin Valley Academy @knoxschools 4 winning Hon. Mention in @cspan Video Doc Competition! http://t.co/8ZeCgI4oFN,2,4
573233485776863234,2015-03-04 21:28:07,Best of Times or Worst of Times? http://t.co/jC7pIn24gV via @PatrickBuchanan,0,1
573136335877369857,2015-03-04 15:02:05,ET delegation votes against Homeland Security funding http://t.co/Jle5QQ9Mz2 via @knoxnews,2,0
571068226119049216,2015-02-26 22:04:09,Thanks @Webbschoolknox for visiting me this morning in the U.S. Capitol. http://t.co/RPqWjOdLwr,7,15
569935958684131328,2015-02-23 19:04:56,Reject the surveillance state http://t.co/6igzx1ooyS via @BostonGlobe,3,3
565874823763873793,2015-02-12 14:07:26,East Tennessee lawmakers supportive but cautious on war powers http://t.co/gXnEcK3ZoQ via @knoxnews,1,1
565169874503483392,2015-02-10 15:26:13,"RT @DOE_SC_NSB: Farragut Middle School from Knoxville, TN has advanced to the National Finals of the NSB! @knoxschools http://t.co/YTgBNDyp…",4,0
563724405629812736,2015-02-06 15:42:26,House to vote on Senate #KeystoneXL bill next week. Bill will finally go to @WhiteHouse.,1,2
563413514354974720,2015-02-05 19:07:04,The College Loan Bombshell Hidden in the Budget http://t.co/qprbdudTVh,2,0
562675565950689280,2015-02-03 18:14:43,The Big Lie: 5.6% Unemployment http://t.co/mFLdZxrLdp,9,3
561272928206356480,2015-01-30 21:21:08,The Persians Are Coming! http://t.co/r2k2lGhT6I via @PatrickBuchanan,1,1
560527012625145856,2015-01-28 19:57:08,Proud to join @Rep_JaniceHahn to honor #MerchantMarines of WWII.  Thousands died for our freedom. Time to say thanks  http://t.co/Q5iqIcA1WM,4,4
555029231571566594,2015-01-13 15:50:55,Honored to return to @Transport Committee as Vice Chairman and continue important work with Chairman @RepBillShuster,4,5
553289026094907392,2015-01-08 20:35:58,Climate-change’s historical precedents http://t.co/V8jCirMCS7,0,1
549942540300861440,2014-12-30 14:58:13,George F. Will: Government for the strongest http://t.co/hUunp4wgrp,0,0
545690822830600193,2014-12-18 21:23:25,Memo To WSJ: The CRomnibus Abomination Was Not ‘A Rare Bipartisan Success’  http://t.co/fXksxcZnD8,1,1
543419092934602752,2014-12-12 14:56:22,#omnibus bills are a bad way to do business.,4,3
543418751384055808,2014-12-12 14:55:01,The #CRomnibus was more than $1 trillion. National debt is $18 trillion. It gave increases to agencies more than what they were asking. #no,6,2
543418327897739266,2014-12-12 14:53:20,Could not vote for #CRomnibus bill that funded illegal #Amnesty,3,4
543058116732915712,2014-12-11 15:01:59,ET lawmakers: ‘Partisan' terrorism report puts American security at risk  http://t.co/ImkNklzvF9 via @knoxnews,1,0
540587386099744768,2014-12-04 19:24:11,"We have to have a legal, orderly system of immigration, and it must be enforced. #immigration",7,6
540587274992619520,2014-12-04 19:23:44,"We have a Constitution, and it should be followed. #Immigration",2,3
540587189286223872,2014-12-04 19:23:24,"The Administration may not like present law, but no one has the right or the power to enforce some laws but not others. #immigration",4,2
537632067878928385,2014-11-26 15:40:48,My favorite Thanksgiving food might be @SisterSchubert rolls with real butter. Wishing you all a happy #Thanksgiving w/ lots of good food!,3,6
537629890779283456,2014-11-26 15:32:09,Thanksgiving edition of #ThrowbackThursday http://t.co/VCWMtiq0fG,1,0
535791568427294720,2014-11-21 13:47:19,East Tennessee lawmakers blast executive order on immigration http://t.co/76C2D24T1w via @knoxnews,3,1
535790307112394752,2014-11-21 13:42:18,"There is a right way to do things, and there is a wrong way to do things.  This is the wrong way. #immigration #Obama",7,6
535147018662858752,2014-11-19 19:06:06,Obama’s Unilateral Amnesty Really Will Be Unprecedented – and Unconstitutional http://t.co/TevHw5iTNX via @malcolm_john @DailySignal,2,1
534815304694513665,2014-11-18 21:07:59,The stupidity of 'experts' http://t.co/kV83TxTSzr,1,0
532215824296468480,2014-11-11 16:58:35,#VeteransDay at Philadelphia Elementary School http://t.co/vOgskYnxki,0,1
532215197021523968,2014-11-11 16:56:05,#VeteransDay at Philadelphia Elementary School http://t.co/d4yJuxAukV,0,2
532214837129277440,2014-11-11 16:54:39,#VeteransDay at Philadelphia Elementary School http://t.co/wasdhJea95,1,2
530470345581789185,2014-11-06 21:22:40,RT @RonPaul: Congratulations to our champions for liberty: @repjustinamash @RepWalterJones @RepJohnDuncanJr @RepThomasMassie @DonHuffines,202,0
