id,created_at,text,retweets,favorites
601033399382446081,2015-05-20 14:35:03,@dylanmatt @RBReich It's time to address our country's growing retirement crisis. http://t.co/YgIKhYEXRG,1,0
600293542867664896,2015-05-18 13:35:08,I had the honor of working w/Ed Zigler at Yale. His passion for affordable ed led to #HeadStart. All kids deserve equal access to education.,2,2
599616340408819713,2015-05-16 16:44:10,Thank you. It's time to support the countless Americans who wish to serve our nation. https://t.co/XO70B8QxKv,2,3
599601125285863424,2015-05-16 15:43:42,I commend the @CCSU graduates of the #classof2015 on your achievements. I know your futures are bright. http://t.co/JFr5KuOcTw,4,3
599578929645649920,2015-05-16 14:15:31,So honored to join @SenBlumenthal and the CCSU choir. Congratulations to you all! http://t.co/SRj8GZDM0X,5,1
599571978824110080,2015-05-16 13:47:53,@CCSUAlumni Thank you for the warm welcome. I'm honored to be part of the commencement. Congrats soon-to-be grads! http://t.co/vSn6MehxcN,2,2
598964917497114625,2015-05-14 21:35:39,Our infrastructure supports millions of jobs. Let's end short-term patches and pass a long-term fix for the #highwaytrustfund.,8,3
598535260595433472,2015-05-13 17:08:21,"Most parents with young children are working. We must invest in affordable, quality #childcare so families can succeed #MissionPossible",7,1
598531682300502016,2015-05-13 16:54:07,Over 6.2 million women are enrolled in an #ACA plan. We must continue to protect women's access to affordable healthcare #MissionPossible,7,3
598528383069376514,2015-05-13 16:41:01,More than 6 in 10 women are the primary or co-breadwinner in their families. It's time to invest in #EqualPay. #MissionPossible,14,7
598525771435638784,2015-05-13 16:30:38,Expanding paid family leave will help Americans get the care they need without risking financial ruin. #PaidLeave #MissionPossible,4,1
598117650804383744,2015-05-12 13:28:55,RT @CTNetworkTV: WATCH OnDemand: U.S. Rep. John Larson's (@RepJohnLarson) Social Security Forum from May 8: http://t.co/GiG6nNg5XG,3,0
596750383340486656,2015-05-08 18:55:53,Thank you everyone who joined me in Cromwell to discuss #SocialSecurity http://t.co/cqbt9jCnKp,5,0
596707318697435136,2015-05-08 16:04:45,Let's support #SmallBiz across the country. I'm happy to stop by Augie and Ray's here in East Hartford. http://t.co/ipVi6y9ESi,2,4
596699638285078528,2015-05-08 15:34:14,Thanks so much @Hoffman_Lexus for having us for a discussion on clean energy and fuel cell vehicles.  https://t.co/6Q5X0ytq9i,4,4
596699224252784642,2015-05-08 15:32:35,RT @HoffmanToyota: @RepJohnLarson is here at @Hoffman_Lexus for a demonstration of the @Toyota #Mirai! http://t.co/JVMH9Y7sQ5,3,0
596692530638512128,2015-05-08 15:05:59,I'm proud to see @Toyota embrace fuel cells. It's time to invest in #CleanEnergy http://t.co/7ifBKKzocF,8,8
596339317729062912,2015-05-07 15:42:27,I am deeply honored to present David Carello with the medals he earned in the Korean War. Thank you for your service http://t.co/rwmJS9T9yY,5,3
596052851794653184,2015-05-06 20:44:08,Congratulations Michael Smulders and all the #SmallBiz winners at this year's SBA awards.,2,0
595970762718195712,2015-05-06 15:17:57,"Small businesses create 2 out of every 3 jobs in the U.S. This week, let's support #SmallBiz across Connecticut #DreamSmallBiz",5,2
595614351949701120,2015-05-05 15:41:42,"RT @BillPascrell: Nothing returns more to the Treasury than investments in education. This #NationalTeacherDay, thank a teacher for helping…",136,0
595355485924171776,2015-05-04 22:33:03,It's #TeacherAppreciationWeek. I commend the hardworking men and women who help our students grow and learn each day. http://t.co/r0nvUr4EE7,6,6
593882999940349953,2015-04-30 21:01:55,"The @EximBankUS supports hundreds of thousands of jobs, and extending it has broad bipartisan support. It's time @GOPLeader gives us a vote.",5,2
593837933561565184,2015-04-30 18:02:50,"Congratulations @Cigna, one of DOD's finalists for Top Employer. I commend your dedication &amp; support to the servicemen and -women you employ",2,0
591627996773122048,2015-04-24 15:41:21,Happy to celebrate 215 years of @librarycongress Your work preserving &amp; displaying our shared culture is unparalleled http://t.co/HLU3Op39Ra,4,2
591317956786839554,2015-04-23 19:09:21,Young Americans deserve a voice in their govt. That's why I introduced a resolution to create a Presidential Youth Council. #YouthVoices,31,46
590874784881319936,2015-04-22 13:48:21,This #EarthDay we must renew our efforts to #ActOnClimate so we can enjoy our planet for generations to come.,7,1
589187058826137600,2015-04-17 22:01:56,Many thanks to the students &amp;  community of Trinity College for joining me to discuss the growing student debt crisis http://t.co/82SdL5BCVX,7,1
588791006725804032,2015-04-16 19:48:09,Today we honor the millions of lives lost in the Holocaust. We will #NeverForget,6,3
588151238065311745,2015-04-15 01:25:57,In 1963 women made 59 cents for every $1 earned by men. Today they make 78 cents. That's not good enough #equalpaynow http://t.co/8dsc7dNQ6R,13,4
