id,created_at,text,retweets,favorites
601028535566860289,2015-05-20 14:15:44,"54 years ago today, I was beaten along w/ several Freedom Riders as we attempted to enter the Montgomery bus station. http://t.co/M9voYdkBYV",4344,2769
600731636712525824,2015-05-19 18:35:57,".@family_equality Yes, more than half a dozen states have some sort of protection for LGBT families seeking to adopt. #ECDFChat",13,24
600731381480738816,2015-05-19 18:34:57,.@family_equality No #ECDF doesn't cost addt'l federal $. Every community benefits when a loving home is found for a foster child. #ECDFChat,10,26
600730754885255168,2015-05-19 18:32:27,".@family_equality Yes, finding loving homes for youth in foster care is not &amp; should not be a partisan issue. #ECDFChat",27,38
600730528120201216,2015-05-19 18:31:33,".@family_equality Yes, #ECDF is strongly supported by a broad coalition. Here’s a full list: http://t.co/TxCY4TZz9H #ECDFChat",7,11
600730242081230848,2015-05-19 18:30:25,.@family_equality Yes decades of research found that youth raised by #LGBTQ families are equal to families w/ opposite sex parents #ECDFChat,35,37
600729685425782784,2015-05-19 18:28:12,".@family_equality No, #ECDF only applies to providers receiving federal dollars to perform adoption &amp; foster care services #ECDFChat",14,9
599280860546899968,2015-05-15 18:31:05,BB King was one of the foremost Blues musicians in the history of this nation. I'll never forget hearing him at the Chicago House of Blues.,84,172
599209490983059456,2015-05-15 13:47:30,"Reading the FBI file on SCLC &amp; myself, I am more convinced than ever that we cannot allow government surveillance. http://t.co/EeLPj6Yrxm",4174,2997
597452284956700672,2015-05-10 17:24:59,Wishing each and every mother a happy Mother's Day. Thank you for all that you do.,60,134
596708502409715712,2015-05-08 16:09:27,It was good to spend time today with the wonderful students and teachers of North Clayton Middle School. http://t.co/iivk5YkBL7,28,47
595246783099498498,2015-05-04 15:21:06,"54 yrs ago today, 13 of us set out from the Wash DC bus station into the heart of the Deep South on the Freedom Ride http://t.co/Pc0VIHwNVN",1086,932
594985105208287232,2015-05-03 22:01:18,"Without the brave journalists who covered our protests, the civil rights movement would have been like a bird without wings. #WPFD2015",420,431
594239031392804864,2015-05-01 20:36:40,"I'll never forget the teacher who said to me, ""Read, my child. Read everything."" #ThankATeacher",361,427
592344285292449792,2015-04-26 15:07:37,Hate is too heavy a burden to bear. Love is a better way. http://t.co/Q9KWmDiLre,250,288
591747842361925632,2015-04-24 23:37:34,RT @KLewis44: “This man didn’t shy away…He’s anchored in the cause of civil rights &amp; social justice.”— @repjohnlewis #EricHolder http://t.c…,259,0
591649829517926400,2015-04-24 17:08:06,SCOTUS stuck a dagger in the heart of the Voting Rights Act. Congress must act to ensure free &amp; fair elections http://t.co/3AocGEj63z,94,97
591597841950367744,2015-04-24 13:41:31,I am glad that the US Senate finally voted on the nomination of Loretta Lynch. It was long overdue and I am very pleased she was confirmed.,114,197
590968595536080896,2015-04-22 20:01:07,"This #EarthDay, each of us needs to recommit ourselves to standing up for the environment. This Earth is not ours to hoard and waste.",771,1260
