id,created_at,text,retweets,favorites
601165566817247232,2015-05-20 23:20:14,A permanently strong economy requires a permanent research and development tax credit. http://t.co/4aP1ZgM5SB,1,1
601134357898776576,2015-05-20 21:16:14,"We need research and development here, not overseas and we need the jobs here, not overseas. http://t.co/gA2fRG3sKJ",1,3
601092880325844993,2015-05-20 18:31:25,"Ahead of Memorial Day I was honored to meet longtime resident of The Woodlands, USAF &amp; Korean War Vet Gerald MacClean http://t.co/hMz3fnXtGj",3,4
601035173338177536,2015-05-20 14:42:06,"RT @SpeakerBoehner: .@RepKevinBrady’s R&amp;D tax credit bill makes it easier for businesses to invest, innovate, &amp; create more jobs http://t.c…",12,0
600786576625573889,2015-05-19 22:14:16,My office has been able to cut $1.2 million from our office budget to be returned to Treasury over the last 6 years. http://t.co/v3S3PhtOq7,1,0
600718443453751296,2015-05-19 17:43:32,It's our responsibility to protect #Medicare for today’s seniors and future generations http://t.co/FfiHKF6LuI,0,0
600673585322184704,2015-05-19 14:45:17,"Today we explore how much competition exists in Medicare: its impact, benefits and savings for Medicare patients http://t.co/4N8I7ch0Vf",1,0
600653659391791105,2015-05-19 13:26:06,Always great to speak with the folks from @NAPEO http://t.co/vNmu25a5vE,0,0
600441555703484416,2015-05-18 23:23:17,"RT @GOPLeader: Honoring the Armed Forces, House passes six #vets bills: http://t.co/bKQ8wVUIP9",7,0
600341822561513472,2015-05-18 16:46:58,"#MondayMemo: House passes bills to fund military, keep Congress part of Iran nuke deal &amp; the cost of Obama's red tape http://t.co/4YeA339iKJ",1,0
600307884434464768,2015-05-18 14:32:07,"RT @MelissaAttias: With #SGR checked off, @RepKevinBrady tells me his panel is on to step 2: tackling hospital reimbursements ($) http://t.…",3,0
599567516948504576,2015-05-16 13:30:10,"To all those who serve and have served, we thank you #ArmedForcesDay http://t.co/zBP7PRKaii",8,2
599348606856859648,2015-05-15 23:00:17,Questions about military spending? Check out my video on NDAA http://t.co/EWu9HkiVU8,1,0
599304838892093442,2015-05-15 20:06:22,DC honored 131 brave souls who died in the line of duty at the National Peace Officers Memorial Service #PoliceWeek http://t.co/BZyHGuoqnj,1,1
599255693728722944,2015-05-15 16:51:05,"House Approves Vital Funding Bill for Nation’s Defense Forces, Pay Increase for Troops http://t.co/sJapYGNTSG",0,0
599212115656724480,2015-05-15 13:57:55,A strong military means a safer America. #FY16NDAA http://t.co/kNc6QSRyOC,1,1
599182486464147457,2015-05-15 12:00:11,#FY16NDAA assures our forces are ready to meet all threats that come their way. http://t.co/rqmrA1EHdr,1,1
598986873336242176,2015-05-14 23:02:53,We cannot allow White House to rush into a bad agreement that trades sanctions for a future nuclear Iran http://t.co/pA2TWzHzBX,1,1
598895098756263937,2015-05-14 16:58:13,RT @WaysandMeansGOP: Empower Congress. Pass #TPA4USJobs. http://t.co/hJO6gimaOe,5,0
598864668569051136,2015-05-14 14:57:18,"Talking NDAA, immigration and more with Chris X on @RERadioTexas http://t.co/0M0ZGlyap1",0,0
598841921952419842,2015-05-14 13:26:54,"Unless we encourage US research, economy suffers &amp; middle-class fams/college grads will lose out to foreign countries http://t.co/DU6MjwvmCH",2,0
598618969696768002,2015-05-13 22:40:58,Timely intelligence is key to protecting Americans here at home from terrorism &amp; threats of violence http://t.co/mrB9h80GlJ #USAFreedomAct,2,0
598558180013125633,2015-05-13 18:39:25,Thanks to @RepBillFlores for inviting me to speak to the Waco/Bryan/College Station Chamber of Commerce Groups today. http://t.co/VSqHSJUHaJ,2,2
598516658454528000,2015-05-13 15:54:25,RT @RepGoodlatte: Want real tax reform? Put an expiration date on current tax code. ICYMI in @USATODAY w/@RepKevinBrady: http://t.co/nQDmVl…,2,0
598489827802226688,2015-05-13 14:07:49,Great to speak with the Houston Assoc. of Realtors this morning. http://t.co/DgU5c3tXjs,0,1
598268172110815232,2015-05-12 23:27:02,Thanks to @ACUConservative for this award and recognizing my work on behalf of conservative principles.,4,2
598192898786598912,2015-05-12 18:27:55,"There are 900,000 police officers around our country. This #PoliceWeek, tell the women and men in blue 'Thank you' http://t.co/BzJhRrzi1X",96,73
598127818317377537,2015-05-12 14:09:19,Congratulations to the 8 outstanding local seniors who received Military Academy appointments. #Army #Navy #AirForce http://t.co/nwtIRofsV4,2,0
597931127958016000,2015-05-12 01:07:44,"Thanks to the folks in Spring Creek for coming out tonight, great to hear from all of you. http://t.co/EzJCA9pBjv",0,0
597881503352266754,2015-05-11 21:50:33,RT @SenateMajLdr: #Trade is essential for a stronger American #economy. Now is the time to pass #TPA. #TPA4USJobs http://t.co/7rNUOMFfaa,10,0
597844525856456705,2015-05-11 19:23:37,Congratulations to the recent grads from @SamHoustonState  https://t.co/qlhbqZNTWt,0,1
597781258622611456,2015-05-11 15:12:12,"Monday Memo: We tackle America's continued war on terror, Iran's nuclear program and efforts to spur innovation. http://t.co/4ZF4lFgITj #R&amp;D",0,0
597397095449022464,2015-05-10 13:45:41,http://t.co/0eq2ULFWoQ,2,1
597015693695975425,2015-05-09 12:30:08,"To close the #jobs gap by the end of @BarackObama's term, the economy will need to generate 431,000 new jobs a month. http://t.co/Xcn7WuZ0nY",3,0
596823174760697856,2015-05-08 23:45:07,For the 11th year in a row #Texas ranked as the best as best state to do business in http://t.co/uN8GbJ19oJ,5,2
596779365054205952,2015-05-08 20:51:02,Today was able to thank nurses @MethodistHosp Willowbrook for keeping our local families healthy. #NationalNursesWeek http://t.co/BsVDoiNxpG,1,1
596733288292732928,2015-05-08 17:47:57,To commemorate #VEDay70 WWII planes flew over the National Mall in D.C. Never forget. http://t.co/2E4hXYT43l,4,3
596684487880085505,2015-05-08 14:34:02,"Instead of shrinking, the Obama recovery’s jobs gap got bigger for a 4th consecutive month and stands at 5,730,000. http://t.co/l8eadmlz2X",2,0
596663849484472320,2015-05-08 13:12:01,LIVE this morning on In the Loop with @BettyWLiu on @BloombergTV talking jobs report and trade. http://t.co/2ze7MBB4nD,0,0
596427748454858753,2015-05-07 21:33:50,"17 retired generals, admirals, and secretaries of defense are offering their “strongest possible support” for TPA https://t.co/zAjqfwG9BW",2,1
596403208488153090,2015-05-07 19:56:20,#NationalNursesWeek: Had a chance to learn on the Sim Man @SamHoustonState's nursing classes at The Woodlands Center. http://t.co/q5WRvtjqj6,2,2
