id,created_at,text,retweets,favorites
601395700711215105,2015-05-21 14:34:43,RT @SteveHedden: Watch Congressman Leonard Lance @RepLanceNJ7 Honor the Town of Clinton on its 150th anniversary - I'm from this town! http…,2,0
601045736067858432,2015-05-20 15:24:05,Congressman will host Academy Nomination Information Fair at Raritan Valley - New Jersey Hills: Hunterdon Review News http://t.co/o8hpKJecnF,0,0
601038680694923264,2015-05-20 14:56:02,RT @NBTStweets: Kudos to these US representatives for supporting pediatric brain tumor research: @RepLanceNJ7 @RepSpeier @RepComstock,4,0
600604356824551424,2015-05-19 10:10:12,RT @TommyForHealth: @RepLanceNJ7 Thank you for sponsoring the Treat and Reduce Obesity Act!,2,0
598440786926149632,2015-05-13 10:52:56,Grateful to hear Max &amp; his mother Joan are ok following last night's Amtrak train accident &amp; pray for all the victims.http://t.co/cJLI3AFlBe,5,1
596756439282089985,2015-05-08 19:19:56,"RT @walsh_chuck: Including my dad, who fought in France in '44, receiving the Purple Heart for injuries sustained from a grenade. https://t…",3,0
596673302518726656,2015-05-08 13:49:35,On today's 70th Anniversary of the surrender of Nazi Germany I extend my gratitude to those Americans who fought &amp; sacrificed in WW II.,1,2
596381851868110849,2015-05-07 18:31:28,Thank you @Preeclampsia for discussing the importance of maternal health today.  See you 5/17 in Clark for the 2015 Promise Walk. #PreAM15,3,3
596371735722733568,2015-05-07 17:51:16,"Thank you @MerckforMothers for supporting implementation projects in four states, including New Jersey, and DC to improve care.  #PreAM15",6,6
596369491120017408,2015-05-07 17:42:21,"21st Century Cures will release the innovation pipeline &amp; help bring new treatments, therapies &amp; cures to the marketplace.  #PreAM15",10,6
596363006902214656,2015-05-07 17:16:35,"Proud to be part of the effort to improve research, education &amp; services dedicated to the health &amp; safety of expecting mothers. #PreAM15",6,4
595999401673392128,2015-05-06 17:11:45,Thank you @Preeclampsia for inviting me to participate in the #PromiseWalk at Oak Ridge Park in Clark on May 17. http://t.co/IY38meCl3y,5,4
595910536027623425,2015-05-06 11:18:37,Congressman Lance welcomes Springfield student to Washington for poetry contest http://t.co/zQbqV7ZLjX via @njdotcom,2,0
595910291508109312,2015-05-06 11:17:39,MONTGOMERY: Student artist Helen Zhang wins Rep. Lance’s art contest http://t.co/NxpOYMmHXD,2,0
595910044438417408,2015-05-06 11:16:40,Bill would give North Plainfield its own zip code http://t.co/vuKARjT4la via @njdotcom,1,0
595909890939461632,2015-05-06 11:16:04,Congressman Lance speaks in Berkeley Heights http://t.co/OiAjqaVLq7 via @njdotcom,1,0
595909732147273728,2015-05-06 11:15:26,Congressman takes North Plainfield ZIP code fight to Washington http://t.co/tBVpAGteEM via @MyCentralJersey,1,0
593892195238817792,2015-04-30 21:38:27,RT @AdvaMedUpdate: #HR1078 will protect @US_FDA user fees from #sequestration. Thanks @RepAnnaEshoo &amp; @RepLanceNJ7 for leading the way. htt…,5,0
593818037272313856,2015-04-30 16:43:47,RT @DoubleRVideo: Thx @RepLanceNJ7 for participating in NAB's Congressional PSAs on Cancer Prevention  https://t.co/PqrdI1eCkv @BroadlyServ…,2,0
593817297980121088,2015-04-30 16:40:51,"Crude oil-hauling train cars need new rules, less delays, N.J. congressmen say http://t.co/pJ1INhPCVc via @lehighvalley",2,0
593817193592266752,2015-04-30 16:40:26,Congressman Lance to host town hall meeting in Berkeley Heights on May 4 http://t.co/FpoOy49KZd via @njdotcom,1,0
593745507714994176,2015-04-30 11:55:34,"@bludd1bob please visit http://t.co/3llde7mjAd to learn more how TPA brings greater transparency, oversight &amp; accountability to the process.",0,0
593744841504387072,2015-04-30 11:52:56,"@bludd1bob TPA allows members of Congress to review negotiating text, receive detailed briefings &amp; require 60 days of review prior to vote.",0,0
593099320334938112,2015-04-28 17:07:51,CONGRESSIONAL DISTRICT: Montgomery High artist wins Rep. Lance’s art contest | http://t.co/7FcnYymoqR http://t.co/zzmfrc4xDP,3,1
592797003890954244,2015-04-27 21:06:34,Great point @bludd1bob That's why we need to pass TPA that requires the Admin. to make trade deals public at least 60 days before signing.,2,0
592771999061123072,2015-04-27 19:27:12,RT @JeannieCastells: @RepLanceNJ7  Congratulations on your award as Health Care  Champion. Your solid support for Alzheimer's research make…,2,0
