id,created_at,text,retweets,favorites
601421867841359872,2015-05-21 16:18:41,@RepLipinski and @RepComstock Will Co-Chair #PublicTransportation Caucus for the 114th #Congress http://t.co/gD1KrYzjFr … #Publictransit,0,0
601120709897621504,2015-05-20 20:22:00,RT @teachyouart: @CloseUp_DC students from Hubbard High School met with @RepLipinski today. http://t.co/K02aG60FqF,1,0
601120672694325248,2015-05-20 20:21:51,RT @teachyouart: @RepLipinski thanks for taking time to talk to our students from Hubbard High School in Chicago http://t.co/daBSVV14Q9,1,0
601073228061224960,2015-05-20 17:13:19,RT @RepDaveJoyce: Just introduced a bipartisan bill w/ @RepLipinski to strengthen Buy America laws http://t.co/YQR4EQeNnK http://t.co/sUPN8…,2,0
601059616353583104,2015-05-20 16:19:14,RT @chanalytic: Spot on op-ed by @RepLipinski on the real promise of #selfdrivingcar and advanced vehicle #safety technologies http://t.co/…,1,0
601046818995228672,2015-05-20 15:28:23,@RepLipinski and @RepDaveJoyce Lead Effort to Strengthen #BuyAmerica Laws http://t.co/7Xr1i5Ny0j http://t.co/I1J9FrGtv6,0,0
601033282730467329,2015-05-20 14:34:35,RT @SciCmteDems: PRESS RELEASE: House Passes Several Science Cmte Bills http://t.co/72VwNTGjDn @RepEBJ @RepDonBeyer @RepLipinski @RepBonami…,4,0
600791090342539265,2015-05-19 22:32:12,"@RepLipinski Supports #Bill to Prevent Stoppage of Federal Dollars for #RoadConstruction and #Transit Funding 
http://t.co/lZgPBwDdWM",1,0
600790744748716032,2015-05-19 22:30:50,RT @HouseScience: This week: House to vote on @RepLipinski’s  HR 1156  International Science and Technology Cooperation #InnovationWeek,2,0
600702283811258368,2015-05-19 16:39:19,"@RepLipinski Recognized by @TheLugarCenter and @GUPublicPolicy for #Bipartisan #Leadership 
https://t.co/AUNSOtFDGc http://t.co/HVw2a0zS1T",0,1
600691313953132544,2015-05-19 15:55:44,"Op-ed by @RepLipinski in @thehill : Ushering in #connected and #automated #vehicle #technology 
http://t.co/EMT1P5XHY4 #SiliconValley #tech",3,2
600344518781710336,2015-05-18 16:57:41,I was there to talk with #stakeholders and advocate for the critical infrastructure projects that must be included in the next #capitalbill,0,0
600344199033131009,2015-05-18 16:56:25,I spoke at the @IDOT_Illinois Listening Session this morning at @LewisUniversity. #WillCounty #Romeoville http://t.co/69zFbi25dm,1,2
600287517674442752,2015-05-18 13:11:11,RT @Trib_ed_board: Op-ed by @RepLipinski: Stop fast-track trade agreement bill in its tracks http://t.co/WQCWcDesoR,2,0
600255028297773057,2015-05-18 11:02:05,@RepLipinski Says Stop #FastTrack #Trade Agreement Bill In Its Tracks http://t.co/5gtQOfBu5M #NoTPA #NoTPP #NoFastTrack #TPP @chicagotribune,0,0
598958236105121793,2015-05-14 21:09:06,"Contact your U.S. Senators and ask them to save #Americanworkers, #Americanmanufacturers, and our environment by voting no on #FastTrack",1,1
598957338817667074,2015-05-14 21:05:32,Debate on the #FastTrack bill has begun in the #Senate http://t.co/eb73mJ82kk http://t.co/Xf7pUGwvwD,3,0
598939463436337152,2015-05-14 19:54:30,United in the fight against #FastTrack with @iamaw @chicagoaflcio @LiUNAchicago @steelworkers @NRDC @AFLCIO @IBEW @sierraclub @StopFastTrack,7,3
598858017979891712,2015-05-14 14:30:52,The Administration's unwillingness to stand up against #currencymanipulation is yet another reason to oppose the #FastTrack #bill. #StopTPP,3,2
598857306105851904,2015-05-14 14:28:02,Unfortunately #Senate Democrats caved to pressure and agreed to vote to start debate on the disastrous #FastTrack #trade bill. #NoTPP #NoTPA,2,0
598217202739843072,2015-05-12 20:04:30,It is long past time that #Washington gets this done. #Highwaytrustfund #highwayfund #InfrastructureWeek http://t.co/5afOQiiCj1,2,1
598216864100130816,2015-05-12 20:03:09,"We need a #bill that fixes our crumbling #infrastructure, reduces congestion, boosts our economy, and improves our overall #qualityoflife",2,0
598216289195261952,2015-05-12 20:00:52,"This is #InfrastructureWeek. With the expiration of the #Highwaytrustfund approaching, over 660k #jobs and 6k projects hang in the balance.",0,0
598214489595650051,2015-05-12 19:53:43,#Americans do not need another bad #trade deal.  #NoTPP #NoTPA #NoFastTrack,0,1
598214110111629313,2015-05-12 19:52:12,"With #American #jobs at stake, this is a good day, but only the beginning of a long fight to stop the fast-tracking of #trade agreements",0,0
598213942557675523,2015-05-12 19:51:32,Senate Democrats block bill that would allow #trade deals to be fast-tracked through #Congress with no amendments and limited debate #NoTPA,0,0
597471368578404352,2015-05-10 18:40:49,Congratulations @LewisUniversity Men's #Volleyball on a great season! http://t.co/iF41gUJnxY @LewisMVBall @LewisFlyers @LewisUAlumni,4,2
