id,created_at,text,retweets,favorites
601022826678603777,2015-05-20 13:53:03,"My office has been in touch with local, state, and federal agency officials and I will continue to monitor this situation @ Refugio closely.",1,5
601022578484858881,2015-05-20 13:52:03,I am deeply saddened by the images coming from the scene at Refugio. http://t.co/n4PVzMRfkG,12,10
601022088950910976,2015-05-20 13:50:07,This incident is a stark reminder of the risks to the environment and economy that come from drilling for oil. http://t.co/n4PVzMRfkG,24,11
600703728346267648,2015-05-19 16:45:04,Pleased Cambria FD will receive this much needed fire fighting equipment. Thx @sproauthor @SLOTribune for story: http://t.co/qS9Q6EzX6Z,0,1
600429178656133120,2015-05-18 22:34:06,"50 yrs after it began, Head Start continues to provide quality early learning for our nation's most vulnerable children #HeadStart50",3,2
600409303833448450,2015-05-18 21:15:07,Today we celebrate 50 yrs of Head Start! We must support this wonderful program bc #HeadStartWorks. #HeadStart50 http://t.co/cI74hBbDGQ,3,3
600398670253662208,2015-05-18 20:32:52,"Welcome to the Central Coast Don Draper. While you're here, let's work on #EqualPay for Equal Work. @MadMen_AMC http://t.co/3S9SyCS8ld",6,6
600017452139814912,2015-05-17 19:18:03,"Congrats to Sperdak, the @Cuesta_College jazz combo group recently named the best community college small jazz combo in the nation!",3,3
599670171914014721,2015-05-16 20:18:04,"May is #FosterCareMonth, a time to recognize our nation’s 400,000 #fosteryouth &amp; those who make a meaningful difference in their lives.",3,3
599278072853041152,2015-05-15 18:20:01,Glad to see @HHSGov taking steps to ensure women have reliable &amp; meaningful access to all methods of contraceptives http://t.co/BSxjFLZeiX,1,0
598969694490497025,2015-05-14 21:54:38,Happy 15th bday @pacbiztimes! Here’s to a #TBT to 2012 w/ @hdubroff @ one of their great events. http://t.co/rkMdoD9HGL,5,3
598606164952092672,2015-05-13 21:50:05,"Instead of this political attack, it is time to start trusting our nation’s women to make their own personal health care decisions. #HR36",4,2
598602845332631552,2015-05-13 21:36:54,Women need to make their own personal health care decisions in consultation w/ their Dr. and spiritual advisor—not their Member of Congress.,2,1
598538211535691776,2015-05-13 17:20:04,Congrats to Michael on his appointment to the U.S. Military Academy. I was proud to nominate him. http://t.co/sbtAEQrP2D,2,0
598159968886333440,2015-05-12 16:17:04,I introduced a bill to protect domestic violence and stalking survivors http://t.co/s8yeJAo8Yi,5,4
597889235518128128,2015-05-11 22:21:16,RT @vcstar: Rental car bill named after Ojai sisters killed in crash introduced by @RepLoisCapps http://t.co/OxM6BVAUp2 http://t.co/2rPagXJ…,4,0
597812419386150912,2015-05-11 17:16:02,My office will be hosting a forum for any #CA24 students interested in attending our nation’s service academies. http://t.co/mxtNNc0Ykq,1,0
597449033427226624,2015-05-10 17:12:04,Today we celebrate those with one of the hardest yet most rewarding jobs - Happy Mother’s Day!,4,2
597132452683853825,2015-05-09 20:14:05,Did u know over 50% of Americans own or work 4 a small business? National Small Business Week is reminder 2 support our neighbors &amp; economy,5,3
597117590377402368,2015-05-09 19:15:02,"This #MothersDay, take the opportunity to support hardworking Americans by buying domestically grown flowers http://t.co/U6aVDnLQe8",1,4
597082620602634240,2015-05-09 16:56:04,Congrats to @ucsantabarbara for continuing to lead the way w/ three Energy Efficiency and Sustainability Awards http://t.co/7hT2qUqpee,3,0
596769475044704257,2015-05-08 20:11:44,Another month of job growth and unemployment at a 7 yr low. The economy is improving but there is more to be done http://t.co/datMrTEEhC,4,2
596734816223039488,2015-05-08 17:54:01,Thx to @ColKeithBalts and @30thSpaceWing for making the environment a priority. Congrats on the @USFWSHQ award http://t.co/5GMZaGeN7X,2,0
596356848715833345,2015-05-07 16:52:07,This @NPR concussion report is reminder that injuries don’t just occur during games. We need to pass my SAFE PLAY Act http://t.co/FOcsHgjkmF,5,1
596326891084062720,2015-05-07 14:53:04,Happy #NationalNursesWeek to my fellow nurses in Congress! @RepEBJ @RepReneeEllmers @RepKarenBass @RepDianeBlack,4,3
596054610055438337,2015-05-06 20:51:07,Intro'ed a bill to help keep roads safe by banning rental car cos from renting or selling vehicles subject 2 recall. http://t.co/UApSSC7Du5,3,0
594902258858393601,2015-05-03 16:32:05,Proud to announce this Head Start Grant to give our San Luis Obispo County children access to quality early learning. http://t.co/Zrv5SIpQNz,5,0
594253072932720640,2015-05-01 21:32:27,"Proud to see hs graduation rates continue to rise across #CA24, well above the statewide record high average of 80.8% http://t.co/tPxovXdnfR",4,2
594232526060789760,2015-05-01 20:10:49,It's #CollegeSigningDay! #ReachHigher &amp; pursue your education. Go @ucsantabarbara Gauchos &amp; @calpoly Mustangs! http://t.co/cfWKMKIDTy,8,14
593834719449518080,2015-04-30 17:50:04,ESAero from #CA24 was @ the @NASA Tech Day on the Hill to show tech which could improve aircraft efficiency &amp; safety http://t.co/iuVBwhXoyo,3,0
593526972581445632,2015-04-29 21:27:12,Thx to @JerryBrownGov for pushing CA to #ActOnClimate by reducing greenhouse gas emission by 2030. http://t.co/QDWXHEm4NP,5,2
593472404489396225,2015-04-29 17:50:22,Intro’ed a bipartisan bill w/ @RepDaveJoyce to improve patient care and support nurses in health care facilities. http://t.co/R3RBjlqZ2K,1,0
593082385341685760,2015-04-28 16:00:34,#LoveMustWin at #SCOTUS because freedom should include the freedom to marry who you love.,5,6
593063383303213056,2015-04-28 14:45:03,"Today is an important step toward equality. Today, #LoveMustWin.",3,1
592763154716733440,2015-04-27 18:52:03,Thx to @KEYTNC3JohnP 4 story on my 1st of its kind bill 2 halt offshore fracking until enviro impacts can be assessed http://t.co/Xug6a9voS8,2,0
592724871483916289,2015-04-27 16:19:56,Congrats to Loretta Lynch for becoming the second woman to be our nation’s Attorney General.,4,2
592445806227001345,2015-04-26 21:51:01,Offshore fracking should be halted until we gain a better understanding of its impacts: By @laraanncooper: https://t.co/pdO7dIqdtn,4,1
