id,created_at,text,retweets,favorites
601107278486450176,2015-05-20 19:28:37,It was great having @BoeckBillie shadow me in the office as part of #FosterYouthVoices. Best of luck for your future! http://t.co/GANO2KcjWo,7,6
601049606756110336,2015-05-20 15:39:27,Honored to host @gatesfoundation &amp; @ThousandDays for a powerful discussion to fight #hunger http://t.co/aCaQ9XIGcD,11,25
600781119315927040,2015-05-19 21:52:35,Eastern KS is leader in mental health issues through great work of @bertnashcenter. Read more about today's briefing: http://t.co/K5nA2Ml7oO,2,1
600780538845274112,2015-05-19 21:50:17,#MentalHealthFirstAid is critical to removing the stigma of mental health treatment &amp; helping those struggling w/ mental illness.,1,1
600780476576624640,2015-05-19 21:50:02,Hosted a briefing today on Capitol Hill w/ @DorisMatsui to raise awareness for #MentalHealthFirstAid http://t.co/UDrX6xhod8,5,2
600732513900822528,2015-05-19 18:39:27,Pleased Congress took serious steps to help put an end to human trafficking http://t.co/bhf7Uee6K7,3,5
600710408312377345,2015-05-19 17:11:36,At 1:30pm I am hosting a Mental Health First Aid briefing w/ @DorisMatsui &amp; the @nationalcouncil to raise awareness for #mentalhealth.,5,6
600660940430934017,2015-05-19 13:55:02,Listen LIVE as I speak now on how we are helping reform our #brokentaxcode to help businesses plan for the future http://t.co/uTYcUcs8yk,2,0
600651787465555968,2015-05-19 13:18:40,Businesses who can't plan ahead can't get ahead. Discussing plan 2 give businesses certainty needed 2 invest in US http://t.co/uTYcUcs8yk,2,2
600406913575211008,2015-05-18 21:05:37,Saeid Rezaie: Imprisoned for 7yrs b/c of his religion. Today we honor him &amp; other Baha'i prisoners #7Bahais7years http://t.co/flMannP8Fk,4,2
599988446971633665,2015-05-17 17:22:47,"Make sure 2 catch my weekly update on Iran, stopping @EPA's power grab &amp; more! Subscribe @ http://t.co/NRVtpPlPLZ 2 ensure you don't miss it",2,0
599302613767708672,2015-05-15 19:57:32,Pleased our amendment to the NDAA to de-list the Lesser Prairie Chicken passed. Watch my Floor remarks on the issue: http://t.co/JRRN0uHlOO,3,1
598981466996023296,2015-05-14 22:41:24,Speaking on the House Floor shortly on how having the lesser prairie chicken on the endangered species list hinders our national defense.,4,4
598603464177033217,2015-05-13 21:39:22,Today I was proud to vote to protect the unborn. #PainCapableUnbornChildAct http://t.co/yaWBxgV4rr,8,12
598554259525922816,2015-05-13 18:23:50,.@KS_WinningWomen does incredible work inspiring talented young women - thanks for inviting me 2 speak to them today! http://t.co/7WFOlANvNj,1,1
598546159980945408,2015-05-13 17:51:39,Watch my remarks on the House’s efforts to ensure our veterans have more opportunities for good paying jobs: http://t.co/okWxRozLTB,4,0
598546110538461185,2015-05-13 17:51:27,Unemployment rate 4 vets well above national average. That’s unacceptable &amp; an issue the House will address this week:http://t.co/okWxRozLTB,3,0
598537035046100992,2015-05-13 17:15:24,House’s actions yesterday will protect Kansans against further unnecessary &amp; inefficient federal regulation by @EPA http://t.co/3fTncRZvC4,1,3
598525772832362497,2015-05-13 16:30:38,"Very sad to hear Parson's favorite son, #KState alum &amp; NCAA coaching legend Bill Guthridge has passed away. http://t.co/P46cO5okgD",2,3
598479169811546112,2015-05-13 13:25:27,Speaking live at 10 about my #VeteransResourceFair &amp; what #NDAA does to help protect our soldiers &amp; veterans http://t.co/uTYcUcs8yk,2,0
598181286340120576,2015-05-12 17:41:46,Thank you to the brave men and women who work every day to keep our communities safe! #PoliceWeek http://t.co/1JCZGrwvcz,8,9
597871599711297537,2015-05-11 21:11:11,We must ensure our KS veterans know about &amp; can access all services they rightfully have earned #VeteransResourceFair http://t.co/GNea7QbI0t,2,1
597871497202552832,2015-05-11 21:10:47,Thanks again to all vendors &amp; veterans who attended my #VeteransResourceFair last Friday &amp; made it such a success! http://t.co/B0w6Txa3HW,2,1
596773222424702976,2015-05-08 20:26:38,Thank you to Allen &amp; Melissa on my staff for helping me put together another successful #VeteransResourceFair! http://t.co/NB8B4oQPjb,2,5
596714468849102848,2015-05-08 16:33:10,RT @MVP_org: Join us today at @RepLynnJenkins #Veteransjobfair at 3800 se Michigan Topeka KS #Veteransmatter http://t.co/dbsgLDUS2c,6,0
596704899334811648,2015-05-08 15:55:08,"My #VeteransResourceFair is on till 1:00 today @ the American Legion Post 1, 3800 SE Michigan Ave., Topeka - stop by! http://t.co/cujCO7Fd73",2,3
596680866887290880,2015-05-08 14:19:39,The #VeteransResourceFair is TODAY! VA service providers are available to assist our veterans. More information here: http://t.co/Mo2hbStj76,2,3
596032464147128324,2015-05-06 19:23:07,Had a great time touring CVR Energy today &amp; hearing about CVR's investment to improve their infrastructure http://t.co/MzcJhXdjHD,1,1
595627861400297473,2015-05-05 16:35:23,A job well done by the #2015CongressionalArtCompetition #DigitalWinner Isabella Carazzai from @TPSTWest! http://t.co/LCNDVAjBCP,5,3
595627372067561472,2015-05-05 16:33:26,Congrats to Alex Gourlay from @TPSTWest on a 4th place in the #2015CongressionalArtCompetition http://t.co/IiDN6wHo5j,3,2
595627089690292224,2015-05-05 16:32:19,Great work by Chloe Sotomayor from Lawrence High on finishing 3rd in the #2015CongressionalArtCompetition! http://t.co/fzhc31iDc8,0,2
595626923159617538,2015-05-05 16:31:39,Well done to Alexa Malik from Lawrence Free State High School on placing 2nd in the #2015CongressionalArtCompetition! http://t.co/AHV8KHYyuk,0,2
595626472859148289,2015-05-05 16:29:51,Congrats to Nina Friesen of Lawrence High on her 1st place finish in the #2015CongressionalArtCompetition! http://t.co/l3iIXN8HjS,1,3
595626308173967361,2015-05-05 16:29:12,I was pleased to announce the #2015CongressionalArtCompetition #Winners this morning at Lawrence High! http://t.co/cOcRORDYlv,1,1
595333868670078977,2015-05-04 21:07:09,"RT @RalphHipp: @RepLynnJenkins reminds you, the Veterans Resource Fair is this Friday from 9:30 till 1pm; Am Legion Post 1 at 3800 SE Michi…",2,0
595317288473108480,2015-05-04 20:01:16,Had a great tour of Timber Hills Lake Ranch in Mapleton! Folks from all over come to this beautiful ranch to hunt! http://t.co/P1VqHS6tJb,1,2
593807339003740160,2015-04-30 16:01:16,Thanks @ChuckGrassley &amp; @GOPSenFinance for your hard work on passing important legislation to expand #529plans: http://t.co/4dcik950Sp,2,0
593805958956060672,2015-04-30 15:55:47,We are now one step closer to helping families save &amp; plan ahead for the costs of attending higher education. https://t.co/V5MGRafz3y,2,0
593420118450929664,2015-04-29 14:22:36,Balancing the budget shows that Congress can make responsible decisions for our future &amp; the choices necessary to make our nation stronger.,4,3
593405829224738816,2015-04-29 13:25:49,Tune in at 10 AM to hear me discussing our budget that balances at the @HouseGOP Leadership Press Conference: http://t.co/uTYcUcs8yk,4,0
593087660194856960,2015-04-28 16:21:31,Voting closes TODAY @ 3:30 for the #2015ArtCompetition! Get involved &amp; vote on art by incredible KS High School-ers. http://t.co/ThyVrSBwxX,2,0
592717596904030208,2015-04-27 15:51:01,It was an honor to deliver the annual Dole Lecture at the @DoleInstitute of Politics yesterday hosted at @KUnews http://t.co/o4RYIWRPg2,2,6
591307788116221952,2015-04-23 18:28:57,Last 20 finalists in the #2015ArtCompetition! Head over to my FB page to check out the art &amp; vote on your favorite: http://t.co/9xRCmd0FFw,3,0
590997550259429376,2015-04-22 21:56:10,Great seeing @kstate_pres &amp; reps from my alma mater today! Always great to see @Kstate in DC! #emaw http://t.co/qMu0dtD1cB,2,2
