id,created_at,text,retweets,favorites
601371864351514625,2015-05-21 13:00:00,Happening now!  MT @HouseCommerce: View filed amendments for today's #Cures2015 markup and watch online HERE: http://t.co/ljXxgVhe8B,1,0
598600799887982592,2015-05-13 21:28:46,RT @VARbuzz: VAR CEO @Terrielsuit introduces @RepMGriffith &amp; @RepRandyForbes to Virginia #Realtors #NARLegislative http://t.co/6IT2Iz2ohH,5,0
595294376747732993,2015-05-04 18:30:14,Congressman Griffith's Weekly E-Newsletter 5.4.15 - http://t.co/ottfPpew7w,3,1
590892038503198721,2015-04-22 14:56:54,"VIDEO: Griffith Statement @ #SubEnergyPower Markup of Ratepayer Protection Act, to help combat #EPA overreach https://t.co/UHUP1MNFDq",5,0
590885475612807170,2015-04-22 14:30:50,RT @HouseCommerce: LIVE: #SubEnergyPower considers the Ratepayer Protection Act to protect consumers from skyrocketing electric bills -&gt; ht…,5,0
588078033438912513,2015-04-14 20:35:03,"Rep. Griffith, @BlumenauerMedia Introduce 'Compassionate Access Act' to Reschedule Marijuana &amp; CBD - http://t.co/yoePZTZ0x3",7,1
585183677660975104,2015-04-06 20:53:55,This Week's E-Newsletter -- A Message from Communications Director Andie Pivarunas - Touring Deep Mine #41 http://t.co/ohiI6YezAU,4,0
581098172535177216,2015-03-26 14:19:35,RT @HouseCommerce  WATCH: #SubOversight examines prescription drug &amp; heroin abuse from state &amp; local perspectives:http://t.co/k7IhNe8TvX,5,2
578275842356330496,2015-03-18 19:24:39,"Happy #AgDay to farmers from #VA09 and throughout the nation, and a big ""thank you"" for what you do! http://t.co/K934IoPW00",17,10
577881927136473088,2015-03-17 17:19:22,VIDEO: Rep. Griffith &amp; Obama's Harvard Law Prof Discuss Legality of New EPA Power Plant Plan  https://t.co/HEH7BeR4ka #SubEnergyPower,4,1
577835481221718016,2015-03-17 14:14:49,RT @HouseCommerce LIVE: #SubEnergyPower hears from Legal Experts &amp; State Regulators on @EPA's Clean Power Plan http://t.co/1GFGXxWdC5,2,1
577573576951373824,2015-03-16 20:54:06,Rep. Griffith's Weekly E-Newsletter 3.16.15 - http://t.co/ixZgzpYbGB,3,0
573192772494229504,2015-03-04 18:46:21,VIDEO: Rep. Griffith Discusses Modernizing America’s Electric Grid https://t.co/bF6QnYrIVk #SubEnergyPower,3,0
572895405559713793,2015-03-03 23:04:43,Rep. Griffith Statement on DHS Appropriations Bill - http://t.co/88axlVDQnD,5,1
572787843405365248,2015-03-03 15:57:18,Israeli Prime Minister @netanyahu will address a joint meeting of Congress at 11am today. To watch online: http://t.co/caK80yQBDJ.,4,1
572540297160331264,2015-03-02 23:33:38,"Rep. Griffith's Weekly E-Newsletter 3.2.15 - ""It's About the Rule of Law"" http://t.co/caK39p0ESo",0,1
572055343955632128,2015-03-01 15:26:36,VIDEO: Rep. Griffith Discusses Strategy to Fight President's Illegal Amnesty Plan on @upwithsteve  https://t.co/7UTpUpISzJ,5,0
571511555549999104,2015-02-28 03:25:47,"RT @MEPFuller: Brat, Rothfus, Meadows, and others. Morgan Griffith seems to be conveying some message. They're talking it over.",3,1
571004909128187904,2015-02-26 17:52:33,VIDEO: Rep. Griffith Defends GOP’s Health Care Alternatives to #Obamacare https://t.co/t60VZ1egQz #SubHealth,5,0
570669124914974720,2015-02-25 19:38:16,"VIDEO: Rep. Griffith Questions #EPA Administrator re: Proposed 111(d) Rule, Impact of Agency Policies, Etc. https://t.co/0OkiT5Z7Uk",5,1
570347818772094976,2015-02-24 22:21:31,Rep. Griffith Statement on President’s Veto of #KeystoneXL - http://t.co/HHpyVsZXyB #KXL #TimeToBuild,10,0
569968148352507906,2015-02-23 21:12:50,Rep. Griffith's Weekly E-Newsletter 2.23.15 - http://t.co/HssGJMZEbk,5,0
565638859879645184,2015-02-11 22:29:47,VIDEO: Rep. Griffith Discusses Mexican Coal &amp; EPA w/ Energy Secretary Moniz https://t.co/4QMat5gU1e  #SubEnergyPower,3,0
565618047109828608,2015-02-11 21:07:05,VIDEO: Rep. Griffith on Doctor Shortages and the ICD-10 Coding System https://t.co/Yfgr8MjpxO  #SubHealth,3,0
565565046974316544,2015-02-11 17:36:29,VIDEO: Rep. Griffith Discusses Need for Greater Federal Engagement in Suicide Prevention https://t.co/mdSc5CmTIY  #SubOversight,2,1
562684577911955457,2015-02-03 18:50:32,VIDEO: Griffith Discusses Flu Vaccine Production at #SubOversight https://t.co/Hd5S6iDxZj,7,0
562377439108956160,2015-02-02 22:30:04,"Rep. Griffith's Weekly E-Newsletter 2.2.15: #EndTrafficking, &amp; cosponsoring the Veterans Access to Community Care Act http://t.co/BCoEfn1ge3",6,1
560905355795103745,2015-01-29 21:00:32,"@VTFinch  Did not get the opportunity today, but have on numerous other occasions.",0,0
560819990925172736,2015-01-29 15:21:20,Thx for having me! MT @CheckElementary: It's not everyday a US Congressman teaches you about the Legislative Branch! http://t.co/GGawUC8808,7,2
560164723791241216,2015-01-27 19:57:32,"Joint @RepGoodlatte, Rep. Griffith Statement on Norfolk Southern Announcement - http://t.co/8JvzieqIXY",17,1
560163465906888706,2015-01-27 19:52:32,"RT @HouseCommerce: Follow along as @eccures next step, #Cures2015, begins in earnest. --&gt; http://t.co/ObCWQXS7NO",2,0
559851290449420291,2015-01-26 23:12:03,"Rep. Griffith's Weekly E-Newsletter 1.26.15 - http://t.co/49Ch8s9nVU.  TOPICS - Iran: Xerxes, Pericles, Obama, and Netanyahu.",6,0
558341740718227458,2015-01-22 19:13:39,VIDEO: Rep. Griffith Discusses Medicare Policies &amp; Responsible Tort Reform at #SubHealth - https://t.co/dC1l0jNmqg,5,0
557753986481401857,2015-01-21 04:18:07,"Rep. Griffith Responds to State of the Union - 
http://t.co/8ODPP2Pbxs #SOTU",6,0
555419192410009603,2015-01-14 17:40:29,Rep. Griffith Statement on Defunding Executive Action on Immigration - http://t.co/ly59evAEDg,7,3
554789621096538112,2015-01-12 23:58:47,"""Coal Keeps the Heat On &amp; Food on the Table"" - Rep. Griffith's Weekly E-Newsletter 1.12.15 http://t.co/fYiz2NVSuK",5,1
553593963719184384,2015-01-09 16:47:40,#KeystoneXL #TimeToBuild http://t.co/bpKnOP8vVh,6,5
553263613918867456,2015-01-08 18:54:59,"Rep. Griffith Saves $200,000+ of 2014 Office Budget - http://t.co/PdjOgpnEVL",5,3
552233432655613952,2015-01-05 22:41:25,Rep. Griffith Statement on Speaker of the 114th Congress - http://t.co/tzRHlAzQbV,6,2
544934878723444736,2014-12-16 19:19:34,Rep. Griffith to McAuliffe: “Do Not Carry On the War on Coal” http://t.co/ljaSNe8WYE #waroncoal #coalkeepsthelightson #VA09,7,3
542069787602747392,2014-12-08 21:34:43,Rep. Griffith's Weekly E-Newsletter 12.8.14 - http://t.co/5pfSDBpcBp Topics include the #ABLEact #ISIS #NDAA15,0,0
540189164252430336,2014-12-03 17:01:47,VIDEO: Rep. Griffith Discusses the Children's Health Insurance Program (CHIP) at #SubHealth Hearing https://t.co/03IqM5ziAj,1,0
539530823465447424,2014-12-01 21:25:46,"Rep. Griffith's Weekly ENewsletter 12.1.14- http://t.co/tsXlwv7Rg9 TOPICS: #Immigration – An Update, &amp; “The Most Expensive Regulation Ever”",1,1
536931556263493633,2014-11-24 17:17:13,"Rep. Griffith’s #VA09 STAFF will be holding office hours tomorrow, 11/25, in Dublin: http://t.co/naFxZzIOjq",1,0
535577954731184129,2014-11-20 23:38:29,Rep. Griffith statement in advance of Pres. Obama's executive action announcement - http://t.co/3QauLgmd3w #immigration,9,2
535093666776633344,2014-11-19 15:34:06,"""You Want Executive Action? Here’s Some Executive Action"" via @NRO - http://t.co/F5msYGkG2m",1,1
534821529545367553,2014-11-18 21:32:43,VIDEO: Rep. Griffith Seeks #Ebola Update from CDC Director Frieden - https://t.co/OqzgjBITfj @HouseCommerce #SubOversight,0,0
534479968391409664,2014-11-17 22:55:29,Rep. Griffith's Weekly E-Newsletter 11.17.14 - http://t.co/dzOLTkDXDa #VA09,1,0
532954177258143744,2014-11-13 17:52:32,"RT @HouseGOP: Pelosi today: Gruber who?
http://t.co/HGa6eprNOG

Pelosi in 2009: Jonathan Gruber is so right about #ObamaCare. #TBT
http://t…",277,0
