id,created_at,text,retweets,favorites
601049955457998848,2015-05-20 15:40:51,Just posted vote rundowns &amp; full text o/my push to end industry retaliation vs chicken farmers http://t.co/NkDOtYgUjV http://t.co/atAeeovbLm,11,18
600787485703168001,2015-05-19 22:17:53,Great event &amp; an honor to be included in such an accomplished list! https://t.co/XUUmuYEXVg,3,6
600709160691486720,2015-05-19 17:06:39,Great news--@NOAA has released much-needed early algal bloom forecasting for Lake Erie! http://t.co/zmyMaUAG4C http://t.co/qVrBG7JuaV,5,3
600681031511990272,2015-05-19 15:14:52,"Had to go to a secure room last week to read Top Secret #TPP deal. No phone, no notes, no copies allowed. Not good. http://t.co/l4OWMGjF4m",39,12
600661207641624576,2015-05-19 13:56:06,@BradDickenCT thanks for writing about this important issue! https://t.co/XFWTQTHXqN,4,6
600445892500574208,2015-05-18 23:40:31,Thanks for supporting this and spreading the word! https://t.co/Mtxh25XmMD,17,22
600395473782996992,2015-05-18 20:20:10,"Well said, thanks for your continued support! https://t.co/Hc8A4aYzN6",12,22
600346670967164929,2015-05-18 17:06:14,Agreed &amp; thanks for your continued support! https://t.co/FVywtvKH4f,8,28
600313043982143488,2015-05-18 14:52:37,More background from @sustainableag on my effort to stop the GIPSA rider &amp; protect chicken farmers from retaliation: http://t.co/EYpylS1MSY,17,19
600298000582316033,2015-05-18 13:52:50,Chicken farmers have the right to speak: https://t.co/xkM9lL0GT1. Warning: contents may be inappropriate for children &amp; Members of Congress,61,61
600290932274155522,2015-05-18 13:24:45,Thanks @iamjohnoliver &amp; @LastWeekTonight for putting a spotlight on retaliation against chicken farmers who speak out http://t.co/TVteupVYIq,44,59
598796769250652160,2015-05-14 10:27:29,"Visited secure room yesterday where Members can read Top Secret #TPP draft. No phone, no notes, no copies allowed. http://t.co/xnAj4TNeoE",162,66
598646213974556672,2015-05-14 00:29:14,RT @ToledoNewsNow: PIC: Congresswoman Kaptur upset with Republicans' vote to block EPA regulation of streams - http://t.co/NMkh7oNMtq http:…,14,0
598502047084838914,2015-05-13 14:56:22,"6 legislative days until Highway Trust Fund expires &amp; still no GOP plan. 660,000 construction jobs, 6,000 critical projects in the balance.",3,2
598211246773633024,2015-05-12 19:40:50,Yes! @SenateDems right to demand enforceable labor &amp; environmental standards &amp; ending unfair currency manipulation. https://t.co/tMyQWQ6kLO,7,3
596680392926752768,2015-05-08 14:17:46,Thanks for having me! https://t.co/tDSMdv1H5I,3,4
596667110455115776,2015-05-08 13:24:59,April job numbers show that little has changed for our long-term unemployed. My CCC bill would change that: http://t.co/GAVILFJKrU @BLS_gov,4,4
596341658544906240,2015-05-07 15:51:45,"Last year @PortofCleveland supported ~18,000 jobs, ~$2.4 billion in regional economic activity. Check out the stats! http://t.co/GUpZ4yRG64",5,3
596337754029608960,2015-05-07 15:36:14,"Thousands of jobs, billions in economic activity &amp; growing exports bringing Ohio products to Europe &amp; the world! https://t.co/Hvxxd5PdBe",0,1
596308969485926400,2015-05-07 13:41:51,"2015 shipping season off to fast start @portofcleveland! Export growth=great for N. Ohio jobs, industries &amp; economy. https://t.co/BmGJFqzNFw",2,1
596303840854544384,2015-05-07 13:21:29,Summer meals can make a big difference for thousands of NW Ohio families. Looking forward to May 30th kick-off! https://t.co/CYl2NOGiHq,4,4
596283853498490882,2015-05-07 12:02:03,Celebrating #SmallBusinessWeek with @SBAgov! Visit a small business in @CLE this week! #SBW2015,2,2
