id,created_at,text,retweets,favorites
601454882864824321,2015-05-21 18:29:53,.@CAEC_COOP met with me this week to talk about energy policies important to Alabamians. Thanks for your time http://t.co/ZEikO2aBnS,1,2
601428579474395137,2015-05-21 16:45:22,Thanks to all who came out this morning for the @AlfaFarmers breakfast. I appreciate all you do for Alabama! http://t.co/2KnhToXRAA,1,4
601206919265660928,2015-05-21 02:04:34,"Look who I ran into- Bob Michel, longest serving House Republican Leader &amp; President Reagan's point man in the House http://t.co/hbhrCqzydV",1,8
601136393356738561,2015-05-20 21:24:19,Appreciate Col. Tullos and her team from @MaxwellAFB meeting with me today to discuss a range of operations on base http://t.co/99T3RkDcR1,2,5
601121814723600384,2015-05-20 20:26:23,RT @orndorfftroyan: Cong Gold Medal recipient Lt Gen Chick Cleveland heard @MGMAdvertiser and gave me a high five. Fighter aces. http://t.c…,3,0
601121532086198272,2015-05-20 20:25:16,"I took this as Gen Cleveland began speaking, accepting the #CongressionalGoldMedal on behalf of American Fighter Aces http://t.co/19hYUW12es",3,3
601111911523057664,2015-05-20 19:47:02,"Montgomery's Gen. Charles ""Chick"" Cleveland now accepting the Congressional Gold Medal on behalf of Fighter Aces - http://t.co/w0GwQ85zSS",0,1
601103371932696578,2015-05-20 19:13:06,"Are you watching? Congressional Gold Medal ceremony honoring America's ""Fighting Aces"" is happening now: http://t.co/w0GwQ85zSS",0,0
601086892487106561,2015-05-20 18:07:37,RT @aldotcom: Alabama's 'Fighter Ace' Lt. Gen. Charles Cleveland receiving Congressional Gold Medal today http://t.co/rxg0BjBlxS http://t.c…,7,0
601086119053262848,2015-05-20 18:04:33,RT @yhn: Legendary Alabama fighter pilot awarded Congress’s highest honor http://t.co/OwFiMmt66r http://t.co/VZTOXTfDxO,12,0
601081442274258944,2015-05-20 17:45:58,... and Beverly Callaway!,0,0
601074128439873536,2015-05-20 17:16:54,Great to see Dean Argo &amp; Jennifer Ardis who stopped by last week to update me on the Delta Regional Authority http://t.co/SUPqrK7mD7,0,2
601043234413015040,2015-05-20 15:14:08,"At 2 pm CT, he and the Fighter Aces will receive the #CongressionalGoldMedal. I encourage you to watch on C-SPAN or http://t.co/w0GwQ85zSS",1,1
601042007029587968,2015-05-20 15:09:15,"America's Fighter Aces are the country's most distinguished fighter pilots, earning the title by downing at least 5 enemy aircraft in combat",1,0
601040971615318017,2015-05-20 15:05:09,He was kind enough to spend time with me and my staff and share stories about his service http://t.co/7jS7oYDddo http://t.co/i0UxiRhXRK,1,0
601039936846966784,2015-05-20 15:01:02,What an honor to have Montgomery’s “Ace” General Charles “Chick” Cleveland in my office this morning. http://t.co/NUjeuIIVWT,3,3
600766350487887873,2015-05-19 20:53:54,"Montgomery's ""Ace,"" Gen. Charles ""Chick"" Cleveland to be honored w/ Congressional Gold Medal http://t.co/OU3ohL4pq3 http://t.co/On4P4sfsvf",0,1
600746998392721410,2015-05-19 19:37:00,"Enjoyed visiting with the @powersouth team, who always keeps me informed on energy issues affecting Alabama http://t.co/g7T0IX24lQ",4,2
600721634408935424,2015-05-19 17:56:13,I'll be proud to honor Gen. Cleveland and be a part of this special ceremony. Watch live tomorrow at 2 pm CT: http://t.co/w0GwQ85zSS,0,1
600720077097455617,2015-05-19 17:50:01,Cleveland's command at @MaxwellAFB and support of Maxwell to this day make him an important part of our community https://t.co/Hp6joUl7ao,1,0
600718271101456384,2015-05-19 17:42:51,"Fighter Aces, like Gen. Cleveland, are aviators who helped win global conflicts by downing 5 or more enemy aircraft http://t.co/OU3ohL4pq3",2,1
600717173246525440,2015-05-19 17:38:29,"Tomorrow ""America's Fighter Aces"" and Alabama's own Lt Gen Chick Cleveland will receive the Congressional Gold Medal http://t.co/3ANmB6khHb",4,2
600683083935907841,2015-05-19 15:23:02,I'm thankful for the important work Southern Crop Production Association does for our state's agriculture community http://t.co/zEUmU6GlCe,0,1
600445526748700672,2015-05-18 23:39:03,"A long way to go in keeping our promises to our veterans, but these bills are a good step in that direction https://t.co/T8t7LDk8Fy",3,2
600444644879671296,2015-05-18 23:35:33,"Another bill requires VA Sec. to keep permanent record of written reprimands, admonishments an employee receives while employed by the VA",2,1
600443482893885441,2015-05-18 23:30:56,Too many service men and women struggle to find good jobs upon returning home. The Brave Act works to change that http://t.co/BVN9zEB8Ya,2,0
600442455612325889,2015-05-18 23:26:51,Today we voted on a number of important bills impacting our veterans. I encourage you to take a closer look http://t.co/mtrQPGt1BT,1,0
600412787576348673,2015-05-18 21:28:58,I appreciate @ALOilmen stopping by my office to update me on the work they do across our state http://t.co/IldLlXXhsb,2,0
