id,created_at,text,retweets,favorites
585197217226612736,2015-04-06 21:47:43,Friday is the deadline for this year's Congressional Art Competition. Rules and forms here: http://t.co/X7DJYvtu3S http://t.co/Ypfs90AbKB,5,1
583728874929926144,2015-04-02 20:33:03,Read my op-ed w/ @RepHuffman @repdesaulnier @RepSarbanes about giving power in elections back to individuals: http://t.co/33CqEmU3Ul,3,1
582986009559900160,2015-03-31 19:21:10,"Happy Cesar Chavez Day everyone!
¡Feliz día de César Chávez a todos!",3,0
581093454865920000,2015-03-26 14:00:50,RT @GainesOnBrains: .@RepMcNerney addressing @SfNtweets members before #SfNHillDay kicks off! http://t.co/ZILZuOGPgP,5,0
581093435752493056,2015-03-26 14:00:45,"RT @NeuroTexan: .@RepMcNerney (Math PhD) stressing the importance of advocacy. Explain science ""on a human level."" #SfNHillDay http://t.co/…",15,0
580409567697338368,2015-03-24 16:43:19,RT @EIAgov: Today in #Energy: #California first state to generate more than 5% of #electricity from utility-scale #solar http://t.co/e5skxK…,38,0
578706965565689856,2015-03-19 23:57:47,RT @MapLight: Tomorrow at 11AM: Talk #MoneyInPolitics w/ @JohnSarbanes @RepMcNerney @RepDeSaulnier &amp; more! Details here: http://t.co/WxS2ir…,7,0
578280723632750592,2015-03-18 19:44:03,RT @OfByUs: In Berkeley? Join @RepSarbanes and @RepMcNerney on Friday to talk about the Gov't #ByThePeople Act: http://t.co/elhv8b6RAe,5,0
573175281344753665,2015-03-04 17:36:50,RT @gridwisedc: In @HouseCommerce hearing @RepReneeEllmers and @RepMcNerney highlight #GridInnovationCaucus work on issues impacting #GridM…,7,0
572819607549050880,2015-03-03 18:03:31,"RT @DOE_SC_NSB: Tokay High School (Lodi, CA) will be returning to the National Finals of the NSB – congrats! http://t.co/u5z8spuNlE",4,0
566295846736920576,2015-02-13 18:00:25,"Let's work to end hate &amp; support strong families of all kinds. Familia es Familia, Family is family. #unidos4love http://t.co/Lt88puptBV",10,8
565554554578931712,2015-02-11 16:54:47,"I'm getting ready to question VA Sec McDonald on construction delays &amp; cost overruns at @HouseVetAffairs hearing, watch live on @cspan",3,0
563442446642995202,2015-02-05 21:02:02,"RT @theCaGuard: New Birds! The #CNG will unveil new #Chinooks on Monday @StocktonUpdates @RepMcNerney will be speaker
http://t.co/sDQlbQI9NQ",5,0
562409392805806081,2015-02-03 00:37:02,RT @RepJeffDenham: Great news for Valley vets: funding for French Camp in the President's VA budget. Here's my statement w/ @RepMcNerney ht…,5,0
562409168892878848,2015-02-03 00:36:09,The president heard our bipartisan call to fund French Camp clinic for our veterans - read more: http://t.co/6MoAfkA9pU w/ @RepJeffDenham,4,4
559212558117531648,2015-01-25 04:53:58,"@PUENTESCA thank you for having me, a great morning with some hard working volunteers. It was fantastic seeing what this community built!",0,1
558368727822237700,2015-01-22 21:00:53,RT @cbrangel: We proudly support #SLIDact to help ease burden of students who SLID into debt to pay for #education. http://t.co/MsvzHwnWjw,24,0
558350765098823680,2015-01-22 19:49:30,"Good news for South Stockton as @PGE4Me buys 138,000 sqft building vacant since 2007. Read story via @StocktonRecord http://t.co/52Stfd5Shf",3,1
557589568225304576,2015-01-20 17:24:47,Read the @rollcall op-ed I wrote with @RepReneeEllmers on updating our nation's electric grid for the 21st century. http://t.co/buV66fAzYG,4,0
555778975742824448,2015-01-15 17:30:08,"RT @alexbreitler: Polarized politicians: @RepMcNerney, other U.S. reps visit Antarctica http://t.co/L14tAIWyCm via @ZacharyKJohnson #Stockt…",5,0
555422840011644929,2015-01-14 17:54:58,Today's @WhiteHouse announcement on cutting #methane emissions will save millions of tons of wasted natural gas &amp; protect our air quality,3,2
542695703567679488,2014-12-10 15:01:53,"I am proud to cosponsor HR 4351, the Alzheimer's Accountability Act w/ @RepGuthrie - Let's all work together to #endalz",3,2
540651082276683776,2014-12-04 23:37:17,RT @RepGaramendi: Déjà vu all over again: House to pass #CAWater bill that would hurt #CA jobs &amp; environment: http://t.co/PFb32T4HIy http:/…,3,0
535482119175540736,2014-11-20 17:17:40,Pleased to demo @PGE4Me innovative plug-in hybrid repair trucks w/ @RepReneeEllmers - they save $ and curb emissions http://t.co/ZtdCeDtac7,9,2
534786827220451328,2014-11-18 19:14:50,"TY @SfNtweets for hosting me at #SfN14 this weekend. Amazing work being done for vets and others, I will keep supporting research funding",2,1
534773014613983232,2014-11-18 18:19:56,RT @WTOP: One mom makes it her mission to encourage girls to seek careers in science http://t.co/xCQZ5aV3ZH,3,0
533341076875382785,2014-11-14 19:29:56,"Nov. is #MilitaryFamilyMonth - @military_family, @DeptVetAffairs, @JoiningForces, @MyCalVet helpful resources for families of those serving",4,2
531903560649551873,2014-11-10 20:17:45,"Happy 239th birthday, Marines! @USMC Thank you for your faithful service to our nation.",1,1
531605669590618113,2014-11-10 00:34:03,Enjoying a beautiful day at one of our community's great parks- Black Diamond Mines Regional Preserve.  @ebrpd http://t.co/uYRpQru5AX,3,1
530453363365015552,2014-11-06 20:15:11,"Folks in Brentwood: My office comes to you Friday, 10am to 12pm at
Brentwood City Hall. Stop by and let my staff help with any fed issues.",1,0
527867206018035712,2014-10-30 16:58:43,Congratulations to @TriDeltaTransit - 2014’s Outstanding Public Transportation System. Very proud to have them in my district! @APTA_info,0,0
527550059043627009,2014-10-29 19:58:30,RT @CHP_GoldenGate: #free car seat checks by #CHP at any office. Please give yourself enough time and make the appointment early! TY http:/…,16,0
527487232761147392,2014-10-29 15:48:51,RT @RepDuckworth: FACT: 39% of private sector workers do not have a single paid sick day. We must expand access to paid sick leave to ensur…,167,0
526876325303562240,2014-10-27 23:21:19,"RT @RepBecerra: In 2013, 37.2 million seniors received free preventative services under Medicare. #ACAWorks!",116,0
525162914035269633,2014-10-23 05:52:50,"RT @CoCoHealth: Flu vaccine is here! Protect yourself and your family, and get a head start on winter today. http://t.co/3lWcxebpXr",4,0
524976185424764929,2014-10-22 17:30:50,"RT @RepLloydDoggett: Reward those who make it in America, not who take it from America &amp; renounce citizenship to avoid paying fair share ht…",59,0
524665551457886209,2014-10-21 20:56:29,"NEA announces $20k grants for libraries, colleges, community orgs &amp; others to encourage reading &amp; literacy. More @ http://t.co/263dRoV72Y",2,2
524538127918981120,2014-10-21 12:30:09,Next year’s max Pell Grant will cover smallest share of college costs in program's history. Dems have a better idea: http://t.co/1HqfrbYy9p,130,46
523905057956593665,2014-10-19 18:34:34,"War veteran needing assistance? @DeptVetAffairs runs 24/7 confidential Combat Call Center: 877-WAR-VETS. If you call, they can help.",4,2
523533726320721920,2014-10-18 17:59:01,I'm working with local officials &amp; hospitals to ensure we protect our residents and health care workers from #Ebola http://t.co/vECOsZxosD.,2,0
523278524212604928,2014-10-18 01:04:56,RT @COPacific: Many thanks to @RepMcNerney for taking the time to join us at our Latin American Studies Open House!  #PacificHC,3,0
