id,created_at,text,retweets,favorites
601148191631872003,2015-05-20 22:11:12,RT @hughhewitt: Audio/transcript of @RepMikePompeo on upcoming Sidney Blunenthal/Huma Abedin depositions: http://t.co/NRusww6awb,5,0
600747804349239298,2015-05-19 19:40:12,Read my latest op-ed for @RollCall - Science Is Best Hope to Feed the World Safely and Affordably: http://t.co/sqeJKSyydc,3,1
599240487308922883,2015-05-15 15:50:40,Honored to be a Medicare Advantage Champion. Thank you @protectmyMA for your dedication to this cause. #Voices4MA http://t.co/JZdFErASBV,6,7
598877144152985601,2015-05-14 15:46:52,Today the House takes up #Iran Nuclear Review Act which gives Obama a blank check to sign a dangerous deal with Iran: http://t.co/smu8Xjjniu,4,0
598605413194534913,2015-05-13 21:47:06,@ravngsofamadman Of course law enforcement benefits. Two attempted terror attacks in Kansas were stopped by FBI and local LE task forces.,2,1
598540798058221571,2015-05-13 17:30:21,RT @HudsonEvents: .@RepMikePompeo: Now is not the time for America to remove capacity of law enforcement officials fighting war on terror #…,4,0
598510078954708992,2015-05-13 15:28:17,Am speaking at @HudsonInstitute today at noon EDT on the need to reauthorize the #PATRIOTAct. Watch the event live: http://t.co/5i6hobYaRG.,5,1
595295877301936128,2015-05-04 18:36:11,"RT @securefreedom: Watch our compelling new ad on the Iran nuclear talks ""Why are the Mullahs Laughing?"" --&gt; http://t.co/NVpSjnSx4l",7,0
588079593636102144,2015-04-14 20:41:15,Obama foreign policy on full display: give the enemy everything they want and hope for something good in return. http://t.co/LN7H7Zg4IK,11,2
587982011844952064,2015-04-14 14:13:30,The Middle East is on fire. Get a rundown of my intel mission last week here: http://t.co/zOD5urbJJo.,6,3
587760351501926400,2015-04-13 23:32:42,Just heard the Administration's plan to deal with Iran's nuclear program - it is not so much a 'deal' as it is total surrender.,21,6
584679447510523904,2015-04-05 11:30:17,Let us rejoice in the celebration of Easter and pause in prayer to reflect on the notion that we are all part of something bigger than...,6,1
584093031617458176,2015-04-03 20:40:05,This framework agreement provides Iran the resources and green light to advance its nuclear weapons program: http://t.co/TCB4wTh6PJ,5,0
581129869700009984,2015-03-26 16:25:32,@RepLynnJenkins @WichitaStateMBB @KUHoops You are a class act Lynn!  Go Shockers! #WATCHUS,1,4
581123962303827969,2015-03-26 16:02:04,RT @RepLynnJenkins: .@RepMikePompeo as promised here is my floor speech congratulating the @WichitaStateMBB on their win over @KUHoops: htt…,6,0
