id,created_at,text,retweets,favorites
601114549513781248,2015-05-20 19:57:31,Always enjoy hearing from conservative commentator &amp; constitutional scholar @marklevinshow – thx for meeting today! http://t.co/JNFnXROCmW,4,4
601088847619948544,2015-05-20 18:15:23,RT @ulalaunch: #ULAMissionSuccess! #AtlasV successfully launches #AFSPC5 and CubeSats!  http://t.co/RPwSuNbElB http://t.co/TNn7Q4XBDC,37,0
600784719341551617,2015-05-19 22:06:53,"RT @paul_gattis: Rep. Mo Brooks: IRS, Justice Dept. should investigate Clinton Foundation
 http://t.co/p7a6xvQtKp",3,0
600783134582505472,2015-05-19 22:00:35,Joined @MarshaBlackburn &amp; 50 other House members asking the #IRS to investigate #ClintonFoundation tax-exempt status. http://t.co/ootIX2p9e9,1,4
600779760126566400,2015-05-19 21:47:11,RT @yhn: .@RepMoBrooks calls on IRS to investigate Clinton Family Foundation http://t.co/ZUL6AiEu7s http://t.co/I04cA9KXDy,10,0
599334390687227904,2015-05-15 22:03:48,"Pleased to support final passage of #FY16NDAA this morning, which includes several key achievements for N. AL. http://t.co/5S00BcDraI",0,1
599004796251668480,2015-05-15 00:14:07,Today is a great victory for Americans &amp; lawful immigrants who wish to serve America in our Armed Forces. #FY16NDAA http://t.co/LaOK0ZMmEZ,8,4
598993522595880960,2015-05-14 23:29:19,RT @RepGosar: I'm pleased to see the @RepMoBrooks amendment stripping an amnesty provision in the NDAA successfully pass the House https://…,7,0
598927967893495808,2015-05-14 19:08:49,"""Rep. Mo Brooks: NDAA Amnesty Amendment ‘Betrays Americans’"" via @BreitbartNews http://t.co/aflHYdUkuF",9,4
598923590415884289,2015-05-14 18:51:26,Thx to my friend and colleague @RepByrne for speaking in favor of my #NDAA amendment on House floor http://t.co/2XlV78t0IT,4,3
598903296204677120,2015-05-14 17:30:47,Today’s vote to strip @RepRubenGallego's amdt from #NDAA boils down to one question–do we support &amp; represent Americans or illegal aliens?,9,4
598902665800753152,2015-05-14 17:28:17,I urge the House to support my amdt to strike @RepRubenGallego’s language &amp; protect military service for Americans. http://t.co/SHYERysh9C,1,1
598901952114761728,2015-05-14 17:25:27,The #FY16NDAA as amended undermines America’s border security &amp; ratifies portions of Obama’s unconstitutional #amnesty for illegal aliens.,1,2
598901164269240320,2015-05-14 17:22:19,.@RepRubenGallego’s amdt takes military jobs from Americans who want and deserve to serve and gives them to DACA illegal aliens.,7,3
598895387143962624,2015-05-14 16:59:21,I’ve spoken out against &amp; actively worked to remove unconstitutional DACA language added in NDAA by @RepRubenGallego. http://t.co/1TmBGM3eGO,4,2
598889698271076352,2015-05-14 16:36:45,RT @NumbersUSA: House Committee allows floor vote on anti-amnesty @RepMoBrooks amendment https://t.co/hSCZe1YdHn,16,0
597887553690345472,2015-05-11 22:14:35,"Joined challenge of Obama's executive actions on #immigration, which threaten jobs &amp; wages for American workers. http://t.co/MYLyDxluwU",8,3
596807934081945600,2015-05-08 22:44:34,"Proud of the 13 exceptional scholars, athletes &amp; leaders selected as AL-05’s 2015 U.S. Service Academy appointees. http://t.co/eKd0gVg4qB",2,5
