id,created_at,text,retweets,favorites
601376822727745537,2015-05-21 13:19:42,Rand Paul is doing a disservice to the country and he's putting our national security at risk: http://t.co/3F7yezEFmb #NSA #Filibuster,5,1
601115293042221056,2015-05-20 20:00:28,"FYI 
http://t.co/4oXPBnnbXy",1,1
601091376038674432,2015-05-20 18:25:26,Rand Paul's rant on senate floor vs NSA more irrational than ever - very damaging to American security! Why does anyone listen to him?,26,26
601085190451105792,2015-05-20 18:00:51,Discussing Bin Laden documents on @FoxNews w/ @GretchenCarlson http://t.co/kwrXchRejO,0,0
601073716873814018,2015-05-20 17:15:16,Getting ready to discuss latest on ISIS and Iraq with @wolfblitzer on CNN at 1:20 http://t.co/ZD49bHoUjs,0,2
600695632735645696,2015-05-19 16:12:53,"By preventing local police depts from using military gear to protect communities, Pres. Obama is siding w political correctness not police.",4,11
599232121836871680,2015-05-15 15:17:25,Proud to provide our military w funding they need to protect our nation by voting for Nat'l Defense Authorization Act (passed House 269-151),2,6
598826238497595392,2015-05-14 12:24:35,Great OT victory by @nyrangers over the Capitals last night to complete comeback from 3-1 series deficit for the second straight season. #NY,5,7
598446725766852608,2015-05-13 11:16:32,Our thoughts &amp; prayers r w/ those who were killed &amp; injured on derailed DC to NYC #Amtrak train. I have taken that train many times. #tragic,11,10
597786754557542402,2015-05-11 15:34:03,This morning on @Morning_Joe I discussed the latest #ISIS threats. Watch: http://t.co/VnDUzvmsWE,3,3
597372010721714176,2015-05-10 12:06:00,Happy Mother's Day to all mothers and grandmothers. Enjoy the day.,6,10
596777125505445888,2015-05-08 20:42:08,Attended funeral mass for NYPD Det. First Grade Brian Moore this a.m. where he was rewarded with the eternal peace he so rightly earned. RIP,7,16
595278453928235010,2015-05-04 17:26:57,All good people mourn the tragic death of NYPD officer Brian Moore and pray for his family. Proud he was my constituent. RIP,56,55
595222589972283393,2015-05-04 13:44:58,Discussed brutal police shooting in NY &amp; liberal media's anti-police bias on @foxandfriends this morning. Watch: https://t.co/IBt0a0kaYX,9,4
595024088164249600,2015-05-04 00:36:12,I will discuss the liberal media's anti-police bias tomorrow morning at 8:15am on @foxandfriends.,9,7
594682681067188224,2015-05-03 01:59:34,Our thoughts and prayers are with the NYPD officer brutally shot tonight in Queens.,40,39
593881406964641793,2015-04-30 20:55:35,.@Newsday story on my reaction to @HillaryClinton's speech on race: http://t.co/qWQ367c2vG,5,2
593870091579727872,2015-04-30 20:10:38,Good luck to @FHSDalers students participating in U.S. Department of Energy National Science Bowl Finals this weekend. #nationalsciencebowl,4,5
593832702677221377,2015-04-30 17:42:03,"RT @Newsmax_Media: Peter King: Hillary 'Off Mark,' Gave 'False Narratives' in Race Speech  http://t.co/x87T7njHEK",4,0
593792367053971458,2015-04-30 15:01:47,RT @am970TheAnswer: Listen to @JohnGambling coming up at 11. Guests include @RepPeteKing @DominicTV @jonallendc Listen here http://t.co/87r…,4,0
592772088890556418,2015-04-27 19:27:33,I'll be discussing missile defense with @megynkelly tonight at 9pm.,3,0
591247458245697536,2015-04-23 14:29:13,Tragic that hostages were killed but strikes against Al Qaeda are vital. Gadahn was evil.,7,3
590927035087880192,2015-04-22 17:15:58,Urged strong support of cybersecurity legislation on House floor this afternoon: https://t.co/Uyk7l4lvPy,6,6
588085004581867520,2015-04-14 21:02:45,I'm a lead co-sponsor of bill 2 extend 9/11 healthcare. Will do all I can 2 get it passd 4 suffering cops firefighters &amp; construction workrs,14,21
587630436450492416,2015-04-13 14:56:28,RT @am970TheAnswer: Be sure to listen to @RepPeteKing coming up at 11AM. He's subbing for @JohnGambling. His guests include @BernardKerik &amp;…,6,0
587603261043171331,2015-04-13 13:08:29,RT @am970TheAnswer: Don't miss @RepPeteKing as he substitutes for @JohnGambling from 11am-1pm today.,6,0
586516924663734272,2015-04-10 13:11:46,S.C. police officer killing innocent man is disgraceful. But remember all those cops who do great job &amp; risk their lives for us every day.,14,18
586166278034980865,2015-04-09 13:58:25,".@JMfreespeech's ""The Story"" sets the record straight. A must read.",5,4
585106768050712577,2015-04-06 15:48:18,"This morning on @Morning_Joe, I discussed how the nuclear deal will institutionalize Iran as a nuclear power. Watch: http://t.co/EBAzMVJKHz",8,4
584386158479577090,2015-04-04 16:04:52,"Last night on @News12LI, I reacted to accused Queens terrorist's link to a Long Island Mosque: https://t.co/UMf9uuvXZG",5,5
581797702955970560,2015-03-28 12:39:16,Best of luck to @NotreDame against Kentucky in tonight's NCAA Elite 8 game. Coach Brey has done a terrific job this season. Go Irish!!,7,16
580780285287096320,2015-03-25 17:16:25,RT @Newsmax_Media Rep. Peter King Slams Obama as 'Reluctant Warrior' on Afghan Troop Reversal http://t.co/ijvGRD8YVb,5,5
580721867201372160,2015-03-25 13:24:17,Always enjoying sparring with @TheImusShow. Watch this morning's session: http://t.co/JY0H44sCSj,2,7
579999582744084480,2015-03-23 13:34:11,Discussed ISIS calling for execution of U.S. Military &amp; their family after posting their names &amp; photos online. https://t.co/Y2DQNNOGSZ,7,6
578336312878592000,2015-03-18 23:24:56,Good luck to my friend Tom Pecora. He did a terrific job and will in the future! @RealMichaelKay,10,12
578186245727236096,2015-03-18 13:28:37,"This morning on @TODAYshow, I discussed latest on Air Force veteran accused of attempting to join ISIS. Watch: http://t.co/V3bBSuxCCg",6,0
577912937454690304,2015-03-17 19:22:36,"With Pres. Obama, @SpeakerBoehner &amp; @EndaKennyTD on Capitol steps after Speaker St. Patrick's Day Lunch. http://t.co/DhBGEA9iko",10,16
577825279881670656,2015-03-17 13:34:16,Happy St. Patrick's Day. Meeting later today with Irish Prime Minister @EndaKennyTD.,5,7
576419548401954817,2015-03-13 16:28:24,"Discussed shootings of two police officers in Ferguson, Al Sharpton and other issues with @Newsmax_Media. Read here: http://t.co/mQxG1KAIun",5,4
576117962316328960,2015-03-12 20:30:00,Enjoyed meeting with 5th grade #GirlScout Troop from St. William the Abbot Church in #Seaford this afternoon. http://t.co/ZMenuQhyBi,6,3
575716506882949120,2015-03-11 17:54:46,Today I joined 2nd grade students at Idle Hour Elementary School in Oakdale to discuss how the federal gov't works. http://t.co/ixBU1YyN37,5,6
574936042995867649,2015-03-09 14:13:29,@TJ_Figueroa Not uncalled for. Very much appreciate your support.,0,1
573246577638281216,2015-03-04 22:20:09,RT @TheImusShow: Imus &amp; @RepPeteKing from this morning's show: http://t.co/PAXsFubhMV,5,0
572859075039346688,2015-03-03 20:40:21,The overwhelming vote to fund the Department of Homeland Security is a vote for sanity and a victory for America.,11,9
572822473382727680,2015-03-03 18:14:54,"PM #Netanyahu says of #Iran and #ISIS: ""enemy of your enemy is your enemy."" I agree completely.",23,13
572779356776493056,2015-03-03 15:23:35,Sanity is prevailing. http://t.co/K8OdUsKFgd,12,11
572092796674449408,2015-03-01 17:55:26,"There's an element within our party, a wing within Congress, which is absolutely irresponsible. No concept of reality http://t.co/vyCtSGJOnk",50,25
571482510120648704,2015-02-28 01:30:22,Not funding DHS is wrong politically b/c GOP blamed. Wrong morally b/c American lives @ risk 4 a political imperative http://t.co/gCwvd7yWKr,27,20
571373323529142273,2015-02-27 18:16:30,"RT @LukeRussert: Peter King (R-NY) told me today House #GOP was ""charging into the valley of death"" http://t.co/0ZmFojC3zp #DHSshutdown",71,0
571329264768970752,2015-02-27 15:21:26,I've had it with this self-righteous delusional wing of the party that leads us over the cliff. http://t.co/OtKqmIQHmu,446,283
570991953598406656,2015-02-26 17:01:04,RT @mitchellreports: In 2 minutes @msnbc: @RepPeteKing on homegrown terror &amp; approaching deadline to fund DHS. Plus: @Jonathan4NY &amp; @Richar…,10,0
570964268549578752,2015-02-26 15:11:04,I oppose what President did on immigration. But only people who r detachd from reality would consider not funding DHS http://t.co/6o6O6iEjdQ,44,30
570951993667276800,2015-02-26 14:22:17,On 22nd anniversary of the 1st WTC bombing let us never forget the six innocent people killed that day nor how evil Islamic terrorists are.,15,11
570707437243772928,2015-02-25 22:10:30,There r terrorist attacks all over world &amp; we’re talking about closing down Homeland Security. This is like living in world of crazy people.,357,244
570678325913513984,2015-02-25 20:14:50,"Today, I met w members of French Senate re: counter-terror. Discussed Paris attack &amp; U.S. homeland strategies. Assured them of U.S. support.",1,4
570367992166420480,2015-02-24 23:41:40,I hope there will be DHS funding deal by Fri. We shouldn't be playing Russian roulette w homeland security. Too risky http://t.co/XGmmBzrJwK,17,6
570218298186575872,2015-02-24 13:46:51,"If I have to vote against Republican leadership on cutting DHS funding, I will. I’m not going to see another 9/11. http://t.co/lZFIPi39Pb",46,32
569916974173720576,2015-02-23 17:49:29,We must increase security &amp; just as important get intelligence b/c if Al Shabaab make it 2 the mall they will succeed http://t.co/URvWdOkRry,17,4
569553070859935745,2015-02-22 17:43:28,"Joined @DianaWilliamsNY this a.m. to discuss radicalized Islamic extremists, the Obama Administration &amp; more. Watch:  http://t.co/kdFtokjJJ3",9,5
568477412553592833,2015-02-19 18:29:11,Our enemy is ISIS &amp; Islamist terror. There's always bad people in the world but the 1 who poses threat to us is ISIS http://t.co/kvs9Ps2ZvV,10,3
568108431594414080,2015-02-18 18:02:59,"Co-Sponsored legs w @RepJeffries 2 extend tax ded period 4 any1 contributing 2 families of murderd NYPD PO Liu, Ramos http://t.co/wIhEFvf5Zv",3,1
567700911414583296,2015-02-17 15:03:39,Pres Obama still refuses 2 call ISIS attacks Islamist terror. If we don't ID the enemy we're not going to defeat them http://t.co/YyIPZeWsz7,28,14
566668366082215936,2015-02-14 18:40:41,Terror attack in Denmark is another reminder of how vicious our enemies r &amp; why we must never let down our guard down. I will keep up fight.,17,13
565944156489793536,2015-02-12 18:42:56,rescue of elderly woman from a blazing fire in 2012. Both men are true American heroes. (3/3),4,4
565943895650230272,2015-02-12 18:41:54,"Massapequa, who was killed subduing the robber of a Seaford drug store in 2011, &amp; Bellmore Fire Chief John Curley who made daring (2/3)",2,3
565943528753479684,2015-02-12 18:40:26,"Yesterday, I was proud to take part in White House ceremony where Medals of Valor were presented to ATF Special Agent John Capano of (1/3)",1,5
564820330464948226,2015-02-09 16:17:15,Honored to have sworn-in N. Babylon resident &amp; Marine Corps reservist Larry Godoy to the rank of Master Gunnery Sgt. http://t.co/bu27avXJAm,6,10
563764242130939904,2015-02-06 18:20:44,Thks 2 Bayview Florist &amp; Montage in Massapequa Pk 4 supporting our police by offering blue bows 4 customers 2 display http://t.co/huT6WqG4Cm,6,7
563346589046296577,2015-02-05 14:41:07,Congratulations to @SenRandPaul on getting your booster vaccination shot - wish you continued good health. Hope it didn't hurt.,7,13
563096042246504449,2015-02-04 22:05:32,"Thanking Ella Williams of Amityville COMPASS Coalition, substance abuse prevent org, 4 group’s commitment 2 community http://t.co/CMKozgfvq3",2,6
563082108365971456,2015-02-04 21:10:10,"We thought the beheadings were as far as one could go. To go beyond that, to burning someone alive, this is savagery. http://t.co/2nLVB7EIx7",3,4
561290198622150656,2015-01-30 22:29:46,"Despite what the White House is saying, the Taliban are terrorists: http://t.co/FSd9Y6ZEsp",11,6
561170501431992322,2015-01-30 14:34:08,"Last night, I joined @megynkelly to discuss threat the 5 released Taliban prisoners pose to the United States. Watch: http://t.co/C9lPojjP2n",6,7
