id,created_at,text,retweets,favorites
601119538042765312,2015-05-20 20:17:20,@Stonyfield @benandjerrys @ChipotleTweets @patagonia agree on the #RightToKnow http://t.co/sbiuFS6fvL http://t.co/wXfpFhSg8C,0,3
601116892540043264,2015-05-20 20:06:50,What do baseball and the health care industry have in common?  Click here to find out: http://t.co/xh7BU8QhW5,2,0
600784029533757441,2015-05-19 22:04:09,The federal government’s tombstone mentality on earthquake preparedness must change. http://t.co/yQCJ8sSIrm,1,3
600702585192849408,2015-05-19 16:40:31,"Dear @USPS Postmaster General: don’t close more facilities and degrade service in Oregon, innovate http://t.co/0FPrI0HjOJ",7,5
600435535971229698,2015-05-18 22:59:21,"Today in the House, we passed a bill to permanently save Newport Air Station. Now on to the Senate for approval. http://t.co/KyQOn744o6",3,5
598510098928037888,2015-05-13 15:28:22,RT @TransportDems: RM @RepPeterDeFazio's statement on the Pennsylvania #amtrakcrash #amtrak188 https://t.co/e8582i0nEI,6,0
598260540834709504,2015-05-12 22:56:42,Good analysis by Dean Baker covering the flimsy economic arguments behind TPP: http://t.co/iQXCBbFJJU,4,1
598212131427885056,2015-05-12 19:44:21,"The truth is, this new TPP/fast track trade deal is the same as all the old trade deals. My response to @BarackObama http://t.co/yk4Gvjcjdl",9,8
597892196927459328,2015-05-11 22:33:02,"RT @TransportDems: @RepPeterDeFazio, @EleanorNorton Push for Joint Hearing on Options to Fund Long-Term Transpo Bill http://t.co/sTmWA2VOVz…",3,0
596340128928428032,2015-05-07 15:45:40,Trade: Not a Slam Dunk for Oregon @HuffPostBlog  http://t.co/YRzQLH6yno via @HuffPostPol,23,10
595317737142034432,2015-05-04 20:03:03,"Stood with Oregonians to tell the President #NoFastTrack for TPP, it's bad for workers, consumers and the environment http://t.co/eW0DQfwGnP",69,50
595292981780992001,2015-05-04 18:24:41,Talked w/@TravelLaneCo today about how investing in roads &amp; bridges stimulates local economic growth and development. http://t.co/Qbw6pM6HvA,1,4
595258002728431616,2015-05-04 16:05:41,Meet me today at 1:00p @Univ_of_Oregon and #SaveStudentAid! cc:@ASUO @LaneTitans http://t.co/1J3O72jyhr http://t.co/gXI4pWf7ZG,9,23
595243276518711296,2015-05-04 15:07:10,Help me #StopFastTrack TODAY 12:00p at Wayne Morse Plaza @ORFTC @ORSierraClub @OregonAFLCIO @steelworkers @Teamsters http://t.co/v3FWdyyuhX,14,7
595212753507328000,2015-05-04 13:05:53,"@SpeakerBoehner, let's take up a long-term surface transportation funding bill! Infrastructure investments grow the economy &amp; create jobs.",102,72
594247926584573952,2015-05-01 21:12:00,"Twitter
Join me Mon 5/4 at 12:00p for #NoFastTrack rally @ORFTC @ORSierraClub @OregonAFLCIO @steelworkers @Teamsters https://t.co/Jf9xh5K9bf",12,5
594227174460268544,2015-05-01 19:49:33,#LCCTitans! #UODucks! Will you help me #SaveStudentAid Mon. 5/4 @ 1:00 PM? cc:@Univ_of_Oregon @ASUO @LaneTitans http://t.co/1J3O72jyhr,9,7
594207690768961536,2015-05-01 18:32:07,"Thx @PDXBusinessAlliance now we only need 50,000 sq ft more for the House Floor—might inspire more productivity. http://t.co/hHA07lEZBJ",1,2
594207296567246848,2015-05-01 18:30:33,@pdxcarpet goes to Washington! http://t.co/UKjPbhQUr0,0,1
594161917339553792,2015-05-01 15:30:14,It’s unacceptable that any American working full-time would have to live in poverty. #Raisethewage http://t.co/RPQTdv0nd9,6,4
593421234496479232,2015-04-29 14:27:02,Still doubt #fasttrack was written BY and FOR corps like Monsanto? Check out the anti-GMO labeling provision http://t.co/feQjcHRWmR,60,34
591323460917456896,2015-04-23 19:31:13,Budget raiders beware: My plan protects Social Security trust funds from being used as a budget balancing gimmick http://t.co/tJLajnj0fU,6,11
591323402499186689,2015-04-23 19:31:00,Attn millennials: I intro’d a bill to #scrapthecap &amp; fund SocSecurity at least till you retire. #somedayyoullthankme http://t.co/tJLajnj0fU,17,17
590992866543017984,2015-04-22 21:37:34,Thinking of Satao and other tusker elephants this #EarthDay as I introduce a bill to stop ivory poaching: http://t.co/vfcEkt9Ox8,26,23
588801279943647233,2015-04-16 20:28:59,The new fast track bill is the same raw deal for American workers and the environment. #NoFastTrack http://t.co/u5nZVU921H,47,29
588416161139789824,2015-04-15 18:58:39,Thanks to the Oregon @steelworkers for speaking out against bad trade deals that undermine US workers #StopFastTrack http://t.co/OgMSupoSob,39,27
588415197984993281,2015-04-15 18:54:50,I proudly stood with American workers today to fight the same failed trade policies of the past 20 yrs #StopFastTrack http://t.co/rFYFB7TWVK,26,17
588159092142800897,2015-04-15 01:57:09,Glad to see $180M in funding for rural OR passed another hurdle in the Senate tonight. Next step: President's desk http://t.co/jL9o2lX0fS,3,1
588097861793013761,2015-04-14 21:53:51,It costs $269B to end the estate tax for the wealthy few. Why not invest in roads and bridges to benefit everyone? http://t.co/EGigg4XtBR,12,12
587985597672902656,2015-04-14 14:27:45,RT @rosadelauro: FACT: On average women earn 78 cents for every dollar a man earns. This Equal Pay Day we rededicate ourselves to the fight…,239,0
585899028593958919,2015-04-08 20:16:28,RT @portofcoosbay: Thank you @RepPeterDeFazio for letting us share with you the significance of investing in our infrastructure. http://t.c…,3,0
585572305834799104,2015-04-07 22:38:11,RT @BLMOregon: .@RepPeterDeFazio visited our Hinsdale Rhododendron Garden today -- more photos: https://t.co/RAbooznEZo http://t.co/NWaTsbO…,1,0
585443098265841665,2015-04-07 14:04:46,RT @repmarkpocan: FACT: Student loan debt surpassed $1 trillion over past 2 yrs. Let's pass #BankOnStudents bill that lets borrowers refina…,272,0
585183471410229248,2015-04-06 20:53:06,RT @TransportDems: RM @RepPeterDeFazio applauds @NTSB for issuing common sense recommendations to make rail cars safer. His statement: http…,5,0
583983165490012163,2015-04-03 13:23:31,RT @DailyBaro: DeFazio advocated for the elderly at the Center for Health Aging Research's 10th year anniversary event. http://t.co/JNfRDiD…,3,0
