id,created_at,text,retweets,favorites
553237583896264706,2015-01-08 17:11:33,"Thx for support, but Jobs &amp; Keystone is more important to me than a committee slot.  I’m voting Yes on Rule. http://t.co/X8uMfoiofu",36,20
152033499015168002,2011-12-28 14:29:45,ICYMI - My take on the payroll tax situation:  http://t.co/oqtz8fL4,6,5
96635118172651520,2011-07-28 17:36:22,Here's a clip of my statement at a press conference showing support for @SpeakerBoehner plan for the debt ceiling http://t.co/LDvbeaL,7,2
91584630884532225,2011-07-14 19:07:32,Evidently Leader Pelosi and President Obama are too busy to work with Republicans on a solution for the debt ceiling. http://t.co/oWzRGi8,29,7
89327884275167233,2011-07-08 13:40:01,"Check out @SenRubioPress floor speech from yesterday, http://t.co/jb22onw.  I agree 100% with him on needing to create jobs, not taxes.",16,0
88980748840865793,2011-07-07 14:40:38,"Not sure if you're following the story about this botched ATF gun running operation, but I'm pretty fired up about it:  http://t.co/izV1OAR",13,1
83179543732555776,2011-06-21 14:28:43,I posted new pictures on facebook of a recent trip to the Middle East and a tour of local businesses in Citrus County http://t.co/136Qxk8,2,0
73752830187536384,2011-05-26 14:10:19,I sent this letter to the editor responding to claims about Medicare. Time to start being honest about the problem:  http://bit.ly/mEIo6K,8,0
73742478368452608,2011-05-26 13:29:11,The scenes of devastation coming out of the Midwest are heartbreaking. Our thoughts and prayers are with you all.,0,0
73516371434151936,2011-05-25 22:30:43,The Senate rejected President Obama's budget by a margin of 0 - 97.  http://abcn.ws/iEUruZ,5,0
73390639601033217,2011-05-25 14:11:06,Mark up hearing on a bill I am a cosponsor of to eliminate the #EAC today.  Watch the hearing via webcast if you can http://1.usa.gov/kJYFA1,2,0
73070544760737793,2011-05-24 16:59:10,"Nearly 3700 contractors who recieved Stimulus money are suspected of cheating on their taxes. A bad program gets worse, http://bit.ly/mxIgRy",4,0
69080523988926465,2011-05-13 16:44:15,Here is a speech gave last night.  Let me know what you think about the decision made by the White House.  http://bit.ly/mIA1x3,2,0
68753388938080256,2011-05-12 19:04:19,Latest edition of our weekly newsletter is online.  This week it's about a remarkable WWII vet.  Great story.  http://bit.ly/jQ9OKU,1,0
68733105426542592,2011-05-12 17:43:43,Just got done debating the rule for consideration of the Intel Authorization bill.  http://bit.ly/j2rFQi,0,0
68000122482589696,2011-05-10 17:11:07,Today I had the honor of meeting representatives from the U.S. Army War College Class of 2011.  http://on.fb.me/kAWWov,1,0
56571658835738624,2011-04-09 04:18:29,"We've averted a shutdown, but a serious fiscal crisis remains:  http://bit.ly/dNF6X1",2,0
56074351954501632,2011-04-07 19:22:21,Just voted to keep the government from shutting down and make sure our men and women in the military are paid for the rest of the year.,4,0
56006372906643456,2011-04-07 14:52:14,On my way to the Senate steps to demand that Sen. Reid gets the Senate in gear and passes a spending bill so we can move forward.,0,0
55682581684944896,2011-04-06 17:25:36,"2 days before a governmentt shutdown and the President leaves DC, Dems force a vote to immediately adjourn the House...um...I voted no",3,0
55285104746037248,2011-04-05 15:06:10,Check out this three minute video.  Paul Ryan briefly explains his budget proposal: http://bit.ly/fIYsv6,4,0
54990782150610944,2011-04-04 19:36:38,"AG Holder announced that 9/11 conspirators would be prosecuted by the Military, blames Congress and Holder still thinks it is a bad idea.",0,0
50565753073704960,2011-03-23 14:33:09,"Today is the 1 year anniversary of ObamaCare being signed into law.  Touted as a fix to healthcare, but has been nothing short of a disaster",2,0
50299149249290240,2011-03-22 20:53:46,Thank you to the Library of Congress for bringing this exhibit to Hernando County.  Had a great time w/ the students  http://on.fb.me/hptsMf,0,0
50184445805854721,2011-03-22 13:17:58,Visting West Hernando Middle School and the Library of Congress Exhibit being shown there.  Only school in Tampa Bay region.,1,0
48041304130727938,2011-03-16 15:21:54,Republicans are meeting with business owners right now.  We are all talking about fostering an environment for job creation.  #pledge,1,0
47719457845551104,2011-03-15 18:02:59,"I was interviewed on FoxNews.com and spoke about my bill, ""Congress is Not a Career Act."" http://bit.ly/fxlMwP",2,0
47653527966859264,2011-03-15 13:41:01,"I will be on Fox Business News at 10am this morning.  If you are able to tune in, please do.",2,0
45967327530979328,2011-03-10 22:00:39,Just voted to return $8 Billion in unused TARP funds.  #pledge,6,0
45645362790285312,2011-03-10 00:41:17,"@SpeakerBoehner announced that the courts should decide the constitutionality of DOMA, not the President unilaterally - http://bit.ly/f9FxRv",3,0
45610263436738560,2011-03-09 22:21:48,"Here is a link to the clip to my interview with @YWCavuto where we discuss the ""Congress is not a Career Act."" http://bit.ly/eE43Y9",1,0
45594706876444672,2011-03-09 21:19:59,"Thank you to @YWCavuto for having me on to talk about my bill, Congress is not a Career Act.  Here is the bill, http://bit.ly/hoqoGm",8,0
45576991155560448,2011-03-09 20:09:36,"I will be on Fox News with Neil Cavuto at 4:03pm to talk about my bill, Congress is not a Career Act.  Tune in if you are able.",0,0
45133795808133120,2011-03-08 14:48:30,Washington Post Fact Checker slams Democrats' claims of meeting Republicans halfway on budget cuts - http://wapo.st/i7QzwP,4,0
43745158935744513,2011-03-04 18:50:33,The Florida Supreme Court ruled that Gov. Rick Scott has the power to not accept the federal money for High Speed Rail.,5,0
42997151869054977,2011-03-02 17:18:14,I am about to speak on the house floor in support of a bill on 1099 reform that will help small businesses,3,0
42598792465362944,2011-03-01 14:55:18,About to head to a hearing in House Administration. Hearing testimony from all House Committees http://bit.ly/kKRXb,2,0
42337590174679043,2011-02-28 21:37:22,The last living American veteran of WW 1 passed away this weekend.  His service to this country will never be forgotten.,4,0
37933259849601024,2011-02-16 17:56:08,US Immigration Agent was killed in the line of duty in Mexico.  Another agent was injured.  My thoughts and prayers go out to the families.,4,0
37641804551553024,2011-02-15 22:38:00,"Democrats are on the House Floor, basically filibustering spending cuts...",2,0
37634725145219072,2011-02-15 22:09:52,"President Obama has already threatened to veto H.R. 1 because it cuts too much, obviously he doesnt see how much of a problem we are facing",3,0
37602529156014080,2011-02-15 20:01:56,Debate on the Continuing Resolution has begun.  Fighting for the spending cuts that are needed to turn our economy around.  #pledge,1,0
37532934080692224,2011-02-15 15:25:23,"About to start a hearing about Military and Overseas voters in House Administration.  Watch the hearing live here, http://bit.ly/eqNK9F",0,0
37511244168691712,2011-02-15 13:59:12,"If you have a moment, please take  look at my statement about President Obama's Budget. http://bit.ly/eyUknL",1,0
37210590510317568,2011-02-14 18:04:30,Had a great time cooking Omelettes at Ridge Manor this past weekend.  Was happy to be back supporting a worthy cause. http://on.fb.me/ftPEG5,1,0
37164155194703872,2011-02-14 14:59:59,President Obama released his budget.  He underestimated the magnitude of the problem.  We need to be making real and significant cuts.,0,0
