id,created_at,text,retweets,favorites
600404654405644288,2015-05-18 20:56:39,Great morning visiting Berkshire Farms Market at @BostonLogan. Thanks to @Massport for bringing the 413 to the 617 http://t.co/1xObez7H56,4,5
598942945719537664,2015-05-14 20:08:20,I'll be on the @adamwrightshow on @WHYN560 tomorrow morning at 8:05 discussing @repjohnlewis visit to the area &amp; @ElmsCollege this weekend,2,1
598573504041197569,2015-05-13 19:40:18,Hosted @MassGovernor in DC today w/ rest of MA Delegation to talk state/federal issues #mapoli http://t.co/8t1LqJxRC7,3,1
597881308992446465,2015-05-11 21:49:46,Congratulations to Anya - her art will hang in the Capitol Building for an entire year on behalf of #CD1  https://t.co/Ctf0XucL0C,3,2
596379357762953217,2015-05-07 18:21:33,"Also in #Holyoke, planted a heritage birch tree at Lawrence School with help from @MayorMorse @aaronmvega &amp; @ppcnet http://t.co/MstuhaHLr6",4,3
596378218690646016,2015-05-07 18:17:02,"Toured Meridian Industrial Group in #Holyoke, precision manufacturing focusing on commercial, aerospace, &amp; defense http://t.co/iyjxPF66rn",0,2
595679860464492545,2015-05-05 20:02:00,I am proud to say I've been a supporter of #Medicare &amp; #Medicaid from the start http://t.co/3cK9s3D47U via @masslivenews,2,2
595646813920763905,2015-05-05 17:50:41,In #Longmeadow for groundbreaking at Jewish Geriatric Services &amp; awarding of a federal fire grant for fire dept http://t.co/bTAKe43pIl,0,1
595606968963833856,2015-05-05 15:12:21,RT @arneduncan: Teachers are unsung heroes of our society. Thank you teachers! #ThankATeacher #TeacherAppreciationWeek http://t.co/kYKwM2SK…,1754,0
590541447050489858,2015-04-21 15:43:47,Rice Fruit Farm in #Wilbraham has been rehabilitated and is reopen. Great work by the Maloni family. http://t.co/LzvoJ8R25r,2,0
590245301753110529,2015-04-20 20:07:00,I'll be on the @adamwrightshow on @WHYN560 tomorrow at 8:05am talking about the new #Opioid Overdose Reduction Act.,2,3
589116882583744513,2015-04-17 17:23:04,"Continuing the convo on #STEM at a lunch w over 100 local business leaders, advocacy groups &amp; my friend @JayAshEOHED http://t.co/YpMNhFe53h",2,2
589104711858544640,2015-04-17 16:34:43,Thank you to these groups for a great second #STEM panel #IntheBerkshires  https://t.co/CAF9fdcmn5,1,0
