id,created_at,text,retweets,favorites
601132596853153792,2015-05-20 21:09:14,Working with Panama Canal Caucus to ensure that Arkansas ports/ infrastructure are ready for new canal expansion. http://t.co/qCBr0zku4I,0,1
601080177867812864,2015-05-20 17:40:56,"@GarryAnthony42, nice catch! #1 on top ten this morning. I voted for you on best of the best everyone else should too http://t.co/RLXgqb0WlM",0,1
601029448071249920,2015-05-20 14:19:21,"innovation and cooperation are crucial in #agriculture, and new cooperative data sharing empowers our producers  http://t.co/MfnZCGWLwu",3,0
600756782907068416,2015-05-19 20:15:53,"The #EPA ups their fight for for #WOTUS through manufactured, contrived support campaign. http://t.co/tyeRBNETz5",1,0
599611577143271424,2015-05-16 16:25:14,#ArmedForcesDay http://t.co/pfQJU11f3s,5,7
599316117438525440,2015-05-15 20:51:11,Please take the time today to remember the sacrifices our officers and their families make every day. http://t.co/XznpVgGl4E,2,3
599212894782369792,2015-05-15 14:01:01,Saddened to hear of #BBKing's death last night. He gave a musical voice to the entire Delta region and beyond. He will be sorely missed.,5,5
598972385933598722,2015-05-14 22:05:19,I applaud the resounding passage (400-25) of the Iran Nuclear Agreement Review Act today in the House. http://t.co/AyEiPazQYc,1,3
598229395912949761,2015-05-12 20:52:57,Vote for Arkansas Fried Catfish on Roll Call's Taste of America! http://t.co/DZF47NPZ9n,2,0
596476292393992192,2015-05-08 00:46:44,"Today was the #NationalDayofPrayer. I hope you will be prayerful for our communities, our leaders, and our nation.",2,6
596473711018024961,2015-05-08 00:36:29,@PWay10 It was an honor.  Ed will never be forgotten!,0,0
596043067100164097,2015-05-06 20:05:15,“@capitalweather: Video: Drone captures exquisite views of Arkansas dust devil: http://t.co/qABd4AGpv7 http://t.co/0Q2teRqDg5” Awesome!,5,0
593155616547430400,2015-04-28 20:51:33,Congratulations to @SenTomCotton on a happy and healthy baby boy!,2,8
585818451521994752,2015-04-08 14:56:17,"RT @guardonline: Sun rays pierce through the clouds, illuminating the budding trees and rolling hills near Cushman. (by Kris Caraway) http:…",6,0
585541741731782657,2015-04-07 20:36:44,Find out what food in your fridge is #safefood with the FoodKeeper App! @WHO Android http://t.co/DbkZISS9pn  iOS http://t.co/otuc6c5A8y,1,1
583355942512775168,2015-04-01 19:51:09,"Arkansas lost a dedicated son today. As a champion of Arkansas values in Congress, we will all miss John Paul Hammerschmidt's leadership.",3,2
580809871764955136,2015-03-25 19:13:59,"RT @USArmy: National Medal of Honor Day: Today we honor the 3,493 recipients for their service above and beyond the call of duty http://t.c…",1124,0
580378733137113088,2015-03-24 14:40:47,RT @rustyjudge: Reps from @RepRickCrawford office in Greene Cnty Courthouse today until 11 am. Stop by for a visit. #arpx #Paragould http:/…,5,0
578213487639429120,2015-03-18 15:16:52,"Today is National Ag Day. Arkansas, producing about half of all U.S. rice, truly helps feed the world. http://t.co/r0hanZktxw",10,10
574380091779780609,2015-03-08 01:24:20,Don't forget to #springforward tonight. An extra hour of sunlight means Spring is around the corner!,6,2
573594634968002560,2015-03-05 21:23:12,RT @USArmy: MT @The_Old_Guard: Remember  our Soldiers are still carrying on with their duties today in @ArlingtonNatl! #snowday http://t.co…,405,0
573587011136851968,2015-03-05 20:52:54,RT @EntergyArk: One more from the frozen frontier of east Arkansas. This was in Osceola earlier today. http://t.co/fLWXsmo9od,8,0
573586411791761408,2015-03-05 20:50:31,RT @KATV_Weather: NEW… wind chill advisory in effect for northeast Arkansas tonight.  The “feels like” temperature will drop to 0 to -5 #AR…,9,0
573586254438252544,2015-03-05 20:49:54,RT @Mistywells0: @Region8News @ryanvaughan @AndrewWilsonWX @jloganwxguy  this is how we roll in Pocahontas Arkansas http://t.co/jnCLdEJz8A,5,0
573585990754942978,2015-03-05 20:48:51,RT @cabotsd: .@DrTCabot Go Cabot Panthers! Super job Mrs Martin from JHSouth! @KATV_Weather @CJHSPanthers http://t.co/CXcdnvQLHp,4,0
573500397320597504,2015-03-05 15:08:44,"Blue is snow, red is ice. Check http://t.co/z7ltgJuX4G for updates on road conditions in your area, be safe out there http://t.co/YGCKCteQDG",5,4
573497993179103232,2015-03-05 14:59:11,RT @ryanvaughan: I can't go home yet because the state highway 351 has not been plowed. County roads have... #arwx,5,0
