id,created_at,text,retweets,favorites
588381518566928384,2015-04-15 16:41:00,"150 years ago today, Pres. Lincoln was assassinated. Let us honor his legacy by working to restore national unity http://t.co/SuPPdykJRL",4,1
588019602409525250,2015-04-14 16:42:52,"Today is Equal Pay Day, but every day, women earn only 78 cents for each dollar men earn. We must ensure #equalpaynow",10,4
587652554378600448,2015-04-13 16:24:21,"Good news! Today, thanks to the Affordable Care Act, almost 90% of Americans have health insurance http://t.co/Did1WtZq6v",12,6
583653474237317122,2015-04-02 15:33:26,A big congratulations and thanks to Nathan Eckert for his dedication to conservation work at the Genoa Fish Hatchery http://t.co/PzeCIKxp6b,5,0
581125990455332864,2015-03-26 16:10:07,Thank you @NAMIC for honoring me with the Benjamin Franklin Public Policy Award http://t.co/MItRGk2QLp,6,4
580753365090635776,2015-03-25 15:29:26,We owe it to our veterans to provide better health care service. Today I introduced a plan to help do that: http://t.co/KGq2PZrpaX,4,3
580405697722114050,2015-03-24 16:27:56,I urge @GovWalker to put people before politics and accept medicaid expansion for Wisconsin families.  http://t.co/R3zSGagqD3,3,2
565589645380317186,2015-02-11 19:14:14,Visit http://t.co/Rthn5kn59k today to #GetCovered! The current open enrollment period for 2015 health coverage ends February 15.,8,4
563470293940043776,2015-02-05 22:52:41,Today I introduced my College Affordability Action Plan http://t.co/2Gdw1NXz4f,10,8
560206213888364545,2015-01-27 22:42:24,"On the 70th anniversary of  the liberation of Auschwitz, we remember and honor the victims and survivors of the Holocaust. #neverforget",10,9
559848460426674176,2015-01-26 23:00:49,"Sent a letter to Gov. Walker today urging him to pledge to veto any proposed ""Right to Work"" legislation. http://t.co/4us0Y8gPWp",14,10
559847171781324802,2015-01-26 22:55:41,"This weekend we commemorated the life and legacy of Winston Churchill, on the 50th anniversary of his death.",1,1
552955385678921728,2015-01-07 22:30:12,RT @HHSRegion5: #RDFalk with Congressman Ron Kind @repronkind encouraging La Crosse residents to #GetCovered by Feb 15. http://t.co/izBAtU6…,10,0
552922049514307584,2015-01-07 20:17:44,Looking forward to joining @JoyCardinShow on @WPR tomorrow (Thursday) morning at 7:00am. Please tune in if you have the chance.,5,2
547974781266440193,2014-12-25 04:39:03,Merry Christmas and Happy New Year! Hoping everyone is having a great holiday season.,7,5
544995630364786688,2014-12-16 23:20:58,Wishing a very Happy Hanukkah to everyone celebrating the beginning of the holiday!,2,2
543078882417836033,2014-12-11 16:24:30,"Went to the Civil Air Patrol ceremony, attended by La Crosse's own William Bruring. Thank you CAP for your service. http://t.co/UWXwkQVzxC",1,2
540964809479819264,2014-12-05 20:23:55,"RT @HouseNewDems: @RepRonKind speaks on tax extenders and calls for real, comprehensive tax reform in the next Congress: http://t.co/QV4dTx…",6,0
539912607768248321,2014-12-02 22:42:51,"The grant helps schools serve locally harvested food, boosting economy and giving students an appreciation for our agricultural heritage.",1,1
539911494516084737,2014-12-02 22:38:26,"Good news: WI gets $294,596 in USDA “Farm to School” grants including $99k for Sparta, Tomah, and Norwalk-Ontario-Wilton district students.",2,4
535566913636937728,2014-11-20 22:54:37,It’s National #RuralHealth Day! Let's celebrate the great work done by our rural health care providers in Wisconsin and across America.,6,2
535161104746688513,2014-11-19 20:02:04,"151 yrs ago, Lincoln gave the Gettysburg Address. Here's a photo of the Pentagon honoring Gettysburg hero Lt. Cushing http://t.co/tdfgG9DI52",3,2
534782391639101440,2014-11-18 18:57:12,"Entrepreneurs in America create jobs, lower deficits &amp; grow our economy. #EntrepreneursDay",4,0
534769879573098497,2014-11-18 18:07:29,"RT @HouseNewDems: #EntrepreneursDay is a time to celebrate the strivers, the doers, and the innovators who inspire us to reach higher. http…",6,0
533374280781004800,2014-11-14 21:41:52,Great news for Wisconsin agricultural exports! http://t.co/kYRiNHzNrk,2,0
532238284710510593,2014-11-11 18:27:50,"This #VeteransDay, please join me in saying Thank You to all the brave men and women who have served our country in uniform.",4,4
531840090356858880,2014-11-10 16:05:33,Happy 239th Birthday @USMC! Thank you #Marines for your service and courage.,2,0
530489009395732481,2014-11-06 22:36:50,"Today at the White House, WI's Lt. Alonzo Cushing was posthumously awarded the Medal of Honor for Civil War bravery http://t.co/cr58Ij7oGx",7,3
528259798513754113,2014-10-31 18:58:45,Enjoyed visiting Bethany on Cass in La Crosse. This American flag will fly during their Veterans Day ceremony. http://t.co/BUEfAhMUff,5,0
525738187466244096,2014-10-24 19:58:46,RT @SenatorBaldwin: It's National #BreastCancerAwareness Month. There's no better time to take control of your health. http://t.co/FU7sQfq4…,5,0
525682199287590912,2014-10-24 16:16:17,RT @RepGwenMoore: I wrote to @TheJusticeDept w/ @SenatorBaldwin @repmarkpocan @RepRonKind over #ElectionDay voter confusion/vigilantism htt…,5,0
521725436074926080,2014-10-13 18:13:31,Wishing a very Happy 239th Birthday @USNavy! Thank you to all who serve. #239NavyBDay,7,1
520591896771837952,2014-10-10 15:09:14,Check out this LinkedIn piece I wrote earlier this year about why we need to #RaiseTheWage http://t.co/GlW25dh08W,3,1
520581794308308992,2014-10-10 14:29:06,It’s National Minimum Wage Day! #RaiseTheWage to offer millions of Americans better opportunities for themselves and their families.,3,1
519910449778008064,2014-10-08 18:01:25,Listening Sessions in Trempealeau and Jackson Counties tomorrow (Oct. 9). For all the details visit http://t.co/kHEBz9Li9m,3,1
519213290728484864,2014-10-06 19:51:09,Incredibly sad to hear of the passing of @WPR's Mike Simonson. A true professional who I always enjoyed talking to both on and off the air.,2,2
519192668170354688,2014-10-06 18:29:12,Great news today for #MarriageEquality in Wisconsin!,8,5
517010388706422784,2014-09-30 17:57:36,Congrats to Westside Elementary School in River Falls and Fennimore Elementary School on being  National Blue Ribbon Schools for 2014!,6,1
512667433187160064,2014-09-18 18:20:15,Happy 67 birthday @usAirForce Thank you to all the men and women serving in the #AirForce,10,6
511615584384344064,2014-09-15 20:40:35,Here's a good read from some of my @HouseNewDems colleagues about making investments in workforce development  http://t.co/CA6CisAAt6,7,1
510150516534693888,2014-09-11 19:38:55,"Today, we remember those we lost on September 11, 2001, and the acts of heroism we saw on that day. http://t.co/LjYYN3zg1c",0,2
509806287778222082,2014-09-10 20:51:05,Honored to help assemble @the_USO care packs today for our troops. http://t.co/dXSmqqwCEf,2,0
507653280047321088,2014-09-04 22:15:48,Today's ruling is another step toward full equality 4 all Wisconsinites. Momentum is on the side of #MarriageEquality http://t.co/2FxRYm1MRO,10,5
507257555111137280,2014-09-03 20:03:20,Looking forward to listening sessions in Buffalo and Pepin Counties tomorrow! Full details at: http://t.co/kHEBz9Li9m,2,0
504728743664160769,2014-08-27 20:34:44,Great news: Wisconsin-born Civil War hero Lt. Alonzo Cushing will be posthumously awarded the Medal of Honor. http://t.co/IiDaWnH74U,4,3
501859219910688768,2014-08-19 22:32:16,"Great to visit @inlandlabel w/ @EximBankUS Chairman Hochberg, discussing job creation &amp; expanding markets. #Exim4Jobs http://t.co/OBDhlRcJvu",12,3
499198743829544961,2014-08-12 14:20:29,"RT @MikeFroman: Great day in WI w/@RepRonKind, talking w/local farmers&amp;biz about #export &amp;growth opptys under the Obama #trade agenda http:…",15,0
496722818735022080,2014-08-05 18:22:03,It's #StartUpDayAcrossAmerica. Startups create an average of 3 million jobs in America every year! #Innovation #Jobs,5,1
494979498547638273,2014-07-31 22:54:43,".@SenatorHeitkamp Thank you!  A critical issue for communities in Wisconsin, North Dakota and around the nation. #RESPONSEAct",6,1
494959824690757632,2014-07-31 21:36:32,Proud to stand with @SenatorHeitkamp to fight for the #RESPONSEAct helping first responders handle derailments http://t.co/yz3n6mpWv0,5,1
494568137590046721,2014-07-30 19:40:07,Proud to stand with @UFCW in fight to prevent the importation of goods made through child or slave labor. http://t.co/O0X6RHf98o,10,0
492766623636660224,2014-07-25 20:21:32,Last day to vote in the #HouseDems video contest for my message honoring the #CivilRightsAct.  Please like or share! http://t.co/7eHiibZ2Pi,6,2
492436060056879105,2014-07-24 22:28:00,My Civil Rights Act 50th Anniversary message is in a House competition for Best Video. Please like or share it today http://t.co/aZkRSMXWnj,6,0
492323312308350976,2014-07-24 14:59:59,RT @JuliaBrownley26: 5 years ago was the last time the minimum wage was raised. RT if you support Dem plan to put #MiddleClassFirst &amp; #Rais…,248,0
