id,created_at,text,retweets,favorites
601432707718053888,2015-05-21 17:01:46,"RT @amginatta: A call for compassion, for family values, for valuing children from @RepRoybalAllard. #EndFamilyDetention",6,0
601432623219646465,2015-05-21 17:01:26,"RT @GregChenAILA: .@RepRoybalAllard: ""For a country that prides itself on valuing families it's unconscionable"" that it would detain famili…",12,0
601432291789971456,2015-05-21 17:00:07,"RT @pwolgin: .@RepRoybalAllard: ""We are a country of compassion...and that must be reflected in how we treat these already traumatized chil…",3,0
601431403889348608,2015-05-21 16:56:35,"RT @americasvoice: .@RepRoybalAllard, in Spanish: ""It's true we are a nation of laws, but its also true we are a nation of compassion."" #Fa…",9,0
601431073189470208,2015-05-21 16:55:16,"RT @AILAExecDir: Yes. @RepRoybalAllard, family detention is, as you say, unacceptable. ""We believe in...decency."" #EndFamilyDetention",2,0
601430662369914880,2015-05-21 16:53:38,Led press conf today w/ @RepZoeLofgren &amp; @RepGutierrez about the need to end #FamilyDetention. Watch my statement at https://t.co/FiUe0CaLKQ,5,0
601379679862403073,2015-05-21 13:31:03,Leading press conference urging end to #FamilyDetention w/ @RepZoeLofgren &amp; @RepGutierrez at 10AM ET. Watch live at: https://t.co/RRgDo1QrdE,13,7
601156293861179392,2015-05-20 22:43:24,.@SecretaryCastro briefed our House Dem Poverty Task Force on @HUDgov's work to end poverty &amp; expand housing access. http://t.co/QGC6ACnxam,0,4
601134554183774210,2015-05-20 21:17:00,"I'm proud to stand #WithStrongGirls everywhere &amp; to fight for their economic, social, and legal equality. #Strengthie http://t.co/OPfVADr8Lr",25,30
600770865505116160,2015-05-19 21:11:50,"Thanks, LA City Council, for voting to #RaiseTheWage! A $15 minimum wage is critical to helping Angelenos make ends meet. #RaiseAndEnforce15",15,10
600766191007834112,2015-05-19 20:53:16,"Cada día que la #accionejecutiva del presidente es retrasada nuestras familias, comunidades, y negocios sufren. #Fight4DAPA #Fight4DACA",6,2
600765913567223808,2015-05-19 20:52:10,"Every day the President's #ImmigrationActions are delayed, our families, communities, and businesses suffer. #Fight4DAPA #Fight4DACA",3,1
