id,created_at,text,retweets,favorites
601085973229936640,2015-05-20 18:03:58,@niceup_ You got my support.,0,0
601085831584030720,2015-05-20 18:03:24,@GeoffBurgan Have fun next winter!,1,0
600800788668112896,2015-05-19 23:10:45,Need to run a Congressional office? Hire some @UofCalifornia students and alumni. Worked for me! #UCDay http://t.co/piEa6oikkP,7,11
600784724525785088,2015-05-19 22:06:55,Find out why @MtMadonnaSchool students are being honored by the @WhiteHouse for saving #SeaTurtles http://t.co/vwWJTIQ8bF #StowItDontThrowIt,3,2
600782847830523904,2015-05-19 21:59:27,"Skyped w/ @MtMadonnaSchool, congratulated them on their @WhiteHouse environmental award. That touch of home brightened up my day here in DC.",2,3
600750787745026049,2015-05-19 19:52:03,"¡Nuestras familias merecen dignidad, no ataques anti-inmigrantes en su contra! #Fight4DAPA",6,4
600750660766699521,2015-05-19 19:51:33,Our families deserve dignity not anti-immigrant attacks against them!  #Fight4DAPA http://t.co/O9kQKefv2V,5,3
600678044831977472,2015-05-19 15:03:00,"RT @RepBecerra: Cada día que las acciones ejecutivas de inmigración están bloqueadas, nuestras familias, negocios, y comunidades pierden #F…",119,0
600676006240899072,2015-05-19 14:54:54,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600666002096005121,2015-05-19 14:15:09,"@NewportGal Don't worry, as the top Democrat on the Ag Approps subcommittee I have supported Marcy every step of the way.",4,2
600665408799113216,2015-05-19 14:12:47,@MonsterBliss On the side of the chicken farmers. Have supported @RepMarcyKaptur every step of the way.,4,3
600665128602841090,2015-05-19 14:11:41,"@sandydetellis Don't worry, I got @RepMarcyKaptur's back on this. Always have and always will.",2,1
600424432469975041,2015-05-18 22:15:14,Lots of tweets about chickens thanks to @LastWeekTonight. Glad they raised the issue &amp; I am w/ @RepMarcyKaptur http://t.co/i5gVjgEJdF,3,12
600418515280080897,2015-05-18 21:51:43,"@HSU_Alexjoy Don't worry, I support letting the farmers speak out. Have voted that way every year it's come up.",3,2
600396580131360768,2015-05-18 20:24:34,Thank you Head Start for providing 50 years of opportunity! #HeadStart50 http://t.co/2ygV43xuSX,2,1
600377044321591297,2015-05-18 19:06:56,Did you watch @LastWeekTonight? Learn more about the issue and see why I stand with @RepMarcyKaptur. https://t.co/XKdPE9KXtP,5,14
600376796027158528,2015-05-18 19:05:57,@Madyuch Always supported @RepMarcyKaptur on this and will keep doing so. Thanks for the tweet.,0,1
600363464985567234,2015-05-18 18:12:58,"@mimiteller Agree, which is why I support @RepMarcyKaptur's amendment.",0,2
600363265932324865,2015-05-18 18:12:11,@ChaseEdmondson I got @RepMarcyKaptur's back. Always supported her on this.,0,2
600363072780431360,2015-05-18 18:11:25,"@AP_Canakz Don't worry, I have always stood w/ @RepMarcyKaptur on this.",0,2
600362738431467520,2015-05-18 18:10:05,"@CreepinItTrill Don't worry, I stand with @RepMarcyKaptur.",0,1
600362006185648128,2015-05-18 18:07:11,"I am w/ @RepMarcyKaptur, let chicken farmers speak! 

(So please leave my wiki page alone @iamjohnoliver.) https://t.co/frVERplI2d",6,6
600340245201158145,2015-05-18 16:40:42,"RT @POTUS: Hello, Twitter! It's Barack. Really! Six years in, they're finally giving me my own account.",281966,0
600332324463616000,2015-05-18 16:09:14,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,141,0
599293835592740864,2015-05-15 19:22:39,Thank you all the brave men and women who protect and serve our community. #PoliceWeek http://t.co/8AWGD4XMMV,1,5
598931630229708801,2015-05-14 19:23:22,Add to @SpeakerBoehner's shame: Supporting a budget that leaves #veterans programs severally underfunded. #FY16NDAA  https://t.co/vGU1IRXBXg,7,1
