id,created_at,text,retweets,favorites
600767665267957761,2015-05-19 20:59:07,RT @ThePlumLineGS: Crucial context in TPP debate: House Dems have supported past free trade agreements:  https://t.co/udKhlvn7Fo,11,0
600303464384716800,2015-05-18 14:14:33,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,142,0
598919667613306880,2015-05-14 18:35:50,RT @SecBurwell: New data point → 137M Americans have access to free preventive services. http://t.co/uEce9EUHLf,85,0
598853925941452801,2015-05-14 14:14:36,RT @WaysMeansCmte: LIVE on #Periscope: Rep Sander Levin update on trade at the National Press Club https://t.co/rc75rj0qDC,6,0
598231260197158912,2015-05-12 21:00:21,#TPA is facing opposition today because concerns about #TPP have been ignored → http://t.co/XWM8DR3oOx,21,10
598121207217664000,2015-05-12 13:43:03,"RT @repblumenauer: There are just 7 legislative days until Highway Trust Fund expires. @HouseGOP, end the dysfunction &amp; bring us a bill. ht…",98,0
597815341864071168,2015-05-11 17:27:39,RT @WaysMeansCmte: An Open Letter to Progressives: #TPP Is Not Yet 'The Most Progressive Trade Agreement in History' - @repsandylevin http:…,12,0
597767518837731328,2015-05-11 14:17:37,"RT @RepRickLarsen: With 8 legislative days until Highway Trust Fund expires, @HouseGOP has yet to put fwd bill to continue building America…",94,0
595676394010607617,2015-05-05 19:48:14,"RT @RWhelanWSJ: Who's really trying to rewrite the rules of global trade? Democrats like Sander Levin, not China, @bobdavis187 says: http:/…",15,0
595597822487097345,2015-05-05 14:36:01,RT @WaysMeansCmte: Who Is Really Trying to Rewrite the Rules for #Trade? http://t.co/AqWM1z0KcL http://t.co/Ew7jLOQkdz,12,0
593065361941123072,2015-04-28 14:52:55,RT @RepJaredPolis: Equal protection under law must rule the day. Time for SCOTUS to affirm every American's right to marry who they love. #…,291,0
592723073830416385,2015-04-27 16:12:47,"RT @RepBecerra: .@HouseGOP time to help hardworking Americans save for a home, college &amp; retirement. No more breaks for billionaires! http:…",100,0
591594453732851713,2015-04-24 13:28:03,"RT @RepBrendanBoyle: We should fight for all Americans, not just ultra-wealthy. @HouseGOP wants to grow our deficit w HUGE break for top .2…",56,0
591256200320307200,2015-04-23 15:03:57,"You can’t get a good deal if you are not seeking the right things. → http://t.co/m44l5csXVV
#TPP #TPA #Trade",17,7
591234991687933952,2015-04-23 13:39:41,"RT @RepJohnYarmuth: RT if you agree: Instead of handing billions to the top 0.2%, @HouseGOP should fight for hard-working families! http://…",190,0
591026693831315456,2015-04-22 23:51:59,@SpicyDemocrat @ThePlumLineGS @BlegahsMom here is the summary &amp; full text of the substitute amendment- http://t.co/X00K1EqK5H.,3,4
591018270129582080,2015-04-22 23:18:30,"It's an amendment that will garner broad, bipartisan support in #Congress. #TPP #TPA  https://t.co/LqFdEgPaK7",13,8
590973789808263171,2015-04-22 20:21:45,Here is my substitute to #TPA. It will move #TPP off the #FastTrack &amp; put it on the right track → http://t.co/X00K1EqK5H,19,11
590876106162577410,2015-04-22 13:53:36,RT @GKButterfield: Loretta Lynch is capable &amp; deserving of confirmation as America's next AG. I urge my GOP colleagues in the Senate to #Co…,144,0
590544775029334017,2015-04-21 15:57:00,"While @HouseDemocrats champion plans to cut taxes for working families, GOP continues to fight for the ultra-wealthy→ http://t.co/B5EqO87bSK",10,5
590503890321289216,2015-04-21 13:14:33,"RT @keithellison: .@HouseGOP, let's invest in America's hard-working families instead of giving away billions of dollars to the top 0.2%.",102,0
590156068447199234,2015-04-20 14:12:25,RT @repjoecrowley: FACT: @HouseGOP has spent this entire Congress blowing up the deficit w/ unpaid-for tax giveaways overwhelmingly tilted …,132,0
