id,created_at,text,retweets,favorites
601388655022858240,2015-05-21 14:06:43,Today @RepFitzpatrick and I are holding the 2nd hearing of the Task Force to Investigate Terrorism Financing. Tune in http://t.co/9V1QAHhcsL,7,3
601062289631027200,2015-05-20 16:29:51,RT @FSCDems: @RepStephenLynch: What you're suggesting is unilateral surrender to countries with their own [versions of] #ExIm. #ExIm4Jobs,1,0
601062205887492096,2015-05-20 16:29:31,I want our jobs to stay in the U.S. We cannot drop our hands &amp; stop fighting for American jobs which is what eliminating #ExIm bank would do,2,0
601061991466332160,2015-05-20 16:28:40,"With 17 legislative days until #ExIm bank expires, I'm talking about its importance at today's @FSCDems markup. http://t.co/TUBJDnqX17",5,2
601042943760293888,2015-05-20 15:12:59,Thanks #MA Rural Letter Carriers' Association for stopping by to talk postal reform &amp; preserving 6 day mail delivery. http://t.co/2anBl9y9LR,1,3
600398718165250052,2015-05-18 20:33:03,"As we mark #HeadStart50, I'm proud to support strong early childhood education for children in #MA08 and across the country.",3,1
600360916136370176,2015-05-18 18:02:51,RT @THE_PFFM: Great turn out at our Legislative breakfast. Thank you @RepStephenLynch for attending. #WeSupportThoseWhoSupportUs http://t.c…,3,0
600307321743499264,2015-05-18 14:29:53,RT @Botticelli44: Meeting with Boston Metro Fire Chiefs this AM to discuss #overdose #prevention with @SenMarkey @RepStephenLynch @RepKClar…,16,0
599637797150949377,2015-05-16 18:09:26,Fun afternoon at #TasteofHingham. An excellent selection of local restaurants and businesses. #Hingham http://t.co/rmERL1HhgX,2,6
598964269636542465,2015-05-14 21:33:04,"RT @emschiefs: Thank you, Congressman Lynch and co-sponsors, for introducing a bill to establish a National EMS Memorial in DC!
http://t.co…",4,0
598938165299310592,2015-05-14 19:49:20,Isabelle Xu of #Westwood won the #MA08 2015 #CongressionalArtCompetition. Her art will be displayed in the @uscapitol http://t.co/flzYtGktpv,1,3
598864470526533632,2015-05-14 14:56:30,H.R. 2274 will create a memorial in D.C to honor the service and sacrifice of our nation’s #EMS providers. http://t.co/5SX3jepm4O,5,3
598573245026213889,2015-05-13 19:39:17,RT @MassGovernor: Shared lunch with the Massachusetts federal delegation in Washington today to discuss issues facing our state. http://t.c…,14,0
598118955497222146,2015-05-12 13:34:06,RT @HeraldRadio: Thrilled to be joined by  @RepStephenLynch in studio. Listen and Watch live http://t.co/9WN9JADaSE and @1510wmex,3,0
598114420410036224,2015-05-12 13:16:04,I'll be in studio at @HeraldRadio at 9:30 AM to talk current events. Listen live online http://t.co/7HkfRbmv3s,3,0
597933480253759490,2015-05-12 01:17:05,Also attended #Norwood Town Meeting to share what #Congress has been up to and how it will impact local communities. http://t.co/iz3DSCfwl3,5,1
597931747813240832,2015-05-12 01:10:12,"Great to catch up with constituents at tonight's #Canton Town Meeting, especially the civically engaged students. http://t.co/RJzu3J6Ulq",1,6
597515212921675777,2015-05-10 21:35:02,Wishing the mothers in #MA08 and around the world a very #HappyMothersDay!,1,3
597213015801475072,2015-05-10 01:34:13,RT @BostonSquadron: Thanks @RepStephenLynch for coming to our open house and presenting us with the American flag flown over the Capitol! h…,8,0
597162564469010433,2015-05-09 22:13:44,Appreciate patriotic service of officers &amp; staff of our Civil Air Patrol. Great to visit the Boston Cadet Squadron! http://t.co/eiNXNelpnz,9,7
596149333403312129,2015-05-07 03:07:31,RT @TownofWalpole: @RepStephenLynch paying tribute to those from #Walpole serving as officers in our armed forces. More tributes to @Jon_Ro…,3,0
596149268055982080,2015-05-07 03:07:16,RT @TownofWalpole: @RepStephenLynch is in the building for night two of spring town meeting for an update from Washington. #Walpole http://…,1,0
596096840732450816,2015-05-06 23:38:56,Great to catch up with constituents in #Stoughton at tonight's Town Meeting. Appreciate the opportunity to stop by! http://t.co/XZpCpKgKJI,1,3
596095605195288577,2015-05-06 23:34:01,RT @StoughtonMARec: Special thanks to @RepStephenLynch for attending Town Meeting tonight to update us in person on progress in Washington …,4,0
595615129347215362,2015-05-05 15:44:47,.@GenDunford has the perspective &amp; experience necessary to serve as Chairman of the Joint Chiefs. Congrats on the well-deserved nomination!,4,1
595399899526656000,2015-05-05 01:29:32,Stopped by the Town Meetings in #Hull and #Milton tonight. Thank you for letting me share an update from #DC. http://t.co/0lH6Cn99lw,3,3
594511221933518848,2015-05-02 14:38:15,Kicked off the #Cohasset Little League season by throwing out the first pitch. #PlayBall http://t.co/TUehEQuLeW,9,6
594182021364219904,2015-05-01 16:50:07,"RT @RepDennyHeck: With only 25 legislative days until Ex-Im Bank expires, @HouseDemocrats are moving to force a vote to save #ExIm4Jobs htt…",56,0
