id,created_at,text,retweets,favorites
601053377850712068,2015-05-20 15:54:26,House passed the Justice for Victims of Trafficking Act to combat #humantrafficking. Bill goes to @POTUS for his signature. #EndTrafficking,3,0
600405534307655681,2015-05-18 21:00:09,Congrats to all the @SDSU students who graduated over the weekend. The future is yours! #SDSUGrad,1,3
600365403110580224,2015-05-18 18:20:41,#HeadStart serves over 10K kids in San Diego County. It’s a critical investment in our nation’s future! #HeadStart50 http://t.co/SID4I7DlwS,4,2
599238840264445952,2015-05-15 15:44:07,It’s Nat’l Women’s Health Week &amp; the #ACAisWorking. Being a woman is no longer a preexisting condition &amp; mothers have maternity care. #NWHW,2,3
598974807657488386,2015-05-14 22:14:57,Highway Trust Fund runs out in 5 legislative days. American people trust us with their safety. Let’s not let them down. #PeopleOverPolitics,2,0
598957937223213057,2015-05-14 21:07:54,"The family-friendly proposals announced by @SECNAV will be to the benefit of our military and national security.
http://t.co/fEk9FABUfT",0,0
598888137188716545,2015-05-14 16:30:33,Miss representing IB but enjoyed my visit from Mayor Serge Dedina. Exciting to hear about all the new activity! http://t.co/nxyepNCfnO,1,1
598615135167586304,2015-05-13 22:25:44,"It’s not for the government to infringe on a deeply personal decision that belongs between women and their doctors.

http://t.co/7dgZ4zMf1c",4,2
598186302958350338,2015-05-12 18:01:43,Visited the Advanced Water Purification Facility as we seek options to increase our drinking water supply. http://t.co/A41z14kbOO,5,2
597873106833829888,2015-05-11 21:17:11,"#BalboaPark is part of who we are as San Diegans. Honored to join Garden Party of the Century for its centennial.
https://t.co/WV4wkJwRtu",0,0
596422785360121857,2015-05-07 21:14:07,Small businesses are big job creators. Our economy’s success depends on their success. #NationalSmallBusinessWeek http://t.co/M4Utx97MEW,3,1
596083612124065792,2015-05-06 22:46:22,"Intro’d a bill to shine a light on animal killings by the Dept. of Ag, which should always be a last resort.
https://t.co/4VsRoe8Z9W",7,5
594182955360223233,2015-05-01 16:53:50,"Enjoyed discussing water, infrastructure &amp; public safety w/ @MartiEmeraldSD, @CD4MyrtleCole &amp; @SherriLightner. http://t.co/kh9njK18OF",6,3
593938239133753344,2015-05-01 00:41:25,America's Finest City is one of the World's Smartest Cities according to @NatGeo! At the premiere of the documentary http://t.co/SS2C5vps2Y,10,5
593917919958048768,2015-04-30 23:20:41,Team Davis West Dining Out for Life at Adams Avenue Grill to fight AIDS. #DOFLSD http://t.co/B5nwRicXXe,9,9
593904107792027649,2015-04-30 22:25:48,"The bill I introduced will cover #diabetes prevention for seniors under Medicare, saving lives and tax dollars.

https://t.co/CEjtpLF166",1,1
593143744137945088,2015-04-28 20:04:23,"Congrats to Aysha for winning this year’s art contest with her piece Balboa Park Tower! 
https://t.co/6xrWOamD6k http://t.co/9CO6xKwvqI",6,1
593089266126839808,2015-04-28 16:27:54,Now’s the chance for the Supreme Court to be on right side of history and protect marriage for all. #LoveMustWin http://t.co/PRjS3kub6i,26,25
592814286315134976,2015-04-27 22:15:14,RT @sdchamber: Thank you for joining us at today's Congressional Luncheon - see you again next year! #DCinSD #selfiegamestrong http://t.co/…,10,0
592727105290506240,2015-04-27 16:28:48,Thanks the Linda Vista Mutli-Cultural Fair for having me again this year &amp; for honoring the men and women who serve. http://t.co/pjHDaZhCwr,1,0
592387160289972224,2015-04-26 17:57:59,"We’ll enjoy more drinking water from the expansion of the desalination plant in CV, which I'm working to make happen. http://t.co/rU8BlJfLju",7,4
590993761154531329,2015-04-22 21:41:07,"Undermining the @CFPB could mean open season on American consumers.

https://t.co/ffTNumclod",2,1
590941929950556161,2015-04-22 18:15:09,Future generations are relying on us to leave Earth in better shape than we got it. Let’s not disappoint. #EarthDay http://t.co/CUWddICA94,4,2
590885235220475905,2015-04-22 14:29:52,Loretta Lynch is eminently qualified to be Attorney General. Senate delay of 165 days on her confirmation is unacceptable. #ConfirmLynch now,31,17
589173036521234432,2015-04-17 21:06:12,"@AguilarEscob Artwork needs to be at my office by 5:30pm, Monday, April 20. Office address: 2700 Adams Ave. Suite 102, San Diego, CA 92116",1,2
588808759864090624,2015-04-16 20:58:42,"Thanks to the CA Retired Teachers for staying engaged on the issues and
for your continued service! http://t.co/53LCcMbP93",2,0
588745273830199296,2015-04-16 16:46:26,"The girls are still on everyone’s minds, as are the increasingly frequent attacks of Boko Haram. #BringBackOurGirls 
https://t.co/DWrOsCJSKi",0,0
588043223924400128,2015-04-14 18:16:44,"#EqualPay means a stronger economy, which is why I’m a cosponsor of the #PaycheckFairness Act. #EqualPayNow

https://t.co/za3JDxcv1I",14,5
587741785763532800,2015-04-13 22:18:56,"Deadline for my art competition for local high students is one week away. Get those creative juices flowing!
https://t.co/jFeJl7Clvm",6,2
586945546918748160,2015-04-11 17:34:57,"For the 50th anniversary of ESEA, let's renew our original commitment of ensuring every child has access to a quality education. #ESEA50",6,1
586556830064758784,2015-04-10 15:50:20,"Proud of my former staff member Kelley Van Auken and the role she played in promoting #equality.

http://t.co/1RxCvDQxPw",5,2
