id,created_at,text,retweets,favorites
601391541207302144,2015-05-21 14:18:11,#SubOversight continues its series on combatting the #opioid &amp; #drug abuse epidemic. Read my opening statement here: http://t.co/JD74kY6O39,3,3
601220124952109056,2015-05-21 02:57:02,. #Mentalillness -only field of medicine defined by lawyers &amp; enforced by police. Thanks 2 all   #COURAGEOUS families http://t.co/0q7BvhBILg,3,1
601216674449235968,2015-05-21 02:43:19,. @NIH smallpox storage: “Please remove all cardboard from the cold room” Read more Via @triblive http://t.co/fRPkBL1hwD @washingtonpost,1,1
601036585866518528,2015-05-20 14:47:43,Thanks @gretabrawner &amp; @cspanwj 4 discussing #mentalhealth &amp; providing treatment 4 #vets w/me http://t.co/zykv3vkc44 http://t.co/FuquoFcivT,5,3
601012463405015040,2015-05-20 13:11:52,AT 9:15: I'm welcoming 100+ families who are advocating care 4 serious #MentalIllness http://t.co/yvkhF38Vdr @TreatmentAdvCtr #mentalhealth,6,10
600994411472904192,2015-05-20 12:00:08,RT @cspanwj: .@RepTimMurphy talks about mental health care in the United States. http://t.co/1gIxkvIJlD,8,0
600993762559533056,2015-05-20 11:57:33,". @cspanwj Combat stress is natural, but assigning negative emotions to memory hinders #veterans return 2 civilian life  #mentalheath #PTSD",1,1
600992948180881408,2015-05-20 11:54:19,"LIVE NOW: On @cspanwj abt my bill to help our wounded warriors, vets get help for #PTSD. #Tb4T",2,0
600992315944108032,2015-05-20 11:51:48,"LIVE NOW: @cspanwj w/@gretabrawner discussing #mentalhealth, caring for those w/#SMI &amp; enhancing #veterans' access to lifesaving medication",6,2
600808777189892096,2015-05-19 23:42:29,. @HouseCommerce #SubOversight seek expanded review of NIH smallpox incident http://t.co/uXSazKnkpi @washingtonpost http://t.co/w1jsVU2Ycy,0,1
600790971249467392,2015-05-19 22:31:44,WedsAM I’m on @cspan Washington Journal 4 my #MentalHealth agenda: HR2123&amp;HR3717 #B4Stage4 @cspanwj @MentalIllPolicy https://t.co/8IW3OV2Woy,1,0
600777605869137920,2015-05-19 21:38:37,LIVE NOW: @HouseCommerce vote on #Cures2015 http://t.co/QoltjAo6ak @RepFredUpton,2,3
600455076335976448,2015-05-19 00:17:00,RT @Patricia_AFF: #FrankieGoes2Washington .@frankiemuniz .@RepTimMurphy @SupportAFF discussing veteran care &amp; mental health reform http://t…,2,0
599620925676478464,2015-05-16 17:02:23,Fábregas: Former VA director's reappearance a slap in the faces of veterans http://t.co/ghTmYzYR7M via @TribLIVE,1,0
599567018598207488,2015-05-16 13:28:11,TY @GovInslee 4 #JoelsLaw 2 Help Families in #MentalHealth Crisis @spokesmanreview http://t.co/34iVtyP8tV @MentalIllPolicy @TreatmentAdvCtr,5,5
599060054449479680,2015-05-15 03:53:41,RT @PARealtors: Thanks to @RepTimMurphy for meeting with @RAMPRealtors/@PARealtors today. #NARLegislative http://t.co/8NWaXOyYV1,6,0
598979159617056768,2015-05-14 22:32:14,LIVE NOW: I'm urging lawmakers to work w/me so #vets can access medicine for #PTSD from #VA. http://t.co/M0XCsG6i78 http://t.co/AoDfxMGxue,4,2
598972070937174018,2015-05-14 22:04:04,Next on @cspan: I'm urging lawmakers to work w/me so #vets can access medicine for #PTSD from #VA. Watch: http://t.co/M0XCsG6i78 @Rep_Hunter,3,2
598858425372639232,2015-05-14 14:32:29,VIA @triblive Fmr #VA official advised 2 cease all @DeptVetAffairs contract work http://t.co/4o8NU0u3lj @asmeltz  #Veterans @HouseVetAffairs,1,1
598833038500442112,2015-05-14 12:51:36,"LIVE NOW: @cspanwj w/@PeterRoskam talking about his bill, which I signed onto, that provides oversight for #Obamacare",3,3
598799586510123008,2015-05-14 10:38:41,LIVE NOW: I'm talking w/@KDKAShumway @KDKARadio about the #Amtrak188 crash &amp; #railsafety. Listen here: http://t.co/06yCb8NajT,4,1
598661448194256896,2015-05-14 01:29:46,TUNE IN: Tomorrow at 6:35 AM I'll talk w/@KDKAShumway @KDKARadio about the #Amtrak188 crash &amp; #railsafety,2,0
598648946261622784,2015-05-14 00:40:05,RT @Heyl_Patterson: Thank you to @RepTimMurphy and Carnegie PA Mayor Jack Kobistek for their recent visit to Heyl &amp; Patterson's offices. ht…,1,0
598619145039650816,2015-05-13 22:41:40,Today I urged @RulesReps not to end lifesaving #mentalhealth medications for our #vets http://t.co/nAvXD0uycG http://t.co/xNeYywDVVv,7,6
598606765731815426,2015-05-13 21:52:29,LIVE NOW: My #NDAA amendment allows #vets to access lifesaving medication watch here http://t.co/VQqWcWcbBq,1,2
598570140431679488,2015-05-13 19:26:57,TODAY: I'm offering #NDAA amendment @RulesReps 4 #vets to access lifesaving  #mentalhealth medication http://t.co/ADTu2lEAjK,1,1
598492054554079232,2015-05-13 14:16:39,RT @SpeakerBoehner: #Veterans are still being mistreated by the VA. When will the Obama administration do something about it? http://t.co/H…,42,0
598471404128968704,2015-05-13 12:54:36,Keep #Amtrak188 passengers &amp; family in thoughts today #railsafety https://t.co/2iyfy13ZKR,2,4
598322148772569088,2015-05-13 03:01:31,RT @southpointepa: A lot of great information at NEI from speakers Chris Guith with the @USChamber and @RepTimMurphy  @NemacolinEnergy http…,2,0
598179594710228993,2015-05-12 17:35:03,RT @DanielleBubnis: TY @RepTimMurphy for supporting cures &amp; access for cancer patients! Great mtg in a great city! @LLSAdvocacy @LLSWPA htt…,3,0
597896551999139840,2015-05-11 22:50:21,New England colleges are taking action to reduce stigma associated w/#mentalillness &amp; #suicide http://t.co/4DpzcD3AlX @WBUR @npratc,3,3
597445260315332609,2015-05-10 16:57:04,'A mother's happiness is like a beacon' #ThankYou #Moms #HappyMothersDay,2,0
597229164496826368,2015-05-10 02:38:23,Via @TribLIVE Retired #Pittsburgh @DeptVetAffairs Director returns as private contractor to #Legionella hosp http://t.co/WWxmH5GumL @asmeltz,2,0
597114364739596289,2015-05-09 19:02:13,Congrats to @WheelingJesuit #collegegrads in Jesuit tradition of academic excellence &amp; service to others #classof2015,8,4
597048763203637248,2015-05-09 14:41:32,"Via @columbiatribune Think we don’t warehouse ppl w #Mentalillness? 'We do, it’s called jail' http://t.co/AdOtGUytSG @NAMISwMo @AlanBurdziak",6,1
596867093779329024,2015-05-09 02:39:39,Godspeed @911_AirliftWing #Deployment today from #Pittsburgh Intl Air Reserve Station TY 4 #Service @AirForceReserve http://t.co/BDQ0ZM4jbu,3,3
596748222397288448,2015-05-08 18:47:17,Thanks @cmoore_t for great discussion on combatting #opioid #addiction #vets #mentalhealth &amp;171st ARW's new KC-135 flight simulator @WPXI,2,1
596732653631602688,2015-05-08 17:45:26,Today as we reflect on #VEDay70 we thank the #GreatestGeneration who served our country #WW2 #Heroes,1,1
596660647796015104,2015-05-08 12:59:18,RT @cspanwj: Prevalence of serious #mentalillness among U.S. adults (2012) http://t.co/iYxLj5YNQq via @NIMHgov @NIH #MentalHealth http://t.…,7,0
596654763460132864,2015-05-08 12:35:55,"On @CSPAN @NIMHgov Dr. Insel: 100,000 will experience 1st episode psychosis this year #B4Stage4 @cspanwj #Tb4T #MentalHealthAwarenessMonth",0,0
596649157961633792,2015-05-08 12:13:39,RT @cspanwj: .@NIMHgov Director Dr. Thomas Insel discusses #mentalhealth research &amp; treatment #MentalHealthAwarenessMonth @NIH http://t.co/…,26,0
596455838455181313,2015-05-07 23:25:28,LISTEN: @SIRIUSXM @MorningBriefing intv on May as #MentalHealthMonth &amp; #veterans' access to #mentalhealth treatment: http://t.co/Dyc5XIFcON,3,1
596444855762563072,2015-05-07 22:41:49,Transforming lives #MentalHealth #Wellness #Recovery TY Paul Gionfriddo @pgionfriddo  Laurie BarnettLevine @MHAWestCo http://t.co/wmEmWJXaWe,3,6
596424449680871424,2015-05-07 21:20:44,.@TWILDM offers viewers an in-depth look at how #vets deal w/ transitioning home &amp; #ptsd @SupportAFF @CBSPittsburgh http://t.co/fbQ3FJJQRA,7,3
596417876585783298,2015-05-07 20:54:37,"RT @SpeakerBoehner: Awful that so many are being killed b/c of their faith. Let’s lift them up in prayers today. #NationalDayOfPrayer
https…",63,0
