id,created_at,text,retweets,favorites
601397499262283776,2015-05-21 14:41:51,Thank you for this great day! One of my favorite days of the year. Let's keep up the good work. https://t.co/e8BqYSmp5P,1,0
601397258194673664,2015-05-21 14:40:54,"@ebfranks @NRAA1 It was a true honor to spend some time with you. More importantly, thanks for all the amazing work you do!",0,1
601397023955427328,2015-05-21 14:39:58,Thank you for having me speak this morning! https://t.co/svTinS75B4,1,2
601129646604865536,2015-05-20 20:57:30,RT @RedAlert: It's Congressional Foster Youth Shadow Day and @RepTomMarino is sharing his experience with us http://t.co/wYnigHP6bZ http://…,2,0
601074152007704576,2015-05-20 17:16:59,I just walked off the House floor with my #FosterCareMonth Shadow Demara' we snapped this pic on the #Capitol steps http://t.co/7z0NUoN5qI,1,7
601044472617672704,2015-05-20 15:19:03,Congratulations to the graduates @USCGAcademy You make #America proud and strong!,1,0
601043792255426562,2015-05-20 15:16:21,RT @HouseGOP: May is National Foster Care Month. Today @RepTomMarino is showing Demara' around the Capitol! http://t.co/5o1TKHz7Pd http://t…,20,0
601039674661023745,2015-05-20 14:59:59,Welcoming Demara' to DC today as I listen to his/her experience as a foster youth. #FosterYouthVoices http://t.co/6d4Z5h4WBO,2,1
601039369307365376,2015-05-20 14:58:47,So many successes in our system. Proud to have these amazing youth with us today. https://t.co/g1AJMGpLai,1,1
599628170766213121,2015-05-16 17:31:11,Today is #ArmedForcesDay Let us thank them. Honor them. Remember them. Love them. Respect them. #AmericaThanksYou http://t.co/K2XyTiYvRX,12,11
599307178026135552,2015-05-15 20:15:40,Proud to vote YES on #NationalBlueAlertAct to expedite critical info when officers are in danger #NationalPoliceWeek http://t.co/vacayhqOW2,2,2
599285306706255872,2015-05-15 18:48:45,Great to have such wonderful and inquisitive students from South Williamsport High School come visit me @ the Capitol http://t.co/OlFvi0HJrF,3,5
599255965251297280,2015-05-15 16:52:10,Here are the 4 bills the House passed to put America's #nationalsecurity on surer footing. http://t.co/IdvGziSK5g,0,0
599215007939833858,2015-05-15 14:09:25,RT @uspto: The thrill of his music will never be gone http://t.co/XPstLHXUkO #BBKing #Lucille #patent #trademark #copyright http://t.co/ikZ…,84,0
599212056668176384,2015-05-15 13:57:41,America lost one of the greatest musicians in the world #BBKing was 2nd to none He &amp; Lucille's genius will be missed http://t.co/6NId33f6E3,0,3
599198481790672897,2015-05-15 13:03:45,Happening Now: I am chairing the #RegReform #Antitrust @HouseJudiciary Subcommittee regarding the @FTC oversight of antitrust law,0,0
599198074012094466,2015-05-15 13:02:08,Chairing this hearing now. https://t.co/qgmAEyg83i,0,0
598951751409106945,2015-05-14 20:43:20,The facts do not lie! We will keep leading the way in the @HouseJudiciary Subcomm on #RegReform  https://t.co/GUzIsshZlL,2,1
598949884398538753,2015-05-14 20:35:55,I voted YES on the Iran Nuclear Agreement Review Act which passed 400-25 Congress MUST review any deal regarding #IranTalks Period.,3,5
598848616992768000,2015-05-14 13:53:31,Thank you @PARealtors for coming to my DC office to discuss housing and real estate issues in PA-10. #PArealestate http://t.co/DwLwq6ghwe,0,1
598584220689240064,2015-05-13 20:22:54,Thank you to @CARE #USA for coming to DC to talk #globalfoodsecurity + women's empowerment in developing nations. http://t.co/gcTQP24pmX,11,9
598562208558292993,2015-05-13 18:55:25,"RT @HouseJudiciary: #USAFreedomAct bill text, summary, supporters, and additional info: http://t.co/gULluxwkXO. #HJC114",2,0
598559823366619136,2015-05-13 18:45:57,Congrats to this year's @NEAarts recipients: Honesdale Roots and Rhythm Music and Arts Inc. and Paragon Ragtime Orchestra in Lewisburg.,0,2
598510468978868224,2015-05-13 15:29:50,I was proud to stand up for the farmers in my district by voting to block the EPA's proposed regulations on water. http://t.co/AS9qlqChbn,1,3
598492088976744448,2015-05-13 14:16:48,"RT @WSJ: Breaking: Islamic State second-in-command killed by airstrike, Iraqi defense ministry says http://t.co/tYCeELTJqc",121,0
598491936517914624,2015-05-13 14:16:11,RT @HouseJudiciary: It's #NationalPoliceWeek - remember the fallen &amp; honor those who serve. http://t.co/VabxtlUXs7,11,0
598205362454536192,2015-05-12 19:17:27,Thanks to @BucknellU Small Business Development Center for hosting a workshop on patents and IP for entrepreneurs &amp; #smallbiz,3,2
598192223566565376,2015-05-12 18:25:14,Thank you so much for stopping in to see us!  https://t.co/sAy00oTROs,1,1
598192095774568449,2015-05-12 18:24:44,Many know I have a soft spot for animals and I thought this article by @krauthammer was thought-provoking and spot-on http://t.co/7tjhFBGxXP,1,3
597815681862803458,2015-05-11 17:29:00,Thank you for having me to speak with you. America needs #RegulationReform now more than ever. https://t.co/FMvw3QNSKs,2,0
597428496483385344,2015-05-10 15:50:27,You are superheroes to us all. Everyday should be your day of recognition but today we honor you and say thanks! http://t.co/fs4CCsI38E,2,3
597071214792876032,2015-05-09 16:10:45,"As we conclude Small Business Week, get out this weekend and don't forget to... #SBW2015 http://t.co/PjSTfMllXv",6,5
596795574462128128,2015-05-08 21:55:27,"Whether they're a #sailor, #marine, #airman, #coastguardsman or #soldier, make a point to say thanks! http://t.co/V7BkWULzAj",16,12
596635772545007616,2015-05-08 11:20:27,Today is the last day of #TeacherAppreciationWeek -tell your kids to thank their teachers for their hard work! http://t.co/ZjZQxlBh5y,3,1
596424663615541248,2015-05-07 21:21:35,RT @nfib_pa: @RepTomMarino says he has bills to curb regulatory tidal wave hurting #SmallBiz @NFIB_Pa http://t.co/zkwxvm39QG,3,0
