id,created_at,text,retweets,favorites
601409060865384448,2015-05-21 15:27:48,"#HR2300 puts patients, families and doctors in charge of health care decisions. NOT Washington, DC. #patientsfirst http://t.co/H0MlkuTMyO",1,1
601388500718592000,2015-05-21 14:06:06,Watch my sit down at the @fiscalsummit with @DanaBashCNN here: https://t.co/y5dUeOEAxP http://t.co/eObGSvoPDl,5,2
601047485167980547,2015-05-20 15:31:02,The six principles of health care we must not compromise. #patientsfirst http://t.co/4HNcbNBbOB,6,5
600790458688745472,2015-05-19 22:29:42,It was an honor to take part in the portrait unveiling today for former Budget Committee Chairman John Spratt. http://t.co/xnea1R68k4,1,2
600779152157990912,2015-05-19 21:44:46,A long-term transportation &amp; infrastructure plan must remain a top priority in months to come. http://t.co/GHObR32rSo http://t.co/QelQrVeG0g,2,2
600723764180078592,2015-05-19 18:04:40,Thanks @peachpundit for the great write up on #HR2300 - the Empowering #PatientsFirst Act http://t.co/l4bObOPr7v,1,1
600693036981612545,2015-05-19 16:02:35,#HR2300 is the right health care  solution for families &amp; their doctors. Great article in @NRO. Take a look.  http://t.co/0yGqqwBpYY,2,3
600674997548556288,2015-05-19 14:50:54,Watch live: My discussion on our economic and budget challenges with @DanaBashCNN at the @FiscalSummit http://t.co/2Qb8ycXwLJ #FiscalSummit,4,4
600379641921216513,2015-05-18 19:17:15,Eye opening breakdown of the IRS targeting Americans and the deception that has followed. http://t.co/LDjseNEcSF,44,26
599278553381863425,2015-05-15 18:21:55,Congress' foremost responsibility – providing for the common defense. http://t.co/7wKRKMEpJb,2,2
598967967527739392,2015-05-14 21:47:46,"This bipartisan, commonsense bill strikes at the heart of Hezbollah’s efforts to support Islamic terror. http://t.co/nydEYCpWPF",3,1
598936301073760256,2015-05-14 19:41:56,Happy to receive @ACUConservative #ACURatings Award. Standing up for conservative values and common-sense solutions. http://t.co/eBCpDwNwoD,4,3
598842294431780864,2015-05-14 13:28:23,"Great article from @BillKristol on #HR2300, health care that gets bureaucrats out of the way &amp; keeps #patientsfirst  https://t.co/W2zWJRaSw5",6,3
598614454876647424,2015-05-13 22:23:02,I joined the majority of Americans in voting to outlaw abortions after 20 weeks. We must protect the sanctity of life.,11,10
598590446189809665,2015-05-13 20:47:38,"#HR2300 puts patients, families and doctors back in charge of health care decisions. NOT Washington. #patientsfirst",5,4
598567360967106560,2015-05-13 19:15:54,Just introduced #HR2300 the Empowering Patients First Act - positive solutions that keep #patientsfirst. Learn more: http://t.co/LODsUnntLy,3,3
598535722224754688,2015-05-13 17:10:11,RT @SpeakerBoehner: Democrats are pulling their support for the defense bill that funds our troops. http://t.co/Wwi7yF4QLS #NDAA,24,0
598203305383358464,2015-05-12 19:09:16,Thanks to all those who serve &amp; protect us. #PoliceWeek http://t.co/Q9LdODOkUF,6,5
597883502592434177,2015-05-11 21:58:29,RT @SpeakerBoehner: A 10-second explanation of why we need this 10-year #balancedbudget plan --&gt; http://t.co/w56LqLUAlw,17,0
596690913692413953,2015-05-08 14:59:34,"Read @SenatorEnzi's op-ed in the @WashTimes: ""Getting serious about balancing the budget"" http://t.co/n7PvZmmeMr",8,4
596349034366935040,2015-05-07 16:21:04,"Today, Americans observe a #NationalDayofPrayer and celebrate the power of prayer and faith in our lives.",3,4
595999455700242433,2015-05-06 17:11:58,#SmallBizWeek - The economic engine of America. http://t.co/XiTkIFVgDA,4,3
595722005971922944,2015-05-05 22:49:28,It's been an honor working w Chmn. Enzi &amp; our Senate colleagues to pass the FY16 #BalancedBudget Conference Agreement http://t.co/dWPQzc0paI,7,4
595282569194790913,2015-05-04 17:43:18,Folks on Medicaid “struggling to get appointments or find doctors” (WSJ). That's why our budget includes reforms to improve this program,2,1
595281744716242946,2015-05-04 17:40:02,"A MUST READ from @WSJ: Under #Obamacare ""U.S. Emergency-Room Visits Keep Climbing"" - http://t.co/VCkV3X4OFb. Another broken O'care promise",6,3
594202457569435648,2015-05-01 18:11:20,RT @BGOV: Missed today's #BGOVInSite event with @RepTomPrice? Watch the replay as he talks with @Phil_Mattingly http://t.co/feJQFKhkyt,5,0
593905809047867392,2015-04-30 22:32:33,House just passed the FY16 balanced budget agreement to hold Washington accountable &amp; restore economic vitality http://t.co/y84YwcWMJa,10,5
593821831649480704,2015-04-30 16:58:51,RT @SpeakerBoehner: Here are ⑩ ways our #BalancedBudget helps hardworking families → http://t.co/AIFM3xL4SA,1,2
593489697382367232,2015-04-29 18:59:05,"Our #balancedbudget supports a healthier economy &amp; makes govt more efficient, effective &amp; accountable",9,4
593489193470267392,2015-04-29 18:57:04,"Our #balancedbudget preserves #Medicare and repeals IPAB, the unelected board of bureaucrats created by #Obamacare",1,4
593488687607853056,2015-04-29 18:55:04,"Our #balancedbudget repeals #Obamacare including its #taxes, regulations &amp; mandates - paving the way for patient-centered reforms",2,3
593487932528336896,2015-04-29 18:52:04,Our #balancedbudget provides for a strong national defense through immediate increases in funding &amp; investment in our military men &amp; women,2,2
593487423859920896,2015-04-29 18:50:02,"Our #balancedbudget supports a healthier economy &amp; makes govt more efficient, effective &amp; accountable. RT to support a #balancedbudget",6,4
593486177971216384,2015-04-29 18:45:05,Learn more about our joint congressional #balancedbudget HERE: http://t.co/fNOU6RJ8FZ,2,1
593484956850061314,2015-04-29 18:40:14,"With more than $5 trillion in savings, House &amp; Senate conferees have reached agreement on a #balancedbudget http://t.co/1id2z8z7jW",29,22
593109328120414209,2015-04-28 17:47:37,"Rather than talk around the problem, our #Budget tackles the increase in college costs head-on. Read @ijreview story: http://t.co/m3qJVjVze1",3,1
591644451115786240,2015-04-24 16:46:44,Today is #TaxFreedomDay – the first day you stop working for the government and start working for you and your family http://t.co/XmDPOvCyAd,20,6
590938275562532864,2015-04-22 18:00:38,Honored to speak to Wallbuilders &amp; @DavidBartonWB at the Library of Congress this morning. http://t.co/BGDX4qiFkD,4,3
590893468010053632,2015-04-22 15:02:35,RT @WaysandMeansGOP: NEW REPORT: IRS diverts funding away from customer service http://t.co/c7QzT93spF,25,0
590871276807389184,2015-04-22 13:34:24,"ICYMI - ""What's Wrong With the Golden Goose?"" by Phil Gramm @WSJ http://t.co/Kh6cMTyCep",1,1
590557752331788293,2015-04-21 16:48:34,Russia is selling missile defense to Iran - another sign of Pres. Obama’s failed leadership contributing to further dangerous instability.,5,3
590280050630647808,2015-04-20 22:25:05,Great mtg of House/Senate budget conference today. Grateful for the work of my colleagues to create a #balancedbudget http://t.co/G3KrHfDbn9,13,14
590276839823773696,2015-04-20 22:12:20,Check out the following statements from House GOP budget conferees following today's conference meeting: http://t.co/LgL586mpxZ,1,0
590223321620418561,2015-04-20 18:39:40,"Watch today's budget conference meeting live here at 3:00 p.m.
http://t.co/7JrvurqCrI",1,0
588736667688677377,2015-04-16 16:12:14,Repealing the Death Tax is a no-brainer. http://t.co/0123OyGXht http://t.co/0JTrEV0gD0,13,9
588697781256073218,2015-04-16 13:37:43,RT @pspatelEyeMD: Learning about the politics of #healthcare from Dr. @RepTomPrice #myf2015 #aaoyo @EmoryEyeCenter @aao_ophth http://t.co/e…,6,0
588452208980533248,2015-04-15 21:21:54,Working to stop #IRSAbuse and holding the IRS to account – RT if you agree. http://t.co/j1kc1p6QDU http://t.co/z9XJw0eVls,22,16
588109344534847488,2015-04-14 22:39:28,Looking forward to working w/ my colleagues to forge an agreement b/w the House &amp; Senate on a balanced budget http://t.co/0sCZsyKjAA,7,3
587693741764431872,2015-04-13 19:08:01,"A great op-ed from @CongressmanGT on the need for a balanced budget.
http://t.co/YBM6khuk72",6,4
586545301026185216,2015-04-10 15:04:31,"Friday morning MUST READ: In @NRO, Krauthammer asks “What Hasn’t the U.S. Given Up in the Iran Negotiations?” -- http://t.co/rPKaEJMJVy",19,12
586231957983473664,2015-04-09 18:19:25,We are committed to a balanced budget that will boost econ growth &amp; restore a more effective &amp; accountable govt --&gt; http://t.co/68qPhsHy8g,6,2
585856165067808769,2015-04-08 17:26:09,"Proud to stand w/ colleagues in supporting #Access2CRT so Medicare beneficiaries who need it have quality, affordable mobility technology",9,5
585524481256517632,2015-04-07 19:28:09,My op-ed with Rep. Tom Emmer: House budget plan would set US on right fiscal path http://t.co/kBgbvzsEyT,8,1
583736433367785473,2015-04-02 21:03:05,"WH seems irresponsibly eager to lift Iran sanctions, putting an unhealthy level of trust in Iran to abide by inspections &amp; enforcement",10,2
583734112579690497,2015-04-02 20:53:52,We ought to be wary of any deal or “framework” that merely puts Iran’s nuclear program on hiatus -- https://t.co/kEz0SZtnfu,9,4
583665278862635009,2015-04-02 16:20:21,"Re: Lerner, #DOJ has officially erased any notion of objectivity - cementing its reputation as the most politically motivated in history.",17,5
582990773928349697,2015-03-31 19:40:06,Had a tremendous time visiting w/the students in Kell High School's @SIFMA Stock Market Game-Capitol Hill Challenge! http://t.co/jKkeWlr0rh,5,8
582649930365419520,2015-03-30 21:05:43,I had a great meeting with Emily Matson &amp; Kristina Twitty from @GaLifeAlliance at my District Office this AM. http://t.co/NjDqPfq36X,5,3
581204168863584256,2015-03-26 21:20:46,Proud to introduce new bill on expanding care for seniors on same day House passes physician payment reforms. http://t.co/IHbWDsLCdQ,5,4
580871804115271680,2015-03-25 23:20:04,"RT @RepHartzler: Proud to vote for our budget which promotes opportunity, balances without raising taxes, and provides for our Common Defen…",5,0
580871715703681024,2015-03-25 23:19:43,"RT @RepGoodlatte: Unlike POTUS's budget, which never balances, the House budget I supported tonight leads to balance. #betterbudget http://…",7,0
580871232410750976,2015-03-25 23:17:48,The House has passed A Balanced Budget for a Stronger America. http://t.co/g2S5G8pdV7,6,9
580824360585457664,2015-03-25 20:11:33,"RT @RepKevinYoder: If American families have to balance their budget, Washington should too. @RepTomPrice's proposal does. #BetterBudget ht…",3,0
580800182905925632,2015-03-25 18:35:29,RT @SpeakerBoehner: Retweet to agree: Budgets should balance. Plain and simple. http://t.co/qILaWTkYUX,130,0
580790355714576384,2015-03-25 17:56:26,RT @RepByrne: Why is it so important that we pass a #budget that reforms mandatory spending programs? Check out this chart. http://t.co/5cN…,5,0
580765432149385216,2015-03-25 16:17:23,"On this week’s anniversary of Obamacare, the House will pass our budget that repeals it in full. http://t.co/eRCnknyqCd",7,8
580482336493608960,2015-03-24 21:32:28,"RT @NFIB: MT @K8Bonner: Thx @RepTomPrice 4 sponsoring a balanced #budget focusing on real #smallbiz issues: healthcare, tax and reg reforms!",5,0
