id,created_at,text,retweets,favorites
599262487196864512,2015-05-15 17:18:05,Today is #PeaceOfficersMemorialDay. We honor the service &amp; sacrifice of those who have lost their lives in the line of duty. #PoliceWeek,1,5
598959265513078784,2015-05-14 21:13:11,This morning I spoke on the House floor about my efforts to defend your private property rights. Watch: http://t.co/L2YTqnSrkJ,0,2
598894013635284992,2015-05-14 16:53:54,"One year after the devastating floods, we celebrate the strength and resilience of the Penn Yan community. #PYStrong http://t.co/pQ2n15y6dX",6,2
597862094504108032,2015-05-11 20:33:25,I recently established the Private Property Rights Caucus in the House of Representatives. http://t.co/prjtUv4PLb,3,3
596756508857237504,2015-05-08 19:20:13,The #ArsenalofDemocracy Capitol Flyover was a great tribute to those who served during World War II. #VEDay70 http://t.co/YEOtUhqGDf,1,3
595971230957740033,2015-05-06 15:19:48,"To every teacher across our district – thank you! 
#TeacherAppreciationWeek http://t.co/kQLyJsF8Zq",0,4
595251903161827329,2015-05-04 15:41:27,RT @HouseSmallBiz: National Small Business Week kicks off today! Show support to those who support our economy. #SmallBizForce #SBW2015 htt…,263,0
590929730637066240,2015-04-22 17:26:41,There are NO excuses for sexual violence. It is time for us to come together as a nation and say “No More”!  http://t.co/d2jT3KL98D,4,5
590879139898470400,2015-04-22 14:05:39,In a few minutes I will speak on the House floor in recognition of #SexualAssaultAwarenessMonth. Watch live: http://t.co/FmUJKqFDHy,0,3
588102812405538816,2015-04-14 22:13:31,"The @HouseGOP tax reforms protect hard-working taxpayers by providing certainty, simplicity, and fairness.",2,1
588043882845339648,2015-04-14 18:19:21,"The @HouseGOP tax reforms empower YOU, the hardworking taxpayer, NOT Washington.",1,1
581069965790474240,2015-03-26 12:27:30,"Obama's budget: doesn't balance despite tax increases. GOP budget: balances, no new taxes. #BetterBudget http://t.co/6OrnS2k5Ez",22,12
580814158461050880,2015-03-25 19:31:01,Defense of Property Rights Act: fair solution that protects 5th Amend. right to property ownership. http://t.co/J8fX1WBC0r,0,0
580413398988517376,2015-03-24 16:58:32,You balance your budget and live within your means. Washington should do the same. #BetterBudget,0,5
580014457197359104,2015-03-23 14:33:17,Congressman: Government Should Pay for Damage Done by Fracking Ban http://t.co/LCccHrC4ae via @RepTomReed @DailySignal,1,1
577863986164682753,2015-03-17 16:08:05,"Bottom line: we must protect retirees &amp; disabled Americans, not the status quo. # SSDI #RealSolutions",1,1
570655986194763776,2015-02-25 18:46:04,Better 4 our communities &amp; 4 our #Environment #TimeToBuild #KeystoneXL  http://t.co/7BVpmXg3vD,2,0
570290700174151681,2015-02-24 18:34:33,.@SenateMajLdr Change the Senate rules to allow debate on DHS funding bill! #endthefilibuster,0,0
