id,created_at,text,retweets,favorites
600774633189679104,2015-05-19 21:26:49,I'm calling for the IRS to investigate the Clinton Foundation's tax exempt status: http://t.co/enxPU2ABXW,18,6
600710338644967426,2015-05-19 17:11:20,Watch my speech today about the sickening waste of taxpayer dollars by defense contractors in Afghanistan: https://t.co/mulMDvZUQf,9,5
600383695153995776,2015-05-18 19:33:22,I'm going to raise hell about this on the House floor tomorrow: http://t.co/mNofki5mD3,11,8
600361265563828224,2015-05-18 18:04:14,The unconstitutional metadata program is one reason why I won't vote to reauthorize the #PatriotAct: http://t.co/dhDlw9mKiF,15,13
599660035141165056,2015-05-16 19:37:48,Thank you to all who have served and currently serve. #ArmedForcesDay http://t.co/e9Q0nJPejB,11,10
598950283645997056,2015-05-14 20:37:30,I voted for congressional review of the Obama administration's Iran Nuclear Agreement: http://t.co/6p8O22LZ70,3,1
598858441533296640,2015-05-14 14:32:33,"Military depots like FRC East are vital, as we discussed at the Military Depot Caucus breakfast I hosted this AM. http://t.co/fLgIc0kkQB",0,0
598609316053127169,2015-05-13 22:02:37,Today I voted against allowing the fed gov't to eavesdrop on law-abiding citizens. The 4th Amendment is pretty clear: http://t.co/dT2igiaPIy,39,32
598607352405852160,2015-05-13 21:54:49,I voted for the Pain-Capable Unborn Child Protection Act today. #theyfeelpain: http://t.co/1artd1ggB9,10,14
598567830523662336,2015-05-13 19:17:46,Last night I voted to block the Obama EPA's water rule that heavily infringes on private property rights: http://t.co/HGBZvvit6i,6,8
598553316168212481,2015-05-13 18:20:05,"Watch my short speech on the national debt standing at over $200,000 per full-time private-sector worker: https://t.co/TyfDu79noQ",1,2
598199824928927744,2015-05-12 18:55:26,My LTE to the @NBSunJournal on why I didn't vote to borrow $ from the Russians to protect Europe from...the Russians http://t.co/nROPqDaHDq,3,2
597515313501044736,2015-05-10 21:35:26,Happy #MothersDay on this beautiful Sunday!,5,5
596686005438144512,2015-05-08 14:40:04,"It was an honor to help Cpl. Robert Daily with the process of obtaining his Purple Heart, 64 years later: http://t.co/QhM6PvhCUH",8,3
596345659839651840,2015-05-07 16:07:39,A great update on the effort to preserve the Corolla Wild Horses #obx: http://t.co/Kx8OIgX6Rd,5,5
595608256980119552,2015-05-05 15:17:28,Taxpayer dollars should not be used to fund first class travel for members of Congress: http://t.co/pNoevYEES2,13,11
594196527641456640,2015-05-01 17:47:46,RT @cspanwj: VIDEO: @RepWalterJones (R-NC) &amp; @RepMcGovern (D-MA) launch Constitutional War Study Group http://t.co/gqlcgCrH15 http://t.co/5…,18,0
594195106116296704,2015-05-01 17:42:07,Why I didn't vote for borrowing money from Russia to protect Europe from...the Russians: http://t.co/4PCoHLApHt,3,3
594156233722077184,2015-05-01 15:07:39,ICYMI: @RepMcGovern and I on @cspanwj this AM discussing our new Constitutional War Study Group and the #AUMF. http://t.co/elCddkvJdK,7,3
594099884858482689,2015-05-01 11:23:45,I'll be on @cspanwj this morning at 8:00 AM EST with @RepMcGovern to discuss our new Constitutional War Study Group and the #AUMF. Tune in!,2,3
593897773088559104,2015-04-30 22:00:37,RT @cspanwj: TMRW: @RepWalterJones &amp; @RepMcGovern discuss the launch of their new Constitutional War Study Group &amp; #AUMF debate,6,0
593855068681670656,2015-04-30 19:10:56,I'll be on @cspanwj tomorrow at 8:00 AM EST to discuss the new Constitutional War Study Group I started with @RepMcGovern. Tune in!,1,0
593541141737435136,2015-04-29 22:23:30,I'm proud to announce that @RepMcGovern and I have formed a Constitutional War Study Group. Read more here: http://t.co/vtmTNORI4o,7,7
593501145705746435,2015-04-29 19:44:34,Yesterday I was honored to receive a Legislative Leader award from the @HumaneSociety. Animals are God's creatures. http://t.co/SweIBvoDY0,2,6
591658672113262592,2015-04-24 17:43:14,Today is #TaxFreedomDay. This year taxpayers paid a staggering $4.85 trillion in tax bills. We need to curb our out of control spending.,12,4
590999455203250176,2015-04-22 22:03:45,I don’t support giving the fed gov't information on private citizens without their consent: http://t.co/NmwXFbkmuM,18,17
590974715386327040,2015-04-22 20:25:26,I was honored today to receive the Guardian of Seniors' Rights award from 60 Plus: http://t.co/ChYTlCq4SZ,2,1
589477137712812032,2015-04-18 17:14:36,ICYMI: My letter to the @nytimes today about the need to #declassify the 28 pages on the 9/11 attacks: http://t.co/VswYZC2Kkp,35,14
589079448382640129,2015-04-17 14:54:19,RT @reflectornews: .@RepWalterJones receives recognition | http://t.co/iq4YUJIfmx http://t.co/5DyF6XCNFx,4,0
