id,created_at,text,retweets,favorites
599370483352612865,2015-05-16 00:27:13,I'll be on CBS @FaceTheNation this Sunday. Show begins 8:30 am in most Central Valley areas. More broadcast times: http://t.co/URzoK6tOis,4,2
596789129867874305,2015-05-08 21:29:51,My take on the attack in Texas and the growing jihadist threat: http://t.co/OSkZcHyIcc http://t.co/iK8sUGljzr,3,2
591740826465755136,2015-04-24 23:09:41,Check out new @KevinNR piece on California water: http://t.co/i03f7hV87M,7,1
590259855702806528,2015-04-20 21:04:50,Recently discussed CA water crisis on @batchelorshow on @KMJNOW. Listen here: http://t.co/fBJH7q93W4,3,0
589209892679983104,2015-04-17 23:32:40,I'll be discussing CA water crisis on @batchelorshow on @KMJNOW at 10 pm PST. Listen live here: http://t.co/BdXfMyQpVU,3,0
589209703625940993,2015-04-17 23:31:54,Farmers to blame for CA water crisis? No way. I argue against media misinformation on the crisis here: http://t.co/OSkZcHyIcc,1,0
586581424452546561,2015-04-10 17:28:04,CA water crisis caused by global warming? I disagree. See http://t.co/OSkZcHyIcc http://t.co/LFFgvcIBhi,1,0
584118962172071936,2015-04-03 22:23:07,Thoughts on my Middle East trip and new water restrictions: http://t.co/OSkZcHyIcc http://t.co/Wbve0QAZEz,7,1
581593804911824896,2015-03-27 23:09:03,Honored to have met Dep US Marshal Stephen Mroczka and other Real Heroes in Fresno: http://t.co/OSkZcHyIcc. http://t.co/f5vIKm1LcP,4,0
566379133387931649,2015-02-13 23:31:22,West Coast port dispute is strangling commerce. Why this conflict needs to end soon: http://t.co/umiu9byUfb http://t.co/AzCXaEyHKN,7,0
563849175134375937,2015-02-06 23:58:13,My thoughts on the latest ISIS atrocities here: http://t.co/5bQGJ3pz0k http://t.co/t4yag7KxgL,7,1
563018351782690820,2015-02-04 16:56:50,I'll be on the #KellyFile on @FoxNews tonight in the 6:00 hour PST. @megynkelly http://t.co/kVGiS6a4M5,6,2
561293542383828992,2015-01-30 22:43:03,My radical new proposal for fighting terrorism: http://t.co/mXUAhplHyW http://t.co/ZVLFSuJg27,8,1
558778641413197824,2015-01-24 00:09:44,My view of the collapse of House-Senate water negotiations here: http://t.co/qsPENMFTUO,3,0
556228381789151233,2015-01-16 23:15:55,Nunes Digest updated here: http://t.co/jJcrjxOfJc http://t.co/oom6kyGXR1,5,1
554775855483068418,2015-01-12 23:04:05,Write-ups on my Intel Committee plans and tax reform proposal here: http://t.co/OSkZcIpvAo. http://t.co/DvCa525RUa,1,0
547524344784883713,2014-12-23 22:49:10,What stood out during my recent trip to the Middle East: http://t.co/OSkZcIpvAo http://t.co/DqrPu5h1ho,3,0
543550460473651200,2014-12-12 23:38:23,My thoughts on new CA water bill here: http://t.co/OSkZcIpvAo. http://t.co/URiR3LUa3U,1,0
525801517513973760,2014-10-25 00:10:25,My grilling by smart kids here: http://t.co/79QVNwNK5K. Updated Nunes Digest here: http://t.co/q2xBj6BvlY. http://t.co/fBpZwr1m48,3,1
97067523312324608,2011-07-29 22:14:35,August 2: What is the Treasury Hiding?http://t.co/OS3ZU6Q,6,2
97061208032677888,2011-07-29 21:49:29,White House debt plan revealed http://t.co/53R6OOb #debtlimit #debtceiling #federalbudget,2,2
