id,created_at,text,retweets,favorites
575369841294589953,2015-03-10 18:57:14,"@DesertRiver  I don’t support the ban.  Signed a letter opposing it, too.",2,4
568099611941974016,2015-02-18 17:27:56,Strip service secretary authority to revoke valor medals.  Here’s why. http://t.co/HOVNkk6033,20,15
565587458587627523,2015-02-11 19:05:32,More on Army’s treatment of Matt Golsteyn.  This one includes an MoH recipient. Writing with Bing West: http://t.co/pOESc2DYj2,12,8
563720184117362688,2015-02-06 15:25:39,Feature: Army Major Betrayed by cowardly leaders.  A must read.  http://t.co/ZSGfq3m45f,96,55
563349140923744257,2015-02-05 14:51:16,"RT @AmericaNewsroom: ""I don't understand why the President can't call it what it is."" @Rep_Hunter responds to Obama's response to ISIS atro…",12,0
563086521105125376,2015-02-04 21:27:42,Top Special Forces soldier has valor awards revoked.  http://t.co/Cd5BFjShRs.,17,6
562627022116388864,2015-02-03 15:01:49,Many soldiers have difficulty trusting their leadership.  Here’s why: http://t.co/WAWfXmeGyK,113,61
560448376320565249,2015-01-28 14:44:40,"RT @FoxNews: “This is America in retreat,” says @Rep_Hunter on Al Qaeda operative release by U.S. #KellyFile http://t.co/zROU6m2m2Z",240,0
560147721563418624,2015-01-27 18:49:58,A border security bill with no fencing? No way.,53,25
558668814175719425,2015-01-23 16:53:19,"RT @RepSinema: #FF cosponsors of our bipartisan bill to prevent veteran suicide @Rep_Hunter, @RepAnnieKuster,  @CongressmanDan, @TulsiPress…",8,0
557954889842966528,2015-01-21 17:36:26,RT @RosLehtinen: Saw Sgt Andrew #Tahmooressi last night at #SOTU with his host @Rep_Hunter. Great 2 have our hero back home http://t.co/6AM…,73,0
557623963002892290,2015-01-20 19:41:27,"RT @HammarOlivia: .@Rep_Hunter In light of some of the hateful words towards Vets this weekend, so proud you are taking Andrew Tahmooressi …",14,0
557590623239565312,2015-01-20 17:28:58,"For tonight's State of the Union, I'll be joined by Andrew Tahmooressi. I'm honored to have him as a guest.",129,112
555819209385857027,2015-01-15 20:10:00,@gCaptain: Congressman Duncan Hunter Implores Senate Leadership to Support Jones Act. http://t.co/tSSknNPcXX,9,4
555473234708004864,2015-01-14 21:15:14,"RT @gyda_d: #FreeClintLorance
Thank you @RepRyanZinke @Rep_Hunter @RepMattSalmon for your letter of support 4 Clint
http://t.co/sqNjZRF7Lc
…",14,0
