id,created_at,text,retweets,favorites
599038306970705920,2015-05-15 02:27:16,RT @aldotcom: Powerful photo shows nurses praying for #Auburn student before brain tumor surgery http://t.co/4G3N8kSzIA http://t.co/gADkFhM…,107,0
598509383551688704,2015-05-13 15:25:31,"RT @USRepGaryPalmer: Proud that all six Alabama Republican Congressman are co-sponsors of #hr36. w/@RepMarthaRoby, @RepByrne @Robert_Aderho…",30,0
598507373402042369,2015-05-13 15:17:32,I will proudly be casting a vote in favor today. #HR36 http://t.co/VtS2Vtjoev,33,39
598445133659529217,2015-05-13 11:10:13,Congrats to Trent @KellyforMS01's victory last night to fill late Rep Alan Nunnelee's seat- 1 more election to make it official #timetorally,4,1
597848928780832769,2015-05-11 19:41:06,RT @HaleyvilleLions: TY for a great morning @Robert_Aderholt #HHSSrTrip15 #LionPride http://t.co/F0cTt5eqWa,4,0
596734194795094016,2015-05-08 17:51:33,Boxing up flags and certificates for Eagle Scouts and Gold Awards.  #eaglescout #goldaward. @boyscouts http://t.co/N3IUZD18cI,2,4
596721400892760064,2015-05-08 17:00:43,Great WW2 flyover today in Washington. #VEDay70 http://t.co/O9wEdzo7Fe,1,3
596680883467329536,2015-05-08 14:19:43,"To the Greatest Generation, thank you! http://t.co/KMWAMYX5S1",4,5
596380790176555010,2015-05-07 18:27:15,Was able to take part in the bible reading marathons today in conjunction with the #NationalDayofPrayer http://t.co/tpbaBnicq3,10,11
596041938983383040,2015-05-06 20:00:46,I was honored to meet former Senator Bob Dole today.  He is a great American.  #bobdole #WWII http://t.co/4IXNeD0h63,2,5
595348488117948416,2015-05-04 22:05:15,"Small businesses, which also includes family farms, are the backbone of America's economy.  #smallbusinessweek http://t.co/Oaces4qMwX",5,5
594224007425052672,2015-05-01 19:36:58,Prayers and condolences to the family of this young firefighter:Gadsden firefighter killed in Thursday night accident http://t.co/ddISDkLbYF,3,0
590483887840604160,2015-04-21 11:55:04,RT @SenPhilWilliams: Pray for believers who face persecution for daring to believe. 2 Timothy 1:7 https://t.co/wAV3ZBCoPH,4,0
588401121200308224,2015-04-15 17:58:53,"I was privileged to meet today with Miss Madison Guthrie of Hoover, AL, current Miss AL USA @realmissalusa http://t.co/egkkBI0v7C",3,5
588076743099035648,2015-04-14 20:29:56,"Today, I questioned the DOD about the impact of proposed Tricare changes on military retirees. http://t.co/6ggzYrXOFC",2,1
588075060436594688,2015-04-14 20:23:14,RT @ALBeverageAssn: We had a great visit with Congressman Aderholt @Robert_Aderholt discussing issues important to the beverage industry. h…,2,0
587731666514370560,2015-04-13 21:38:43,Let's keep family farms and family businesses in the family. #DeathTaxRepeal http://t.co/i3cGuIRADy,8,9
586268649390006272,2015-04-09 20:45:13,Aderholt Bevill State Tour Fayette: https://t.co/YPwWThXTWN via @YouTube,0,1
586196646737874944,2015-04-09 15:59:06,Passing by the @gilmerdairy in Lamar County this morning. http://t.co/CRaDUSILo4,1,9
581591080421838848,2015-03-27 22:58:13,RT @USRepGaryPalmer: My colleague @Robert_Aderholt and I agree: Obama's EPA is bad for the economy. @aldotcom @LeadaGore #alpolitics http:/…,7,0
581241839535149056,2015-03-26 23:50:28,Rep. Robert Aderholt on what he wished President Obama had addressed in Alabama: AL in DC  http://t.co/srlOVSpKQ0 http://t.co/guILT7kOaE,3,3
581241620735082496,2015-03-26 23:49:35,Rep. Robert Aderholt on what he wished President Obama had addressed in Alabama: AL in DC  http://t.co/srlOVSpKQ0 http://t.co/12CSXuRi5A,8,7
580560433418993664,2015-03-25 02:42:48,RT @NADOWeb: Congrats to Rep @Robert_Aderholt on receiving the 2015 NADO Legislator of the Year Award!  #nadowpc http://t.co/12yireQDs1,7,0
580389018942181376,2015-03-24 15:21:39,We can do better. http://t.co/rlumERG5hm,4,6
580311915764670465,2015-03-24 10:15:17,"Syria, Libya, Iran, ISIS emboldened while Iraq, Yemen, Ukraine languish ...now Israel being pushed away #IranNukes #ObamaForeignPolicy",6,2
580045703277371392,2015-03-23 16:37:27,RT @yhn: .@RepByrne: Defense cuts are hurting our national security http://t.co/LLNeUyPQ2r #alpolitics http://t.co/BEid7EUb8h,6,0
580025521565753344,2015-03-23 15:17:15,"For #Obamacare's 5th birthday, I'm wishing for a new solution and our #BetterBudget has one. http://t.co/sgpdiSoANz http://t.co/6VL1oEt0CI",1,0
578932209228197888,2015-03-20 14:52:49,This week marks the 45th anniversary of the @RocketCenterUSA  Happy Anniversary! http://t.co/VOmr0STj5k,2,2
578188807511666688,2015-03-18 13:38:48,Farming Feeds Alabama and the rest of the world. Thank a farmer today. http://t.co/5xY11LOU38,12,8
576388645982195712,2015-03-13 14:25:36,RT @AlfaFarmers: #FarmerFriday features the truth about poultry with farmer Clay Nichols of Lowndes County. http://t.co/j9fevjDCVE http://t…,10,0
575388158612869120,2015-03-10 20:10:01,I'm glad to see the ATF is backing down on its planned ban of AR-15 ammunition. I recently signed a letter in opposition. #AR15,10,13
572866205507198979,2015-03-03 21:08:41,I enjoyed getting to spend time today with 8th graders from Covenant Christian School. http://t.co/eUoOf2R6Hk,6,1
571036412608425984,2015-02-26 19:57:44,States need the ability to abandon Common Core. Education is done best when it is locally controlled. http://t.co/LqFhT1Z4JT,12,11
570578785235439617,2015-02-25 13:39:17,"Due to the impending winter storm, our 4 district offices, (Jasper, Muscle Shoals, Cullman, Gadsden) will be... http://t.co/hUvQiAYyZo",4,0
570321918810836992,2015-02-24 20:38:36,Very disappointed to learn President Obama has vetoed the bi-partisan XL Keystone Pipeline bill. It's a veto of American jobs. #KeystoneXL,19,4
570309899575533570,2015-02-24 19:50:50,Art Competition Annoucement: http://t.co/12IKbn9Pdh via @YouTube,1,0
570291489995169792,2015-02-24 18:37:41,"Mr. President, sign the bill into law. Americans Are Ready.  #KeystoneXL http://t.co/C8MKJBCEKP",2,6
570223238506278912,2015-02-24 14:06:28,Proud to be w/our County Commissioners for the annual DC fly-in; they are our partners in the front line #ACCA #NACO http://t.co/62s80q9V3F,1,0
569536878204084224,2015-02-22 16:39:07,Let me be clear: DHS funding bill is being blocked in Senate by Dems in minority who don't want to vote on immigration amendments #justvote,8,1
569203029272100864,2015-02-21 18:32:32,RT @ALGOP: Congratulations to Terry Lathan on being elected the new Chairman of the Alabama Republican Party! #ALGOP #alpolitics,14,0
568936803589357568,2015-02-21 00:54:38,RT @BretBaier: A federal committee wants you to eat a greener diet-- what do you think? @MikeEmanuelFox reports: https://t.co/A2k4BzBygX,16,0
568920023764488192,2015-02-20 23:47:58,RT @lookingforcass: Great event #MountainValleyArtsCouncil with @WillAinsworth27 @Robert_Aderholt and #Guntersville Mayor Leigh Dollar http…,3,0
568842431774523392,2015-02-20 18:39:38,"Beef ""red meat"" it's what's for lunch. http://t.co/NNxbiikjqY",15,19
566596868646248449,2015-02-14 13:56:35,"RT @HouseGOP: Check out the Weekly GOP Address, delivered by Oklahoma's @GovMaryFallin. #KeystoneXL
https://t.co/nw7uikEgrL",17,0
566269427973652483,2015-02-13 16:15:27,"RT @HouseAppropsGOP: Today's hearing focuses on #oversight at @USDA and improving the management of federal agencies and programs, says Cha…",4,0
565936486563205120,2015-02-12 18:12:27,Standing with @SenatorSessions to make sure our country stays safe by getting DHS bill passed in the Senate. http://t.co/8NWn4Utkvx,4,5
565928402461683712,2015-02-12 17:40:20,House + Senate leaders are unified: Senate Dems should stop filibustering funding for DHS http://t.co/L1bwcqVbbA,29,30
565543136026693633,2015-02-11 16:09:25,Congressman Aderholt brings the first Agriculture Appropriations Subcommittee Meeting of the 114th Congress to order. http://t.co/Smb4yJ5ygo,3,2
565528878584983552,2015-02-11 15:12:46,Chairman Aderholt pauses Agriculture Appropriations CFTC hearing in silence prayer for loss of @RepAlanNunnelee http://t.co/ZErlURR3Fg,1,3
565143436438032384,2015-02-10 13:41:09,Speaking to National Rural Water Association about how rural America drives our economy #agriculture #ruralwaterrally http://t.co/kS0xl7QhPn,10,2
564094293590417408,2015-02-07 16:12:14,Alan was a dear colleague and friend. He made a difference and will be greatly missed. http://t.co/E4cFMx2FUT,5,2
563797423999700992,2015-02-06 20:32:35,"Alan Nunnelee, Mississippi congressman, dies at 56 http://t.co/uZWuf8tn76 via @clarionledger &lt;--- good write up about a great man",2,4
563768244612644864,2015-02-06 18:36:38,Have just been told that we lost my friend Alan Nunnelee as he has gone home to be with Jesus. Prayers for his strong + faith led family,3,3
563291870009499648,2015-02-05 11:03:41,House passed DHS funding that Senate Dems are afraid to vote against; blocking bill so won't be on the record #DontShutDownOurSecurity,12,1
562737030430720001,2015-02-03 22:18:57,"RT @SteveScalise: House passed a bill to fund #DHS, protect our #border and undo the President’s unconstitutional #immigration actions. Sen…",104,0
562734370910650369,2015-02-03 22:08:23,RT @RepByrne: Great news! The House just passed my bill to repeal #Obamacare by a vote of 239 to 186. Bill now moves to the Senate.,35,0
562730049422786560,2015-02-03 21:51:13,RT @SteveScalise: Senate Rs tried to fund #DHS &amp; block POTUS' unconstitutional #immigration actions. Dems must join them. They’ll get more …,75,0
562439168492838912,2015-02-03 02:35:22,"RT @ChadPergram: Apps Cmte mbr Aderholt on if GOP can accept anything short of curbing #immigration exec orders on DHS bill: ""No.."" Says R'…",10,0
562299740810149888,2015-02-02 17:21:19,President Obama releases FY16 budget today: a pony for everyone...but Congress has to clean-up the mess #Obamanomics #Budget #Appropriations,7,1
560827497655582720,2015-01-29 15:51:09,...cannot imagine a Senate without @SenShelby! @orndorfftroyan #alpolitics,4,1
560768987236401152,2015-01-29 11:58:39,President to announce busting budget caps today (after claiming credit for $$$ cuts in SOTU) Appropriations Committee will hold him in check,4,0
557889898049708035,2015-01-21 13:18:11,Going on 770 AM to talk to @TheDaleJackson near the top of the hour... tune in.,5,2
556053922256011264,2015-01-16 11:42:40,@TomRooney ....thanks Tom for helping pass amendments that stops President Obama's #ExecutiveAmnesty overreach.,1,1
556053063484866560,2015-01-16 11:39:15,@RepShimkus ...thanks for your help in passing these important amendments to stop President Obama's overreach in #ExecutiveAmnesty,1,2
555407337171980289,2015-01-14 16:53:22,Last night I went on @myfoxal to talk about my bill to defund the President’s executive amnesty overreach:  http://t.co/sNPxnmaCJJ,7,1
555392050011852800,2015-01-14 15:52:38,@RepAndyHarrisMD is a welcome addition to Agriculture Appropriations; looking forward to working w/him on important issues for rural America,0,1
555360168847089665,2015-01-14 13:45:57,@TheDaleJackson @mattmurphyshow ...just because you sound so smart and articulate...hard to tell the difference!,2,0
555355916997242881,2015-01-14 13:29:03,About to join the @TheDaleJackson show to discuss defunding #ExecutiveAmnesty through amendment on House floor today.,2,5
555337964465577985,2015-01-14 12:17:43,Going to be talking about repealing President Obama's #ExecutiveAmnesty on @mattmurphyshow this morning; tune in on 1070 am WAPI,2,3
555205959233310720,2015-01-14 03:33:10,"So very proud for @scofield4senate ""@yhn: Alabama senator orchestrates unforgettable proposal on Senate floor http://t.co/63LPdcFty9""",4,3
554976484465856514,2015-01-13 12:21:19,RT @LeadaGore: House comm. passes @Robert_Aderholt's plan to combat #POTUS amnesty plans. Nasty battle looms as White House will fight hard…,10,0
554976110531055616,2015-01-13 12:19:50,RT @Cliff_Sims: House Rules Committee just voted 7-3 along Party lines to use Rep. @Robert_Aderholt's language to roll back O's Exec. Amnes…,10,0
546085297575182338,2014-12-19 23:30:55,"Go Bama! #RollTide ""@UofAlabama: Crew of USS Alabama submarine in Bangor, Wash. gave a shout out to UA on Wednesday. http://t.co/zI9m8pj1oR""",5,6
542503286029316096,2014-12-10 02:17:17,"RT @RulesReps: Text of Consolidated and Further Continuing Appropriations Act, 2015 now available online: http://t.co/1D6hiUH427",25,0
