id,created_at,text,retweets,favorites
601384819432521728,2015-05-21 13:51:28,"RT @RepEBJ: .@HouseGOP's ""America COMPETES Act"" is anti-science, anti-innovation &amp; caters to special interests. http://t.co/f77WjXXpre",61,0
601043828305481728,2015-05-20 15:16:30,"RT @StopFastTrack: REPORT: #TPP ""demonstrably worse than the status quo &amp; won’t force China to become a nation that trades fairly."" http://…",37,0
601037973707214848,2015-05-20 14:53:14,RT @RepLoisFrankel: .@HouseGOP has punted Highway Trust Fund deadline 2 months deeper into the critical summer construction season. This is…,87,0
600779767214903296,2015-05-19 21:47:13,Thanks for inviting me to share my thoughts on the subject! https://t.co/qdnqBuGPlI,3,1
600758414868807680,2015-05-19 20:22:22,Thanks to @ThousandDays for transforming the agenda on global child nutrition and #hunger #OlympicWin http://t.co/sm5Dp3yaZV,9,9
600710455305318402,2015-05-19 17:11:47,It's Older Americans Month. Proud to support Meals on Wheels &amp; other programs to help #SolveSeniorHunger http://t.co/Ce9Y3lxLHU,4,3
600663218151915520,2015-05-19 14:04:05,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600654398356922368,2015-05-19 13:29:02,RT @StopFastTrack: BREAKING: They're paying for trade adjustment assistance ... by raiding $700 million from Medicare?  http://t.co/oezSZkP…,49,0
600369371375136768,2015-05-18 18:36:27,RT @janschakowsky: There are many reasons to defeat the trade bills in Congress. Please see my piece in @HuffingtonPost: http://t.co/REN6Lc…,6,0
600330693193945088,2015-05-18 16:02:45,RT @babobotanicals: We stand with @EWG to support http://t.co/Gj2aSUc0eh #SunSafety #BaboSuncare #DailySheerSPF40ForFaceSunscreen http://t.…,7,0
600322573025574913,2015-05-18 15:30:29,No better way to spend our ed $$ than on early childhood development like #HeadStart50--most effective program in that realm,7,10
600319477503401984,2015-05-18 15:18:11,Joined CT transpo &amp; building leaders 2 call 4 immediate long-term reauthorization of Highway Trust Fund http://t.co/vDrSyAC7iY,1,3
