id,created_at,text,retweets,favorites
601052379719536640,2015-05-20 15:50:28,Honored to join @the_USO to assemble care packages for members of our armed forces today. Thank you for your service! http://t.co/FpXw64M6oD,7,6
600756641533796352,2015-05-19 20:15:19,RT @OfficialCBC: Congressional Black Caucus seeks measures to improve tech diversity http://t.co/V7iztJLRYi via @usatoday #TechDiversity,24,0
600754725647056899,2015-05-19 20:07:42,"#Tech success lies in innovation. To keep pushing forward, we need #TECHdiversity! http://t.co/sP9JFihrYV",0,0
600754155238531073,2015-05-19 20:05:26,"Joining @OfficialCBC in launching CBC Tech 2020, an initiative to increase Af Am representation &amp; inclusion in #tech sector. #TECHdiversity",1,0
600754089501163520,2015-05-19 20:05:11,RT @OfficialCBC: Have questions about the CBC’s new #tech initiative? Tweet them using #TECHdiversity. #Tech @OfficialCBC @BenJealous http:…,10,0
600669769231110145,2015-05-19 14:30:07,Two @AlbanyStateUniv students visit @WhiteHouse to gain insight from Foster Care #Youth Champions of Change program: https://t.co/BAyucfzYCj,8,5
600391051854139392,2015-05-18 20:02:36,"Happy 50th Anniversary, @HeadStartgov! Today let's celebrate our nation's commitment to #children. #HeadStart50 http://t.co/jxKK5ppIfl",2,0
600297982429388800,2015-05-18 13:52:46,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,141,0
598253604080721920,2015-05-12 22:29:08,RT @RepCharlieDent: Honored to tour @ArlingtonNatl today with my colleagues @RepSamFarr &amp; @SanfordBishop. #OurMostSacredShrine http://t.co/…,4,0
596702055621926913,2015-05-08 15:43:50,Today is #MilitarySpouseAppreciationDay! Thanks to all of our military spouses for standing beside their loved ones in serving our nation.,1,2
593484051765469185,2015-04-29 18:36:38,Tune in to watch the House of Representatives debate funding for #military construction &amp; @DeptVetAffairs: http://t.co/1CU8d9YpAY. #MilConVA,1,0
593134770030280704,2015-04-28 19:28:43,RT @SenatorIsakson: Another great #GAmil mtg w/ @GeorgiaGuard BG Joe Jarrard. Proud to be fmr member of #GA @AirNatlGuard. #gapol http://t.…,6,0
592760945434320899,2015-04-27 18:43:17,"Congratulations to the Deerfield-Windsor School's girls Tennis Team for winning 2nd place in the State! #SWGA #Pride
http://t.co/gNX9hMCT6w",1,0
591337291676831744,2015-04-23 20:26:11,#TBT Then &amp; Now: Interns have played an integral role in my service as a U.S. Rep. Farewell to another great group! http://t.co/yWnwrpnd0q,2,1
590917438331584514,2015-04-22 16:37:50,"Tune in for House Approps Committee debate funding for #military construction, @DeptVetAffairs. #Vets @AppropsDems https://t.co/0KXQBlOxir",2,0
590903342693482497,2015-04-22 15:41:50,"Tune in to watch House Approps Committee debate funding for #Water, #Energy, #SHEP, #nuclearenergy, @USACEHQ, #GA  http://t.co/J63cyQgrhY",0,0
