id,created_at,text,retweets,favorites
601160262977204224,2015-05-20 22:59:10,Our bill would help states fulfill a federal mandate to provide tuition-free college for Native American Indians. https://t.co/hLI4DX7JGt,1,4
601108217121415168,2015-05-20 19:32:21,RT @denbizjournal: .@SenBennetCO's tax break bill that could make write-offs for #smallbiz into a permanent $1M: http://t.co/YILJgFQsqb htt…,7,0
598972697150885888,2015-05-14 22:06:34,Joint statement with @SenCoryGardner &amp; @RepMikeCoffman on Denver VA Hospital: http://t.co/KJ7FzlfaMa,2,1
596306042042089473,2015-05-07 13:30:13,Joining @BPC_Bipartisan this a.m. for a discussion on America's #infrastructure funding crisis. Watch here: http://t.co/bMoY0y63YX,8,0
596018907363856384,2015-05-06 18:29:15,"#CharterSchoolsWeek is opportunity 2 recognize accomps of teachrs, school leaders, parents, &amp; students who create successful charter schools",9,8
596017628545679360,2015-05-06 18:24:10,"In CO, many charter schools are improving student achievement and preparing students for success in college and careers. #CharterSchoolsWeek",4,3
595680153876987905,2015-05-05 20:03:10,"RT @NEAToday: Did you know Tuesday, May 5 is #NationalTeacherDay? Make sure to #ThankATeacher all week long! RT to spread the word! http://…",715,0
595620261849931776,2015-05-05 16:05:11,"On #CincoDeMayo, we honor the Mexican fight for freedom &amp; the contributions Mexican-Americans have made to America. http://t.co/cT1nsWajmf",4,5
593196306123882496,2015-04-28 23:33:15,RT @GOPSenFinance: Today Chairman @SenOrrinHatch and @SenBennetCO introduced the Social Impact Partnership Act. Read more here: http://t.co…,8,0
590984858303856643,2015-04-22 21:05:44,#EarthDay serves as reminder that every day we can do our part to protect land and water and conserve our resources http://t.co/ycFP2jwI2Q,10,3
590881595877412864,2015-04-22 14:15:25,Senate ENR Cmte is discussing #LWCF today. We need to pass Burr-Bennet bill for permanent reauth and then get full funding ASAP.,19,13
590542721493917696,2015-04-21 15:48:51,Loretta Lynch has waited longer than last 7 AGs combined for vote by Senate. Time to end this delay and #ConfirmLynch http://t.co/UiEwvDBxBT,12,4
590147795186798592,2015-04-20 13:39:33,RT @Adams12: Thank you Senator Bennet for guest-teaching AP US Government at Northglenn High School today. @SenBennetCO http://t.co/j3BEov6…,8,0
588039652130611202,2015-04-14 18:02:32,The gender wage gap hurts women and our economy. The #PaycheckFairnessAct will give women the tools they need to fight that gap #EqualPayNow,12,12
586556592679686144,2015-04-10 15:49:24,Looks like a great day for some baseball. Let's go Rockies! #OpeningDay https://t.co/AKpEbXHYpS,2,7
585870446312062976,2015-04-08 18:22:54,James Canyon Drive to @JamestownCO has reopened to public! Sounds like a great way to spend a beautiful CO spring day.http://t.co/o5lUyueZmB,4,3
583767382847582208,2015-04-02 23:06:04,#COinnovation is alive and well at Welltok in Denver http://t.co/aNjwITUN0y,9,7
581251811744550912,2015-03-27 00:30:05,Our climate change amdt passed Senate 53-47. We must be serious abt combating #climatechange to protect our economic &amp; natl secy #VoteARama,20,9
580491571923148800,2015-03-24 22:09:10,Senate unanimously passed our amdt to improve care for our nation's sickest kids by cutting red tape in Medicaid: http://t.co/xj6p3B2ymx,5,3
580412267419869184,2015-03-24 16:54:02,RT @BPC_Bipartisan: BPC Governors’ Council applauds @robportman &amp; @SenBennetCO for calling attention to childrens' health care needs &amp; stat…,6,0
580013574006919168,2015-03-23 14:29:46,Congrats to @GlenwoodCaverns Adventure Park for being 1 of 7 finalists for @USChamber Small Biz of the Year Award! #smallbiz,1,3
578306671832907776,2015-03-18 21:27:09,And good luck @CUBuffsMBB against Gardner-Webb in @CBItourney tonight! #GoBuffs,5,7
578306642976120832,2015-03-18 21:27:02,Best of luck to @CSUMensBball in #NIT first round against South Dakota State! #GoRams,1,3
576133133772406784,2015-03-12 21:30:17,"Intro'd bill w/ @SenCoryGardner to avoid/end another govt shutdown, forces Sens to keep working until govt reopens   http://t.co/xl8RTjBO07",13,6
575841213473026048,2015-03-12 02:10:18,".@RepPerlmutter In the Senate, we’re hoping to address higher ed access &amp; costs, w/ ideas like simplifying @FAFSA #CO7TownHall",4,2
575840965782597634,2015-03-12 02:09:19,.@RepPerlmutter Thanks for hosting this Twitter town hall. What ideas are you working on in the House tackle higher ed costs? #CO7TownHall,2,3
575769890486878209,2015-03-11 21:26:53,"RT @WstrnPriorities: Drawn by public lands, new retirees create thousands of jobs across the West. New research: http://t.co/QCRzTBpTG9 htt…",7,0
575341248791339011,2015-03-10 17:03:37,"Senate has had plenty of time to consider Loretta Lynch's nomination to be Atty Gen. After 122 days, it's time to #ConfirmLynch",25,12
573975516698537984,2015-03-06 22:36:41,Joined 210 of my colleagues in filing a #SupremeCourt amicus brief on marriage equality: http://t.co/QVq0NEvNrw #LoveCantWait,73,181
573947881616502784,2015-03-06 20:46:53,".@USDA now taking apps for Rural Energy for Am. program, initiative to promote renwble enrgy/effncy across rural CO: http://t.co/nx56xRP2J7",1,2
573227892978651138,2015-03-04 21:05:54,"Finally, the nonpartisan @USCBO found our bipartisan Senate bill would increase natl GDP and decrease our deficit #immigrationDEN (5/5)",6,1
573227486252830722,2015-03-04 21:04:17,"40%+ of Fortune 500 companies founded by immigrants or their children, employ 3.6M+ pple, generate $4.2T+ in revenue #immigrationDEN (4/5)",4,0
573227034320752641,2015-03-04 21:02:29,1 in 5 of Colorado's engineering and technology startups are founded by immigrants. #immigrationDEN (3/5),9,6
573226913520603136,2015-03-04 21:02:00,Senate bill would create jobs by allowing the best &amp; brightest immigrant entrepreneurs start new businesses here in US (2/5) #immigrationDEN,3,0
573226617708908545,2015-03-04 21:00:50,Some additional thoughts on #immigrationDEN chat...: cc: @denbizjournal @9NEWS (1/5),0,1
