id,created_at,text,retweets,favorites
592800454519738369,2015-04-27 21:20:16,UCF for 2nd year in a row wins national title in cyber-defense competition. http://t.co/Cq0NoJ11Di,18,14
588088470452699139,2015-04-14 21:16:32,Castro should not be rewarded while there are ongoing human rights violations in Cuba. http://t.co/nMXvnBIiQF,12,7
587689936498884608,2015-04-13 18:52:54,I have a great personal and professional relationship with Marco. But I am all in with Hillary.,48,60
583287206015537152,2015-04-01 15:18:01,RT @Daniel_Sweeney: .Sen. Bill Nelson rallies for Medicaid expansion before the @FLSenate Democratic Caucus. http://t.co/xBT1oFnn7s,22,0
581191180207128576,2015-03-26 20:29:10,Science shouldn't be muzzled. http://t.co/gxLibsNS1U,47,38
575764315061493760,2015-03-11 21:04:44,Reports say Florida led the nation in Obamacare sign ups. http://t.co/t9csEwO5Jc,34,22
575029959682560000,2015-03-09 20:26:40,Just filed a bill to increase penalties for ID thieves who commit tax fraud. Here are the details: http://t.co/5K5cvrRoHN,17,16
571375566118645760,2015-02-27 18:25:25,Pleased to have @ConsumersUnion support of our bill protecting kids from poisoning. http://t.co/58lgmdaDG9,11,10
571373186014523392,2015-02-27 18:15:57,Happy to report @ConsumerFed support of my bill to make liquid nicotine packaging child-resistant. http://t.co/hKnxKwlA9D,6,9
570656567495958528,2015-02-25 18:48:22,"I’ve asked @TheJusticeDept to investigate the deaths of 51 kids at the Dozier School for Boys in Marianna, FL: http://t.co/hV7Edxk5l1",22,18
570269828965130240,2015-02-24 17:11:36,RT @fawnjohnson: The Democrat With the Bully Pulpit @SenBillNelson and #supercookies.  http://t.co/JXlhb0lbPk via @nationaljournal,5,0
562380354225721345,2015-02-02 22:41:39,"RT @CAdamsMcClatchy: On @WhiteHouse budget, @SenBillNelson of FL says: 'One of the good things' is an end to 'meat-cleaver' sequestration a…",11,0
554726969586515968,2015-01-12 19:49:50,"RT @bnjacobs: And it happened on this date in 1986. Our Administrator's first space shuttle flight. Among the crew, @SenBillNelson http://t…",18,0
552826964953014273,2015-01-07 13:59:54,The people behind the attacks in Paris are nothing but murderous extremists.,17,18
552221393291845633,2015-01-05 21:53:34,ESPN'S Stuart Scott had an amazing ability to connect with people including many who remember his time broadcasting in Orlando.,12,6
547520709061537793,2014-12-23 22:34:44,Florida has officially surpassed New York to become the third most populous state in the country.,70,28
540861854957203456,2014-12-05 13:34:49,I shot this video of #orion launch this morning @nasakennedy @nasa_go4launch http://t.co/vRxh74Yv9L,77,99
540844924623912960,2014-12-05 12:27:33,#Orion is a star now,38,44
540194400274759680,2014-12-03 17:22:36,Today marks fifth year of Alan Gross’s wrongful imprisonment in Cuba. On my way to the White House now – will discuss case while I’m there.,14,11
535864119124324352,2014-11-21 18:35:36,"Saturday is National Adoption Day. Remember, there are an estimated 100,000 kids in the U.S. in need of a good home. http://t.co/Yw3Hurj30w",10,4
535495579108114433,2014-11-20 18:11:09,Another campus shooting. Yet we still haven't started even a dialogue on keeping guns from criminals and the mentally ill.,96,89
535467997813809152,2014-11-20 16:21:33,Demanding answers from auto officials at airbag hearing. Watch here now: http://t.co/uclXxnH6rn,3,4
535092441339424768,2014-11-19 15:29:14,Tomorrow I’m asking officials for answers about deadly exploding airbags at 10am Senate hearing. Stay tuned for a link to watch.,6,7
532577597549719553,2014-11-12 16:56:08,Congrats to our European partners in space exploration for landing the first-ever spacecraft on a comet.,35,30
527154375794651136,2014-10-28 17:46:11,I’ve asked carmakers to give owners loaners or cover rental costs until all defective airbags are fixed. http://t.co/GnXqivSPHg,14,12
522817995572531200,2014-10-16 18:34:58,The situation in Dallas has convinced me it’s time to set up White House war room led by Ebola point person. http://t.co/VctePwIIvK,14,12
520589962321100800,2014-10-10 15:01:33,"Proud of Jayne Ellspermann from West Port High School in Ocala, named 2015 National Principal of the Year!",2,5
