id,created_at,text,retweets,favorites
601122896761720833,2015-05-20 20:30:41,Today marks the one year anniversary of Marriage Equality in Pennsylvania! http://t.co/gfkqmY4Xz4,12,9
601036435219709953,2015-05-20 14:47:07,"Wishing @BeauBiden a speedy recovery. Thinking of the @VP, @DrBiden and the entire Biden family.",4,4
600654828814073857,2015-05-19 13:30:45,"Although the circumstances can often be tragic, I’m encouraged to see so many chose to give the gift of life - http://t.co/Vl2VV3Nzd1",1,0
600422228962979840,2015-05-18 22:06:29,"Grateful to @Amtrak employees for their tireless work in bringing the #NEC back to a safe, full service. http://t.co/wQUBwholp0",1,7
600420522468483073,2015-05-18 21:59:42,RT @thehill: Obama &amp; Philadelphia officials huddle over deadly Amtrak crash: http://t.co/fOsHSzBUkZ http://t.co/3PFfg53JZT,22,0
600374693951086593,2015-05-18 18:57:36,This morning I welcomed @POTUS to Philadelphia; now I'm happy to welcome him to Twitter! http://t.co/9GNb3CZlXV,17,35
600354543034064898,2015-05-18 17:37:31,"RT @juliehdavis: Obama greeted in Philadelphia by Mayor Nutter, Senator Casey &amp; thanked 1st responders 2 Amtrak derailment on Tarmac http:/…",10,0
600347728376418304,2015-05-18 17:10:27,Greeting the President in Philadelphia. Repost from@petesouza. https://t.co/1EhcGtxY6I,2,4
600343922154545152,2015-05-18 16:55:19,Happy 50th @HeadStartgov! Thanks for providing 50 years of opportunity for our most vulnerable children! #HeadStart50 http://t.co/SmdUJZ8NhR,10,4
600306677171277824,2015-05-18 14:27:19,"Congratulations to Wyomissing native, @taylorswift13 on her multiple #billboardawards! http://t.co/ZsxggHzJkO",8,6
599960068273090560,2015-05-17 15:30:01,"RT @FaceTheNation: Congress should not make #Amtrak choose ""between positive train control safety and fixing crumbling bridges,"" @SenBobCas…",8,0
599960031338049537,2015-05-17 15:29:52,"RT @FaceTheNation: Positive train control would ""override"" human error and force trains to slow down per safety regulations, @SenBobCasey s…",4,0
599946425779265536,2015-05-17 14:35:49,"RT @FaceTheNation: ""We've got to make sure... that we've got positive train control in place,"" says @SenBobCasey from 30th Street Station i…",6,0
599937940270227456,2015-05-17 14:02:05,RT @CBSNewsPress: Coming up on @FaceTheNation @ScottWalker; Fmr. Secretary Gates; @SenBobCasey; Rep. David Nunes; NTSB's Robert Sumwalt and…,1,0
599265756770078720,2015-05-15 17:31:04,"RT @FaceTheNation: SUNDAY: The latest on the #Amtrak disaster, and an interview with @SenBobCasey, who has been at the crash site near Phil…",7,0
598855357407043586,2015-05-14 14:20:18,The perpetrators of the #KarachiBusAttack must be brought to justice.,2,1
598855232437780480,2015-05-14 14:19:48,My thoughts and prayers are with the people of #Pakistan and the Ismaili community after the horrific #Karachibusattack.,2,5
