id,created_at,text,retweets,favorites
601070503302926336,2015-05-20 17:02:29,The best way to start my day is  w/ coffee and fellow Wyo. folks. Thx to all who joined @SenatorEnzi and me at #WyomingWednesday this spring,2,6
601041709963804673,2015-05-20 15:08:05,#POTUS should focus on delivering leadership &amp; an effective strategy to fight terrorists who want to attack us &amp; kill more Americans.,6,3
601041282216103936,2015-05-20 15:06:23,"After all, Americans understand there are much more immediate threats facing our nation—ISIS &amp; fall of Ramadi in Iraq is a clear example.",3,4
601040950878728192,2015-05-20 15:05:04,"In his speech today, President Obama must address the national security threat of ISIS – not climate change. https://t.co/qzil0WTaSU",12,6
601019377832566784,2015-05-20 13:39:20,"RT @Interior: Mornings @GrandTetonNPS look something like this: Beautiful!
Pic by Duane Jurma #Wyoming http://t.co/wfRvenkpn8",500,0
600721750456926209,2015-05-19 17:56:40,Rather than wait for a rule that won’t represent interests of most Americans—let’s move forward w/our bipartisan bill http://t.co/LrcZAh5Vns,2,5
600720976360374272,2015-05-19 17:53:36,"At EPW hearing today, I spoke about my bipartisan #WOTUS bill to protect navigable water and our farmers &amp; ranchers. https://t.co/B4UmJPJJnj",5,1
600661834941730816,2015-05-19 13:58:35,Senate EPW Cmte hearing on my bipartisan #WOTUS bill starts at 10 am ET—watch it LIVE here: http://t.co/Fwz8PTL7bS,1,1
600373192742559745,2015-05-18 18:51:38,"On this day in 1887, the cornerstone was laid for the Wyoming State Capitol building in @CheyenneWY  #WyoHistory http://t.co/uFxUUiCRin",2,6
600043163345104898,2015-05-17 21:00:13,Congratulations to the #Classof2015.  https://t.co/lDGdqGm2ix,1,3
598908644785291264,2015-05-14 17:52:02,The U.S. is the world’s largest producer of oil &amp; gas—this bill will help give us a safe &amp; reliable way to transport this energy to market.,3,3
598907292000616448,2015-05-14 17:46:40,Energy Cmte held hearing on my bipartisan bill to reduce flaring &amp; expedite permitting of nat’l gas gathering lines. https://t.co/cyjIvhmi3w,2,2
598889102742835201,2015-05-14 16:34:23,"RT @EnergyGOP: .@SenJohnBarrasso on #LNG #exports, pipeline permitting, and continued delays. #infrastructure
https://t.co/AQ0InTYEL0",5,0
598552295899541504,2015-05-13 18:16:02,RT @EnergyGOP: It's time to #LiftTheBan on U.S. #oil #exports. Learn more about @lisamurkowski's bill: http://t.co/eXSkyR5U63 http://t.co/r…,17,0
598526941105397760,2015-05-13 16:35:17,"RT @EnergyGOP: .@SenJohnBarrasso: Ending #exports ban will allow US producers to add to global #oil supplies, help stabilize market http://…",5,0
598514793163677696,2015-05-13 15:47:01,"#TPA will break down trade barriers &amp; help American farmers, ranchers and manufacturers sell more products overseas. http://t.co/nzc0yHhfLh",4,2
598514105905971200,2015-05-13 15:44:17,It’s time for Senate Dems to stop blocking trade promotion authority that helps American workers &amp; our economy. https://t.co/W7DmgCuFXS,1,1
598233910540181504,2015-05-12 21:10:53,It’s time for @FERC to complete the permitting process for the #JordanCove LNG export facility.,3,2
598233208161959936,2015-05-12 21:08:06,And I call again on @ENERGY to deliver the same economic opportunities to communities out West. http://t.co/oT8zLzPwDY,2,2
598232704828735489,2015-05-12 21:06:06,I applaud @ErnestMoniz &amp; @ENERGY for approving Corpus Christi project to export #LNG today. Another step in the right direction.,6,5
