id,created_at,text,retweets,favorites
601148023469645825,2015-05-20 22:10:32,"Congrats to Gigi Wilz, new brigadier general for  @NDNationalGuard. She is the 1st female general for the NDNG- great work!",1,4
601110582557835264,2015-05-20 19:41:45,Spoke at @aahomecare Leg Conf to discuss impact on seniors &amp; biz of CMS's new rates for durable med equipment #WLC15 http://t.co/ktnJ8wBYnU,0,2
601081623942160384,2015-05-20 17:46:41,Met w/ Air Traffic Controllers Association to discuss importance of aviation safety and flying #UAS in #North Dakota http://t.co/JyFCOIGYD4,0,1
601079707279433729,2015-05-20 17:39:04,"Discussed tax reform, insurance issues w/ Natl Association of Insurance &amp; Financial Advisors-ND. Thanks for visiting! http://t.co/pE9uU0YO7s",2,0
600749180743602179,2015-05-19 19:45:40,"Had the pleasure of meeting w/ @MarchofDimesND to discuss how we can ensure the health of women, children &amp; families http://t.co/kBeOlWMiYb",0,1
600748769286574080,2015-05-19 19:44:02,"Met w/ @NDSCPAnews to discuss leg issues that can help them cont. to provide advocacy, info, training for the CPA http://t.co/wBXCtlZoE4",0,1
600723142303227904,2015-05-19 18:02:12,"Introduced Sen. Resolution declaring today, May 19, as Natl Schizencephaly Awareness Day to raise awareness &amp; support http://t.co/1n4thPteZP",0,1
600381555626868737,2015-05-18 19:24:52,"Today we celebrate 50 years of commitment to our children. Happy Anniversary, Head Start! #HeadStart50",1,4
600308924257071104,2015-05-18 14:36:15,Enjoyed meeting Vietnam vets frm ND at opening ceremony of Fargo Air Museum's Vietnam Memorial http://t.co/A1W8svqNJA http://t.co/exigbVmTiy,0,5
599219810455588865,2015-05-15 14:28:30,Today is 34th Natl Peace Officers' Memorial Service- a ceremony to honor service of fallen &amp; living law enforcement. Thanks for all you do,3,3
598967705354444800,2015-05-14 21:46:43,Proud that @myUND is key member of UAS team selected for Center of Excellence. UND will research tech for UAS in US http://t.co/OuQ6LwvBH9,1,4
598940617205493762,2015-05-14 19:59:05,Thanks Paul Lindseth of @myUND for work to advance UAS in ND. Congrats on FAA selection as UAS Center of Excellence! http://t.co/979KEakqhy,4,5
598922070412677121,2015-05-14 18:45:23,"Thank you to @ndrealtors for stopping by for a productive discussion on mortgages, tax reform, FEMA http://t.co/hYqS69cTWl",0,0
598562901734064129,2015-05-13 18:58:11,Introduced Energy Supply &amp; Distribution Act of 2015 w @lisamurkowski to lift decades-long ban on US crude oil exports http://t.co/GWikWsJ8aR,4,4
598245417944395777,2015-05-12 21:56:37,RT @GaryShapiro: Big thanks to @CoryBooker &amp; @SenJohnHoeven for leg recognizing potential of #UAS to help grow our innovation economy http:…,3,0
598217767020580865,2015-05-12 20:06:44,RT @ALSA_MNNDSD: Great meeting with @SenJohnHoeven and our North Dakota delegates! #ALSAdvocacyDay2015 http://t.co/l0ciLJz05p,8,0
598199294856953856,2015-05-12 18:53:20,"Discussed nutrition standards, importance of stroke research w/ American Heart Assn. Thanks for visiting, @NDheart! http://t.co/8Hv71NST2w",3,3
598184371443605504,2015-05-12 17:54:02,RT @amycoleen77: Just finished a great meeting with @SenJohnHoeven #StepUp4HeartHealth #nd @NDheart http://t.co/492VhSV9Ns,5,0
596780563492646915,2015-05-08 20:55:48,It's #MothersDay this Sunday! Thank you to all of the hardworking moms out there who are raising the next generation of leaders,8,5
596776372225318913,2015-05-08 20:39:09,Thank you to Ms Campbell's 1st graders at Lewis &amp; Clark Elementary for sending this thank you note! http://t.co/7fOvcqOpEB,1,3
596736696961601536,2015-05-08 18:01:30,Good luck to all running the #FargoMarathon tomorrow! Thank you to @RunFargo262 for planning a great event. #fargo @FARGO_MARATHON,2,6
596692378074898433,2015-05-08 15:05:23,Grateful for no injuries frm Heimdal derailment &amp; to 1st responders. We must do all possible to move crude safely http://t.co/PRdNM4qmpt,4,2
596681654623666177,2015-05-08 14:22:46,Today is 70th anniversary of VE Day- thank you to the men and women of the #greatestgeneration who secured our freedom #VEDay70,3,4
596423979247738880,2015-05-07 21:18:52,"Since our nation's founding, Americans have turned to prayer for hope &amp; strength. On #NationalDayofPrayer we acknowledge our many blessings",3,10
596400127549538304,2015-05-07 19:44:05,Great working w @BorderStates Electric &amp; @DakotaSupply fm @cityoffargo- thanks for stopping by to discuss leg updates http://t.co/sXxiGUD3ul,6,2
596388148806033408,2015-05-07 18:56:29,It's  #MentalHealthAwarenessMonth. #Vets are invited to chronicle recovery journey on http://t.co/bbNCS5TGX4 to reduce mental health stigma,1,3
596351968634863617,2015-05-07 16:32:43,"RT @NSBActionCenter: NSBA supports bill by @SenJohnHoeven @SenAngusKing to offer flexibility in meeting whole grain, sodium requirements ht…",2,0
596351934484844544,2015-05-07 16:32:35,RT @SchoolLunch: SNA supports Healthy School Meals Flexibility Act introduced by @SenJohnHoeven and @SenAngusKing https://t.co/77LvIhDXVX,5,0
596078200201043968,2015-05-06 22:24:52,"Great to see Ryan Rauschenberger, Tax Commissioner. Thanks for stopping by! http://t.co/x3vG6QNMlt",3,6
596077620623777792,2015-05-06 22:22:34,.@FMOpera is a great cultural asset to North Dakota- great meeting Director David Hamilton http://t.co/V5Q6GbtORB,1,1
596072945576972288,2015-05-06 22:03:59,"Met ND leaders to outline how Move America helps est comprehensive, permanent flood protection http://t.co/Hdwz39D241 http://t.co/YklqAenDJz",3,2
596051883573272576,2015-05-06 20:40:17,Met w/ #NorthDakota Hospital Association to discuss leg policies that can help them cont. to provide great healthcare http://t.co/ftz3SPDSgI,1,1
596002129350889472,2015-05-06 17:22:35,Check out @1MillionCupsND @1MillionCupsFar &amp; @1MillionCupsGF to see some ND entrepreneurs inspiring innovation! Happy #smallbizweek #1mc,10,6
596001776958107650,2015-05-06 17:21:11,"Next Wednesday, May 13, my office will be holding a service academy info session for interested applicants at 5:30pm http://t.co/6BG2AkHPAA",2,1
595971970816147458,2015-05-06 15:22:45,Happy #NationalNursesWeek! Thank you to all of America's nurses- you play a vital role in our healthcare system http://t.co/FQNSsPyepz,4,3
595709263785422850,2015-05-05 21:58:50,Informative discussion on coop leg issues w/ @NDAREC and @Basin_Electric. Thanks for your hard work &amp; for stopping by http://t.co/7SlyNY06UC,7,2
595700889337384960,2015-05-05 21:25:34,Had a special visitor stop by the E4 Brokerage meeting earlier today- @dakotadan123's son! Thanks for visiting http://t.co/oFy0tb7nVf,2,2
595700084530118658,2015-05-05 21:22:22,Our state libraries are important. Thanks to ND State Librarian Mary Soucie for her work to support them http://t.co/PMVtsFqd8o,2,5
595688036383518720,2015-05-05 20:34:29,More than half of Americans either own or work for a #smallbiz- Happy Nat’l Small Business Week: http://t.co/bmqPXvtzMn #DreamSmallBiz,4,4
595687525949317121,2015-05-05 20:32:28,"Great meeting Lindsey Riddle of Bismarck, who represents the Natl Brain Tumor Society. Thank you for all that you do! http://t.co/UT0WfGxCrU",2,4
595671131484479489,2015-05-05 19:27:19,"Congrats to Lauren Knoll of Fargo, who won Prudential Spirit of Community Award for her extensive community service! http://t.co/rGwuQi2Aea",1,2
595637411905929218,2015-05-05 17:13:20,Happy #NationalTeacherDay! Our teachers are essential to ensuring the education &amp; formation of our next generation of leaders,3,4
595329013167562752,2015-05-04 20:47:52,Congrats to Carl Denton of Fargo &amp; Samantha Goerger of Wyndmere for being named 2015 US Presidential Scholars! http://t.co/ws5zERsPWe,4,3
