id,created_at,text,retweets,favorites
601443820178247681,2015-05-21 17:45:55,#SASC #NDAA2016 cuts $10B in wasteful &amp; excessive programs &amp; reinvests savings to modernize military capability for our warfighters,0,2
601443453868769282,2015-05-21 17:44:28,Proud that SASC #NDAA2016 makes sweeping reforms to #Pentagon - will be tweeting highlights of bill that cut waste &amp; strengthen armed forces,3,6
601433663667056640,2015-05-21 17:05:34,"Calling all #Arizonans - cast your vote to name #Flagstaff ""America’s Best Town"" by @outsidemagazine! http://t.co/NphrCpXrzb",17,16
601424252726878208,2015-05-21 16:28:10,Proud to honor military caregivers &amp; families from #AZ &amp; across the US w/ @DoleFoundation &amp; @JoelOsteen #HiddenHeroes http://t.co/ihsSVS9nq9,18,23
601389011119247360,2015-05-21 14:08:08,"Gen Jack Keane at #SASC hearing: ""We are not only failing [against #ISIL], we are in fact losing this war""",60,29
601384297774342144,2015-05-21 13:49:24,My opening stmt at #SASC hearing on Obama Admin's failing #MiddleEast policy: http://t.co/dVagYq4oz0 Tune-in live: http://t.co/U6aFbjW679,46,24
601377405794721792,2015-05-21 13:22:01,Holding #SASC hearing on US policy in #Iraq &amp; #Syria shortly w/ top nat'l security experts - watch live at 9:30am ET: http://t.co/GqzTJ1CD4a,16,20
601361778367397889,2015-05-21 12:19:55,"Imp't @WSJ read: ""Losing in #Iraq Again: Pentagon spin can’t hide that the U.S. strategy is failing"" http://t.co/YntV6LdLSM",29,16
601360520076206080,2015-05-21 12:14:55,"Must-read @WSJ: ""America Plays Russian Rocket Roulette"" http://t.co/jsgTTx2R0W",21,16
601198157867913217,2015-05-21 01:29:45,Deeply honored to be recognized by @PolishEmbassyUS - I will always be a proud champion of free &amp; democratic Poland! https://t.co/C2VNowiIvM,44,68
601181042670751745,2015-05-21 00:21:44,RT @cspan: WATCH: Complete remarks from @SenJohnMcCain &amp; @grahamblog on Military Action Against ISIS http://t.co/UTWLiHJCNW http://t.co/tbn…,39,0
601180922017349632,2015-05-21 00:21:15,RT @cspan: .@SenJohnMcCain “Do we give a damn about what’s happening in the streets of Ramadi?” https://t.co/0niZVzv94L,19,0
601170561671233536,2015-05-20 23:40:05,Guilty plea by 5 banks for antitrust violations shows too-big-to-fail institutions haven't learned their lesson: http://t.co/nDDteL4e3o,26,25
601149767855513601,2015-05-20 22:17:28,Glad FDIC agreed to hold educational workshop on cross-border business in Nogales #Arizona: http://t.co/kH1tZ92F5V,3,15
601132328467955712,2015-05-20 21:08:10,"#Ramadi does matter - it matters to 187 brave Americans who gave their lives &amp; 1,150 wounded to rid city of Al-Qaeda https://t.co/ATRSjjipRf",89,84
