id,created_at,text,retweets,favorites
600839654083043329,2015-05-20 01:45:11,"MYTH: TPA will ""take away your guns""
FACT: NOT A CHANCE. #TPA4USjobs
http://t.co/lg99T82B7X",3,1
600832137143656449,2015-05-20 01:15:19,"MYTH: TPA will allow the President to change immigration policy.
FACT: TPA will not affect immigration in any way.
http://t.co/bshYiGXyKD",1,0
600822017575780352,2015-05-20 00:35:06,"MYTH: TPA is about ""secret trade deals""
FACT: TPA is about unprecedented transparency, oversight on trade #TPA4USjobs
http://t.co/DtuJtshFUd",3,0
600814470659743744,2015-05-20 00:05:07,"MYTH: TPA lets the President circumvent Congress.
FACT: TPA strengthens Congress’s role, constrains the President.
http://t.co/bshYiGXyKD",3,1
600805748671655936,2015-05-19 23:30:27,ICYMI: Senator Hatch explains why TPA and trade are crucial for continued economic growth in Utah #utpol #TPA4USjobs https://t.co/12W28QUdoh,2,0
600770485618667520,2015-05-19 21:10:20,RT @UtahGOP: ICYMI: #utpol  https://t.co/7bGPYBp4G5,2,0
600674847652454400,2015-05-19 14:50:18,Utah Pulse: Hatch: TPA will Boost Jobs and Economy. #TPA4USjobs #UTpol http://t.co/UtfmOfHg91 http://t.co/LR7iPNjEaZ,11,5
600445810665529344,2015-05-18 23:40:11,"Myth: TPP is a ""secret trade deal"" 
Fact: TPA will ensure that TPP has a substantial public review phase. #TPA4USjobs http://t.co/OzCDCVKcj5",1,0
600437995427213312,2015-05-18 23:09:08,"ICYMI: Nigel Steward of Rio Tinto Kennecott on how TPA helps RTK workers, all Utahns. #utpol http://t.co/SNPOwhdajY http://t.co/TiDgt8vu5m",2,1
600404479817678848,2015-05-18 20:55:57,"Myth: TPA only helps large corporations.
Fact: Increased trade helps small/mid-size businesses the most. 
#TPA4USJobs http://t.co/TsSUs2W2v8",3,1
600310852869316608,2015-05-18 14:43:55,"Richard Nelson, CEO of @utahtechcouncil: Hatch's ""I-Squared Act good for tech companies, Utah economy."" #utpol http://t.co/8Opd0hF7JC",2,2
600007931770368001,2015-05-17 18:40:13,"""TTIP and TPP will lower tariffs and facilitate market access for Utah's mineral, agricultural and tech exports."" http://t.co/SNPOwhdajY",6,2
599960149151850496,2015-05-17 15:30:20,"""Trade is essential to Utah."" Find out how #TPA4USjobs, #TPP and #TTIP will help create jobs and prosperity at home. https://t.co/12W28QUdoh",2,0
599958847596396545,2015-05-17 15:25:10,"TPA drives high-quality trade agreements, not immigration policy. #TPA4USjobs http://t.co/8MjemvAfHt",1,0
599957602777362432,2015-05-17 15:20:13,"How Utah's economy benefits from trade: trade supports 374,000 jobs in Utah. #TPA4USjobs #utpol http://t.co/tXy2LbThab",4,4
599601497169604608,2015-05-16 15:45:11,"Find out about ""the little-noticed role of trade in small business success"" #TPA4USjobs http://t.co/SXfucZGCo1 http://t.co/dTmjLVKXye",1,0
599594021539938305,2015-05-16 15:15:29,MYTH: TPA only helps big business. FACT: 98% of American exporters are small/mid size. See what they say about TPA. http://t.co/3ML7OGdeqq,3,0
599575210732425216,2015-05-16 14:00:44,Featured in the @sltrib: @RameshPonnuru: Free trade opponents get less logical by the day. #TPA4USjobs http://t.co/dbHzWlqRVv,0,0
599431654151688192,2015-05-16 04:30:17,"""Utah farmers benefit tremendously from trade."" -Utah Pork Producers Association #TPA4USjobs http://t.co/w051nYSC6g",6,1
599341157445959681,2015-05-15 22:30:41,Could TPA take away your guns? No way. Via @pryan #TPA4USjobs http://t.co/lg99T82B7X,3,2
599316327015264256,2015-05-15 20:52:01,"Op-ed: ""Protecting student privacy in the Digital Age,"" -Sen Hatch and @SenMarkey in @thehill http://t.co/gEiDX9NsH5 http://t.co/uDgwjKIbsX",0,2
599217122988978178,2015-05-15 14:17:49,"In Jan Hatch joined students paying tribute to Sgt Cory Wride. We honor him, other heroes during #NationalPoliceWeek https://t.co/L3sw229vK3",0,1
598920195802038272,2015-05-14 18:37:56,RT @GOPSenFinance: Chairman @SenOrrinHatch Welcomes Senate Action on Bipartisan Trade Bills Read more: http://t.co/OaZmlET3XX,7,0
598873614709030912,2015-05-14 15:32:50,RT @GOPSenFinance: Chairman @SenOrrinHatch on the Senate floor now talking #preferences &amp; #customs #trade bills.,1,0
598869157820682241,2015-05-14 15:15:08,ICYMI: This week Senator Hatch was honored to receive an @ACUConservative Award for Conservative Achievement. #tcot http://t.co/byMz7Snuaw,3,2
598639493420310528,2015-05-14 00:02:32,Senator Hatch stands with those who protect and serve in our communities. #NationalPoliceWeek http://t.co/iEjmALhH1f http://t.co/QJbkPggL8w,3,1
598506802666446848,2015-05-13 15:15:16,"""Hatch's TPA leg. is a critical step to ensuring that Utah continues to benefit from internat'l trade and investment"" http://t.co/SNPOwhdajY",3,0
598498059748794368,2015-05-13 14:40:31,Op-ed from @kennecottutah in the @sltrib: Trade agreements would boost Utah products internationally. #TPA4USjobs http://t.co/SNPOwhdajY,6,1
598488096599072768,2015-05-13 14:00:56,"""For Rio Tinto and our 24k employees in the Salt Lake Valley, TTP and T-TIP increase global demand for our products"" http://t.co/8mRFo4DIib",2,1
598192899411595264,2015-05-12 18:27:55,RT @BizRoundtable: 0.2% GDP growth isn’t enough. #Trade supports 39.8M U.S. jobs. More trade = More U.S. growth and jobs. #TPA4USJobs http:…,4,0
598192810957938688,2015-05-12 18:27:34,RT @NCGA_DC: Tell Congress farmers need Trade Promotion Authority. http://t.co/OidpObWYW0 #TPA4USjobs #TradeTuesday http://t.co/TSveTEXjSL,17,0
598192737003937792,2015-05-12 18:27:17,RT @ChamberGlobal: Think trade is just for big business? Think again. Renew #TPA4USjobs! http://t.co/uYwUABplG5 http://t.co/Tk0bDjxDnX,1,0
598192682259881984,2015-05-12 18:27:03,RT @NRFnews: Global trade policies like #TPA support the 6.9M retail jobs powered by trade. http://t.co/nUzjU0yyOy #TPA4USJobs http://t.co/…,3,0
598192632439906304,2015-05-12 18:26:52,RT @FarmBureau: The growth of U.S. agriculture depends on our ability to compete in the international marketplace. #TPA4USJobs http://t.co/…,14,0
598192589020467201,2015-05-12 18:26:41,RT @ShopFloorNAM: #TPA4USjobs helps small exporters compete globally. #SBW2015 http://t.co/WOf4exCLsv http://t.co/W7oT0958tx,6,0
598191484567945216,2015-05-12 18:22:18,RT @Senate_RPC: Renewing trade promotion authority (#TPA) would help ensure American priorities come first in any trade agreement. http://t…,12,0
598191140425363456,2015-05-12 18:20:56,RT @GOPSenFinance: Anyone concerned about how a potential #trade deal could affect them should support #TPA bc it provides transparency: ht…,5,0
598191053510873089,2015-05-12 18:20:35,RT @GOPSenFinance: A Trade Tool for the 21st Century #TPA #trade http://t.co/mMclwtyscD http://t.co/k9CvWiV7kp,4,0
