id,created_at,text,retweets,favorites
601155595916443649,2015-05-20 22:40:37,RT @EPWRepublicans: BREAKING from @nytimes: EPA is inflating support of #WOTUS rule thru an unprecedented public lobbying campaign: http://…,22,0
601155578212253696,2015-05-20 22:40:33,RT @SenateAgGOP: Did #EPA’s campaign to generate public comments to support its #WOTUS rule break the law? You decide. http://t.co/6SCwvrGL…,3,0
601155528673402880,2015-05-20 22:40:21,RT @SenateAgGOP: Roberts: Kudos to @HouseAgNews for swiftly passing #COOL legislation. I look forward to working on a solution in the Senat…,2,0
601155474646560768,2015-05-20 22:40:08,RT @SenateAgGOP: TIME CHANGE: tomorrow's business meeting on Grain Standards Act reauthorization will start at 9:45 am EDT. http://t.co/j5r…,1,0
601155000975368194,2015-05-20 22:38:15,Always great to meet with Kansas members of @RadiologyACR #ACR2015 http://t.co/Ku3NgfL5kk,1,0
600761080982466560,2015-05-19 20:32:57,@NFIB supports the SIGMA bill @PeterRoskam and I introduced to create a Special IG as a Watchdog for Obamacare http://t.co/74OIXVATHu,0,0
600759285224636417,2015-05-19 20:25:49,"@GroverNorquist @taxreformer“If there’s any gov. boondoggle that cries out for a special IG,it’s Obamacare.ATR is proud to support this bill",0,0
600758625884209153,2015-05-19 20:23:12,@60PlusAssoc endorses @PeterRoskam and my SIGMA bill to create Obamacare IG to protect taxpayer dollars http://t.co/74OIXVjiiU,0,0
600758029894553600,2015-05-19 20:20:50,while we await SCOTUS decision or repeal @PeterRoskam &amp; I intro'd bills 2 create #Obamacare watchdog 2 protect tax $$ http://t.co/74OIXVjiiU,3,3
600755457997737984,2015-05-19 20:10:37,"RT @POLITICOPulse: A lot left to work out, ahead of today's Cures markup — A special inspector general, just for Obamacare — Docs are… http…",3,0
600755322387496960,2015-05-19 20:10:05,"RT @PeterRoskam: Q: Who is tracking how #Obamacare $$ is spent? 

A: Nobody.

My answer: a Special Inspector General for #obamacare → http:…",4,0
600754864860180481,2015-05-19 20:08:15,"RT @JustinWingerter: For a second time, @SenPatRoberts has introduced a bill to establish an inspector general for the Affordable Care Act …",4,0
600702209526013952,2015-05-19 16:39:01,RT @CQHealthTweet: .@SenPatRoberts proposes creating a special inspector general to oversee #obamacare implementation. Still prefers it be …,2,0
600692482939211776,2015-05-19 16:00:22,RT @SenateAgGOP: .@KansasDeptofAg Asst. Sec. Susan Metzger to testify before @EPWRepublicans on #WOTUS at 10am EDT. Watch live: http://t.co…,4,0
600692448470372352,2015-05-19 16:00:14,RT @EPWRepublicans: S. 1140 would address many of the concerns we’ve all been hearing regarding the EPA and Army Corps’ proposed WOTUS rule…,2,0
600359045904670720,2015-05-18 17:55:25,RT @SenateAgGOP: Chairman @SenPatRoberts to Protect U.S. #Ag After WTO Ruling on #COOL http://t.co/GPI3KndSyd,5,0
