id,created_at,text,retweets,favorites
601206909740384256,2015-05-21 02:04:31,37 years! Congratulations @tmj4 Mike Jacobs on your retirement. Enjoy your last show tonight at 10.,3,2
601143425984045056,2015-05-20 21:52:16,"""The latest news on Iran is more than proving Johnson right on the issue.""  http://t.co/uzy8twcJIO",3,0
601038620707954688,2015-05-20 14:55:48,Watch @SenRonJohnson on @WEAU13News last night discussing #TomahVA 30-day plan. Watch: http://t.co/BZTpJ9Y3yG,3,2
601033448074190850,2015-05-20 14:35:15,@nielslesniewski Not merely bad headlines but flat-out inaccurate ones that do not reflect what I said. Details: http://t.co/4OiwtVKQGz,1,0
601033160898514944,2015-05-20 14:34:06,I do not trust the ayatollah. I want to trust our president. He needs to be more forthcoming. http://t.co/4OiwtVKQGz,2,1
600674943479717888,2015-05-19 14:50:41,.@SenRonJohnson The ideal: Government close to the governed rather than concentrated in Washington. @Heritage,2,1
600672281162076160,2015-05-19 14:40:06,.@SenRonJohnson and @SenatorLankford answering questions at @Heritage http://t.co/RrYBZUPKzr http://t.co/0Ep6eWdP3B,1,1
600665824781869057,2015-05-19 14:14:27,.@SenRonJohnson Message to business: Success doesn't come from Washington. @Heritage http://t.co/LnkJQuWXwu,4,1
600664505794854912,2015-05-19 14:09:12,".@SenRonJohnson ""We do need a federal government, but we need a limited one."" http://t.co/RrYBZUPKzr http://t.co/9bbe5RDFq5",3,1
600663123868131329,2015-05-19 14:03:43,.@SenRonJohnson at @heritage. Watch live here: http://t.co/RrYBZUPKzr http://t.co/FEseZkTYjW,2,2
600656762212081664,2015-05-19 13:38:26,Watch @SenRonJohnson at @Heritage speaking on the burden of excessive regulation at 9a CT http://t.co/RrYBZUPKzr,5,2
600382927353081856,2015-05-18 19:30:19,@SenRonJohnson happy 2 have staffer participate in fantastic #LatinaLeadership conference today #HCCWSalute2015 @HCCW http://t.co/IZwIgWBZ7L,2,6
599233737877016577,2015-05-15 15:23:50,Earlier today @SenRonJohnson stopped by the @MKEPublicMuseum to teleconference with 3 great Wisconsin schools. http://t.co/SAAqR6QjLv,3,5
598890582451331072,2015-05-14 16:40:16,"Joshua Frank, the winner of the Wis statewide #NatGeoBee, stopped by to get a personal congrats from @SenRonJohnson! http://t.co/lLPvJ27vYK",4,10
598828118502150146,2015-05-14 12:32:03,"RT @WilliamJBennett: Coming up, Homeland Security Chairman @SenRonJohnson on the serious threats against the homeland from ISIS. http://t.c…",4,0
598589818235428864,2015-05-13 20:45:08,.@SenRonJohnson introduced a bill  w/ @KellyAyotte &amp; @MarkWarner to protect Wisconsinites from identity theft. http://t.co/DziYmLPnMI,10,9
598567723183054848,2015-05-13 19:17:20,@EauClairePD I couldn’t agree more. http://t.co/iW2AqM3vPQ,2,2
598548409281196032,2015-05-13 18:00:35,LIVE NOW @SenRonJohnson is holding a hearing in HSGAC on #BorderSecurity. Watch live here: http://t.co/Mt8urwwWbX,4,3
598540882107764737,2015-05-13 17:30:41,.@SenRonJohnson will hold a hearing today at 1p CT in HSGAC on #BorderSecurity. Watch live: http://t.co/Mt8urwwWbX,2,3
598495978333810688,2015-05-13 14:32:15,RT @CARW1: Great meeting this morning with @SenRonJohnson @commsource #1031 #leaseholdimprovements #dc http://t.co/xuqVXvXKwZ,3,0
598143307093516288,2015-05-12 15:10:52,RT @BBeckerWI: ALS Advocacy Day 2015.  Thanks for your time @SenRonJohnson @ALSAWisconsin @ALSPublicPolicy @lolahin http://t.co/zLB2RPhkxp,7,0
597803128621244418,2015-05-11 16:39:07,This weekend @SenRonJohnson stopped by Troop 834’s brat fry in New Holstein. http://t.co/sMCfUaiDiq,3,3
596720942547660800,2015-05-08 16:58:53,Some of the dozens of aircraft that flew over the U.S. Capitol today to honor those who fought in #WWII.  #FlyOver http://t.co/UVA5vrtlCc,6,10
596665120551477250,2015-05-08 13:17:04,#RonsSupperClubTour continues! This wknd Ron will be in Cedarburg and Sherwood . http://t.co/HGbJ2MZFqj http://t.co/olanfeV1Nn,2,3
596314444935917568,2015-05-07 14:03:37,LIVE NOW @SenRonJohnson holding a hearing on social media's role in #terrorist recruitment http://t.co/T65eWPcFiB http://t.co/8CV86tEdua,4,0
596308509039407107,2015-05-07 13:40:02,RT @KellyAyotte: Homeland Security hearing this morning to examine use of social media as terrorist recruitment tool - watch live: http://t…,5,0
596308168927481858,2015-05-07 13:38:40,"RT @cspan: Senate hearing on Social Media &amp; Terrorism, @SenRonJohnson chairs – LIVE on C-SPAN3 http://t.co/bTovRTH8JM http://t.co/11VLf62Bqm",15,0
596306009049604097,2015-05-07 13:30:06,LIVE NOW @SenRonJohnson is holding a hearing on social media’s role in #terrorist recruitment. Watch live http://t.co/T65eWPuga9,1,0
596298967215779840,2015-05-07 13:02:07,Today at 8:30a @SenRonJohnson will hold a HSGAC hearing on social media’s role in #terrorist recruitment. Watch live http://t.co/T65eWPuga9,0,1
595691297039585281,2015-05-05 20:47:27,RT @BGOV: We're excited to host @SenRonJohnson at our next #BGOVInSite event tomorrow morning! Stay tuned to @BGOV for updates http://t.co/…,7,0
595665801107152897,2015-05-05 19:06:08,Congrats to @UWStout educator Joy Evenson on her retirement after 34 years w/ Stout. Last 8 w/ #ROTC #StoutProud http://t.co/ukEH2pfo0h,2,2
595628927881715712,2015-05-05 16:39:37,"New leadership. New goals. And now, we are passing a budget. Even better, a #BalancedBudget. http://t.co/4NE3ZROOnY",24,12
595605593307615233,2015-05-05 15:06:53,This morning Sen. Johnson met with 7th and 8th grade students from St. Charles Borromeo School in Milwaukee. http://t.co/aKmi6yZiNi,1,2
595588623568896000,2015-05-05 13:59:28,Watch @SenRonJohnson discuss the #GarlandShooting on @msnbc’s @Morning_Joe. http://t.co/2qZW8zwo1j,2,0
595543498780082176,2015-05-05 11:00:09,Watch @SenRonJohnson on @msnbc's @Morning_Joe discuss the Texas shooting this morning at 6:30a CT,3,0
595339973450141696,2015-05-04 21:31:25,http://t.co/z407S70yQF Good to see Hillary finally agrees this matters. Remember when she didn’t? http://t.co/AmpOgGzy8l,6,2
595276240464039936,2015-05-04 17:18:10,"Let’s keep #Menasha victims &amp; families in thought, prayer, w/ all in Wis. who suffer at hands of violent criminals. http://t.co/Mqvm3ZJSvZ",7,6
595259176546340865,2015-05-04 16:10:21,"President @BarackObama chose Milwaukee’s own @harleydavidson for the President’s E award for exports. Congrats, Harley!",3,0
595253229270790144,2015-05-04 15:46:43,Ron got a jump on National #SmallBiz Week this weekend by visiting Wayne’s Family Restaurant in Oconto #DreamSmallBiz http://t.co/7NUJcmk2Nv,3,1
595251765924261890,2015-05-04 15:40:54,RT @BottWMC: Excited to have @SenRonJohnson speak with us this morning at @WisconsinMC http://t.co/DpcYv0EVCO,1,0
594261693556883456,2015-05-01 22:06:43,"Made a quick stop for a strawberry shake this afternoon in Delafield. Thanks, Matt and the folks at #Hardee's! http://t.co/i831L6ZS1H",5,5
594138930884321280,2015-05-01 13:58:54,Ron wants to see you this weekend! Click here to see if he will be in your area: http://t.co/K0RTF7Jsum http://t.co/DnI1Jktd3T,2,0
593882613745459200,2015-04-30 21:00:23,Tonight the @Bucks challenge the Bulls in game 6 of the #NBAPlayoffs! #GoBucks #FeartheDeer #BucksPlayoffs http://t.co/yNN8BKP3qf,7,2
593440726773563394,2015-04-29 15:44:29,RT @TheDennisDavis: Big thanks to @SenRonJohnson team for support of veteran health reform &amp; #VAaccountability #VOTH2015 http://t.co/PvQTve…,14,0
593399429631082500,2015-04-29 13:00:23,.@SenRonJohnson is currently holding a hearing on the Homeland Security Dept.’s budget for FY 2016. LIVE NOW: http://t.co/PTMG3cijCz,1,0
593391815954313217,2015-04-29 12:30:08,.@SenRonJohnson will hold a hearing today on the Homeland Security Dept.’s budget for FY 2016 at 8a CT . Watch here: http://t.co/PTMG3cijCz,1,0
593173838709555200,2015-04-28 22:03:58,It should take more than one-third of the Senate to approve the president's Iran nuclear deal. http://t.co/FommiZGMsi,3,4
593120051181391873,2015-04-28 18:30:14,.@SenRonJohnson is NOW holding a roundtable in HSGAC on how to secure the #border. Watch live here: http://t.co/8gPDk7040P,4,0
593112568564097024,2015-04-28 18:00:30,.@SenRonJohnson will hold a roundtable in HSGAC today at 1:30p CT on how to secure the #border. Watch live here: http://t.co/8gPDk7040P,0,1
590870270811901952,2015-04-22 13:30:25,Watch @SenRonJohnson NOW at HSGAC where he is holding a hearing on #BorderSecurity. Watch here: http://t.co/iavSvgYnzG,7,1
590867675330584576,2015-04-22 13:20:06,.@SenRonJohnson will hold a hearing today on #BorderSecurity in HSGAC at 8:30a CT. Watch live here: http://t.co/iavSvgGMI8,3,0
590254860110585857,2015-04-20 20:44:59,RT @BudgetGOP: Great #BalancedBudget graphics today part 2 via @SenRonJohnson     http://t.co/OnnHORN2AM … http://t.co/UXQoK8saOE,4,0
589067402652086273,2015-04-17 14:06:27,RT @RightWisconsin: .@SenRonJohnson joins @SykesCharlie next on @620wtmj Listen here: http://t.co/V790kazuIm #WiRight #Wipolitics,6,0
588745606635610112,2015-04-16 16:47:45,.@SenRonJohnson responds to #gyrocopter landing on Capitol grounds http://t.co/nCt3lbjxBv,7,3
588722424688091138,2015-04-16 15:15:38,The government makes the mistake but makes you pay. And charges you interest. http://t.co/5BbBd9IG63,0,1
588420783845703681,2015-04-15 19:17:01,Today Sen. Johnson met w/ The PGA of America to discuss the upcoming championship in Wis. #NGD2015 http://t.co/RmT8tjBWwb,2,4
588374289574932481,2015-04-15 16:12:16,Today @SenRonJohnson met w/ The #PGA of America to discuss the upcoming championship in Wis. #NGD2015,1,3
588373853925220352,2015-04-15 16:10:32,Sen. Johnson is proud The PGA Championship will be held in Wis! Visit http://t.co/ATm8XNckxL for more info. #NGD2015 http://t.co/rDbKbMpN1E,1,2
588341094171021312,2015-04-15 14:00:22,.@SenRonJohnson is now holding a #HSGAC hearing on IRS and its role in implementing Obamacare. Watch here: http://t.co/E51FD0O0Wy,0,0
588325945339092992,2015-04-15 13:00:10,Watch @SenRonJohnson hold a #HSGAC hearing today at 9a CT on IRS challenges in implementing Obamacare. Watch here: http://t.co/E51FD0O0Wy,5,0
588060006890766336,2015-04-14 19:23:25,More about what my committee heard from @USGAO about how the government wastes your money. http://t.co/nFmXXFnko5,4,2
588044705004449792,2015-04-14 18:22:37,Unfortunate news for America: The issue deserves a day in court.  http://t.co/Ck5wnZtYGe,1,2
587980220126363648,2015-04-14 14:06:23,".@cubbie172000 No tea, no cookies. Just solid testimony from @USGAO about how the government wastes your money.  http://t.co/fQ5iJuCTU9",7,6
587971095069728768,2015-04-14 13:30:07,.@SenRonJohnson is NOW hosting a #HSGAC hearing on duplicative federal programs. Watch live: http://t.co/fQ5iJuCTU9,4,2
587963587890524160,2015-04-14 13:00:17,.@SenRonJohnson will host a #HSGAC hearing today at 8:30a CT on duplicative federal programs. Watch live here: http://t.co/fQ5iJuCTU9,1,1
584557103622262784,2015-04-05 03:24:08,Go #Badgers! #OnWisconsin #MarchMadness http://t.co/9fWNzfWPz5,38,35
584555175660003328,2015-04-05 03:16:29,"Way to go, #Badgers!!! One more to go!! #OnWisconsin",28,57
583738424655552512,2015-04-02 21:11:00,"On NPR's ""All Things Considered"" on Iran now.",3,5
583717758258585601,2015-04-02 19:48:53,"President Obama, give Americans a say on this Iran deal.  http://t.co/QXKYgyN28Y",11,6
583328091193262080,2015-04-01 18:00:29,"Proud to see Wisconsinites embracing this cause, helping many break the cycle of abuse in our state #BlackWomenHeal http://t.co/LkxnqvBzMT",11,6
583286089085001728,2015-04-01 15:13:35,For more information on what I heard in Tomah: http://t.co/kBaRr0GMDo,3,0
583285974521798656,2015-04-01 15:13:07,"Tomah hearing showed our #veterans need transparency, firing of “bad apples” at #VA. First steps coming. http://t.co/0bTWOvbPOO",5,2
582615070632513536,2015-03-30 18:47:11,".@SenRonJohnson in Tomah, hearing about #VA problems. Have inside info on #veterans treatment? Contact whistleblower@ronjohnson.senate.gov",16,5
582603476435410944,2015-03-30 18:01:07,Field joint oversight hearing starting NOW on #veterans in Tomah. Watch live here: http://t.co/2lytoyPP2R,3,1
582595888482267136,2015-03-30 17:30:58,At 1p CT tune in to watch the field joint oversight hearing TODAY on #veterans. Watch live here: http://t.co/2lytoyPP2R,6,2
582548321958522883,2015-03-30 14:21:57,There will be a joint oversight hearing TODAY in Tomah on #veterans at 1p CT.  Watch live here: http://t.co/2lytoyPP2R,8,3
581976528558391296,2015-03-29 00:29:51,Headed to the #FinalFour! Way to go #Badgers!!! #OnWisconsin #MarchMadness,18,26
581881196612747264,2015-03-28 18:11:02,Thanks @GraysTiedHouse for the hospitality.  Still thinking about those cheese curds &amp; Gray’s Honey Ale. http://t.co/ONfGCPVXgj,2,4
581510692576067584,2015-03-27 17:38:47,#RonsSupperClubTour continues! This wknd Ron will be in Chippewa Falls. Info here: http://t.co/kCPcoibU1A,2,1
581273267203358720,2015-03-27 01:55:21,#OnWisconsin!! What a game! #MarchMadness http://t.co/WJuKkZk9fo,20,30
581090926581432320,2015-03-26 13:50:47,.@SenRonJohnson will hold his 4th #hsgac hearing on #bordersecurity at 9a ct today http://t.co/x7uOvTAhlb,2,2
580786283229892608,2015-03-25 17:40:15,.@SenRonJohnson will hold his 3rd #hsgac hearing on #bordersecurity at 1p ct today http://t.co/9WAyUcl4Sv,1,1
580452044840013824,2015-03-24 19:32:06,Today @SenRonJohnson spoke on how the Senate budget faces reality and how Pres. Obama urged avoiding reality. Watch: http://t.co/ZuPymLCN4R,7,4
580374071399079936,2015-03-24 14:22:16,.@senronjohnson today holding #HSGAC hearing on #BorderSecurity NOW. Watch live here: http://t.co/viRdJFgJil,5,0
579827152901787648,2015-03-23 02:09:00,On Wisconsin! #MarchMadness,21,45
579401117051785217,2015-03-21 21:56:05,Congrats on another championship #Pointers! @PointersMBB #UWSP,11,19
579103769356562433,2015-03-21 02:14:32,Way to go #Pointers! @PointersMBB #MarchMadness,5,10
578997815822675968,2015-03-20 19:13:31,Good luck to both the Wisconsin Badgers and the Stevens Point Pointers – big tournament games tonight! @UWBadgers @UWSPAthletics,12,26
578208026684989440,2015-03-18 14:55:10,#RonsSupperClubTour continues! This wknd Ron will be at @GraysTiedHouse in Verona. Info here: http://t.co/kuo8pbc5IF http://t.co/MgzvnRuCq9,3,2
577837941327859712,2015-03-17 14:24:35,.@SenRonJohnson is now holding a hearing on #BorderSecurity in Homeland Security committee http://t.co/AHmuLgDOgY http://t.co/FKJzgorVEY,8,6
577831891887263744,2015-03-17 14:00:33,".@SenRonJohnson is hosting a hearing NOW on securing the border, watch live here: http://t.co/AHmuLgmcSo",3,2
577822769540390912,2015-03-17 13:24:18,".@SenRonJohnson will host a hearing at 9a CT TODAY on securing the border, watch live here: http://t.co/AHmuLgDOgY",3,4
577567689557803009,2015-03-16 20:30:42,".@SenRonJohnson is currently holding a hearing on #SocialSecurity death master file, watch http://t.co/y1XezBAoOG? http://t.co/4DGOxXp89v",4,5
577560061192462336,2015-03-16 20:00:23,#SocialSecurity says 6.5 million individuals alive but older than 112? Watch @SenRonJohnson find the truth LIVE: http://t.co/y1XezBiNq6,2,2
577552446685216768,2015-03-16 19:30:08,"Watch @SenRonJohnson question expert witnesses on flaws in #SocialSecurity death master file. 3p CT, watch here: http://t.co/y1XezBiNq6",0,3
576416180451278848,2015-03-13 16:15:01,#RonsSupperClubTour continues! This wknd Ron will be in Wautoma and Osseo. Info here: http://t.co/0vDZjtHNy3 http://t.co/WdiKbmfuuh,6,1
576067454369140736,2015-03-12 17:09:18,"Yes, I believe we can find things we all agree on, as @nielslesniewski reports. Our security depends on it. http://t.co/FfdydEIrgz",4,0
576025172844621824,2015-03-12 14:21:17,.@SenRonJohnson at HSGAC hearing on the waiver program. Watch NOW: http://t.co/5aW8W42YlC http://t.co/KiYQxd1Ptp,2,1
576020255828496384,2015-03-12 14:01:45,Watch @SenRonJohnson  hold a hearing in HSGAC on the visa waiver program at 9a CT http://t.co/5aW8W42YlC,2,1
576004185394675712,2015-03-12 12:57:54,RT @jnshinkle: #Happening Now Homeland Committee Chair @SenRonJohnson talks #business #cybersecurity @USChamber http://t.co/eRf4DdJNwr,17,0
