id,created_at,text,retweets,favorites
601154062227210242,2015-05-20 22:34:31,.@USDA @US_FDA overlap on #catfish inspections? It's a falsehood. Check the facts. #TPA4USjobs http://t.co/jMjgE2rCbb,1,1
600812148701458432,2015-05-19 23:55:53,"#Catfish inspections are about consumer safety, not trade. No hiding it, the health risks are real. @SenatorWicker http://t.co/GhzMFTaTjk",9,1
600728388895113216,2015-05-19 18:23:03,"Starts at 2:30p: @SenAlexander leads FY16 Energy &amp; Water Approps Bill subcommittee markup to fund DOE, Army Corps. http://t.co/wNDg2eg6aV",0,2
600667705025372160,2015-05-19 14:21:55,"Senate subcommittee markup of FY16 MilCon, @DeptVetAffairs Approps Bill begins at 10:30 am. @SenatorKirk chairs: http://t.co/XO8oFnd0cu",0,0
599291014285758464,2015-05-15 19:11:26,#BBKing put Mississippi on the map. http://t.co/zqGqrb1qrt,11,9
599276935680757760,2015-05-15 18:15:30,Just announced: next week's subcommittee markup schedule for the Senate Appropriations Committee --&gt; http://t.co/JttZeRQa78,1,2
599218228422963201,2015-05-15 14:22:13,"In advance of #PeaceOfficersMemorialDay ceremony at Capitol, @SenatorWicker &amp; I paid tribute to MS's fallen: http://t.co/wqSyOedqZx @NLEOMF",4,2
599216514378633216,2015-05-15 14:15:24,RT @SenateSAA: Flags at the #Capitol and across the country fly at half staff today for #PeaceOfficersMemorialDay. #PoliceWeek http://t.co/…,123,0
599190002216542208,2015-05-15 12:30:03,"From his iconic guitar to his soulful voice, BB King brought the sound of the Delta to the world and inspired generations of musicians. RIP.",40,28
598979236129415168,2015-05-14 22:32:33,The new UAS Center of Excellence at @msstate highlights Mississippi's leading role in tech research: http://t.co/NhduHHojac,3,6
598850642321514497,2015-05-14 14:01:33,Watch live: @RoyBlunt is holding a Senate Appropriations hearing on the National Labor Relations Board --&gt; http://t.co/aJfv08yY8D,1,1
598524068221038592,2015-05-13 16:23:52,News conf. Thurs on #unmannedsystems COE w/@FAANews @ASSUREuas @SenJohnHoeven @lisamurkowski @SenatorWicker &amp; others: http://t.co/0T3izGpk80,2,2
598487074312970240,2015-05-13 13:56:52,"At 10:00 ET, @lisamurkowski will hold a Sen. Appropriations hearing on the Bureau of Land Management budget. Watch--&gt; http://t.co/WFrsqj8mp6",0,1
598251309028999169,2015-05-12 22:20:01,Proud to join with @SenatorWicker to support @BillCassidy legislation for expanded offshore energy exploration --&gt; http://t.co/M7dMHVmawF,1,2
598132641859293185,2015-05-12 14:28:29,Watch live: @JohnBoozman will hold a 10:30 ET Senate Appropriations hearing on the @FCC budget --&gt; http://t.co/pGQgBBf4B0,1,0
597838122802614272,2015-05-11 18:58:10,Our police officers risk their lives every day for us. Our thoughts are with the families of Hattiesburg Officers Tate &amp; Deen. #PRAY4HPD,30,29
596782471145984001,2015-05-08 21:03:23,"Look forward to potential for @ASSUREuas #FAA #UAS COE to shape policy, spur economic growth. @MDAWorks #AVUSI http://t.co/bGiYUkDlhO",5,3
596762685703880704,2015-05-08 19:44:46,RT @MaroonResearch: FAA selects Mississippi State-led team for national UAS center of excellence http://t.co/rF0AROFBOX #msstate,7,0
596754852975353857,2015-05-08 19:13:38,Great news! @msstate @ASSUREuas to lead #unmanned15 Center of Excellence. @SenatorWicker @GreggHarper @FAANews http://t.co/zN79Pw4rfc,7,3
596737688352497664,2015-05-08 18:05:26,"Just announced: Senate Appropriations Committee hearing schedule for the week of May 11, 2015 --&gt; http://t.co/ppaE2kqHTt",0,1
596444059654365184,2015-05-07 22:38:39,Building #telehealth to aid rural health is a solid idea. @UMMCTelehealth @KristiHenderson made the point in DC today http://t.co/aZb40KF1rc,10,7
596439206488059906,2015-05-07 22:19:22,"Senate asserts rights for American people, votes 98-1 for congressional review of any #IranDeal on nukes: http://t.co/pRWNb8ciww",2,2
596434799679676416,2015-05-07 22:01:52,Proud of the Amory HS Rocket Team; competing in @RocketContest. Next leaders in MS #aerospace: http://t.co/yOlkzKz7CH http://t.co/ZtTp8iYNW3,2,5
596329484959293440,2015-05-07 15:03:23,Watch now: @UMMCTelehealth Dr. Kristi Henderson at Senate Appropriations hearing to discuss rural health needs: http://t.co/cVbcl7X8rl,4,3
596312075116347392,2015-05-07 13:54:12,"At 10:00 ET, @RoyBlunt will hold a Senate Appropriations hearing on rural health. Watch live --&gt; http://t.co/cVbcl7X8rl",0,0
596073180533563393,2015-05-06 22:04:55,"Today, @SenatorWicker and I introduced legislation to preserve long-term care coverage at Mississippi hospitals: http://t.co/1Ri6SVPKim",6,6
595956806733721600,2015-05-06 14:22:29,Watch at 10:30 am: SECDEF Carter &amp; Joint Chiefs Chairman Gen. @Martin_Dempsey at Defense Approps hrg: http://t.co/x0EujtHKS8 @DeptofDefense,1,2
595948723735236610,2015-05-06 13:50:22,"At 10:00 ET, @GrahamBlog will hold a Senate Appropriations subcommittee hearing on global health. Watch live --&gt; http://t.co/cqoLMBwzik",2,2
595718894326808577,2015-05-05 22:37:06,"Budget passed, much more responsible than the big-spending budget proposed by Obama. Ready to work on approps bills:  http://t.co/JoJK3peYsA",4,2
