id,created_at,text,retweets,favorites
601093039377887233,2015-05-20 18:32:03,Read about the rest of the #trade bill amendments to strengthen #MadeInWI #mfg &amp; workers here: http://t.co/12tArY93Dh http://t.co/cpK23UkanB,0,1
601092797458845696,2015-05-20 18:31:05,2nd #trade amendment adds a principle negotiating objective to ensure any trade deal increases manufacturing jobs. http://t.co/12tArY93Dh,0,1
601092573361352705,2015-05-20 18:30:11,1st amendment to the #trade bill levels the playing field for #MadeInWI manufacturers. http://t.co/12tArY93Dh,1,2
601090042275074049,2015-05-20 18:20:08,Took to the @SenateFloor to outline concerns over current #trade negotiations &amp; highlight amendments on the proposal: http://t.co/4YL2nfJEgX,2,3
601087330540195841,2015-05-20 18:09:21,Baldwin Leads Efforts to Protect Wisconsin Manufacturers and Workers in Trade Proposal. Details here: http://t.co/12tArYqF1R,2,0
601077545145073664,2015-05-20 17:30:28,We must ensure #MilitaryCaregivers have the support &amp; resources they need to care for our #veterans. #HiddenHeroes https://t.co/VMK5Cw2TBm,4,2
601068634862063616,2015-05-20 16:55:04,The Military &amp; Caregiver Services Improvement Act gives back to the #HiddenHeroes who give so much to our #veterans. http://t.co/hLKlBMt10k,6,4
601067312813383681,2015-05-20 16:49:49,#MilitaryCaregivers like Carrie truly are #HiddenHeroes who make a difference every day for our #veterans. Thank you. @DoleFoundation,2,1
601065953686900736,2015-05-20 16:44:25,Met @DoleFoundation fellow Carrie Fisher. Her experience of caring for her husband injured in service is inspiring. http://t.co/x3CpFyKKnQ,4,7
601052289286025216,2015-05-20 15:50:07,Proud to work w/ @SecBurwell to provide the opportunity for more uninsured Americans to access affordable healthcare. http://t.co/Nr94EgBTbx,1,2
601051709453017088,2015-05-20 15:47:49,"Great news from @HHSGov: &gt; 147,000 additional people enrolled in affordable health coverage during the Tax Season Special Enrollment Period.",2,1
600790566771695616,2015-05-19 22:30:07,"National Rural Letter Carriers’ Association @NRLCA helps rural communities, #SmallBiz &amp;  families stay connected. http://t.co/4T6zx19x9Z",0,2
