id,created_at,text,retweets,favorites
601147117256716288,2015-05-20 22:06:56,This oil spill off the Santa Barbara coast is tragic. It shows the dangers of these pipelines and drilling off our pristine coast.,45,43
600790463717756928,2015-05-19 22:29:43,Still haven’t had a chance to offer my amendment that would stop #FastTrack deals with countries that pay a min wage less than $2/hour.,23,17
600764265113460737,2015-05-19 20:45:37,Thank you LA! No one should have to work full-time and live in poverty. #RaiseTheWage https://t.co/gZoBGK1HTS,32,26
600671233714315264,2015-05-19 14:35:56,The middle class needs help - not a fast track to trade deals. Read my @HuffingtonPost Op-Ed: http://t.co/JLOAagDYzo #NoFastTrack,25,21
600298454242430976,2015-05-18 13:54:39,"Our current system for protecting military whistleblowers, including #MST survivors, is a sham &amp; must be fixed now http://t.co/9DOsrMVnUl",10,8
599213664432959488,2015-05-15 14:04:05,The Amtrak disaster shows why we must install life-saving Positive Train Control technology as soon as possible. http://t.co/Xe9bU8F0Kw,16,25
598572608125325312,2015-05-13 19:36:45,"This GOP abortion ban is an insult to rape and incest survivors, to pregnant women facing a health crisis and to women everywhere.",104,104
598571929541419008,2015-05-13 19:34:03,"The bill offers no health exception – no help to women facing cancer, kidney failure or other tragic complications during their pregnancies.",23,28
598570245931012097,2015-05-13 19:27:22,GOP’s latest abortion ban re-victimizes survivors of rape &amp; incest by assuming they are lying and creating unconscionable barriers to care.,37,29
598187414297976833,2015-05-12 18:06:08,I stand with nurses who keep our families healthy and who are on the Hill today supporting my bill to address nursing shortages. #NursesWeek,21,24
598171104801333248,2015-05-12 17:01:19,Let’s put the middle class first – let’s vote down this #FastTrack legislation. VIDEO: http://t.co/tTMhdSOdoC,22,32
598134950274150401,2015-05-12 14:37:39,"Instead of pushing a trade bill that threatens the middle class, we should #RaiseTheWage, pass immigration reform &amp; invest in infrastructure",69,56
597092895745794048,2015-05-09 17:36:54,So pleased to join the amazing @UCILaw Class of 2015 today! #SoUCI http://t.co/r6XW9ahJgp,12,25
596770940639420416,2015-05-08 20:17:34,"Pleased @FHFA is extending HARP through 2016, but we should expand it so more families are eligible for relief. http://t.co/eq4MetiWDp",6,1
596720248369328128,2015-05-08 16:56:08,"Today, my colleagues &amp; I called on @usedgov to help thousands of students hurt by the closure of Corinthian Colleges. http://t.co/oE0w0Q4r5D",7,6
596436408878931968,2015-05-07 22:08:15,Today’s @USGAO report shows that we need stronger protections for military whistleblowers. http://t.co/GvXhKlgPaC,7,10
596407348769480704,2015-05-07 20:12:47,"The #EqualRights Amendment would make America’s promises of justice, fairness and equality real for every woman in our country. #RatifyERA",20,22
596377205803974656,2015-05-07 18:13:00,I agree with the President &amp; CEO of the American @LungAssociation that we must regulate e-cigarettes immediately http://t.co/mhUQi5bJOc,25,28
