id,created_at,text,retweets,favorites
601101861907664896,2015-05-20 19:07:06,The Land &amp; Water Conservation Fund continues to be the best dollar-for-dollar conservation program we have: http://t.co/ROVDYJrtmK #NC,3,2
601081564513103873,2015-05-20 17:46:27,"I’ve always thought NC is a great place to work! Raleigh snags top spot on @GlassDoor’s ‘25 Best Cities for Jobs’ 
http://t.co/aQuRoBMeUE",6,9
601028364779048960,2015-05-20 14:15:03,".@WSJEditorial ""A rush to the exits is no way to conduct U.S. intelligence, or the affairs of Congress” http://t.co/c7oMt3t3JR #NSA",2,5
600763961609420800,2015-05-19 20:44:24,I’m proud that my amendment to hold convicted sex offenders accountable is heading to @POTUS’s desk. http://t.co/d0AQvK9vOS,4,8
600730197361569792,2015-05-19 18:30:14,Six Myths About the NSA Metadata Program http://t.co/E1VCKDHHnX via @Senate_RPC,2,7
600716861710475264,2015-05-19 17:37:15,"Do you get my newsletters? The most recent one discusses student loans, contaminated water at Camp Lejeune, &amp; ALS http://t.co/FtfM5B05vJ",3,3
600347635468337152,2015-05-18 17:10:04,".@SenateMajLdr on #PatriotAct: “We're talking about the security of the country here. This is no small matter."" http://t.co/8s7B9nn8SB",4,4
599307011495460864,2015-05-15 20:15:00,Glad the IRS is returning money unfairly taken from this hardworking business-owner in NC: http://t.co/l4a0ejHAdT,2,11
598956166601932800,2015-05-14 21:00:52,#TBT Gave the commencement address at @WeAreLouisburg this past weekend – thanks for having me! http://t.co/R2Eth1Df7S,3,9
598935465933299714,2015-05-14 19:38:37,Our nation’s law enforcement is on the front lines every day keeping us safe. Thank you for your service! http://t.co/htUEihRqAB,21,23
598911314178740224,2015-05-14 18:02:39,Events for #NationalPoliceWeek have been taking place across NC – tell me about events in your community! http://t.co/DdVf5yAbF5,1,5
598898829555929089,2015-05-14 17:13:02,Good news -- federal #studentloan interest rates are set to drop for the upcoming school year: http://t.co/UHCiARalMV,6,9
598887602255753218,2015-05-14 16:28:25,.@JDNews: Veterans question agency officials about contaminated water http://t.co/IKUWBexuD5 What will it take for VA to listen?,4,3
598559461511405568,2015-05-13 18:44:30,Met w/Larry Stogner &amp; NC @catfishchapter yesterday - @ABC11_WTVD has a moving story about their day of #ALS advocacy: http://t.co/VLxtjPMjBc,9,9
598541602953498624,2015-05-13 17:33:33,"Had the privilege of meeting Henderson NC’s Lt Hedgepeth, who is receiving a TOP COPs award in DC #nationalpoliceweek http://t.co/QsUXeSyT1N",3,6
598526415366160386,2015-05-13 16:33:12,Mukasey oped in @wsj today - Impeding the Fight Against Terror #NSA #PatriotAct: http://t.co/M7eODbdw2V,4,2
598214521883389953,2015-05-12 19:53:50,.@TheHill “I think that the Senate will produce our own bill.” We’re focusing on innovating 4 #HealthierAmericans http://t.co/EQPQiBNayw,5,3
598193922851090433,2015-05-12 18:31:59,This morning I sat down with @TheHill to discuss how we advance innovation for #HealthierAmericans http://t.co/EaITTu2BHg,3,6
598108032988483584,2015-05-12 12:50:42,RT @thehill: WATCH LIVE: @SenatorBurr discusses policy affecting development of medicines for #NextGenCures http://t.co/EfIDH5rUOU http://t…,13,0
598107901543190528,2015-05-12 12:50:10,RT @TheHillEvents: Watch @SenatorBurr w. @BobCusack on livestream:   http://t.co/IHpu3FgTyX http://t.co/zmgKJWvPv1,2,0
598107826817474560,2015-05-12 12:49:52,RT @TheHillEvents: First up: @SenatorBurr in conversation w. @BobCusack #NextGenCures,1,0
597843457969913856,2015-05-11 19:19:22,On @TheHill today: Senate Intelligence chairman: NSA ruling returns US to 'pre-9/11' http://t.co/39NrgDPYqu,5,1
597820186587242496,2015-05-11 17:46:54,.@MarcoRubio in @USAToday: Now's no time to end NSA program http://t.co/LISIFXr58I,4,1
597435922611838976,2015-05-10 16:19:58,ICYMI: I joined @ThisWeekABC and discussed the Patriot Act and #IS. Watch here: https://t.co/gbDnQq9n8a,7,3
597385650946580480,2015-05-10 13:00:12,Don't forget to tune into @ThisWeekABC today -- check your local listings: http://t.co/HZjc9ueAfd  I'll be discussing #IS and #NSA.,5,3
597053820389187585,2015-05-09 15:01:38,Tomorrow morning I’ll be joining @MarthaRaddatz on @ThisWeekABC. We’ll be discussing #ISIL and #NSA. Tune in: http://t.co/HZjc9ueAfd,12,8
596423526501879808,2015-05-07 21:17:04,My prayer: Let the Lord hold our nation safely in His hands &amp; may I be guided by His wisdom. #NationalDayofPrayer http://t.co/MDFMwgRwv2,41,44
596411990257639424,2015-05-07 20:31:13,God bless those who came before us and fought for our liberties and those who continue to serve on our behalf.,8,13
596411817611665408,2015-05-07 20:30:32,#TBT in honor of the 70th anniv. of the end of WWII in Europe. Pics taken at American Battle Monuments Commission. http://t.co/AucN42LdEE,6,5
596040132911828992,2015-05-06 19:53:36,"Today, @SenThomTillis &amp; I introduced a bill to protect NC’s Corolla wild horses: http://t.co/WUgJanXj1y #corollawildhorses #obx",27,19
595970306851905536,2015-05-06 15:16:08,"RT @GOPHELP: @SenAlexander says he plans to intro bill w @SenatorBarb,@SenatorBurr,@SenBennetCO incorporating many recs fr #TaskForce repor…",2,0
595693537494196225,2015-05-05 20:56:21,North Carolina’s small businesses help make our state great – employing over 1.5 million workers #smallbusinessweek http://t.co/NDlMdUYGsB,6,3
595263456833581056,2015-05-04 16:27:22,NC is now home to many of these brave people -our state is made better by their presence. Thank you for your service: http://t.co/QVxO0V7Adf,3,3
595263235907006464,2015-05-04 16:26:29,"Friday, the Montagnards received recognition of their sacrifice alongside American troops during the Vietnam War. http://t.co/QVxO0V7Adf",2,5
594157965076213760,2015-05-01 15:14:32,.@theobserver reports on the new ed bill replacing No Child Left Behind “#NC’s been cheated… along w/33 other states” http://t.co/c7oZko7ciO,6,6
593839369263407105,2015-04-30 18:08:33,#TBT Celebrating #passtheABLEAct with @NDSS &amp; @Holy_AngelsNC http://t.co/zlkjNMKbnq What a fun evening to look back on!,5,1
593781691199655936,2015-04-30 14:19:21,RT @SenatorIsakson: Great sermon by @petermilner at weekly prayer bfast. Thx @SenatorBurr &amp; @SenThomTillis 4 letting me crash #NC photo. ht…,8,0
593465287695032321,2015-04-29 17:22:05,"As this editorial from the @shelbystar points out ""ABLE Act would be win for disabled, taxpayers” http://t.co/IIp2j03w6m",3,3
593465238525194240,2015-04-29 17:21:53,#ABLEAct passed through a NC General Assembly committee yesterday and is working its way to being implemented in NC. #ncpol,2,5
592787612093513730,2015-04-27 20:29:14,.@TheHill: “Senators press VA on Agent Orange” http://t.co/LO45vO6MQK Justice is long overdue for these vets.,7,3
592766971734794240,2015-04-27 19:07:13,"“For nearly 4 years, the VA denied these reservists’ exposure to toxic Agent Orange residue in contaminated C-123s.”
http://t.co/7E1wvnq0tg",3,3
592766232732016641,2015-04-27 19:04:17,I joined a group of bipartisan Senators in sending a letter to VA Sec McDonald addressing our C-123 vets: http://t.co/7E1wvnq0tg,0,1
591308713237082112,2015-04-23 18:32:37,"In our grief, we should remember that al-Qaida is merciless &amp; bears the ultimate responsibility for these deaths. http://t.co/TCAn5GcvV9",11,7
591307921687977984,2015-04-23 18:29:29,Today’s news is heartbreaking. My prayers are with the families of Warren Weinstein &amp; Giovanni Lo Porto. http://t.co/TCAn5GcvV9,4,3
591277958117097472,2015-04-23 16:30:25,Did you take your daughter or son to work today? Today is the day to #MPOWR our kids for the future! http://t.co/WQQPw28j5Z,1,1
590985196880662529,2015-04-22 21:07:05,"In our own state of North Carolina, we’ve seen the devastating effects of this loophole. Pleased we can fix this gap. http://t.co/KDbVFxjgCb",4,3
590985106262728704,2015-04-22 21:06:43,My amdt. to close a loophole currently in military sexual offender reporting passed the Senate unanimously 98-0. http://t.co/pXyPwoA3Gc,4,8
590589324766400515,2015-04-21 18:54:02,Obama admin admits they shouldn’t have granted exec. amnesty to a gang member charged w/4 counts of murder in NC. http://t.co/HK2MoTA2Jw,11,4
590551626546606080,2015-04-21 16:24:14,“Take Our Daughters &amp; Sons to Work” Day passed the Senate last evening. Will you participate on Thursday? More info: http://t.co/WQQPw28j5Z,1,1
589466197860593664,2015-04-18 16:31:07,Good @McClatchyDC story on the ridiculous decision the Air Force has made regarding the 440th Airlift Wing. http://t.co/la3Ns9EoEJ,6,0
589113294545367040,2015-04-17 17:08:49,Thanks for having me! MT @Austin___Cook Great conversation with @WakeForest1834 alumnus @SenatorBurr. Part 1 here http://t.co/M8dvboNHKi,3,2
589067668487073793,2015-04-17 14:07:31,With this amendment we are now actually sending funding into the communities that need it most: http://t.co/10782zSdje,3,6
589067630985752576,2015-04-17 14:07:22,"Yesterday, I was able to fix an inequity in ed. funding that for 15 yrs has shortchanged NC’s teachers &amp; the low-income students they serve.",5,4
588738403627192320,2015-04-16 16:19:08,"100 days of Congress &amp; we’ve hit a lot of benchmarks, including an important #cybersecurity bill from Intel committee http://t.co/IrAWowDKia",8,5
588418221344063488,2015-04-15 19:06:50,Yesterday’s Air Force report on the 440th is a complete disappointment: http://t.co/Wu1Rzd0zMk @440AW,4,1
588363348334485505,2015-04-15 15:28:48,This #Taxday is more complicated for Americans – 7 new #Obamacare tax forms to deal w/ new penalties &amp; subsidies. http://t.co/ZCsoETcwu0,5,0
586569591347777536,2015-04-10 16:41:03,Enjoyed spending time w/ the Holy Angels on Tue. talking about #ABLE – the ABLE Act is a step closer to NC families http://t.co/iueyIl4OZw,2,1
586538381183586305,2015-04-10 14:37:02,.@myfox8 caught up w/me this week: http://t.co/2LGptNAG5v We’ve learned there’s been very little agreement on the #IranDeal,1,0
586523782367461376,2015-04-10 13:39:01,I also discussed my role as Intel Chairman with @wsoctv http://t.co/CmVzmmsw6V #cybersecurity,5,4
586515745745403906,2015-04-10 13:07:05,I joined @wsoctv &amp; discussed #IranDeal — Our strategy needs to be keeping nuclear weapons from Iran forever: http://t.co/CmVzmmsw6V,4,2
586205698549272577,2015-04-09 16:35:04,Proud NC is home to a thriving manufacturing industry made up of companies like @WWProtective. Thanks for having me! http://t.co/RV67jLpp5R,6,4
585864884895801344,2015-04-08 18:00:48,Thank you to @CabarrusEDC and @cabarruschamber for hosting me at lunch today! http://t.co/JB2HRO4TKk,3,1
585549102412390400,2015-04-07 21:05:59,Thank you to @unccharlotte for your hospitality! http://t.co/1oLwg7wBtx,6,4
585548942642909187,2015-04-07 21:05:21,Visited @unccharlotte to discuss their cybersecurity programs &amp; met students currently studying how to keep Americans’ data safe.,7,4
585520462664458240,2015-04-07 19:12:11,Thank you to the @Kannapolis Rotary Club for hosting me this afternoon! http://t.co/Lm3EwthC9k,0,5
585500473618210816,2015-04-07 17:52:45,I stopped by Thelma’s Down Home Cooking today to have coffee and talk with some NC Veterans — thanks for having me! http://t.co/CJvsLA5HFt,2,3
585465151261962240,2015-04-07 15:32:24,Proud that this year’s #NCAATournament Champs call North Carolina home – great work last night @dukeblueplanet #MarchMadness,2,10
