id,created_at,text,retweets,favorites
600807260554690560,2015-05-19 23:36:28,"Failure to reauth #ExIm Bank will mean huge opportunities for foreign competitors, at a time when we're trying to open up markets #ExIm4Jobs",5,3
600802975683059712,2015-05-19 23:19:26,"Cantwell on #TPA: ""I don’t support moving forward until we have an understanding on how we're going to get #ExIm Bank done."" #ExIm4Jobs",2,3
598957710487388160,2015-05-14 21:07:00,"RT @EnergyDems: Smart Grid Bills Headline #energy Reform Hearing, incl @SenatorCantwell's Grid Modernization Act. http://t.co/Ac1JadgG5l cc…",1,0
598859217013972992,2015-05-14 14:35:38,“Upgrading our #grid will enable integration of new #tech that benefits competitiveness &amp; consumers.” #InfrastructureWeek #SmartGrid,14,7
598553353338101760,2015-05-13 18:20:14,"Proud to support Family Medicine of Port Angeles’ new federal health center status, expanding vital #primarycare: http://t.co/Afp0jjZjye",2,2
598141085047779329,2015-05-12 15:02:02,RT @SenateEnergy: .@SenatorCantwell calls for new approaches to critical minerals policy in @SenateEnergy hearing: http://t.co/EL8d8XEjuQ,8,0
597826252792340481,2015-05-11 18:11:00,Congratulations @EnergyNorthwest for a record 683 days of continuous generation! #WAproud http://t.co/n9vUwuN4aI,2,6
596430328962637826,2015-05-07 21:44:06,"Cantwell presses @US_FDA to fix deceptive Russian #pollock labeling: ""It's not really #Alaskan pollock"" WATCH: http://t.co/k2KukaWqME",1,1
596121698971328513,2015-05-07 01:17:43,"Cantwell, 7 other Senators urge @USDOT to immediately strengthen #oiltrain disclosure rule.  http://t.co/yfBqKfdlak #crudebyrail",4,7
595977875305684992,2015-05-06 15:46:12,".@SenatorCantwell on #OilTrain derailment in Wells County, ND #CrudebyRail http://t.co/XH7aAO4INB",9,3
595974915699912704,2015-05-06 15:34:27,"RT @BlakeSobczak: BNSF: ""The tank cars involved in the incident are the unjacketed CPC-1232 models. BNSF will work with the nearest first r…",9,0
595972348873965569,2015-05-06 15:24:15,"RT @CBSNews DEVELOPING: North Dakota town evacuated due to oil train derailment, fire http://t.co/nvq1GHbnKN #oiltrain",1,0
595969824100081664,2015-05-06 15:14:13,Today’s #oiltrain derailment in N. Dakota again shows need for stronger safety rules. It’s time to pass the #cbrsafetyact.,10,8
595733176133230592,2015-05-05 23:33:52,.@SenatorCantwell intros bill to extend a key tool for spurring investment in #affordablehousing. READ MORE: http://t.co/hsgeJ9DJyV  #LIHTC,4,3
595659861167308800,2015-05-05 18:42:32,Cantwell bill preserving West Coast Dungeness crab fishery applauded by crab industry: http://t.co/p72QEhMssk @chinookobserver,1,4
595622182702682112,2015-05-05 16:12:49,"Last yr, #WA state was most hard-hit by #wildfire, w/ over 353 homes destroyed. http://t.co/nOSB3lHF4t @SenateEnergy http://t.co/F7eEKl1cCw",3,0
595616768397312000,2015-05-05 15:51:18,"Cantwell urges further coordination between @forestservice &amp; @fema during #wildfires: ""We need a better communication response""",3,1
595603067917225984,2015-05-05 14:56:51,"Cantwell: “If we're ever going to get ahead of the problem, @forestservice needs to respond to #wildfires in a fundamentally different way.”",1,2
595601601265606657,2015-05-05 14:51:02,"Cantwell: ""The science is clearly telling us that #wildfires are not behaving the way they have for the past decades."" @forestservice",3,3
