id,created_at,text,retweets,favorites
601108503722401792,2015-05-20 19:33:30,Happy Birthday to @JohnCarneyDE. Hope it's a great one and hope you keep dancing my friend. https://t.co/Fjg5v4pusl #AllAboutThatBasin,2,3
601081680657522688,2015-05-20 17:46:54,I believe good things happen if you never give up. We need to deliver on a long-term bill. Thanks for your support! https://t.co/nEIafdqrGh,1,1
601058178520977408,2015-05-20 16:13:31,RT @CCSDover: @SenatorCarper meets Cougars Reaching Out Club Campus Community School #DECharters http://t.co/sgCvXsPvMN,2,0
600743992221933569,2015-05-19 19:25:03,"As we see stronger storms + other #extremeweather, it's critical fed govt helps communities prepare. Learn more @NOAA http://t.co/sQtXHVzw1T",2,2
600741699128725505,2015-05-19 19:15:56,Great to meet with @casperaleks today to talk about the important work of @MarchofDimes #netDE http://t.co/5YB81oUzUJ,4,2
600732306928730112,2015-05-19 18:38:37,RT @casperaleks: Thank you Senator Carper for supporting Moms and Babies!  #modadvocacy http://t.co/PrDkOCx6t4,5,0
600726785475661824,2015-05-19 18:16:41,"50 years later, Head Start continues to provide quality early learning for our most vulnerable children #HeadStart50 http://t.co/VGwj9j9IW6",1,1
600717417275330560,2015-05-19 17:39:27,"Today I met w/ DE Rural Letter Carriers, just in time for my roundtable on rural postal issues http://t.co/HMToVFjtt3 http://t.co/31iNWSRBC7",6,4
600423857225343036,2015-05-18 22:12:57,"Curtis, I wish I was a soothsayer, but we've seen this movie before. I'm working on changing the ending this time. https://t.co/LkxnNhlCgN",0,0
600422023819599872,2015-05-18 22:05:40,.@SenWhitehouse is delivering his 100th floor speech on climate change. Let's join him in saying it's #TimeToWakeUp: http://t.co/5iXuChMFyt,2,0
600379284449034240,2015-05-18 19:15:50,I stand with @SenWhitehouse this week during his 100th floor speech on climate change. It's #TimeToWakeUp and act. http://t.co/7l7S036DEY,3,1
600332771538632705,2015-05-18 16:11:01,This week marks @SenWhitehouse's 100th floor speech on climate change. #100reasons it's #TimeToWakeUp: http://t.co/Oup6bSCetd,1,0
600330131069087744,2015-05-18 16:00:31,"RT @MarkEichmann: On temporary transportation funding over past five years @SenatorCarper says ""that's a stupid way to fund"" highways and r…",1,0
599280917325225985,2015-05-15 18:31:19,"One of the varied voices asking us to #FixTheTrustFund is @AAAnews, the country's largest org representing motorists: http://t.co/7ljdXrXKl7",1,1
599273836295651328,2015-05-15 18:03:11,".@bristolpress said a short-term fix to #HTF ""hinders planning and fosters instability"": http://t.co/IFAiocb8g8 #InfrastructureWeek",1,0
599273328675815424,2015-05-15 18:01:10,RT @ASCEGovRel: Infrastructure delivers a lot more than you might think. #RebuildRenew http://t.co/7gScyy3u3Z,11,0
599265928858214402,2015-05-15 17:31:45,.@ARTBA represents 6K members who want transportation funding for states: http://t.co/otcDeBsrIe #FixTheTrustFund #InfrastructureWeek,3,2
599263665322340352,2015-05-15 17:22:46,RT @ARTBA: What will we leave to the next generation? The time is now to make our mark #RebuildRenew #InfrastructureWeek #fixthetrustfund,3,0
599263278246850561,2015-05-15 17:21:13,Checking out Prime Hook NWR today. http://t.co/cKTMErOBfv,1,0
599259502492385280,2015-05-15 17:06:13,Groups like @T4America have called on Congress to #FixTheTrustFund: http://t.co/GbXpjRNhCI Let's do it this summer. #InfrastructureWeek.,10,3
599246864412745728,2015-05-15 16:16:00,"Count @ohiodotcom among the varied voices that wants #HTF to again be ""self-sustaining"": http://t.co/LxSFpwCNyg #InfrastructureWeek",1,0
599235364105093122,2015-05-15 15:30:18,"Last July, @washingtonpost ed board called for “permanent &amp; simple” solution to #FixTheTrustFund: http://t.co/WfGafixJLX #InfrastructureWeek",2,2
598941457471377409,2015-05-14 20:02:25,"Another voice on need to #FixTheTrustFund is @mercnews, inspired by a comment by Pres. Reagan: http://t.co/Mi0R3cW5J6 #InfrastructureWeek",2,0
598918572593836033,2015-05-14 18:31:29,.@DMRegister is among the varied voices asking Congress to be responsible and #FixTheTrustFund: http://t.co/LueDAbt5nL #InfrastructureWeek,0,0
598906081646088192,2015-05-14 17:41:51,"As @NewsOK said in July, ""we can’t build 2014 roads &amp; bridges w/ 1993 funding"": http://t.co/gjAl4GxOLn #FixTheTrustFund #InfrastructureWeek",4,0
598889529785786369,2015-05-14 16:36:05,"Today, @SenatorBoxer and I are again back w/ a bill to compel Congress to #FixTheTrustFund this summer: http://t.co/p61tihPbUJ (2/2)",4,0
598889275623518209,2015-05-14 16:35:04,"#TBT to last summer, when I was standing w/@SenatorBoxer calling for long-term solution to #FixTheTrustFund (1/2) http://t.co/oKF186dhRI",1,0
598626047794393088,2015-05-13 23:09:06,"In January, @nytimes called out our D-rated roads, and our need to #FixTheTrustFund: http://t.co/9wB9OFisrY #InfrastructureWeek",7,2
598609440275828737,2015-05-13 22:03:06,"Bravo Zulu, as we'd say in the Navy! https://t.co/AGZhtZTBG9",0,1
598606256853655552,2015-05-13 21:50:27,Feel lucky to have exited #Amtrak188 safely last night in #netDE. Others weren't as fortunate. My prayers are w/them: http://t.co/i6NqlesKof,11,9
598586678815498240,2015-05-13 20:32:40,Getting ready to join @cnbc to talk #trade and #TPA with @Kelly_Evans. Tune in now! http://t.co/L1b5hHPGzx,2,2
598524868590702592,2015-05-13 16:27:03,"DuPont has been a Delaware company for centuries, today's news is a win for its leadership team, employees &amp; #netde http://t.co/3AlrG7PjS9",26,14
598523917557440512,2015-05-13 16:23:16,RT @DuPont_News: DuPont shareholders elect all 12 DuPont nominees at 2015 Annual Meeting based on preliminary results http://t.co/gb8aHgLer…,32,0
598315603431170048,2015-05-13 02:35:30,"I am grateful to be home safe and sound in Wilmington, and my heart goes out to everyone involved in the crash on @AmtrakNEC #188 tonight.",131,109
598248901846654977,2015-05-12 22:10:27,.@USPS needs freedom &amp; flexibility to grow through innovation &amp; explore ways to adapt to digital age http://t.co/46fvx3d746,0,1
598235100992634881,2015-05-12 21:15:37,"Last year, @USATODAY joined the voices for long-term #HTF funding, not a ""temporary gimmick"": http://t.co/t2hzEQnOnP #InfrastructureWeek",1,0
598223890217902080,2015-05-12 20:31:04,.@BaltimoreSun noted that 660K construction jobs are relying on Congress to #FixTheTrustFund: http://t.co/Qrm6eEBYI8 #InfrastructureWeek,7,4
598213700026261505,2015-05-12 19:50:35,"Another voice for #InfrastructureWeek is @StarTribune, who said we need a long-term plan to #FixTheTrustFund: http://t.co/29OXEkqwGg",2,1
598205520621772800,2015-05-12 19:18:04,"In November, @knoxnews was one of the varied voices saying #HTF can't be put ""on hold forever"": https://t.co/IeUWFfPPth #InfrastructureWeek",1,1
598171068042469377,2015-05-12 17:01:10,RT @JayTimmonsNAM: Another short-term extension of the Highway Trust Fund would be the 33rd time in 6 years that Congress has failed–unbeli…,12,0
598147206034673664,2015-05-12 15:26:21,RT @ThirdWayKessler: The New York Times endorses #TPA. http://t.co/pP2kOCa7WD #tpa4usjobs,15,0
598144809136709633,2015-05-12 15:16:50,".@ShopFloorNAM: #TPA4USJobs means higher paying jobs and economic prosperity for more Americans, including 12M who work in manufacturing",5,3
598144328679174144,2015-05-12 15:14:55,.@ShopFloorNAM's Jay Timmons: #TPA4USJobs is about getting easier access to 95% of the worlds consumers who live outside U.S.,3,1
598142701545062401,2015-05-12 15:08:27,Sen. @JohnCornyn and I trying to lead by example in working together on supporting #TPA4USJobs. http://t.co/Mxld2q1CiY,15,11
598136310398849024,2015-05-12 14:43:03,We have the opportunity to do all three by working together on #TPA,0,1
598136013899313152,2015-05-12 14:41:53,My takeaways on message from Americans to Congress from last election: 1) work together 2) get things done 3) strengthen economic recovery,13,14
598130003495227392,2015-05-12 14:18:00,RT @Keith_Laing: .@SecretaryFoxx says a likely highway funding patch will ‘prolong a dangerous status quo’ http://t.co/msK0j4uqjT,2,0
597856216157659137,2015-05-11 20:10:04,Count @BrookingsInst among the varied voices calling to #FixTheTrustFund w/long-term solution: http://t.co/yPWLVdEyYi #InfrastructureWeek,2,0
597843685724782592,2015-05-11 19:20:16,First up in #InfrastructureWeek’s varied voices: @MiamiHerald told us to “Hit the Gas!” last July: http://t.co/P2LXV7eUBA #FixTheTrustFund,1,0
597842769739132928,2015-05-11 19:16:38,It’s #InfrastructureWeek and in its honor each day I’ll be tweeting out the varied voices asking us to #FixTheTrustFund now!,4,0
597827015392256000,2015-05-11 18:14:02,Wearing turquoise to support @AmericanLungDE @LUNGFORCE http://t.co/KV3Dlwk5oR,6,9
597790064891064320,2015-05-11 15:47:12,Great day to celebrate Old Swedes Church in DE's First State National Historical Park! @NatlParkService #netde http://t.co/oNpSEft8GX,7,9
596777471632113664,2015-05-08 20:43:31,RT @SenatorDurbin: MORNING READ: http://t.co/8uJKJSuJUR interesting perspectives on #4profit college #StudentDebt #whatimreading,4,0
596748178566881280,2015-05-08 18:47:07,"On the 70th anniversary of the Allied victory in Europe, take a moment to thank a #veteran. We owe them so much more. #VEDay70",3,2
596693282056491008,2015-05-08 15:08:59,Put non-perishable food donations by your mailbox TOMORROW for @StampOutHunger food drive. http://t.co/VM8hllTrht  https://t.co/q3UQaCocIL,11,7
596389888263626752,2015-05-07 19:03:24,"Last night, I was honored to receive the Democratic Senate Award from the #SmallBusiness Council of America: http://t.co/BInllxeEPG",2,2
596377929527009281,2015-05-07 18:15:53,"Congrats to Don Ritchie on his retirement from @SenateHistory, though he will be sorely missed. Thank you for your 40 years of service.",4,2
596350090039717888,2015-05-07 16:25:15,Let's hear it for #DECharters this #NCSW. #TBT to a 2004 visit w/the great students at Kuumba Academy Charter School: http://t.co/Gry8tgeafP,1,0
596350053507145728,2015-05-07 16:25:07,#TBT to a year ago when we heard a year would give “the space” to do a long-term bill. It’s time to #fixthetrustfund http://t.co/x5dzY4IGFf,2,2
596341458908663808,2015-05-07 15:50:57,Correction: #TSCA now has 36 cosponors - more than a third of the #Senate!,2,0
596339966797553664,2015-05-07 15:45:02,"RT @EPWRepublicans: .@SenatorCarper: ""this legislation will lead to a healthier environment and will allow American businesses to thrive.""",1,0
596339873142939648,2015-05-07 15:44:39,"Thanks to compromise, communication and collaboration, #TSCA bill is now a win-win-win. http://t.co/yYyge2UAHS",13,6
596338396131414017,2015-05-07 15:38:47,Standing with just a few of the now 34 cosponors of #TSCA who agree that now is the time to fix this broken law http://t.co/mE4ILhdg9M,1,0
596052593241104385,2015-05-06 20:43:07,Transportation Construction Coalition had it right in letter to leadership today. It's past time to #fixthetrustfund http://t.co/892B2Az1F1,5,1
596012088046260224,2015-05-06 18:02:09,"Thank you to teachers, like DE Teacher of the Year Meghan Szabo, this and every week. #TeacherAppreciationWeek http://t.co/wPWnE5yTsI",2,1
596001251881590784,2015-05-06 17:19:06,I support every child's opportunity to attend a high quality school. Thanks to all that #DECharters do for kids in Delaware. #NCSW2015,2,1
595964586458767360,2015-05-06 14:53:24,Happy #NCSW to @KendallMassett and @DECharterNetwrk. We appreciate what you and your teachers bring to our state! http://t.co/RiklI0GSAc,0,1
595730699761549312,2015-05-05 23:24:01,Don't make me choose. It's like picking between Christopher and Ben! https://t.co/NXe1qZ8A8O,3,3
595667830093275136,2015-05-05 19:14:12,RT @DECharterNetwrk: Happy #CharterSchoolsWeek Check out our slideshow of pics from Awesome #DECharters! #Opportunity #4EveryChild http://t…,2,0
