id,created_at,text,retweets,favorites
600769876307877888,2015-05-19 21:07:54,I'm speaking live with @wolfblitzer on @CNNSitRoom in a moment - please tune in.,3,4
597896720777945091,2015-05-11 22:51:01,I'm glad my resolution to free #SaeedAbedini &amp; 3 other Americans passed Senate 90-0. We will continue our battle to see them released.,105,97
597870138851983361,2015-05-11 21:05:23,I'll be speaking on the Senate floor shortly on my legislation that calls for the release of Pastor #Saeed. Watch: http://t.co/OwIVydIjrU,26,50
596744010657624064,2015-05-08 18:30:33,The Senate will vote Monday on my legislation calling for release of #SaeedAbedini &amp; other American prisoners in Iran http://t.co/Md0omaPLaL,62,67
595337886825881601,2015-05-04 21:23:07,"I try to meet w/ every Idahoan who visits D.C. If you've visited recently, your picture is on my @Flickr: https://t.co/Lubk6cVQ8g",2,3
594169899901149185,2015-05-01 16:01:57,"RT @ENR_GOP: .@SenatorRisch outlines his support for America's diverse #energy portfolio. Take a look...
https://t.co/qEJbDYSl84",4,0
593152576775946240,2015-04-28 20:39:29,I'll be live w/ @TeamCavuto shortly to discuss Senate Iran bill &amp; my amendment requiring #SaeedAbedini's freedom. http://t.co/0s5BHWC0sG,5,6
592786822838755331,2015-04-27 20:26:06,My interview re: Iran bill on @FoxNews has been postponed for now due to Breaking News in Baltimore.,3,0
592779447184527363,2015-04-27 19:56:48,I'll be live on @FoxNews in about 5 minutes to discuss the Iran bill &amp; my amdt to release #SaeedAbedini before Iran sees sanctions relief.,2,4
590945326317600768,2015-04-22 18:28:39,"I'll be on @CNNSitRoom tonight at 4:30 MST. To receive alerts about future appearances, sign up on my website: http://t.co/cEIW6GFp87",2,0
588704505144958976,2015-04-16 14:04:26,Glad to join Neal Larson from D.C. Listen live on @590kid in just a few moments: awb://player.liquidcompass.net/KIDAM http://t.co/97G15czzRU,3,0
588462680802918400,2015-04-15 22:03:30,April 15 reminds us that 59% of Americans agree-our 4 million word #taxcode is too complicated &amp; needs major reform http://t.co/bBDYUimwiC,8,3
588394976515596289,2015-04-15 17:34:28,I'll be live with @wolfblitzer in @CNNSitRoom in a few moments to talk about situation w/ ISIS in Iraq. Tune in. http://t.co/ljlyWrd9Ua,0,1
588029066042806272,2015-04-14 17:20:29,Looking forward to talking w/ @TylerMathisen on @CNBC re: need for Congressional approval of #IranDeal @ 11:45 MT  https://t.co/p5Pp9muyeW,2,0
587996936571068416,2015-04-14 15:12:48,I'll be live with @KateBolduan @JohnBerman on @ThisHour @CNN at 9:40 MT to discuss the #IranDeal and need for Congressional approval.,2,0
580763838167011328,2015-03-25 16:11:03,RT @TheRealLisaBain: Great meeting w/ @SenatorRisch! Thank you for your support! @PANtweets @prophet_joe #act4pd #PANForum15 #Parkinsons ht…,6,0
578646372439732224,2015-03-19 19:57:00,"RT @RonWyden: Introduced bill to spur clean, renewable geothermal production today with @SenatorRisch &amp; @SenJeffMerkley http://t.co/F8wsGwN…",12,0
577922043401895936,2015-03-17 19:58:47,I'm fortunate to have a great group of interns this spring. Interested in interning? Visit my website for more info: http://t.co/dOYTznvyg8,3,1
576114556684124160,2015-03-12 20:16:28,I shared my strong support for the Bipartisan Sportsmen's Act of 2015 at today's @ENR_GOP hearing. https://t.co/DnFJryelyb,2,0
576103285465153537,2015-03-12 19:31:41,Honored to meet these bright young leaders who are representing Idaho as @senateyouth delegates this year. #USSYP2015 http://t.co/n1euCL3Mgm,3,18
575404829931102208,2015-03-10 21:16:16,I'm talking live w/ @wolfblitzer on @cnn momentarily about why I signed letter warning Iran that Congress must approve long-term nuke deal.,6,1
573227426156830720,2015-03-04 21:04:03,In case you missed it - my conversation w/ @wolfblitzer about @netanyahu's speech and what SHOULD happen re: Iran- https://t.co/dXN3EFuAee,4,1
572844608146817025,2015-03-03 19:42:52,".@INL again takes national stage, leading a gathering for experts from across country on future of #nukeinnovation. http://t.co/j9enoMEDeG",7,6
572812902824087552,2015-03-03 17:36:53,"RT @Senate_GOPs: RT to help welcome PM Netanyahu to Washington, D.C. He’ll address a joint session of Congress today at 11am. http://t.co/D…",282,0
570360705607532544,2015-02-24 23:12:43,In a moment I'll be live with @wolfblitzer on @CNNSitRoom to discuss ISIS and domestic terror threats. Tune in if you're able.,4,0
566374287263940608,2015-02-13 23:12:07,I'll be live with @wolfblitzer on @CNNSitRoom to discuss ISIS and President Obama's proposed AUMF in a few minutes. Please tune in.,5,2
565911082771169280,2015-02-12 16:31:30,RT @loudobbsnews: .@senatorrisch: President #Obama should know #ISIS is a clear and present danger to Americans. http://t.co/aB3Z3c0dJo htt…,42,0
565905049579429889,2015-02-12 16:07:32,Glad to once again be named Chairman of the Energy Subcommittee of the Senate Energy and Natural Resources Committee. @ENR_GOP,3,2
565615057086988290,2015-02-11 20:55:12,RT @loudobbsnews: Pres #Obama sends #AUMF to Congress. Is #StrategicPatience the plan to defeat #IslamicState? @SenatorRisch joins us http:…,4,0
563834915415138304,2015-02-06 23:01:34,I'll be live this hour with @wolfblitzer from Boise to talk about ISIS claims of the death of a U.S. hostage. Tune into @CNNSitRoom.,10,5
563811342037970945,2015-02-06 21:27:53,RT @wolfblitzer: Intelligence Committee member @SenatorRisch joins me live w/ latest on latest #ISIS actions. @CNNSitRoom 5-7PM ET,10,0
563085045456719874,2015-02-04 21:21:51,I spoke today at @TheHillEvents #GridSecurityForum &amp; shared what @INL does to keep our grid safe from threats. https://t.co/8ZU1gKdZ5D,5,3
562966550609928194,2015-02-04 13:30:59,RT @jmhattem: .@SenatorRisch and @RepEdWhitfield are speaking about energy grid security this morning. Tune in!  #GridSecurityForum http://…,4,0
562375537818370048,2015-02-02 22:22:31,"President Obama has again crafted a budget that taxes more, spends more, &amp; adds to our ever-increasing $18 T debt. http://t.co/dAvwj4zvX4",11,1
560926853914193920,2015-01-29 22:25:58,I'll be speaking live w/ @wolfblitzer on @CNNSitRoom at 4 p.m. MT/6 p.m. ET re: ISIS hostage situations &amp; developments in Middle East.,10,3
560919606336815105,2015-01-29 21:57:10,I'm glad the Senate has finally taken action &amp; passed #Keystone pipeline bill. America needs these jobs. http://t.co/kkuD32hGqk,10,6
560172092692631552,2015-01-27 20:26:49,Had a great evening at @HunterandAngler Changing of the Guard last night-glad to serve as Co-Chair for 114th Congress http://t.co/ld8BmfMKWD,4,0
558701814368202754,2015-01-23 19:04:27,RT @loudobbsnews: .@senatorrisch: Netanyahu and #Israel are our key ally in the Middle East.  http://t.co/8py17AyX7f http://t.co/YiMTQvto4d,25,0
558669528557948928,2015-01-23 16:56:09,"Under the new @Senate_GOPs majority, the Senate has voted on more amendments in just 3 weeks than in all of 2014. https://t.co/Xv0PPdEw5y",16,8
558414069796204547,2015-01-23 00:01:03,RT @loudobbsnews: #Obama admin’s Middle East success story? @SenatorRisch on #Yemen government’s collapse,11,0
558413961834819584,2015-01-23 00:00:37,"At 5:15 MT I'll talk w/ @loudobbsnews on @FoxBusiness about Yemen, Israel/Iran, &amp; shocking statement in #SOTU. http://t.co/z4EiYqcODZ",0,1
557965279486283776,2015-01-21 18:17:43,I'm glad Obama will meet w/ @NaghmehAbedini but why is his admin releasing $ to Iran while Saeed remains in prison? https://t.co/sjDTFXi6ll,13,3
557925563319721984,2015-01-21 15:39:54,I'll be discussing last night's #SOTU with Kevin Miller on @580KIDO shortly - listen in: http://t.co/SlZz1p8aUf,2,2
556503860467208192,2015-01-17 17:30:34,In Boise about to speak with @UmaPemmaraju on @FoxNews re: terrorism &amp; what it means for admin's plan for Gitmo. http://t.co/Ha2fejx5Cs,7,3
556246290393468928,2015-01-17 00:27:04,In case you missed it - my conversation with @wolfblitzer about recent terrorist activity abroad &amp; what it means: https://t.co/1ofvpROuOA,8,1
556225592941899776,2015-01-16 23:04:50,About to discuss terror attacks in Paris and arrests in Belgium with @wolfblitzer on @CNNSitRoom. Tune in.,1,1
552921476433981442,2015-01-07 20:15:27,It's an honor to serve as co-chair of the Congressional Sportsmen's Caucus w/ @Sen_JoeManchin for 114th Congress. http://t.co/1pfUKSMpNx,4,4
