id,created_at,text,retweets,favorites
601084268908011520,2015-05-20 17:57:11,Are you a vet w/questions about NH's Veterans Choice Card Program? Join a forum 5/26 (Manchester) to ask questions: http://t.co/fmb8aFzkJY,5,2
601054113342820352,2015-05-20 15:57:22,"RT @RGillett23: You could soon see Harriet Tubman on the $20 bill, thanks to the @WomenOn20s movement http://t.co/w5UBdSJyeq via @bi_strate…",9,0
601028077825761280,2015-05-20 14:13:54,15% of the military are now women yet there's no program to make sure they have access to contraception &amp; counseling http://t.co/mF0lZHHnj2,6,6
601026128917241856,2015-05-20 14:06:10,This morning's @nytimes has a report on my efforts to address higher than avg unintended pregnancy rate in military--&gt;http://t.co/mF0lZHHnj2,3,2
600719363902156801,2015-05-19 17:47:11,"RT @pcorpsconnect: Thank your for your leadership on the @PeaceCorps equity language, @SenatorShaheen #reprohealth http://t.co/NhSNc2g2yR",4,0
600718940449460224,2015-05-19 17:45:30,Great to meet w/ @PeaceCorps to discuss importance of healthcare equity for Corps Volunteers. TY for your great work! http://t.co/NGXvJe9pKX,6,6
600718619203469312,2015-05-19 17:44:14,My STEP amendment to #TPA will help small biz trade internationally. Highlighted success of Corfin Ind. (Salem) https://t.co/gHZRmqSTOi,2,0
600708898543292416,2015-05-19 17:05:36,Find out how a wasteful catfish inspection program is hurting US trade negotiations https://t.co/1DnNvq0mLa,2,3
600430221402189824,2015-05-18 22:38:14,Thank you @SenWhitehouse for your relentless effort to fight #climatechange. Congrats on 100 #TimeToWakeUp speeches! #100Reasons,14,15
600332593083641856,2015-05-18 16:10:18,.@FostersDailyDem calls Harriet Tubman “a great choice” for the $20 bill. I agree #Womenon20s http://t.co/zImHfuF5CV,3,3
600316773028765696,2015-05-18 15:07:26,Saddened to learn of the passing of NH’s Dean Potter. My thoughts are with his family &amp; loved ones. http://t.co/pjz9s4FUoa,0,3
600298269852438528,2015-05-18 13:53:55,RT @DowntownNashua: Congrats to #GateCityMarathon winners Kevin McIntyre &amp; Yuki Chorney! #NashuaNH #Marathon on #MainStreet #stayworkplay h…,5,0
599325889143406593,2015-05-15 21:30:01,I'm honored to be appointed to @NavalAcademy board tasked with oversight: http://t.co/LUOgfVPand,3,4
599002097611382784,2015-05-15 00:03:23,Here are a few photos from this evening's memorial reception honoring Brentwood Police Officer Steve Arkell: https://t.co/PYZ3c8obOL,3,1
598947371276488705,2015-05-14 20:25:55,Honoring the memory of Officer Arkell today &amp; reaffirming our commitment to families of fallen first responders: https://t.co/kJtKPPMs1V,0,2
598929551000018944,2015-05-14 19:15:07,"RT @emserre: Hillary Clinton wants to see Harriet Tubman on the $20 bill, too: http://t.co/uXdRed5Lm7",5,0
598900380899106816,2015-05-14 17:19:12,RT @TIME: Hillary Clinton supports putting Harriet Tubman on the $20 bill http://t.co/3rI0X1tl6B,108,0
598869819346309120,2015-05-14 15:17:46,RT @WomenOn20s: NY City Council announces resolution to ask Feds to put a #womenon20s. Welcome to the team! #DearMrPresident http://t.co/EU…,75,0
598607198307164160,2015-05-13 21:54:12,RT @ToSaveEnergy: Missed @SenatorShaheen's keynote remarks from #EEGlobal? Here's the (originally livestreamed) video: https://t.co/27fjHUD…,3,0
598604322679738368,2015-05-13 21:42:46,"Earlier 2day, @VFW said they support Charlie Morgan Act extending vet benefits to same-sex couples in all states https://t.co/pycYa3dCOw",3,5
598554631439032320,2015-05-13 18:25:19,RT @MarkRuffalo: WOMEN ON 20s ANNOUNCES HARRIET TUBMAN AS WINNER OF ONLINE POLL http://t.co/feeaexr8Bu,219,0
598554590133493761,2015-05-13 18:25:09,RT @ChelseaClinton: Harriet Tubman won the #WomenOn20s nomination to be featured on the $20 bill: http://t.co/xOkn7S5Ypd,307,0
598504149521666048,2015-05-13 15:04:43,#HarrietTubman is an inspiring choice! Now its time to act either by passing my Women on 20 Act or administration making change #WomenOn20s,26,25
