id,created_at,text,retweets,favorites
601159779059441664,2015-05-20 22:57:14,We have to put the reins on our nat'l intelligence agencies so they can keep us safe w/out violating our Constitutional rights. #PatriotAct,4,7
601159360971186177,2015-05-20 22:55:35,Folks in Montana know I have opposed the #PatriotAct since it was signed into law. #mtpol,3,8
601159047379836932,2015-05-20 22:54:20,I’m concerned by the overreach we have seen in the name of nat'l security &amp; oppose efforts to reauthorize the #PatriotAct w/out real reforms,8,14
601158767917584384,2015-05-20 22:53:13,"If you don’t believe the #PatriotAct is a problem, you don’t know the Constitution. #mtpol",8,11
601138172551143424,2015-05-20 21:31:23,I butcher my own meat so I know exactly where my food comes from. But so should everyone else. @CarterTroy #KeepCOOL http://t.co/5bxTZTFRMd,2,2
600774147501850624,2015-05-19 21:24:53,Today I hosted a press conference on the importance of #COOL for Montana families w/ @rosadelauro &amp; @RepPeterDeFazio. http://t.co/IPf3C0VOjF,1,0
600769809241010179,2015-05-19 21:07:38,We’ve got to improve delivery standards for folks who count on the @USPS each day. #mtpol  http://t.co/YxR3664WWg,2,3
600742782844698625,2015-05-19 19:20:15,RT @SenateHSGACDems: WATCH LIVE: @SenatorCarper @SenatorHeitkamp @clairecmc @SenatorTester host member roundtable on rural postal issues ht…,2,0
600429633591447552,2015-05-18 22:35:54,Folks need to know where their food comes from &amp; MT producers need the ability to compete in a transparent market. http://t.co/R4KvH2QyMY,5,2
600398747730911236,2015-05-18 20:33:10,I toured the Northern Cheyenne Tribal School in Busby to highlight the lack of resources of BIE schools. #mtpol https://t.co/IXCP9hK9Qv,1,1
600397556175241217,2015-05-18 20:28:26,"RT @rollcall: Hey @SenatorTester, Montana steak is in the Taste of America Sweet 16. Spread the word and vote! http://t.co/NWFwjXrWHk #TofA…",3,0
600345576585220096,2015-05-18 17:01:53,It was an honor to address the Shepherd High School class of 2015.  Best of luck to all of yesterday’s graduates. http://t.co/YpQiXBk7lC,0,4
599633427504082944,2015-05-16 17:52:04,Congress needs to do more than just say “thank you.” #ArmedForcesDay #veterans #mtpol http://t.co/5nfMdhhyIh,6,6
599615314490302464,2015-05-16 16:40:05,Congratulations to all of the graduates celebrating across Montana today! #mtpol @umontana http://t.co/KZipOilPc8,4,8
599296288757284866,2015-05-15 19:32:24,Thanks to Bighorn Valley Health Center in Hardin for being a model for providing quality care in rural MT. #mtpol,1,1
599259928948305923,2015-05-15 17:07:55,RT @WakeUpMontana: We spoke w/ @SenatorTester about his VA clinic tour w/ the VA secretary @DeptVetAffairs http://t.co/LwVAxDVkjr http://t.…,1,0
599222018018422786,2015-05-15 14:37:16,"Visiting with @MontanaCUs in #Billings. Credit unions across MT help create jobs, put more money on Main St. and grow our communities.",2,3
599212118731272192,2015-05-15 13:57:56,RT @hot1019: .@SenatorTester on @bigjshow this morning. Any questions for the Senator? http://t.co/4t3puwjJTs,2,0
599198833436831744,2015-05-15 13:05:09,And for the most serious political interview of the day I’m stopping at the @BigJShow. #mtpol #mtnews #Billings http://t.co/m460SYQcHe,2,4
599189998999506948,2015-05-15 12:30:02,I’ll be on @WakeUpMontana in just a bit. Tune into @KULR.  #mtpol #mtnews #Billings http://t.co/khL7EfhOzn,2,1
599183880382353408,2015-05-15 12:05:44,Getting ready to go live on @KTVQ with @Q2VictoriaHill. Turn on CBS to watch. #mtpol #mtnews #Billings,1,0
598999740550885376,2015-05-14 23:54:01,RT @BREDD_MT: @SenatorTester Thanks for supporting broadband in Montana. http://t.co/lU9liYUhg3,1,0
598999530625982464,2015-05-14 23:53:11,RT @NBTStweets: Thanks @SenatorTester @SteveDaines for meeting w/ us last week to discuss brain tumor research and treatments. #BTAM http:/…,3,0
598935140715364353,2015-05-14 19:37:19,During #NationalPoliceWeek our thoughts are with Cascade County Deputy Sheriff Joe Dunn and his family. https://t.co/wA3ffgcq6S,7,2
598896014125342721,2015-05-14 17:01:51,Not passing a long-term Highway Bill has already delayed more than $36 million of investment in MT. #RebuildRenew http://t.co/7kU8W9TvcT,3,0
598643764521992192,2015-05-14 00:19:30,". @bigjshow tell @GovernorBullock that I'm impressed he finished the Boston, Marathon, but I coulda done it faster on my tractor.",5,8
598619968368967681,2015-05-13 22:44:56,"Montana’s elections should be decided by Montana voters, not by outside influences. #mtpol http://t.co/k7J2elVB1z",1,2
598605599497166849,2015-05-13 21:47:51,"I secured assurance from @DeptVetAffairs that up to 1,500 residency positions will be assigned as scheduled. #mtpol http://t.co/6eQ8u9zQKL",0,1
598548716996399105,2015-05-13 18:01:49,MT’s construction season is being cut short because Congress is refusing to take up a Highway Bill. #mtpol #InfrastructureWeek,3,2
598213198739861504,2015-05-12 19:48:35,Read my letter urging the @FCC to improve affordable access to #broadband in rural America. #mtpol http://t.co/micqY7QPTh,6,5
598170102392061952,2015-05-12 16:57:20,The worst thought for a parent is having to bury their child. They shouldn’t face losing their livelihood too. #mtpol http://t.co/aN5xXpWabo,1,2
597912376155971584,2015-05-11 23:53:13,RT @NativeLanguages: Thx @SenatorTester 4 supporting Senate bill 2 reauthorize #NativeAmerican Languages Act #indigenous #revitalization ht…,5,0
597795286577217537,2015-05-11 16:07:57,Some folks just aren't cut out to be Montanans. #mtpol @YellowstoneNPS  http://t.co/jkhCuaUGgJ,2,2
597452054764724224,2015-05-10 17:24:04,Happy Mother’s Day to the best mom I know! #MothersDay http://t.co/HRiSuiKOE1,3,6
597430171470209024,2015-05-10 15:57:07,ICYMI: The federal budget spends $187 billion overseas rather than investing in infrastructure at home. #mtpol https://t.co/g7xvpOeQEZ,3,4
597429217454739456,2015-05-10 15:53:19,Happy Mother's Day to the best mom I know! #MothersDay #mtpol http://t.co/eSvqxoUp9N,2,4
597428676917989377,2015-05-10 15:51:10,"RT @ChrisMoraIV: Our Senior Senator, @SenatorTester, was on @VICE last night! Thanks for standing up for #farmers and good #agriculture, Se…",3,0
597062234959777793,2015-05-09 15:35:04,Read more about my bill to eliminate claims backlog at the VA. #mtpol #Veterans  http://t.co/mGI0ZB5pLH,3,3
596734994560720897,2015-05-08 17:54:44,"Today we thank our #WWII #Veterans and celebrate VE Day, the 70th anniversary to the end of the war in Europe. #VEDay70",5,3
596428728659484672,2015-05-07 21:37:44,#TBT Last fall at Blackstone Launchpad at MSU to support the next generation of MT entrepreneurs. #SmallBusinessWeek http://t.co/WSeTSdvgmT,4,2
596407464137994241,2015-05-07 20:13:14,The GOP Budget hurts middle-class families &amp; fails to make college more affordable for Montana #students. #mtpol http://t.co/q8GMTvUz8H,1,3
596394220421775360,2015-05-07 19:20:37,We must do everything we can to prevent a nuclear #Iran. This bill gives Congress a say in the process. #mtpol http://t.co/u4c9zGzrbK,4,0
596034828035891200,2015-05-06 19:32:31,Montana should lead the nation in reducing #carbon emissions. Learn more about my new Geothermal Bill: #mtpol #energy http://t.co/6tLLOV4noe,8,4
595736447904284674,2015-05-05 23:46:52,RT @GFTrib_KPuckett: Use hot water that comes up with oil to make electricity. That's gist of @SenatorTester #geothermal bill. http://t.co/…,8,0
595673679150850048,2015-05-05 19:37:26,It’s time to refocus on making smart investments in our economy. This budget doesn’t do that. #mtpol  #MiddleClassBudget,2,2
595673512079183873,2015-05-05 19:36:47,China will spend $400 billion on transportation infrastructure this year. Over 8x more than the U.S. will spend on the Highway Trust Fund.,7,7
595673192687136768,2015-05-05 19:35:30,"Folks in Congress eagerly swipe the nation’s credit card when it comes to investments in the Middle East, but refuse to invest in #America.",9,6
595672829976272897,2015-05-05 19:34:04,"We need a long-term Highway Bill, short term stop gaps don’t give businesses the certainty they need. #mtpol",1,3
595672630734299136,2015-05-05 19:33:16,"In Montana, 9 projects were delayed this month due to Congress’ failure to pass a long-term Highway Bill. #mtpol",1,4
595672405986643968,2015-05-05 19:32:23,Congress is focused on the wrong things. We need a #MiddleClassBudget and investments in infrastructure. #mtpol,5,2
595672085202100224,2015-05-05 19:31:06,This budget is bad for Montana because it opens up the door to the sale of our public lands. #KeepItPublic #mtpol,15,11
595671864439140352,2015-05-05 19:30:14,"This budget before us drastically cuts Medicare and ends it as we know it, hurting Montana #seniors. #mtpol http://t.co/28c8AD6Hak",2,2
595671684457373696,2015-05-05 19:29:31,This GOP budget continues to reward companies that ship job overseas instead of investing in infrastructure at home. #mtpol,1,1
595671427623297024,2015-05-05 19:28:30,"The GOP budget will increase student loan payments for 9,000 MT students. #mtpol http://t.co/28c8AD6Hak",1,0
595671191706324994,2015-05-05 19:27:33,Under this budget Republicans favor tax breaks for the wealthiest instead of investing in the middle class. #mtpol #MiddleClassBudget,0,1
595670989486325762,2015-05-05 19:26:45,Folks in Washington continue to insist on spending billions overseas &amp; pretend that spending doesn’t count toward the deficit. #mtpol,1,4
595670801929613312,2015-05-05 19:26:00,Today the #House &amp; #Senate brought forward a #budget that reflects some of the worst ideas from each chamber. It’s not a #MiddleClassBudget,1,0
595669461614616578,2015-05-05 19:20:41,Heading to the Senate Floor to speak on the failures of the GOP budget &amp; impacts of not passing a Highway Bill #mtpol http://t.co/28c8AD6Hak,1,2
595358589251940352,2015-05-04 22:45:23,".@MISSOULIAN EDITORIAL: Focus should be on teaching, not testing #NCLB #education #mtpol #TeacherAppreciationWeek http://t.co/nbGcfeDYTf",7,6
595346130361294848,2015-05-04 21:55:53,Teaming up with @SenatorTomUdall to boost native language opportunities for Native American students. @indiancountry @indianz,4,3
595319845723439105,2015-05-04 20:11:26,Public #service make our communities stronger &amp; often go without recognition. During #PSRW take time to thank our nation’s public servants.,3,1
595315346791342081,2015-05-04 19:53:33,Let’s fight attempts to change the intent of #LWCF &amp; strengthen this initiative. #KeepItPublic #mtpol @LWCFCOALITION http://t.co/8HIunh3MpO,4,4
595290566876889090,2015-05-04 18:15:05,Congrats to the students from Will James Middle School in @BillingsMT for winning the Electric Car Competition at the National Science Bowl!,4,1
594915344050835456,2015-05-03 17:24:05,ICYMI: Sarah Calhoun of @RedAntsPants is representing MT this week at the Small Business Leadership Summit. #mtpol http://t.co/MNqz6KMYXh,3,4
