id,created_at,text,retweets,favorites
601138933934718978,2015-05-20 21:34:25,"Still time to #CelebrateOMDP at #OMDP Fiesta on Mesilla Plaza: 5-9 tonight! Food, music &amp; beautiful weather! Details→ http://t.co/nN7p6YjNjt",0,0
601054833685176320,2015-05-20 16:00:14,"RT @TomUdallPress: ""Udall: Clean #energy bill would save consumers $25.1 billion"" http://t.co/zBHBZgvxar via @CCurrentArgus #30by2030 #ActO…",5,0
600415545821896705,2015-05-18 21:39:55,"Celebrating 50 yrs of opportunity for our children &amp; families, our nation's commitment to early learning #HeadStart50 http://t.co/UptmE3U21R",1,2
600394285725384704,2015-05-18 20:15:27,.@RonWyden It's 2:15MT — New Mexicans know you can’t give up const rights 4 appearance of security. Congress must #EndThisDragnet. #Fight215,18,14
600394119568072704,2015-05-18 20:14:47,"RT @RonWyden: Every day at 2:15 pm PT and 2:15 pm ET, I’ll be tweeting to urge Congress to #EndThisDragnet. Schedule your tweets &amp; join me",42,0
599701208849231872,2015-05-16 22:21:24,"Great crowd celebrating #ConservationLands15 at OMDP. Public lands keep communities strong, here in NM &amp; across West. http://t.co/K8VW6l2LJn",5,2
599309792180592641,2015-05-15 20:26:03,#CelebrateOMDP all week w/ fun events in Las Cruces starting tonight @ the kickoff rally → http://t.co/nN7p6YjNjt #OMDP4NM,3,2
599304452940627968,2015-05-15 20:04:50,#FlashbackFriday—It’s been a year since Organ Mountains-Desert Peaks became a nat'l monument! #CelebrateOMDP #OMDP4NM http://t.co/chdyfdj94U,7,5
598959592610074624,2015-05-14 21:14:29,Proud to designate today #DoDLabDay to recognize @TeamAFRL &amp; @ArmyResearchLab contributions in #NM to cutting edge science &amp; tech advances.,3,1
598941622026510336,2015-05-14 20:03:05,"RT @thinkprogress: Under a new bill, the U.S. would get nearly a third of its energy from renewable sources http://t.co/0o50KpaoRI http://t…",71,0
598919266893725696,2015-05-14 18:34:15,We can't give up constitutional rights 4 appearance of security. Congress must #EndThisDragnet &amp; reform Patriot Act. https://t.co/Al48ikZA8L,7,6
598899815582461952,2015-05-14 17:16:57,"2nd Circuit got it right, #NSA dragnet is illegal. I oppose straight reauthorization of the Patriot Act, w/o real reform. #EndThisDragnet",6,10
598899241772294144,2015-05-14 17:14:40,The House overwhelmingly passed Patriot Act reforms last night. The Senate should go further. #EndThisDragnet,1,5
598855290579243008,2015-05-14 14:20:02,Heading to the floor to speak on Patriot Act reform &amp; why we must #EndThisDragnet. Tune in: http://t.co/ONC3ZyUMmx,4,10
598580274373521409,2015-05-13 20:07:13,RT @BLMNewMexico: Help celebrate 1st anniversary of Organ Mountains-Desert Peaks Monument http://t.co/5u9WOKDJvZ #conservationlands15 http:…,16,0
598580053505658880,2015-05-13 20:06:20,National #30by2030 renewable electricity standard would create more clean #energy #jobs in NM. http://t.co/fYlRxCPRyf via @thenewmexican,7,1
598240650585362432,2015-05-12 21:37:40,"New report: 1/5 millennial parents in poverty→http://t.co/DVcNdy4C99. #SONGAct wld ↑ access to anti-poverty progs, improve child well-being.",2,0
598234217382813697,2015-05-12 21:12:06,Thanks @sierraclub @UCSUSA @AWEA @SEIA &amp; others for supporting nat’l Renewable Electricity Standard. #30by2030 http://t.co/l0UdyI46iY,31,15
598218874715246592,2015-05-12 20:11:08,"We face growing shortage of #nurses—I'm working to ↑ funding, support 4 nurses &amp; nurse education, esp. in rural #NM communities. #NursesWeek",2,1
598218567729999872,2015-05-12 20:09:55,"Happy #InternationalNursesDay! Grateful for all the nurses who take such good care of us in our homes, communities &amp; hospitals. #NursesWeek",2,2
598185680326492160,2015-05-12 17:59:14,"RT @michaelcoleman: Udall, Heinrich introduce renewable electricity standard for utilities http://t.co/b2dvQFmQGq via @ABQJournal",5,0
598177733789806593,2015-05-12 17:27:39,My new #30by2030 Renewable Electricity Standard will create clean #energy jobs in NM &amp; across country: http://t.co/x9hEWxzN5U #ActOnClimate,0,3
598174898184392704,2015-05-12 17:16:23,"Angelina's Restaurant owner Fidel Gutierrez knows more $ for workers ""helps the whole community"" → http://t.co/WLtbh1jjXf #RaiseTheWage",4,4
597877114726121472,2015-05-11 21:33:06,RT @taosnews: @SenatorTomUdall and @MartinHeinrich propose two more #wilderness areas for #Taos County http://t.co/KDUfwLAOyp,12,0
597824158790197250,2015-05-11 18:02:41,.@nytimes recognizes urgent need to modernize presidential public financing system w/ my #EMPOWERact → http://t.co/96BCWfk7NZ,2,0
596776288347672576,2015-05-08 20:38:49,Proud to unveil the HOME Act during #SmallBusinessWeek to reduce red tape for NM #SmallBiz owners. #SBW2015 http://t.co/gZhz7eK1j6,3,1
596757651301740544,2015-05-08 19:24:45,Welcome to the nation's capital to NM School for the Deaf—enjoyed meeting you &amp; learning about your college plans! http://t.co/ofnXyPLrc3,0,2
596696731699511297,2015-05-08 15:22:41,Good luck this a.m. to ABQ's #InnovateHER finalist Heather Badal pitching her innovative app 2 save lives on the road http://t.co/xwETtgCOjm,2,2
596439820035035138,2015-05-07 22:21:49,It's always great to meet with #NM's #Rural Electric Co-ops — thx 4 providing reliable electric service across NM! http://t.co/AdcC9vL446,5,2
596436905358663680,2015-05-07 22:10:14,"RT @RepDavidEPrice: Sorry, billionaires- my bill w/@ChrisVanHollen &amp; @SenatorTomUdall will empower small donors in presidential campaigns h…",12,0
596436818515664896,2015-05-07 22:09:53,My new #EMPOWERact modernizes presidential public financing system so candidates can compete w/o special interest $$. http://t.co/hobwc3KhkU,2,1
596435331131514880,2015-05-07 22:03:58,NM Spirit of Community Award honorees Renaya &amp; Justin—inspired by your work 2 help others &amp; raise $ to fight cancer! http://t.co/4Lsq6dbTTY,1,2
596415029957816321,2015-05-07 20:43:18,RT @timkaine: Proud to join an important bipartisan bill today that reforms an obsolete #ChemicalSafety law @SenatorTomUdall @DavidVitter #…,7,0
596390163871309826,2015-05-07 19:04:30,RT @TomUdallPress: ICYMI→@SenatorTomUdall @DavidVitter @SenWhitehouse @jiminhofe @SenatorCarper @SenJeffMerkley announce #TSCA momentum htt…,6,0
596361985144573952,2015-05-07 17:12:31,"RT @SenatorCarper: Thanks to compromise, communication and collaboration, #TSCA bill is now a win-win-win. http://t.co/yYyge2UAHS",13,0
596361465659052032,2015-05-07 17:10:27,Senators from 25 states voice support for bipartisan #ChemicalSafety bill to overhaul #TSCA → it needs a vote on the Senate floor.,2,0
596360963206549504,2015-05-07 17:08:28,#ChemicalSafety reform momentum continues to build→36 senators now cosponsoring my bipartisan bill to protect our kids from chemicals. #TSCA,1,1
596360467997663232,2015-05-07 17:06:30,Thanks to 14 new bipartisan cosponsors standing up for meaningful #ChemicalSafety reform to protect our kids #TSCA http://t.co/33DygKoqky,3,1
596360158848131072,2015-05-07 17:05:16,Bipartisan press conference today to announce major new support for #ChemicalSafety reform bill. #TSCA http://t.co/vIJakMlhNj,2,3
596329527938265089,2015-05-07 15:03:33,"Headed to a press conference shortly to discuss major progress on #ChemicalSafety reform, prospects for a vote in full Senate. #TSCA",2,1
595712414613667840,2015-05-05 22:11:22,Many thanks to the incredible &amp; dedicated #NM teachers who inspire students to succeed. #ThankATeacher today! #NationalTeacherDay,10,8
