id,created_at,text,retweets,favorites
601147335884824576,2015-05-20 22:07:48,"Maximizing the use of our #NASA facilities, like @NASAStennis, would strengthen public-private #space partnership: http://t.co/sEAwXdbTB1",0,1
601025091019874304,2015-05-20 14:02:02,RT @WickerGayle: Wonderful evening celebrating #RIF -Proud of @SenatorWicker and his efforts promoting literacy #readingisfundamental http:…,5,0
601013700196184064,2015-05-20 13:16:47,Assembled a bipartisan #reform bill to help ensure our #military remains best fighting force in the world: http://t.co/jcEfBPgLVY #NDAA2016,1,2
600745246453080064,2015-05-19 19:30:02,"Proud of my wife, @WickerGayle, who was recognized for her work with children’s #literacy at today’s #ReadingIsFundamental Luncheon. @RIFWEB",0,7
600710737095450624,2015-05-19 17:12:55,The @USDA #Catfish Inspection Program is critical to protecting the health of American consumers: http://t.co/LjnNyQd1TH,1,4
600342658893160448,2015-05-18 16:50:18,In this week’s #WickerReport: @MSstate’s new #UAS COE highlights MS’s leadership in #aerospace technology: http://t.co/JvTQQbtfgI,1,1
600314702552539136,2015-05-18 14:59:13,#SCOTUS decision could trigger overhaul of #Obamacare | @DailyJournalnow: http://t.co/gQ0JikSizd #KingVsBurwell,1,1
599643960768929792,2015-05-16 18:33:55,"Celebrating #ArmedForcesDay at #USCoastGuardAcademy and #NavalSubmarineBase New London, CT. Young Americans serving their country.",2,3
599182274488377345,2015-05-15 11:59:21,A great Mississippian is dead. #BBKing RIP. Some of the thrill is gone this morning.,19,15
598973242444017665,2015-05-14 22:08:44,Encouraged by SASC’s approval of #NDAA bill. Strong blueprint w/reforms for America’s military personnel and defense capabilities. #FY16NDAA,2,3
598964582804250625,2015-05-14 21:34:19,#NationalPoliceWeek is a time to honor MS’s fallen officers &amp; thank those who risk their lives to protect Americans: http://t.co/BHqjh5ffeq,5,2
598947921346834432,2015-05-14 20:28:07,"Proud to join @SenThadCochran @GreggHarper &amp; others today in support of @msstate, chosen #FAA COE for #UAS.@ASSUREuas http://t.co/1g3MkJncoq",8,6
598574457725317121,2015-05-13 19:44:06,"RT @SenCapito: This bipartisan legislation will ensure #affordableenergy, curb federal overreach, &amp; put our economy first. #ARENA http://t.…",5,0
598524610657783809,2015-05-13 16:26:01,RT @SenThadCochran: News conf. Thurs on #unmannedsystems COE w/@FAANews @ASSUREuas @SenJohnHoeven @lisamurkowski @SenatorWicker &amp; others: h…,2,0
598266336146550784,2015-05-12 23:19:44,"I support @BillCassidy’s bill to increase offshore #energy exploration. Would help create MS jobs, boost revenue: http://t.co/EUKThE8Ypi",1,3
598175304478302209,2015-05-12 17:18:00,It’s time the #FCC modernized its outdated #RuralBroadband rules. Sent a letter to Chairman @TomWheelerFCC: http://t.co/SZ7RSYFQwX,3,2
597807107409387521,2015-05-11 16:54:55,Heartbroken by the loss of #Hattiesburg officers. MS will join together to support their families and law enforcement everywhere. #Pray4HPD,35,25
597791156395765761,2015-05-11 15:51:32,In this week’s #WickerReport: Near-standstill #economy calls for pro-growth action: http://t.co/1mLbWb9VAd,1,1
596765698006745089,2015-05-08 19:56:44,"In the field of #UAS, @msstate is second to none. Will host the nation’s premier UAS academic center: http://t.co/mHgey2y8ZB",12,12
596421782220976129,2015-05-07 21:10:08,"Any agreement w/ #Iran should be enforceable, verifiable, and transparent. I support the bill to review a final deal: http://t.co/9JniVouL6q",4,1
596393674726055936,2015-05-07 19:18:27,"RT @HelsinkiComm: Learn more about @HelsinkiComm! Our new infographic includes info on who we are, countries/issues we cover, &amp; more: http:…",11,0
596077219979632640,2015-05-06 22:20:58,.@SenThadCochran &amp; I introduced a bill supporting long-term care hospitals &amp; treatment of MS’s vulnerable patients: http://t.co/dBzgLZ22iQ,3,5
596040160535572480,2015-05-06 19:53:42,Communities in north Mississippi will greatly benefit from the future I-22 corridor. Proud to have played a role: http://t.co/TTAFKk8bQy,0,1
596005661768581120,2015-05-06 17:36:37,Congrats to MS’s 2015 Small Biz Winners: Derek Starling &amp; Willie O’Neal of SOL Eng’ring Services in #Jackson. #SBW2015 #SmallBusinessWeek,0,2
595710878655348736,2015-05-05 22:05:15,"The #BalancedBudget plan is a significant, substantive achievement; puts America on a better course: http://t.co/bOH7w2jCw7 @BudgetGOP",7,6
595706898072084480,2015-05-05 21:49:26,Grateful for MS’s outstanding teachers &amp; their dedication to our children’s future. I personally owe them a lot. #ThankATeacher #TeacherDay,7,5
595656585562718208,2015-05-05 18:29:31,"Gen. Dunford is a well-respected, decorated military leader. Looking fwd to his confirmation hearing to be the next JCS Chairman.@GenDunford",1,3
595325935940960257,2015-05-04 20:35:38,".@SenThadCochran &amp; I support bill to end individual, employer mandates; transition for current #Obamacare enrollees: http://t.co/vjRMpCajcq",5,4
595246275534168064,2015-05-04 15:19:05,"In this week’s #WickerReport: Small towns need safe drinking #water, too: http://t.co/mByavIYMTM",6,3
593799782671450112,2015-04-30 15:31:15,My Rural #Water Bill would give small communities needed access to clean drinking water. Headed now to #Senate floor: http://t.co/aJhwB0XKLg,2,2
593466645856780288,2015-04-29 17:27:29,RT @TomasikC: Senator Roger Wicker (MS) receiving the Samsung Solve for Tomorrow champion award w/ a shout out to Nicholson ES! http://t.co…,3,0
593194897882161152,2015-04-28 23:27:39,"Remembering MS communities hit by tornadoes 1 year ago, today. Tupelo's @DJournalnow highlights recovery efforts: http://t.co/NCxf5L2CAZ",5,2
592807207454056452,2015-04-27 21:47:06,Tune in for @SenDavidPerdue’s live #MaidenSpeech tonight at 6:30PM EST on @CSPAN: http://t.co/rWm2IZMPKA,4,3
592749224850231297,2015-04-27 17:56:42,In this week’s #WickerReport: #Telehealth can save lives and save money: http://t.co/iAJBUq254p #technology #healthcarereform,1,4
591690619879297024,2015-04-24 19:50:11,Read my OpEd w/ @CongCulberson on @TownHallcom about why we introduced the #10thAmendment Act: http://t.co/HTyc7Oswx8 #statesrights,3,3
591685844370640897,2015-04-24 19:31:12,"Introduced res w/@ChrisCoons, recognizing #WorldMalariaDay. Vital that we support the fight against this disease: http://t.co/cEhXZXClhZ",1,3
591313964916731905,2015-04-23 18:53:29,I voted against #LorettaLynch’s nomination to be Attorney General. Here's why: http://t.co/6c1HVnAPQ8,6,6
590998621371371520,2015-04-22 22:00:26,Proud to support the fight against #malaria: http://t.co/IA9KizaK94 #worldmalariaday,6,7
590989473296547840,2015-04-22 21:24:05,Voted in favor of the #EndTrafficking bill. Read more about my efforts to strengthen the measure: http://t.co/hruhq41OtZ,1,5
590978919123316736,2015-04-22 20:42:08,Introduced legislation w/@CongCulberson today to restore 10thAmdt rights for states &amp; the American ppl: http://t.co/9y6G6eJIm4 #StatesRights,2,4
590925709721337856,2015-04-22 17:10:42,"ICYMI: From today’s @ClarionLedger, Mississippi lawmakers push to expand #telehealth | http://t.co/57UFEAexWX",2,3
