id,created_at,text,retweets,favorites
599688238723272704,2015-05-16 21:29:52,Dick &amp; Betty Odgaard targeted by LGBT activists/litigated out of 1man/1woman wedding business. http://t.co/PAygEC6gAC http://t.co/YvytCxkGox,28,10
597962916340469760,2015-05-12 03:14:03,"@foxoutdoors Jeff, you might be a redneck if your pickup threw a rod &amp; your tractor blew a tire. C'ville, IA http://t.co/t0KzElsoIh",1,3
597422735044710403,2015-05-10 15:27:34,RT @ShannonBream: 1p @FoxNews @ANHQDC - Rep @SteveKingIA joins us live to talk about ISIS claims it’s got fighters positioned throughout US,8,0
597395947505627137,2015-05-10 13:41:07,"#HappyMothersDay to my mother in Heaven, the mother of my children, &amp; mothers of my grandchildren. A special love a father can only see.",8,16
597195168144617472,2015-05-10 00:23:18,"Outstanding presidential event today in Greenville, SC. Congratulations &amp; Thanks for #FreedomSummit to Rep. Jeff Duncan &amp; Dave Bossie of CU.",6,8
595963150610014210,2015-05-06 14:47:42,Godspeed Jerry Tweeten. Your willing hands and heart will be greatly missed by all. RIP,3,4
595930983951536129,2015-05-06 12:39:53,Hillary Clinton is all in on #Immigration. No domestic enforcement or border security. Hillary will create the Uber Autobahn to #Amnesty.,46,17
595031402111897600,2015-05-04 01:05:16,Assisination attempt on Pam Geller! Another Allah Akbar in Texas?Reported the officer taken 2 hospital will be OK 2'suspects will not be OK.,95,47
594287765166137344,2015-05-01 23:50:19,"Brandon Scherff, 5th overall NFL draft pick, from my HS alma mater, Denison, IA &amp; then Iowa Hawkeyes will play 4 #Redskins! Congratulations!",5,5
593789146902228992,2015-04-30 14:48:59,"Presser @ Capitol ""triangle"" at 12:00 noon today w/Dutch MP Geert Wilders, defender of Western Civilization &amp; author or ""Marked for Death"".",29,15
593534277020594176,2015-04-29 21:56:13,Geert Wilders speaking now before Members of Congress &amp; national security experts. Islam will not assimilate. Western culture is superior.,83,53
593368801024090112,2015-04-29 10:58:41,"#Geert Wilders, Dutch MP, is my guest speaker this morning before the Conservative Opportunity Society. Muslim Members of Congress protest.",46,23
592925424478527488,2015-04-28 05:36:51,#Baltimore police in force retreat from mob! Thugs own the streets. National Guard not yet on scene. Use all force necessary to bring order.,56,44
592860370655666176,2015-04-28 01:18:21,RT @carriesheffield: RT @blackrepublican: #BaltimoreRiots #tcot http://t.co/D6pDj1x1wK,46,0
591373652563722241,2015-04-23 22:50:40,"RT @BobbyJindal: Today is Yom Ha’atzmaut, when Israel celebrates their Independence. We must continue to stand with Israel.https://t.co/be…",143,0
