id,created_at,text,retweets,favorites
601155503771754497,2015-05-20 22:40:15,"This week, I am pleased to re-introduce the Tornado Family Safety Act. http://t.co/LN9oMjQC1v",3,1
601082029132881920,2015-05-20 17:48:17,"Pleased to announce the latest episode of Cole on Congress, featuring @RepRussell. https://t.co/KEJgec1Iul http://t.co/orKT0hTwB4",1,0
598903040779890689,2015-05-14 17:29:46,Enjoyed visiting w/ @RepRussell today during Cole on Congress. Stay tuned for a link to watch the show! http://t.co/8n6YsisVHx,4,1
598178656696070144,2015-05-12 17:31:20,"If you are planning a trip to DC, my office is here to assist with site tours around the city. Request online here: http://t.co/ayiF1A7Ymj",6,3
597873811095191552,2015-05-11 21:19:59,"During Military Appreciation Month, we remember the selfless sacrifices of our military, veterans and their families. http://t.co/a0pCsSZOzu",3,3
597419304963866624,2015-05-10 15:13:56,"I will always miss my mom, but I am thankful for the legacy she left behind. Her impact will never fade. #MothersDay http://t.co/Xt1tbOWGTI",1,2
596679346120687616,2015-05-08 14:13:36,"At 11:10am CT, the skies of D.C. will be filled with WWII aircraft. Watch the historic display live here: http://t.co/0F0yGmDAWv #VEDay70",2,0
596678996739371008,2015-05-08 14:12:13,"On #VEDay70, we remember the military heroes who led the Allies to victory, and we honor their selfless sacrifice for freedom.",3,2
596347432553820160,2015-05-07 16:14:42,"Today as we unite in prayer for the nation, we ask for wisdom and that the light from our great land always remains bright. #dayofprayer",5,4
596332305767104512,2015-05-07 15:14:35,"Still assessing the damage from last night's storms. It was a difficult night for #OK04, &amp; my prayers remain w/ all those recovering today.",3,1
596065420962041856,2015-05-06 21:34:05,"Today, we appreciate the compassion, courage and dedication of nurses: true difference makers. #NursesWeek http://t.co/TpziGOLgpi",3,1
595688900766605316,2015-05-05 20:37:55,American prosperity depends on Main Street. #SBW2015 http://t.co/uZzPMPjomy,1,0
594204463012966400,2015-05-01 18:19:18,Delighted to hear that Alcott Middle School from #OK04 has a team competing in #NatSciBowl this weekend. We're rooting for you! @DOE_SC_NSB,2,4
594169369107763202,2015-05-01 15:59:51,The Energy &amp; Water Appropriations bill passed today points America in the direction of energy independence. http://t.co/NSt4zaiJWe,1,1
594154500140695552,2015-05-01 15:00:46,"On Tuesday, #OK04’s Hester Whitehead celebrated a very special birthday. Happy 100th to her! http://t.co/o8Me3oLWM5 #FourthDistrictFriday",1,0
593939127848017920,2015-05-01 00:44:57,"Tonight, the House showed bipartisan commitment to taking care of our veterans &amp; active-duty service members. http://t.co/A44ZXCdqwN",0,3
593929921124237314,2015-05-01 00:08:22,"Under GOP leadership, the House &amp; Senate can reach agreement &amp; offer a common #budget vision. http://t.co/XLpm5nyVaT #balancedbudget",2,4
593841624725225472,2015-04-30 18:17:31,Lives are saved during severe weather like tornadoes when we have action plans long before it happens. #PrepareAthon http://t.co/B8sDMs1UL2,1,1
593794363920093184,2015-04-30 15:09:43,Do you have an emergency preparedness plan in case of severe weather? Join FEMA’s #PrepareAthon. http://t.co/B8sDMs1UL2 @PrepareAthon,0,1
593532210692497408,2015-04-29 21:48:00,RT @OklaDentalAssoc: ODA members meet with @TomColeOK04 during the @AmerDentalAssn's Washington Leadership Conference. http://t.co/kRSUXxEY…,4,0
593140319618801664,2015-04-28 19:50:46,ICYMI: I recently introduced legislation with @RepJohnDelaney to help save Social Security for future generations. http://t.co/Y7HzRaLigU,4,3
593124625162305536,2015-04-28 18:48:25,"Now that I'm eligible for Social Security, it's time to save the program. - TC",8,22
592721971219210244,2015-04-27 16:08:24,"Congress should act swifty to debate, consider and vote on the president’s AUMF request to combat ISIL/ISIS. http://t.co/mUq1XfUyPT",6,2
591690047621050369,2015-04-24 19:47:55,Highly honored to nominate Kate Lefler of Norman who was appointed by the U.S. Merchant Marine Academy. #OK04 #USMMA http://t.co/sRquXq5jmA,1,1
591617346571268096,2015-04-24 14:59:01,No better reminder than #NationalParkWeek to plan a visit to Sulphur's Chickasaw National Recreation Area in #OK04. http://t.co/Ix9NXISc9v,2,2
591336417437036544,2015-04-23 20:22:43,"RT @RulesReps: Congressman @tomcoleOK04 during Rules hearing earlier this week: ""Doing nothing is not an acceptable answer"" https://t.co/Ls…",4,0
591235824911577089,2015-04-23 13:42:59,RT @cspanwj: VIDEO: Rep. @TomColeOK04 (R-OK) on the delay to pass an #AUMF to combat #ISIS http://t.co/J1GA8xm2nd http://t.co/yek2mgH64O,6,0
591191088251154432,2015-04-23 10:45:13,About to go live on @Morning_Joe in a few minutes. Hope you can tune in to hear the conversation. http://t.co/plSdbtR2eX,4,2
590559291414818816,2015-04-21 16:54:41,REMINDER: My office is accepting submissions for the Congressional Art Contest until Friday. Details here: http://t.co/u9mU1vN8ri #OK04,4,0
589823425054646272,2015-04-19 16:10:37,Today we mourn those we lost 20 years ago in OKC &amp; remain grateful to those who helped us through it. #OKStandard https://t.co/v7evZIodNp,26,30
588782997937225728,2015-04-16 19:16:20,RT @RepRussell: @TomColeOK04 @RepFrankLucas @RepJBridenstine @RepMullin We remember those we lost 20 years ago in OKC. https://t.co/oKc7wXM…,5,0
588782668143271937,2015-04-16 19:15:01,"RT @NewsOKPolitics: Oklahomans rallied with speed and great courage: @TomColeOK04 in remarks on House floor today regarding 4/19/95.
http:/…",2,0
