id,created_at,text,retweets,favorites
601460691459903488,2015-05-21 18:52:58,"May is #NationalFosterCareMonth, a time to celebrate these children &amp; their dedicated foster families https://t.co/LkJBnORbD9",0,0
600367639714779139,2015-05-18 18:29:34,"House voting today on bills to boost #veterans jobs, combat veteran homelessness. Learn more: https://t.co/FFZ7gS91Dr",1,1
600353487340339201,2015-05-18 17:33:20,Great to meet with these students! https://t.co/XsWMmNQP6n,0,0
600305767426748416,2015-05-18 14:23:42,"Congrats to this year's recipients of ""Do the Right Thing"" award, recognizing youth in Charlotte County for service https://t.co/utTzk0aYtX",0,0
600301654378938368,2015-05-18 14:07:22,VIDEO: Congrats to the Newsome High Softball team for winning the Florida state championship! https://t.co/KZseSFZFsX #FL17 #sayfie #champs,0,0
600301342721241089,2015-05-18 14:06:07,Need help w/VA or other federal agency? Mobile Office Hours this Friday in Frostproof. Details here: https://t.co/WVIOmeHFt9 #FL17 #sayfie,0,0
599253084955639808,2015-05-15 16:40:43,Today my staff &amp; I #PutOnPurple to raise #lupus awareness. #LupusAwarenessMonth http://t.co/wJXGN9MbfA,19,39
599232196063408129,2015-05-15 15:17:43,"Just voted for defense auth. act that supports troops, improves pay/benefits, funds programs that keep US safe https://t.co/nGuikfFC0j",1,1
598882827954954241,2015-05-14 16:09:27,"Tomorrow we #PutOnPurple to spread awareness about #lupus, a devastating disease w/no known cure http://t.co/NI678glX04",23,18
595285543602237440,2015-05-04 17:55:08,"@rhondalburns if you're having trouble getting appointment or treatment, please call my office. (941) 575-9101",0,0
594159332737953792,2015-05-01 15:19:58,"Saving taxpayer $, cutting red tape, advancing energy independence, improving water infrastructure https://t.co/h96rils8Mj",1,1
594159091175555072,2015-05-01 15:19:00,"Energy &amp; Water approps bill includes funding I requested for key Everglades restoration, FL H2O projects https://t.co/h96rilaxUL #sayfie",0,1
593905310370246656,2015-04-30 22:30:34,"GOP budget balances, grows economy, saves Medicare. Still need long-term plan to block crippling defense cuts https://t.co/m6nYhvD6YX",1,0
593790940516634626,2015-04-30 14:56:06,"Great mtg yesterday w/Manatee County Commissioners to talk transportation, infrastructure #sayfie http://t.co/9NjEIHZqMN",2,1
592690589730222081,2015-04-27 14:03:42,"Jobs, veterans, balanced budget, 2nd amendment &amp; more. Recap of 1st 100 Days in House of Representatives: https://t.co/wGocZjjzGn",2,0
591261552608677888,2015-04-23 15:25:13,"Lehigh Acres, Mobile Office Hours coming your way! Stop by Mon for help w/VA, Social Security, other fed agencies https://t.co/hO2ETvApMl",2,0
591260741442936832,2015-04-23 15:22:00,VIDEO: Recently spoke Forum Club of the Palm Beaches on national security &amp; emerging threats. Watch here: https://t.co/hiWCrFDW7v,1,0
590966054211493890,2015-04-22 19:51:01,"MilCon/VA Approps bill boosts #Veterans health care &amp; VA services, invests in #FL defense infrastructure https://t.co/im3OVLox6E #sayfie",3,0
590935088935866368,2015-04-22 17:47:58,".@HouseAppropsGOP just approved bill w/funding for critical Florida water infrastructure, #Everglades projects https://t.co/VXDfuZZI5B",1,1
590878375864102913,2015-04-22 14:02:37,Video: This week I introduced legislation to protect passengers from TSA abuses. Watch here: https://t.co/FcgRejv8kV,3,2
588730718987149312,2015-04-16 15:48:36,Heading to House floor to cast my vote for permanent #DeathTaxRepeal. Death tax destroys family-owned farms &amp; small businesses.,7,1
586180638975381504,2015-04-09 14:55:29,Video: Honored to present local veteran William Daniels w/Bronze Star earned in Vietnam https://t.co/DIM1ZLPVx5,2,3
583282912465936384,2015-04-01 15:00:57,Citrus greening disease research grants available. Strongly encourage #FL researchers to apply. Learn more: http://t.co/82dPdKWT7u #sayfie,8,3
580003042151555073,2015-03-23 13:47:55,RT @TriaxTec: #TeamTriax at yesterday's #BrainInjuryAwarenessDay. Thanks to @TomRooney &amp; @BillPascrell for sponsoring a great event http://…,2,0
578591141924368384,2015-03-19 16:17:32,"RT @DarylPFriedman: Breaking! Historic, 1st-ever bill for producers intro'd by @repjoecrowley &amp; @TomRooney http://t.co/aviYvdJtkS #AMPAct h…",14,0
578578815548522496,2015-03-19 15:28:33,RT @repjoecrowley: Rep. @TomRooney &amp; I introduced #AMPAct to allow music producers to receive fair pay http://t.co/qfMOBCUJBL @GRAMMYAdvoca…,74,0
578550322035101696,2015-03-19 13:35:20,RT @SpartanMedTech: @SpartanMedical at today's #BrainInjuryAwarenessDay on Capitol Hill. Thx to @BillPascrell &amp; @TomRooney for sponsoring s…,1,0
578298999372976128,2015-03-18 20:56:40,"RT @BillTLL: @SSNAlerts reports @TomRooney not retreating from ATF bullet ban, even if ATF did. Dems ready to take up ATF cause. http://t.c…",2,0
