id,created_at,text,retweets,favorites
601207444480589824,2015-05-21 02:06:39,Thank you @WFLAGayle for devoting career to #TampaBay. You covered our hometown well! @WFLA #GoodbyeGayle #GirlPower @JenLeighWFLA @TVStacie,4,7
601055945771331585,2015-05-20 16:04:39,RT @RepLoisFrankel: .@HouseGOP has punted Highway Trust Fund deadline 2 months deeper into the critical summer construction season. This is…,87,0
601009494915719169,2015-05-20 13:00:04,"RT @JHendersonTBO: Helen Gordon Davis: fighter, pioneer &amp; role model. Her legacy lives on in those she inspired http://t.co/8OlTTsI5oz @TBO…",3,0
600819856502616064,2015-05-20 00:26:31,RT @AnyGivenSundae: #MODAdvocacy #modfl appreciate the support of @USRepKCastor thank you for improving the health of all moms and babies h…,2,0
600732535853883394,2015-05-19 18:39:32,Women &amp; families across FL have better lives today due to the leadership of Sen. Helen Gordon Davis! http://t.co/CiDi6RLetf @CentreForWomen,4,6
600681976782290944,2015-05-19 15:18:38,"With 3 wks left in school yr &amp;post-EOCs, students say ""not doing anything"" Help @Jeff_Eakins @Clstuart @aprilgriffin https://t.co/EVccNkevs1",2,2
600411839604850688,2015-05-18 21:25:12,"#Tampa encourages greater ties, education exchange w #Cuba to lift families,small business @Tampa_Chamber @USCubaNow https://t.co/xIUfgLSm9G",7,10
600353318888673280,2015-05-18 17:32:39,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,141,0
599977339284402176,2015-05-17 16:38:39,Congratulations #FLStateCup Champions #TampaBay United Girls U16!⚽️ TBUSoccer @FYSASoccer @ussoccerfndn Fantastic! https://t.co/DFatYt1clk,3,2
599382179483885570,2015-05-16 01:13:42,Progress! Thank You @4democracy for covering #Cuba / US change READ: Accelerating Pace of Change https://t.co/ztaqcTOB98” @sarahatcda,10,3
599309811310800896,2015-05-15 20:26:08,#Florida economy too impt to allow drilling off beaches: Apply Brakes On Seismic Testing Off The Coast http://t.co/bRvbdo55ZJ via @WJCTJax,10,1
599216079580352512,2015-05-15 14:13:40,RT @TampaBayWatch: Article on the bay's seagrass recovery in today's Tampa Tribune:... http://t.co/Z0qu95BNdu,3,0
599203145126907904,2015-05-15 13:22:17,Soon: my amendment to Defense bill to support @MacDill_AFB families &amp; housing on base🇺🇸 #NDAA @AirMobilityCmd @usairforce @CENTCOM @USSOCOM,5,0
599046079527710721,2015-05-15 02:58:09,RT @AstroSamantha: Good night from #space. Buona notte dallo spazio. http://t.co/AQ2NnYUKWp,3661,0
599021271322595328,2015-05-15 01:19:35,Impt #Tampa leaders/families in #Cuba this week Check out tweets by “@WFLAGene: #GeneInCuba VIDEO: Streets of Havana http://t.co/D3Y5vZRGjc”,7,4
598936794219044864,2015-05-14 19:43:54,"Don't shutdown #Florida @FLGovScott! Instead, be fiscally responsible &amp; bring our tax dollars home!  https://t.co/IwhRgnZzAl",11,3
598841908589436928,2015-05-14 13:26:51,"RT @RepPerlmutter: Let's renew Highway Trust Fund ASAP. @HouseGOP's needless crisis casts uncertainty on 6,000 US construction projects. ht…",102,0
598583931521409025,2015-05-13 20:21:45,"Overwhelmingly older, white, male @HouseGOP deciding personal health decisions of women across America. Extreme and outrageous! #TrustWomen",13,6
598538640202059776,2015-05-13 17:21:46,Thank YOU @TampaPD for what you do everyday to #StoptheViolence and serve #Tampa  https://t.co/XRcov98HHL,5,4
598479943094411264,2015-05-13 13:28:32,"RT @RepGaramendi: Only 6 legislative days until Highway Trust Fund expires. 660,000 jobs hang in the balance while we wait on GOP bill. htt…",117,0
