id,created_at,text,retweets,favorites
600392306605326338,2015-05-18 20:07:35,Join me in wishing @HeadStartgov a happy 50th birthday! In #ma09 #HeadStart50 serves over 2500 kids. #EngageDem #mapoli,1,1
599309912188018688,2015-05-15 20:26:32,I joined the POTUS along w/1000's of police officers &amp; families to honor those who gave all. http://t.co/smljCpZStv #PoliceMemorialWeek,2,5
599270755810041856,2015-05-15 17:50:56,"Today, a key provision that I authored that aims at helping #GoldStar Families passed the House. http://t.co/Vu7sPTPUto #ma09",2,2
597396699632562178,2015-05-10 13:44:06,Wishing all the moms in #ma09 a very Happy Mother's Day!,3,3
593857302714777600,2015-04-30 19:19:48,I filmed a video @nejbUNITEHERE Delegates Conference in #Falmouth – fighting for American workers. #ma09 #mapoli https://t.co/5p9z0kqpeA,6,4
593542832062889984,2015-04-29 22:30:13,Today I joined @RepFrankGuinta to reintroduce the Fisheries Investment and Regulatory Relief Act. http://t.co/9StlFL5M6J #mapoli #ma09,9,3
593165972204294145,2015-04-28 21:32:42,All love deserves to be cherished.  All love should be respected.  All love is equal. #lovecantwait http://t.co/TOEWxSQdYP,41,80
592740710354427905,2015-04-27 17:22:52,"Great to speak @necouncil #CongressionalRoundtable on bipartisanship, opiate crisis, @househomeland Marathon report. http://t.co/5sSTAhisDE",7,1
591321692535922688,2015-04-23 19:24:12,At @WhiteHouse celebrating @Patriots 4th Super Bowl win #XLIXChamps #CityofChampions http://t.co/YcNR1UQXVD,10,8
590990346919772160,2015-04-22 21:27:33,"From the dunes of the Cape Cod National Seashore to the waters of Buzzards Bay, MA09 is a gem we must protect. #EarthDay2015 #ma09",9,9
590956573448675330,2015-04-22 19:13:21,"Today’s @HFACDemocrats TNT hrg: Illicit #wildlifetrafficking threatens endangered species, conservation &amp; finances intl terrorist activities",9,5
589546979434323968,2015-04-18 21:52:07,Visited the Audiology Department at the expanded VA Community-Based Outpatient Clinic in #NewBedford today. #ma09 http://t.co/AhSVTw6LBi,6,4
589542457412550657,2015-04-18 21:34:09,"Congrats to Amy Joseph of @NorwellHS, winner of Best in Show at this year's #ma09 #CongressionalArtCompetition! http://t.co/qf97rvZghZ",8,8
588345057167745024,2015-04-15 14:16:07,Today I will participate in a roundtable on the @HouseHomeland report on the Marathon Bombings. http://t.co/fvAf2H6gt1 #OneBostonDay #ma09,9,3
588018517951250432,2015-04-14 16:38:34,Join us Friday evening (5:30-7pm) at the #Plymouth Center for the Arts for the #ma09 Congressional Art Competition. http://t.co/9evKhHmscr,3,1
586533666362368000,2015-04-10 14:18:17,"Had a great meeting w/@VineyardPower, Offshore MW, &amp; Rep. Madden on #offshorewind &amp; renewable energy. #ma09 http://t.co/cg123Iqlyr",2,3
586532615831822336,2015-04-10 14:14:07,TY to everyone who joined me &amp; Rep. Madden in #Edgartown yesterday for my #ClergyRoundtable on Substance Abuse. #ma09 http://t.co/UjKXE2nIuF,2,1
586531588491599872,2015-04-10 14:10:02,Yesterday I joined Rep Madden&amp; @uscoastguard for the Ribbon Cutting for the #MenemshaBoathouse.#marthasvineyard #ma09 http://t.co/IeLTI73qqO,2,2
585826303624011776,2015-04-08 15:27:29,Huge issue that needs to be fixed MT @kscincotta: @USRepKeating highlights a HUGE data gap:VA prescribing is NOT reported to PDMPs #RxSummit,9,4
585825577665490944,2015-04-08 15:24:36,RT @RxSummit: @USRepKeating @RepKClark  So thankful for your leadership!  - It was an honor to attend &amp; join you in combating this epidemic.,2,4
585820144892583936,2015-04-08 15:03:01,"Great to join @RepKClark, Laura Washington &amp; Dr. Vaillancourt of #FallRiver at the @RXSummit in Atlanta.#ma09 #mapoli http://t.co/R70iy9VcAG",7,3
585088670371315712,2015-04-06 14:36:24,"Yesterday I went on @WCVB ""OTR” w/ @EdWCVB &amp; @WuWCVB to discuss Homeland Security and Boston 2024. Watch here: http://t.co/kHBazFcaz0 #ma09",7,3
584829232590811136,2015-04-05 21:25:29,@dbernstein 87 wins with Hanley Ramirez as team MVP.,1,1
584700007766487040,2015-04-05 12:51:59,Sending prayers and best wishes to everyone celebrating Easter today.,4,6
584047750934847491,2015-04-03 17:40:09,A very happy &amp; healthy Passover. May this holiday be a time to appreciate loved ones &amp; to remember those who are not here to join us.,8,4
583354125452201984,2015-04-01 19:43:56,"Today we solemnly remember Plymouth Police Officer Gregg Maloney, who lost his life while serving us a year ago today.",10,7
581895307870507009,2015-03-28 19:07:07,"Tevis and I extend our thoughts and prayers to Boston Police Officer John Moynihan, his family, and the entire Boston Police Department.",4,1
580730165493387264,2015-03-25 13:57:15,"RT @DustinGFitch: UPDATE; one lane on #BourneBridge onto cape, both lanes off cape are open. Outer lane in rotary is open. Inner lane close…",10,0
579344591372955648,2015-03-21 18:11:28,Great to attend the Mass Mental Health Counselors Legislative Meet and Greet w/@joshcutler in #Hanson. #ma09 http://t.co/lj5V8WKNOt,5,3
577570760564305921,2015-03-16 20:42:54,Pleased to have the opportunity to speak at the Mass 400 Forum today @Plymouth_400. http://t.co/zRWTBa8l6E http://t.co/75phRoh9rC,8,4
577171390056509440,2015-03-15 18:15:57,Congrats to @Stable_Sports on winning the New England gymnastics championship. #ma09 http://t.co/YY2slXyUAM,5,3
