id,created_at,text,retweets,favorites
600365162802061312,2015-05-18 18:19:43,Since 1965 Head Start has helped 32 million children prepare for school and careers while strengthening families &amp; communities #HeadStart50,2,1
598592877950869504,2015-05-13 20:57:18,"Highway Trust Fund shuts down May 31 unless Congress acts soon–6,000 construction projects &amp; 660,000 jobs are at risk–more GOP foolishness.",2,0
595663380565905408,2015-05-05 18:56:31,MT @BillPascrell: Nothing returns more than investments in education. This #NationalTeacherDay thank a teacher for helping our kids succeed!,3,0
595624802339188736,2015-05-05 16:23:13,@thehill published our letter rebutting criticism of the Fair Access to Science &amp; Technology Research Act http://t.co/A93utv2WAS #openaccess,1,0
595246957339246592,2015-05-04 15:21:48,"MT: @RepPeterDeFazio: @SpeakerBoehner, take up a longterm surface transportation bill! Infrastructure investments grow economy &amp; create jobs",4,0
592695807670878208,2015-04-27 14:24:26,@NBCNews covered last week's Congressional briefing on #autism and aging out of the education system: http://t.co/hc0vByDkDL @tvkatesnow,4,2
591346721793449986,2015-04-23 21:03:39,"I was saddened to learn that Warren Weinstein, who devoted his life to international development, was killed while held hostage by Al Qaeda.",6,1
591274626677878784,2015-04-23 16:17:11,RT @AutismSpeaksDC: Congressional briefing on autism &amp; transition to adulthood. @USRepMikeDoyle &amp; @PaulShattuck speaking. @autismspeaks htt…,22,0
591241797453684737,2015-04-23 14:06:43,"Today's Congressional hearing on #Autism and the Aging Out Crisis will be livestreamed starting at 11AM on YouTube:
https://t.co/sNs3q0FhfF",4,2
590995990800367616,2015-04-22 21:49:59,@RepChrisSmith and I are hosting a briefing on the transition to adulthood for individuals with autism: tomorrow 4/23 at 11am in Cannon 441.,2,0
590982238759755776,2015-04-22 20:55:20,Suspicious package cleared. No one hurt. I  commend my staff for following procedure &amp; thank Capitol Police for prompt professional response,3,1
588088248355971074,2015-04-14 21:15:39,"@WayneDFontana, @trendabelle, and I met SWPA Goodwill's  @YouthWorksPGH participants last week. What a great program! http://t.co/HsFJUeXsT2",5,1
588085617961099265,2015-04-14 21:05:12,It’s time to pass the Paycheck Fairness Act to end gender-based wage discrimination. #EqualPayNow!,2,1
588085514772832256,2015-04-14 21:04:47,On average it takes women 15.5 months to earn what men earn in 1 year. #EqualPayNow!,1,1
588085226146045953,2015-04-14 21:03:38,"Hey America, it’s Equal Pay Day. Let’s start something new like paying women and men the same amount of $ for the same work. #EqualPayNow!",2,2
585479257578668035,2015-04-07 16:28:27,RT @RepJoeCourtney: #BankOnStudents bill would allow for refinancing of student loans. Much-needed measure would help millions of borrowers…,158,0
583739372975030273,2015-04-02 21:14:46,I’m proud to support #WorldAutismDay #LIUB #Congress4LIUB http://t.co/h0P4ZpZegy,12,11
582650435636473856,2015-03-30 21:07:43,Served soup w/@billpeduto @Lisa_Scales and @ACE_Fitzgerald at the Empty Bowls Dinner for @JustHarvest &amp; @PghFoodBank http://t.co/9MiW481sj4,9,4
582635351958773760,2015-03-30 20:07:47,RT @RepKarenBass: .@HouseDemocrats have a budget that achieves bigger paychecks &amp; better infrastructure for everyone! We're fighting for ha…,100,0
580738949213229056,2015-03-25 14:32:09,"House #GOPbudget will make it harder to buy a home, harder to send a kid to college &amp; harder to enjoy a secure &amp; dignified retirement.",4,0
580103497208754176,2015-03-23 20:27:06,Affordable Care Act 5th anniversary:130 million Americans with preexisting conditions can no longer be denied health coverage #ACAisWorking,2,0
580103280275120128,2015-03-23 20:26:14,Affordable Care Act 5th anniversary: 105 million Americans no longer face annual or lifetime limits on their health insurance #ACAisWorking,1,0
580103187027333120,2015-03-23 20:25:52,Affordable Care Act 5th anniversary: 16 million previously uninsured Americans have affordable high quality health insurance. #ACAisWorking,2,0
578627376113913856,2015-03-19 18:41:31,"GOP cuts health, education infrastructure-Instead of helping hard-working American families get ahead it forces them to work harder for less",8,4
577948752801107968,2015-03-17 21:44:55,There's no better way to celebrate Saint Patrick’s Day than meeting with the Taoiseach! http://t.co/c3cefODz0C,2,0
577587683704311808,2015-03-16 21:50:09,RT @ChrisVanHollen: Americans want &amp; deserve a budget that puts the #MiddleClassFirst. Time for better infrastructure &amp; bigger paychecks fo…,198,0
573474761965244416,2015-03-05 13:26:52,RT @WillAllenWAF: Met Member @USRepMikeDoyle to discuss energy &amp; the role it plays in @CityPGH  @nationalgridus #STEM #energyefficiency htt…,6,0
572883364606181378,2015-03-03 22:16:52,"I joined a bipartisan House majority today in approving a clean DHS funding bill, ending @HouseGOP shutdown threat #DontShutDownOurSecurity",4,4
571347616048529408,2015-02-27 16:34:21,The clock's ticking. @DHSgov has an important job to do. @SpeakerBoehner let's vote on a clean long-term DHS bill. #DontShutDownOurSecurity,4,4
571001978702172160,2015-02-26 17:40:55,RT @LCVoters: @USRepMikeDoyle got a 89% on LCV's 2014 Environmental Scorecard! Check out all of votes: http://t.co/5O8YDC6ko1 #LCVscore,4,0
570706271311163393,2015-02-25 22:05:52,"Congratulations @AutismSpeaks on 10 years of autism education, research, advocacy, and assistance to individuals with ASDs. #AutismSpeaks10",19,19
566306715281682432,2015-02-13 18:43:37,"RT @PittsburghPG: Pittsburgh region expected to add 18,000 jobs in 2015 http://t.co/8VZrVdrELY http://t.co/6pscOd2yGj",31,0
566306195129257984,2015-02-13 18:41:33,"I cosponsored a clean DHS bill, signed a letter asking the Speaker to let us vote on one, and voted to bring a clean DHS bill to the Floor.",3,2
565961406894604288,2015-02-12 19:51:29,RT @HouseDPCC: WATCH Rep. Doyle calls on GOP to pass clean @DHSgov funding bill &amp; focus on creating new jobs and growing paychecks https://…,5,0
565169092584566784,2015-02-10 15:23:06,@HouseDPCC Read @RepSteveIsrael op-ed in The Hill laying out the path forward for Democrats http://t.co/PkavNHPVpi  #MiddleClass #Paychecks,0,0
563110389769326593,2015-02-04 23:02:33,@IamJohnOliver @LastWeekTonight Thanks for getting millions of Americans to demand real #NetNeutrality from the @FCC. It worked.,0,0
562656702974418945,2015-02-03 16:59:46,Big news: Uber and CMU announce the launch of a joint robotics research project to develop self-driving vehicles. http://t.co/8RFD5G2jEm,3,0
559758176040796161,2015-01-26 17:02:03,"Congratulations @Astrobotic, a local PGH company/CMU startup developing the first private lunar lander for the @GLXP! http://t.co/E0D7DB9fCm",5,3
555132748428767232,2015-01-13 22:42:15,"I voted against HR 185, another GOP attempt to hamstring government agencies, impairing the government’s ability to protect the public.",3,4
555122862714281984,2015-01-13 22:02:58,Appointed to House Dems' new Policy &amp; Communications Committee. I’m looking forward to taking on this important work: http://t.co/EBsgqN58HL,0,4
553311666814074880,2015-01-08 22:05:56,Voted against a bill to push a MILLION Americans off their employer-provided health insurance and increase the national debt by $53 billion.,3,5
553275277280034816,2015-01-08 19:41:20,"I got my E&amp;C subcommittee assignments for the 114th Congress: Energy &amp; Power, Communications &amp; Technology, and Environment &amp; the Economy.",1,1
553268092235968513,2015-01-08 19:12:47,RT @bc_Trib: .@QuakerValley teacher creates high school's first robotics class: http://t.co/kZBDJuvofM http://t.co/LiDYlAxTVi,7,0
549954297509990400,2014-12-30 15:44:56,RT @PghBizTimes: Pittsburgh-region jobless rate down to 4.8 percent - lowest since April 2008. http://t.co/D1sbxMVYj8,8,0
