id,created_at,text,retweets,favorites
601111749992001537,2015-05-20 19:46:23,Proud to bestow the #CongressionalGoldMedal to honor the American Fighter Aces!  http://t.co/EtOc2g56M5,0,0
599231845121839104,2015-05-15 15:16:19,"Today, we honor the brave men and women who have lost their lives in the line of duty on #PeaceOfficersMemorialDay.  #PoliceWeek",2,2
598917302835421186,2015-05-14 18:26:26,Great to see Harding Township Middle Schoolers before their Capitol tour today!,0,0
598894641870721025,2015-05-14 16:56:24,Thanks to NJ @REALTORS for providing me with information about efforts to improve our housing market! http://t.co/skpo4fihbd,0,0
598574984525643776,2015-05-13 19:46:11,ICYMI- read my recent Op-Ed regarding the President's diplomatic failures with Cuba! http://t.co/ikQFFzND7J,1,0
598264360725848064,2015-05-12 23:11:53,Cosponsored &amp; voted for Rafael Ramos &amp; Wenjian Liu National Blue Alert Act to improve threat notifications for officers! #NationalPoliceWeek,1,0
598204294173700096,2015-05-12 19:13:12,Welcome to the Police Unity Tour- founded in @MorrisCountyNJ by Chief Patrick P. Montuore as we celebrate #NationalPoliceWeek!,2,1
598144673656479745,2015-05-12 15:16:17,Thanks again to all who came out for my Military Academy Night at West Essex High School! http://t.co/ttSxmTo1R5,0,1
597874672945000448,2015-05-11 21:23:24,Final stop with @NASA astronaut Captain Lee Morin to speak with students at Hillside Elementary School in #Livingston http://t.co/wBZNkThXL5,0,0
597862116167655424,2015-05-11 20:33:30,2nd stop on the @NASA school visits with Captain Lee Morin at Birchwood Elementary in #Rockaway! http://t.co/9mZUpEhP3f,1,3
597855372272115712,2015-05-11 20:06:43,First stop on @NASA astronaut school visits with Capt. Lee Morin at the Reverend Brown School in #Sparta! http://t.co/tfvNKvwkkU,0,1
594230759440969731,2015-05-01 20:03:47,Always a pleasure to see @FDUWhatsNew students in our nation's capital for a visit and tour. http://t.co/nXjTwkrb1i,2,4
594229920856985600,2015-05-01 20:00:28,I would like to thank all of my spring 2015 interns for all their hard work these past few months!  Best of luck!  https://t.co/UMve940Eiz,1,1
594215415817097217,2015-05-01 19:02:49,I was honored to receive the @USChamber Spirit of Enterprise Award this week!  #SOE15,0,2
593855493434712065,2015-04-30 19:12:37,Pleased to meet w/ Ukraine Legislative Deleg. to discuss recent mtg w/ @poroshenko &amp; responses to Russian aggression! http://t.co/wEsufnfrZZ,2,0
593551942321885185,2015-04-29 23:06:25,ICYMI- read my recent e-News comments regarding the importance of trade to NJ and our nation: http://t.co/xfDFOYCQtK,1,1
593507584625127426,2015-04-29 20:10:09,Welcomed @AbeShinzo Japanese PM 2 address Joint Sess. of Congress! Over 50 yrs since Japanese PM addressed Congress! http://t.co/tkgysPSWuM,2,3
592799852880404480,2015-04-27 21:17:53,I am looking forward to reviewing the art submissions from #NJ11th students at my Congressional Art Competition reception this evening!,2,2
592799549925756929,2015-04-27 21:16:41,Final stop on @NOAA #HurricaneHunter tour: Little Falls School #3! http://t.co/4QFYRry1TK,0,0
592791878740877312,2015-04-27 20:46:12,2nd stop on the @NOAA #HurricaneHunter tour: Lincoln Elementary School in #Caldwell! http://t.co/2C3LQUiN09,0,0
