id,created_at,text,retweets,favorites
601166634049495040,2015-05-20 23:24:29,"Tonight I voted to make the R&amp;D tax credit permanent, giving businesses the certainty they need to make long-term investment decisions",4,3
601084498034425856,2015-05-20 17:58:06,It's always great to see students from @appstate when they visit Washington. http://t.co/qB4ckbqYdX,6,4
601056778600710145,2015-05-20 16:07:57,Enjoyed assembling care packages for American troops at @the_USO service project on Capitol Hill today. #USOmoments http://t.co/us5y56v3jE,6,3
600366149138800640,2015-05-18 18:23:38,Or you can register at http://t.co/hxjt1RthTq to receive a phone call connecting you to the telephone town hall (3/3),2,0
600366114284183552,2015-05-18 18:23:30,You can either call the toll free number 1-877-229-8493 and enter the passcode 114272 at the start of the event (2/3),1,0
600366051667353600,2015-05-18 18:23:15,"On June 9th, I will host a telephone town hall at 7:15 p.m. Residents of NC's 5th District can participate in one of two ways. (1/3)",1,0
598892056476516352,2015-05-14 16:46:07,The NDAA is not the place for a debate on immigration. https://t.co/3UdUyh47fS,1,1
598616480813572097,2015-05-13 22:31:05,The House showed it will not sit idly by while the voiceless are subjected to the brutal procedure that is late-term abortion.#theyfeelpain,14,17
598576816434126850,2015-05-13 19:53:28,Every life matters. Thank you @NCRTL for continuing to speak for those who cannot.,4,4
598540127581921280,2015-05-13 17:27:41,RT @SBAList: .@virginiafoxx leading the debate on the rule for #hr36 now #theyfeelpain,7,0
598506161646764034,2015-05-13 15:12:43,Great to see North Carolina advocates for the @alsassociation in Washington this week. http://t.co/iOwd4hkkTp,0,3
598272254884065280,2015-05-12 23:43:15,Tonight the House passed common sense legislation that prevents an out-of-touch administration from threatening the livelihood of NC farmers,2,4
598270649287766016,2015-05-12 23:36:52,"#HR36 protects the most innocent among us, our unborn children. Debating in @RulesReps tonight. WATCH: http://t.co/almi55PKVm",24,21
598147828322557952,2015-05-12 15:28:49,Thanks @wakehealth for a great visit. Enjoyed the firsthand look at the extraordinary work you do each and every day. http://t.co/Y28gyghwRf,2,4
597862273743466496,2015-05-11 20:34:08,Joined 100+ colleagues in filing amicus brief with the 5th Circuit Court of Appeals today on Pres. Obama's unlawful immigration actions.,1,3
597798552593641473,2015-05-11 16:20:56,Had a wonderful time at the Kernersville Spring Folly last weekend. https://t.co/vhab7cudrJ,0,0
596349680625262594,2015-05-07 16:23:38,The challenges before us would overcome a faithless people. Thankfully prayer has unified us since our inception. #NationalDayofPrayer,12,17
595696378128502785,2015-05-05 21:07:38,Read my oped about how the #StudentSuccessAct will reduce the federal footprint in ed &amp; empower parents &amp; teachers http://t.co/FSrCYFfEkz,0,1
595604030593851393,2015-05-05 15:00:41,I had a great visit with students at West Iredell High School yesterday. http://t.co/DlHHJG7FNr,0,0
593872825720639488,2015-04-30 20:21:29,"RT @UCLAAdvocacy: (L to R) @UCLA's Dr. Alexander, @Penn's @lauraperna1, Rep. @virginiafoxx, and @dcccd's Dr. May @EdWorkforce hearings. htt…",4,0
593870510678761472,2015-04-30 20:12:17,Great feature in yesterday's New York Times about the Wake Forest Innovation Quarter in Winston-Salem. http://t.co/m1VI4mHhIN,0,0
593781230971269121,2015-04-30 14:17:32,"RT @EdWorkforce: .@VirginiaFoxx: Despite gov’s increasing investment in #higheredaccess + completion, grad rates for disadvantaged students…",3,0
593777217009750016,2015-04-30 14:01:35,Chairing @EdWorkforce subcommittee hearing at 10 am on efforts to improve support for disadvantaged college students http://t.co/cBFHiTlphu,1,0
593466468232212480,2015-04-29 17:26:46,"Congratulations to the Wilkes Central women’s basketball team, which recently won the NCHSAA 2A state championship.
https://t.co/QLtCnusghN",1,0
593080632202362881,2015-04-28 15:53:36,Great to have Anastasia Powell from the Winston-Salem Industries for the Blind in Washington today. http://t.co/vKtZmDh2Q9,1,4
592148991900524544,2015-04-26 02:11:35,RT @Tmcbrayer20: Had a great time spending the week with Congresswoman @virginiafoxx. http://t.co/cTeJQ1Y1qI,5,0
591665892477513728,2015-04-24 18:11:56,It is past time to simplify the tax code and decrease the tax burden that Americans currently spend 1/3 of the year bearing. #TaxFreedomDay,4,2
591664777904136192,2015-04-24 18:07:30,"Today is #TaxFreedomDay, which is the day when the nation as a whole has earned enough money to pay off its total tax bill for the year.",0,1
591651694339063809,2015-04-24 17:15:30,It’s time to vote for the 2015 Congressional Art Competition https://t.co/eVzyYSUrcm,0,1
588813273191034881,2015-04-16 21:16:38,RT @msmartinroom30: We made congresswoman @virginiafoxx Flat Stanley into a book so second graders can read it around the school! Thanks! h…,1,0
588739398830817280,2015-04-16 16:23:05,"Hard work should be passed down, not punished. House Republicans are making sure that happens. http://t.co/OO9SK2BsNr",5,6
588721121018646528,2015-04-16 15:10:27,Great to have students from North Carolina's @4H program in Washington this week. http://t.co/44MU5ADUJO,2,2
588411895692001280,2015-04-15 18:41:42,"Today the House welcomed Rev. Kenny Gooden, pastor of Union Grove Baptist Church in Yadkinville, as guest chaplain. https://t.co/KXhASbQwBe",2,1
588400595184267264,2015-04-15 17:56:48,It's National Public Safety Telecommunicators Week. Thank you to the 911 operators and dispatchers in North Carolina's 5th District.,2,1
588398198160564225,2015-04-15 17:47:17,RT @LoveandMoneyAFC: #Storming2015 at District 5 NC Congresswoman Virginia Foxx's office. @MOAA_MilLife @virginiafoxx http://t.co/zACwAVw4xX,2,0
588049776941408257,2015-04-14 18:42:46,"The #DeathTax is bad for landowners, small biz owners, farmers, ranchers &amp; families. Debating in @RulesReps at 3 pm. http://t.co/4LbBfjGaK8",6,1
587985574620966913,2015-04-14 14:27:39,Enjoyed speaking to local Boy Scouts about our government at Old Hickory Council's Merit Badge College last weekend. http://t.co/Gj4Q4Y6LX3,0,2
587727009624752128,2015-04-13 21:20:13,"Americans need freedom of choice when purchasing a home, not federal red tape. Debating #HousingBills in @RulesReps: http://t.co/X14dhiZIqt",1,1
587683198307545088,2015-04-13 18:26:07,We’re only two days away from Tax Day. It’s a day that hardworking Americans dread every year. https://t.co/BCpEjwdlvb,0,1
586288194607521794,2015-04-09 22:02:52,RT @kenfarnaso: Stopped by Congresswoman @virginiafoxx's district office in Clemmons this morning. Great staff! http://t.co/Vjh2JTOVmW,1,0
586286857975160833,2015-04-09 21:57:34,Deadline for the 2015 Congressional Art Competition is fast approaching. Entries must be submitted to my Clemmons office by 4/17 at 5 pm.,1,0
585904782495318016,2015-04-08 20:39:20,"Mark your calendars! On Friday, June 19, I will host a veterans information session in Clemmons. http://t.co/iGIjaVtpbQ",0,0
584034610692100096,2015-04-03 16:47:56,"W/my colleagues in Congress, I will do all in my power to ensure strong sanctions remain on Iran until it ends its nuclear program entirely.",2,3
584034050568015872,2015-04-03 16:45:43,Prime Minister Netanyahu’s comments that “a deal based on this framework would threaten the survival of Israel” are deeply distressing.,1,2
584033918749450241,2015-04-03 16:45:11,"Based on a cursory review, it appears the administration has been far too generous to the Iranians.",1,2
584032962808807425,2015-04-03 16:41:23,Obama and Kerry are risking continued existence of Israel and stability in Middle East in order to win praise for renewed engagement w/Iran.,1,2
583008893695049730,2015-03-31 20:52:06,Thanks to the folks at Salem Printing Company for a great visit yesterday. https://t.co/GlhKX5hxJC,1,0
581104757395324930,2015-03-26 14:45:45,Enjoyed showing the Bee Aware NC team around the U.S. Capitol this week. http://t.co/Rrif9arBcu,2,0
580867352050475008,2015-03-25 23:02:23,Today House Republicans approved a budget that balances within 10 years with no new taxes and cuts $5.5 trillion in unnecessary spending.,6,4
580464810929815553,2015-03-24 20:22:50,"Good news for veterans in NC’s 5th District.
http://t.co/aVRYt3NhMV",0,2
580459046538493952,2015-03-24 19:59:55,RT @cspan: CLIP: Rep. @Virginiafoxx (R-NC) and Flat Stanley http://t.co/RTYeho4hkP http://t.co/bMca9le75P,9,0
580418837214064641,2015-03-24 17:20:09,RT @realkatielavoie: Thanks @virginiafoxx for taking time to meet with graduate student and discuss issues on higher education #2105DOH htt…,4,0
580383372440178688,2015-03-24 14:59:13,The House Republican Balanced Budget for a Stronger America is not only realistic but proactive #BetterBudget https://t.co/vT1cevS74G,3,0
580068384324370432,2015-03-23 18:07:34,It’s time we stand up for our friend and ally. https://t.co/4zqjusXxxE (3/3),0,0
580068332595990528,2015-03-23 18:07:22,This single-minded attack is just the latest salvo in the UN’s never ending anti-Israel agenda. (2/3),0,0
580068289524703232,2015-03-23 18:07:12,The UN's Commission on the Status of Women adopted a resolution that singles out &amp; condemns Israel for violating the rights of women. (1/3),1,0
578984931910656000,2015-03-20 18:22:19,March is #WomensHistoryMonth https://t.co/WAJNDCjvSB,1,0
578225152497967104,2015-03-18 16:03:13,"RT @HouseAgNews: Today, we look to the hardworking men and women who define #RuralUSA. Thank you for feeding &amp; clothing America #agday http…",199,0
578215559499771904,2015-03-18 15:25:06,RT @SONC_BeAFan: Here’s to a very successful meeting with Congresswoman @virginiafoxx’s office! #HillDay http://t.co/El1QK7kFqu,6,0
578212654747111424,2015-03-18 15:13:34,Questioned @LaborSec about Job Corps at today's @EdWorkforce hearing. https://t.co/49BT10G14N,1,0
